stable_id,reference_patch_ids
DEBY_LOD2_108580335,UASPATCH_11c5a73473d77100a22c;UASPATCH_3d630698b46824095469;UASPATCH_7fd8b0adc1fbe993e952;UASPATCH_fe2321430a75e310bc33
DEBY_LOD2_108580336,UASPATCH_1406fda10f6c0235d7ba;UASPATCH_15c06745a1857c2050d6;UASPATCH_224cc90ed24d203749bc;UASPATCH_26bfd76ae43014405b8f;UASPATCH_2a550f9f13aa362be51b;UASPATCH_31235b278bbd5f096a03;UASPATCH_3b27611389335ebfe59a;UASPATCH_495a0600c39a7c73cd0d;UASPATCH_4d4f165c9ea6409f2171;UASPATCH_524c9cebb952a474708d;UASPATCH_528c3dcb9518ed271b76;UASPATCH_575251ffe6daca8ef888;UASPATCH_585086393f957ca9d557;UASPATCH_5a8e1013251c1417730b;UASPATCH_5fa7af397aa88c19ab4f;UASPATCH_645b470a16a22b93a0c3;UASPATCH_66139cd23ca2a46572a0;UASPATCH_7af79c6a1771e52b1570;UASPATCH_7ed1bb38641696a5c950;UASPATCH_7f1302cf016119281cb7;UASPATCH_85b295bd189bda83d5ae;UASPATCH_8b26898986b491f815b1;UASPATCH_8d9ecdcefd5f2939a355;UASPATCH_9648e8a9dcf268a2227c;UASPATCH_98f1cda685fffad4750b;UASPATCH_a5b4c9c6d4b8842526d7;UASPATCH_acb7812838f134989dff;UASPATCH_ae2b27079d565d98d693;UASPATCH_aeae990664d7c7f4b023;UASPATCH_b00073cea83aaa4475ee;UASPATCH_bc37c5021ce4cc803c12;UASPATCH_ca84c396c2932bedcc67;UASPATCH_f2828ca96095d8e3ebf1;UASPATCH_f98d75e310e05646aed9
DEBY_LOD2_42364663,UASPATCH_27cc4039ad9c4c209b48;UASPATCH_33a851d0073ad9ecaa05
DEBY_LOD2_4906965,UASPATCH_114641f27cd0b9be91b9;UASPATCH_1d1bdc2ff2ec1b922279;UASPATCH_34f440f846d9fd5d365d;UASPATCH_350aaa8ca70589268a4b;UASPATCH_5566cbc4a8a1b813dc48;UASPATCH_5c3262edca5ea6a6a9ea;UASPATCH_5dd548dd2bf5a023f7d2;UASPATCH_6022d83505423d18bbe6;UASPATCH_6370426a71cd194147b2;UASPATCH_7681e9ebec72deb1a16b;UASPATCH_8a78be90f0ec1206c77a;UASPATCH_ac78da824c7791eaba09;UASPATCH_ce1acfb3879dc4f5afaf;UASPATCH_d11f3b5ec57c9e38e86e;UASPATCH_eb3054d5a5b4e8374707;UASPATCH_fa5d0469035c6a11ac1d;UASPATCH_ff82f5334d866df1dc79
DEBY_LOD2_4906966,UASPATCH_06ff9f271ae7c01d713f;UASPATCH_350aaa8ca70589268a4b;UASPATCH_7dd9d2efb928bedc190b;UASPATCH_9414ec45f78987df0902;UASPATCH_a6e76efde2ebe2670f29;UASPATCH_ed39019847c59fe256ef;UASPATCH_f1e9f81acf8780b135b1;UASPATCH_fd759aa9abfe72d0c00a
DEBY_LOD2_4906967,UASPATCH_350aaa8ca70589268a4b;UASPATCH_5566cbc4a8a1b813dc48;UASPATCH_5c3262edca5ea6a6a9ea;UASPATCH_5dd548dd2bf5a023f7d2;UASPATCH_ac78da824c7791eaba09;UASPATCH_ce1acfb3879dc4f5afaf;UASPATCH_e6fcb3551db5cc395d6c;UASPATCH_eb3054d5a5b4e8374707;UASPATCH_fa5d0469035c6a11ac1d;UASPATCH_ff82f5334d866df1dc79
DEBY_LOD2_4906968,UASPATCH_018d42d12cf5aa6e39aa;UASPATCH_27cc4039ad9c4c209b48;UASPATCH_33a851d0073ad9ecaa05;UASPATCH_56d48d6afa21762aeace;UASPATCH_74b887e0556ef20d5e77;UASPATCH_79347ef78dd344d8bdef;UASPATCH_a73c56325a3cd1c36295;UASPATCH_aeae990664d7c7f4b023;UASPATCH_ca84c396c2932bedcc67;UASPATCH_dc4781c3b74c5c31a23f;UASPATCH_fd759aa9abfe72d0c00a
DEBY_LOD2_4906970,UASPATCH_114641f27cd0b9be91b9;UASPATCH_8720d770841d6b5403f4;UASPATCH_9b6893482a47e7545a27
DEBY_LOD2_4906972,UASPATCH_8720d770841d6b5403f4;UASPATCH_9b6893482a47e7545a27;UASPATCH_acb7812838f134989dff;UASPATCH_ff829de92c6725c4d870
DEBY_LOD2_4906973,UASPATCH_8720d770841d6b5403f4
DEBY_LOD2_4906974,UASPATCH_5a8e1013251c1417730b;UASPATCH_8720d770841d6b5403f4;UASPATCH_acb7812838f134989dff;UASPATCH_faa1ff0da9de56ec7bc8
DEBY_LOD2_4906975,UASPATCH_012006e59b7f5344edeb;UASPATCH_018d42d12cf5aa6e39aa;UASPATCH_33a851d0073ad9ecaa05;UASPATCH_66139cd23ca2a46572a0;UASPATCH_74b887e0556ef20d5e77;UASPATCH_79347ef78dd344d8bdef;UASPATCH_aeae990664d7c7f4b023;UASPATCH_ca84c396c2932bedcc67
DEBY_LOD2_4906976,UASPATCH_47cb4706d705a8d4fa9a;UASPATCH_575251ffe6daca8ef888;UASPATCH_8720d770841d6b5403f4;UASPATCH_9b6893482a47e7545a27
DEBY_LOD2_4906977,UASPATCH_1406fda10f6c0235d7ba;UASPATCH_575251ffe6daca8ef888
DEBY_LOD2_4906981,UASPATCH_1406fda10f6c0235d7ba;UASPATCH_1897c507f21bb250b98f;UASPATCH_224cc90ed24d203749bc;UASPATCH_31235b278bbd5f096a03;UASPATCH_47cb4706d705a8d4fa9a;UASPATCH_575251ffe6daca8ef888;UASPATCH_f98d75e310e05646aed9
DEBY_LOD2_4906982,UASPATCH_53eb149e2de9b1698a85
DEBY_LOD2_4906983,UASPATCH_248dda2d97322b9ada53;UASPATCH_69e275ce771d0a750133;UASPATCH_c8924edf091cf6c7956c
DEBY_LOD2_4906984,UASPATCH_12ff643a0733a835ca6c;UASPATCH_69e275ce771d0a750133;UASPATCH_c8924edf091cf6c7956c
DEBY_LOD2_4906985,UASPATCH_12ff643a0733a835ca6c;UASPATCH_c8924edf091cf6c7956c
DEBY_LOD2_4907173,UASPATCH_37822ffb137153e5fb33;UASPATCH_9e4b8d2fb331a69d1a6c;UASPATCH_b416b4eac5ca4569341c
DEBY_LOD2_4907176,UASPATCH_9ca12975b0b948fafc89
DEBY_LOD2_4907177,UASPATCH_9ca12975b0b948fafc89
DEBY_LOD2_4907180,UASPATCH_537037da352962df7a5e;UASPATCH_9ca12975b0b948fafc89
DEBY_LOD2_4907181,UASPATCH_d1fb8ff82dfb8aff72ab
DEBY_LOD2_4907183,UASPATCH_06ff9f271ae7c01d713f
DEBY_LOD2_4907196,UASPATCH_7dd9d2efb928bedc190b;UASPATCH_ad158225e611ea7e6f3f;UASPATCH_ef0a367b936ea730cfac
DEBY_LOD2_4907201,UASPATCH_ad158225e611ea7e6f3f
DEBY_LOD2_4907205,UASPATCH_be70bdc029eb2292b136
DEBY_LOD2_4907206,UASPATCH_88264721a3b805bb9d83
DEBY_LOD2_4907509,UASPATCH_5c4400a814b8c3416794;UASPATCH_61f6e7a87bf259854b4c;UASPATCH_c235b8f25c205a19550f
DEBY_LOD2_4907510,UASPATCH_c235b8f25c205a19550f
DEBY_LOD2_4907514,UASPATCH_34f440f846d9fd5d365d;UASPATCH_ef97ec111d9552460e1d
DEBY_LOD2_4907515,UASPATCH_34f440f846d9fd5d365d;UASPATCH_ef97ec111d9552460e1d
DEBY_LOD2_4907516,UASPATCH_30064478b8c81470058a
DEBY_LOD2_4907517,UASPATCH_30064478b8c81470058a
DEBY_LOD2_4908353,UASPATCH_61f6e7a87bf259854b4c
DEBY_LOD2_4959314,UASPATCH_8ec365db2fd7473aa3f5
DEBY_LOD2_4959322,UASPATCH_2672438319afd50cb036;UASPATCH_982d5d0c3c1b38beeda3;UASPATCH_d0cc37b9c0522663d43d
DEBY_LOD2_4959323,UASPATCH_2672438319afd50cb036;UASPATCH_26bfd76ae43014405b8f;UASPATCH_4ded119f930c1c3edfd6;UASPATCH_524c9cebb952a474708d;UASPATCH_85d0e6d16af6b10ee85b;UASPATCH_93e6beef7caed2a92796;UASPATCH_982d5d0c3c1b38beeda3;UASPATCH_98f1cda685fffad4750b;UASPATCH_a5b4c9c6d4b8842526d7;UASPATCH_ae2b27079d565d98d693;UASPATCH_d0cc37b9c0522663d43d;UASPATCH_efbd2288b2a537c92237
DEBY_LOD2_4959324,UASPATCH_524c9cebb952a474708d
DEBY_LOD2_4959325,UASPATCH_3f9d238d2ed2de4e00b1;UASPATCH_6fa0938c4c32bac647f8
DEBY_LOD2_4959326,UASPATCH_11c5a73473d77100a22c;UASPATCH_2ba4f8c81b3562409e55;UASPATCH_52c077918300bf2574d6;UASPATCH_5a57cd120b7eb1f4f9ed;UASPATCH_5c7e885e02a6c33cb3ca;UASPATCH_7fd8b0adc1fbe993e952;UASPATCH_fe2321430a75e310bc33
DEBY_LOD2_4959327,UASPATCH_129bc4f3f0e845a2bc32;UASPATCH_2ea5c2fbb940265043eb;UASPATCH_32401968ded607f220e8
DEBY_LOD2_4959457,UASPATCH_645b470a16a22b93a0c3;UASPATCH_8d9ecdcefd5f2939a355;UASPATCH_a5b4c9c6d4b8842526d7;UASPATCH_bc37c5021ce4cc803c12;UASPATCH_f2828ca96095d8e3ebf1
DEBY_LOD2_4959458,UASPATCH_982d5d0c3c1b38beeda3;UASPATCH_d0cc37b9c0522663d43d;UASPATCH_fba29ad0725c613b322b
DEBY_LOD2_4959459,UASPATCH_d0cc37b9c0522663d43d
DEBY_LOD2_4959460,UASPATCH_0f7e50c7505d3d548979;UASPATCH_0fc37524451d9502eed4;UASPATCH_248dda2d97322b9ada53;UASPATCH_2ba4f8c81b3562409e55;UASPATCH_3f9d238d2ed2de4e00b1;UASPATCH_47b19c90f63a15f20731;UASPATCH_4b6b9615b5a1fa5b9de5;UASPATCH_52027cf085586be34024;UASPATCH_52c077918300bf2574d6;UASPATCH_53818c9e92e5516463aa;UASPATCH_5c7e885e02a6c33cb3ca;UASPATCH_5d4f2ffa52f06c3f2a2d;UASPATCH_67ab6d0058a8288905ee;UASPATCH_7d1be8eacc640f1f26e8;UASPATCH_7d9b4a09548644aae921;UASPATCH_982d5d0c3c1b38beeda3;UASPATCH_cf767c28bf4bc75ef64c;UASPATCH_d0cc37b9c0522663d43d;UASPATCH_f5559b5d995c0aace553
DEBY_LOD2_4959461,UASPATCH_490435f3ada46fee342c;UASPATCH_9e5d19399d8c689c6eca
DEBY_LOD2_4959793,UASPATCH_26bfd76ae43014405b8f;UASPATCH_ae2b27079d565d98d693
