building_id,population_scope,dense_assembled,dense_status_source,footprint_area_m2,small_lt50,anchor_status,anchor_measurement_source,anchor_measurement_lineage,anchor_selected_dlt_point_count,anchor_footprint_inside_point_count,anchor_inside_z_median_m,anchor_inside_z_mad_m,anchor_coverage_ratio,anchor_selected_pair_count,anchor_completed_pair_count,anchor_eligible_pair_count,anchor_zero_observed,anchor_undecided_sticker,anchor_count_threshold,anchor_mad_threshold_status,outline_observable,outline_representative_view_count,outline_inframe_frac_max,outline_valid_pixel_count_max,outline_definition_source,cell_label,cell_assignment_basis,legacy_v1_2_label_reference,ref_roof_type,ref_roof_slope_group,ref_roof_type_source,ref_roof_type_role,override_recorded,override_source,override_inside_count,override_effect_on_cell,texture_low_gradient_fraction,texture_grad_p10,texture_signal_role,crs,learning_runs_started,new_inference_type,same_block_only,pair_independence,low_independence,supplement_measurement_source,supplement_measurement_lineage,supplement_cache_reuse_runs,supplement_new_mast3r_inference_runs,supplement_new_inference_allowlist,preregister_primary_list_eligible
DEBY_LOD2_104583447,canonical_raw_lidar_assembled_178,true,docs/regression_input_snapshot.csv,6.082000,true,not_applicable_dense_assembled,,,,,,,,,,,,,1,not_preregistered,true,3,1.000000,22,boundary_map_v3: views>=2 and inframe_max>0 and valid_pixel_max>=3,cell_1_assembled,raw_dense assembled=true,well-textured,slanted,sloped,"phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv: input=ALS, rf_roof_type",classification only,false,,,,0.486000,0.003900,descriptive covariate; not used in cell assignment,EPSG:25832,0,none; existing measurement read-only,false,not_supplement_target_original_value,false,,,0,0,,unchanged_not_evaluated_by_supplement
DEBY_LOD2_104583794,canonical_raw_lidar_assembled_178,false,docs/regression_input_snapshot.csv,6.389000,true,measured,phases/p2-gsjso/runs/20260720_anchor_census/anchor_census_inference_measurements.csv,anchor_census_current,0,0,,,0.000000,10,10,10,true,,1,not_preregistered,true,3,1.000000,22,boundary_map_v3: views>=2 and inframe_max>0 and valid_pixel_max>=3,cell_3_outline_only,raw_dense assembled=false and no measured anchor assignment and outline_observable=true,outline-only,slanted,sloped,"phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv: input=ALS, rf_roof_type",classification only,false,,,,0.300000,0.008800,descriptive covariate; not used in cell assignment,EPSG:25832,0,census_FM_dense_dial_2px_only,false,not_supplement_target_original_value,false,,,0,0,,unchanged_not_evaluated_by_supplement
DEBY_LOD2_104586480,canonical_raw_lidar_assembled_178,false,docs/regression_input_snapshot.csv,14.770000,true,measured,phases/p2-gsjso/runs/20260720_anchor_census/anchor_census_inference_measurements.csv,anchor_census_current,12023,3364,-43.161802,0.071273,0.975610,10,10,6,false,,1,not_preregistered,true,3,1.000000,38,boundary_map_v3: views>=2 and inframe_max>0 and valid_pixel_max>=3,cell_2_anchored,raw_dense assembled=false and measured inside_count>=1,"textureless, correspondence-anchored",horizontal,horizontal,"phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv: input=ALS, rf_roof_type",classification only,false,,,,0.269000,0.010600,descriptive covariate; not used in cell assignment,EPSG:25832,0,census_FM_dense_dial_2px_only,false,not_supplement_target_original_value,false,,,0,0,,unchanged_not_evaluated_by_supplement
DEBY_LOD2_107802038,canonical_raw_lidar_assembled_178,false,docs/regression_input_snapshot.csv,388.477000,false,measured,phases/p2-gsjso/runs/20260720_anchor_census/anchor_census_inference_measurements.csv,anchor_census_current,7,4,-18.010503,0.127067,0.001795,10,10,8,false,,1,not_preregistered,true,3,1.000000,178,boundary_map_v3: views>=2 and inframe_max>0 and valid_pixel_max>=3,cell_2_anchored,raw_dense assembled=false and measured inside_count>=1,"textureless, correspondence-anchored",slanted,sloped,"phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv: input=ALS, rf_roof_type",classification only,false,,,,0.751000,0.003900,descriptive covariate; not used in cell assignment,EPSG:25832,0,census_FM_dense_dial_2px_only,false,not_supplement_target_original_value,false,,,0,0,,unchanged_not_evaluated_by_supplement
DEBY_LOD2_107807336,canonical_raw_lidar_assembled_178,false,docs/regression_input_snapshot.csv,100.627000,false,measured,phases/p2-gsjso/runs/20260720_anchor_census/anchor_census_inference_measurements.csv,anchor_census_current,2416,22,-28.812032,0.740816,0.018256,10,10,9,false,,1,not_preregistered,true,3,1.000000,136,boundary_map_v3: views>=2 and inframe_max>0 and valid_pixel_max>=3,cell_2_anchored,raw_dense assembled=false and measured inside_count>=1,"textureless, correspondence-anchored",slanted,sloped,"phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv: input=ALS, rf_roof_type",classification only,false,,,,0.547000,0.005500,descriptive covariate; not used in cell assignment,EPSG:25832,0,census_FM_dense_dial_2px_only,false,not_supplement_target_original_value,false,,,0,0,,unchanged_not_evaluated_by_supplement
DEBY_LOD2_108246888,canonical_raw_lidar_assembled_178,true,docs/regression_input_snapshot.csv,13.961000,true,not_applicable_dense_assembled,,,,,,,,,,,,,1,not_preregistered,true,3,1.000000,30,boundary_map_v3: views>=2 and inframe_max>0 and valid_pixel_max>=3,cell_1_assembled,raw_dense assembled=true,well-textured,slanted,sloped,"phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv: input=ALS, rf_roof_type",classification only,false,,,,0.470000,0.007800,descriptive covariate; not used in cell assignment,EPSG:25832,0,none; existing measurement read-only,false,not_supplement_target_original_value,false,,,0,0,,unchanged_not_evaluated_by_supplement
DEBY_LOD2_108247350,canonical_raw_lidar_assembled_178,false,docs/regression_input_snapshot.csv,12.137000,true,measured,phases/p2-gsjso/runs/20260720_anchor_census/anchor_census_inference_measurements.csv,anchor_census_current,0,0,,,0.000000,10,10,4,true,,1,not_preregistered,true,3,1.000000,30,boundary_map_v3: views>=2 and inframe_max>0 and valid_pixel_max>=3,cell_3_outline_only,raw_dense assembled=false and no measured anchor assignment and outline_observable=true,outline-only,horizontal,horizontal,"phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv: input=ALS, rf_roof_type",classification only,false,,,,0.490000,0.006200,descriptive covariate; not used in cell assignment,EPSG:25832,0,census_FM_dense_dial_2px_only,false,not_supplement_target_original_value,false,,,0,0,,unchanged_not_evaluated_by_supplement
DEBY_LOD2_108247351,canonical_raw_lidar_assembled_178,false,docs/regression_input_snapshot.csv,65.279000,false,measured,phases/p2-gsjso/runs/20260720_anchor_census/anchor_census_inference_measurements.csv,anchor_census_current,0,0,,,0.000000,10,10,6,true,,1,not_preregistered,true,3,1.000000,68,boundary_map_v3: views>=2 and inframe_max>0 and valid_pixel_max>=3,cell_3_outline_only,raw_dense assembled=false and no measured anchor assignment and outline_observable=true,outline-only,slanted,sloped,"phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv: input=ALS, rf_roof_type",classification only,false,,,,0.549000,0.005900,descriptive covariate; not used in cell assignment,EPSG:25832,0,census_FM_dense_dial_2px_only,false,not_supplement_target_original_value,false,,,0,0,,unchanged_not_evaluated_by_supplement
DEBY_LOD2_108250120,canonical_raw_lidar_assembled_178,true,docs/regression_input_snapshot.csv,46.818000,true,not_applicable_dense_assembled,,,,,,,,,,,,,1,not_preregistered,true,3,1.000000,59,boundary_map_v3: views>=2 and inframe_max>0 and valid_pixel_max>=3,cell_1_assembled,raw_dense assembled=true,well-textured,slanted,sloped,"phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv: input=ALS, rf_roof_type",classification only,false,,,,0.546000,0.006200,descriptive covariate; not used in cell assignment,EPSG:25832,0,none; existing measurement read-only,false,not_supplement_target_original_value,false,,,0,0,,unchanged_not_evaluated_by_supplement
DEBY_LOD2_108580335,canonical_raw_lidar_assembled_178,true,docs/regression_input_snapshot.csv,1020.875000,false,not_applicable_dense_assembled,,,,,,,,,,,,,1,not_preregistered,true,3,1.000000,268,boundary_map_v3: views>=2 and inframe_max>0 and valid_pixel_max>=3,cell_1_assembled,raw_dense assembled=true,well-textured,slanted,sloped,"phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv: input=ALS, rf_roof_type",classification only,false,,,,0.304000,0.008100,descriptive covariate; not used in cell assignment,EPSG:25832,0,none; existing measurement read-only,false,not_supplement_target_original_value,false,,,0,0,,unchanged_not_evaluated_by_supplement
