building_id,arm,clip_source,clip_path,clip_note,crs_xy,z_datum_history,footprint_area_m2,n_points_footprint,pt_density_m2,density_valid,density_reason,status_input,status_rf_pt_density,status_density_delta,grid_cell_m,grid_n_cells,grid_occupied_cells,coverage_frac,hole_frac,coverage_valid,coverage_reason,status_rf_nodata_frac,status_hole_delta,status_compare_note,roof_point_count,ground_point_count,local_plane_radius_m,local_plane_rms_m,local_plane_core_count,local_plane_valid,local_plane_reason,m3c2_normal_radius_m,m3c2_proj_radius_m,m3c2_core_count,m3c2_mean_m,m3c2_median_abs_m,m3c2_rms_m,m3c2_valid,m3c2_reason,ref_valid_345,ref_invalid_reason,ref_roof_surface_count,ref_lookup_miss_frac,floater_margin_m,floater_count,floater_frac,floater_valid,floater_reason,label_proxy_roof_minus_m,ground_high_count,label_proxy_frac_all,label_proxy_frac_ground,label_proxy_valid,label_proxy_reason
DEBY_LOD2_104583447,raw_dense,missing_clip,phases/p0-audit/runs/mob_eval/raw_dense/DEBY_LOD2_104583447_orig_classified.las,building-level clip absent,EPSG:25832,none,6.082100,0,none,false,missing_clip,DIM,36.666668,none,0.500000,24,0,none,none,false,missing_clip,0.500000,none,metric_none,0,0,0.750000,none,0,false,insufficient_roof_points,1.000000,0.750000,none,none,none,none,false,missing_lidar_clip,true,none,1,0.000000,3.000000,0,none,false,no_points,1.000000,0,none,none,false,no_points
DEBY_LOD2_104583447,raw_acmp,fallback_fused_acmp_footprint_clip,results/tum_transfer/mob_analysis/p0c_step2/acmp_classified.laz,non-persistent fallback because raw_acmp building clip was absent,EPSG:25832,fused ACMP classified LAZ orthometric +48.0 m to ellip-unified,6.082100,341,56.066161,true,ok,none,none,none,0.500000,24,22,0.916667,0.083333,true,ok,none,none,no_canonical_status_for_acmp,341,0,0.750000,0.254064,337,true,ok,1.000000,0.750000,none,none,none,none,false,missing_lidar_clip,true,none,1,0.000000,3.000000,10,0.029326,true,ok,1.000000,0,0.000000,none,true,ok_no_ground_points
DEBY_LOD2_104583447,raw_lidar,missing_clip,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_104583447_orig_classified.las,building-level clip absent,EPSG:25832,none,6.082100,0,none,false,missing_clip,ALS,17.333334,none,0.500000,24,0,none,none,false,missing_clip,0.000000,none,metric_none,0,0,0.750000,none,0,false,insufficient_roof_points,1.000000,0.750000,none,none,none,none,false,not_applicable_lidar_self,true,none,1,0.000000,3.000000,0,none,false,no_points,1.000000,0,none,none,false,no_points
DEBY_LOD2_104583794,raw_dense,existing_mob_eval_clip,phases/p0-audit/runs/mob_eval/raw_dense/DEBY_LOD2_104583794_orig_classified.las,,EPSG:25832,ellip-unified existing classified clip,6.387450,0,none,false,no_points,DIM,0.000000,none,0.500000,25,0,none,none,false,no_points,1.000000,none,metric_none,0,0,0.750000,none,0,false,insufficient_roof_points,1.000000,0.750000,none,none,none,none,false,insufficient_source_roof_points,true,none,1,0.000000,3.000000,0,none,false,no_points,1.000000,0,none,none,false,no_points
DEBY_LOD2_104583794,raw_acmp,existing_mob_eval_clip,phases/p0-audit/runs/mob_eval/raw_acmp/DEBY_LOD2_104583794_orig_classified.las,,EPSG:25832,ellip-unified existing classified clip,6.387450,1,0.156557,true,ok,none,none,none,0.500000,25,1,0.040000,0.960000,true,ok,none,none,no_canonical_status_for_acmp,0,1,0.750000,none,0,false,insufficient_roof_points,1.000000,0.750000,none,none,none,none,false,insufficient_source_roof_points,true,none,1,0.000000,3.000000,1,1.000000,true,ok,1.000000,1,1.000000,1.000000,true,ok
DEBY_LOD2_104583794,raw_lidar,existing_mob_eval_clip,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_104583794_orig_classified.las,,EPSG:25832,ellip-unified existing classified clip,6.387450,131,20.508967,true,ok,ALS,18.080000,2.428967,0.500000,25,25,1.000000,0.000000,true,ok,0.000000,0.000000,direct_comparison_same_arm_metric_not_identical_grid,108,23,0.750000,0.223805,105,true,ok,1.000000,0.750000,none,none,none,none,false,not_applicable_lidar_self,true,none,1,0.000000,3.000000,0,0.000000,true,ok,1.000000,0,0.000000,0.000000,true,ok
DEBY_LOD2_104586480,raw_dense,existing_mob_eval_clip,phases/p0-audit/runs/mob_eval/raw_dense/DEBY_LOD2_104586480_orig_classified.las,,EPSG:25832,ellip-unified existing classified clip,14.770800,5508,372.897880,true,ok,DIM,978.620667,-605.722787,0.500000,58,58,1.000000,0.000000,true,ok,0.000000,0.000000,direct_comparison_same_arm_metric_not_identical_grid,2347,3161,0.750000,0.151630,2347,true,ok,1.000000,0.750000,25,-0.079541,0.119407,0.118411,true,ok,false,"DIM footprint interior is dominated by ground-class points while ALS has almost no ground-class interior; coverage is high, so the failure is treated as reference or temporal mismatch candidate.",1,0.000000,3.000000,1309,0.237654,true,ok,1.000000,0,0.000000,0.000000,true,ok
DEBY_LOD2_104586480,raw_acmp,existing_mob_eval_clip,phases/p0-audit/runs/mob_eval/raw_acmp/DEBY_LOD2_104586480_orig_classified.las,,EPSG:25832,ellip-unified existing classified clip,14.770800,6711,454.342351,true,ok,none,none,none,0.500000,58,58,1.000000,0.000000,true,ok,none,none,no_canonical_status_for_acmp,3804,2907,0.750000,0.099837,2997,true,ok,1.000000,0.750000,25,-0.220898,0.261534,0.254306,true,ok,false,"DIM footprint interior is dominated by ground-class points while ALS has almost no ground-class interior; coverage is high, so the failure is treated as reference or temporal mismatch candidate.",1,0.000000,3.000000,1217,0.181344,true,ok,1.000000,0,0.000000,0.000000,true,ok
DEBY_LOD2_104586480,raw_lidar,existing_mob_eval_clip,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_104586480_orig_classified.las,,EPSG:25832,ellip-unified existing classified clip,14.770800,175,11.847700,true,ok,ALS,10.827586,1.020114,0.500000,58,58,1.000000,0.000000,true,ok,0.000000,0.000000,direct_comparison_same_arm_metric_not_identical_grid,41,134,0.750000,0.136660,23,true,ok,1.000000,0.750000,none,none,none,none,false,not_applicable_lidar_self,false,"DIM footprint interior is dominated by ground-class points while ALS has almost no ground-class interior; coverage is high, so the failure is treated as reference or temporal mismatch candidate.",1,0.000000,3.000000,19,0.108571,true,ok,1.000000,0,0.000000,0.000000,true,ok
DEBY_LOD2_107802038,raw_dense,missing_clip,phases/p0-audit/runs/mob_eval/raw_dense/DEBY_LOD2_107802038_orig_classified.las,building-level clip absent,EPSG:25832,none,388.471650,0,none,false,missing_clip,DIM,0.000000,none,0.500000,1554,0,none,none,false,missing_clip,1.000000,none,metric_none,0,0,0.750000,none,0,false,insufficient_roof_points,1.000000,0.750000,none,none,none,none,false,insufficient_source_roof_points,true,none,1,0.000000,3.000000,0,none,false,no_points,1.000000,0,none,none,false,no_points
