arm,base_coef,ci_high,ci_low,coef,coef_delta_from_base,fit_type,n,note,ordinary_coef,outcome,outcome_kind,predictor,robust_coef,se,sign_flip_vs_base,sign_mismatch,spec,status,variant
raw_dense,none,30.665845,-10.629126,10.018359,none,logistic,144,none,none,assembled,binary,pt_density_m2_reg,none,10.534431,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_dense,none,0.673954,-3.424749,-1.375397,none,logistic,144,none,none,assembled,binary,coverage_frac_reg,none,1.045587,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_dense,none,2.216766,0.137867,1.177317,none,logistic,144,none,none,assembled,binary,local_plane_rms_m,none,0.530331,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_dense,none,1.707780,-1.022835,0.342472,none,logistic,144,none,none,assembled,binary,floater_frac,none,0.696586,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_dense,none,-0.023248,-2.191012,-1.107130,none,logistic,144,none,none,assembled,binary,label_proxy_frac_all,none,0.553001,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_dense,none,-0.840556,-4.504593,-2.672574,none,logistic,144,none,none,assembled,binary,median_incidence_deg,none,0.934703,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_dense,none,6.349827,1.082164,3.715996,none,logistic,144,none,none,assembled,binary,median_pair_angle_deg,none,1.343791,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_dense,none,1.499920,-3.343013,-0.921546,none,logistic,144,none,none,assembled,binary,n_views_nadir,none,1.235442,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_dense,none,2.511313,-2.007323,0.251995,none,logistic,144,none,none,assembled,binary,recon_score_median,none,1.152713,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_dense,none,9.860300,-0.117951,4.871175,none,logistic,144,none,none,assembled,binary,fallback_clip_source,none,2.545472,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_dense,none,1.115662,-0.689544,0.213059,none,logistic,133,none,none,val3dity_valid,binary,pt_density_m2_reg,none,0.460512,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_dense,none,0.644764,-1.688880,-0.522058,none,logistic,133,none,none,val3dity_valid,binary,coverage_frac_reg,none,0.595317,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_dense,none,0.079475,-1.291423,-0.605974,none,logistic,133,none,none,val3dity_valid,binary,local_plane_rms_m,none,0.349719,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_dense,none,0.195651,-0.904074,-0.354212,none,logistic,133,none,none,val3dity_valid,binary,floater_frac,none,0.280542,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_dense,none,0.555878,-1.134460,-0.289291,none,logistic,133,none,none,val3dity_valid,binary,label_proxy_frac_all,none,0.431209,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_dense,none,0.912851,-0.763262,0.074795,none,logistic,133,none,none,val3dity_valid,binary,median_incidence_deg,none,0.427580,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_dense,none,0.712479,-0.990011,-0.138766,none,logistic,133,none,none,val3dity_valid,binary,median_pair_angle_deg,none,0.434309,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_dense,none,1.658753,-0.787035,0.435859,none,logistic,133,none,none,val3dity_valid,binary,n_views_nadir,none,0.623925,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_dense,none,0.995660,-1.405783,-0.205062,none,logistic,133,none,none,val3dity_valid,binary,recon_score_median,none,0.612613,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_dense,none,0.487185,-1.243271,-0.378043,none,logistic,133,none,none,val3dity_valid,binary,fallback_clip_source,none,0.441443,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_dense,none,0.395573,0.146823,0.271198,none,huber_rlm,131,none,none,rf_rmse_lod22,continuous,pt_density_m2_reg,none,0.063457,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_dense,none,0.005284,-0.245508,-0.120112,none,huber_rlm,131,none,none,rf_rmse_lod22,continuous,coverage_frac_reg,none,0.063978,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_dense,none,0.267795,0.084599,0.176197,none,huber_rlm,131,none,none,rf_rmse_lod22,continuous,local_plane_rms_m,none,0.046733,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_dense,none,0.130159,-0.061936,0.034111,none,huber_rlm,131,none,none,rf_rmse_lod22,continuous,floater_frac,none,0.049004,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_dense,none,0.255858,0.019381,0.137620,none,huber_rlm,131,none,none,rf_rmse_lod22,continuous,label_proxy_frac_all,none,0.060326,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_dense,none,0.198915,-0.004269,0.097323,none,huber_rlm,131,none,none,rf_rmse_lod22,continuous,median_incidence_deg,none,0.051833,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_dense,none,0.175720,-0.039774,0.067973,none,huber_rlm,131,none,none,rf_rmse_lod22,continuous,median_pair_angle_deg,none,0.054973,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_dense,none,0.239417,-0.044042,0.097688,none,huber_rlm,131,none,none,rf_rmse_lod22,continuous,n_views_nadir,none,0.072311,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_dense,none,-0.004655,-0.277714,-0.141184,none,huber_rlm,131,none,none,rf_rmse_lod22,continuous,recon_score_median,none,0.069658,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_dense,none,0.332290,0.121901,0.227096,none,huber_rlm,131,none,none,rf_rmse_lod22,continuous,fallback_clip_source,none,0.053670,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_dense,none,0.086779,-0.111578,-0.012400,none,huber_rlm,133,none,none,rf_roof_planes,continuous,pt_density_m2_reg,none,0.050601,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_dense,none,0.233249,0.004794,0.119022,none,huber_rlm,133,none,none,rf_roof_planes,continuous,coverage_frac_reg,none,0.058279,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_dense,none,0.174775,0.003518,0.089146,none,huber_rlm,133,none,none,rf_roof_planes,continuous,local_plane_rms_m,none,0.043688,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_dense,none,0.058113,-0.106043,-0.023965,none,huber_rlm,133,none,none,rf_roof_planes,continuous,floater_frac,none,0.041877,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_dense,none,0.111194,-0.085955,0.012619,none,huber_rlm,133,none,none,rf_roof_planes,continuous,label_proxy_frac_all,none,0.050293,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_dense,none,0.074195,-0.109142,-0.017474,none,huber_rlm,133,none,none,rf_roof_planes,continuous,median_incidence_deg,none,0.046770,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_dense,none,0.245246,0.035717,0.140481,none,huber_rlm,133,none,none,rf_roof_planes,continuous,median_pair_angle_deg,none,0.053451,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_dense,none,0.170464,-0.094135,0.038164,none,huber_rlm,133,none,none,rf_roof_planes,continuous,n_views_nadir,none,0.067500,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_dense,none,-0.029328,-0.283771,-0.156549,none,huber_rlm,133,none,none,rf_roof_planes,continuous,recon_score_median,none,0.064909,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_dense,none,0.150216,-0.025032,0.062592,none,huber_rlm,133,none,none,rf_roof_planes,continuous,fallback_clip_source,none,0.044706,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_lidar,none,-0.217588,-3.380719,-1.799153,none,logistic,198,none,none,assembled,binary,pt_density_m2_reg,none,0.806921,none,none,attributes_plus_observation_fallback,max_iter,fallback_dummy_sensitivity
raw_lidar,none,0.701455,-0.172739,0.264358,none,logistic,198,none,none,assembled,binary,coverage_frac_reg,none,0.223009,none,none,attributes_plus_observation_fallback,max_iter,fallback_dummy_sensitivity
raw_lidar,none,4.004313,0.394371,2.199342,none,logistic,198,none,none,assembled,binary,local_plane_rms_m,none,0.920904,none,none,attributes_plus_observation_fallback,max_iter,fallback_dummy_sensitivity
raw_lidar,none,1.161360,-1.501036,-0.169838,none,logistic,198,none,none,assembled,binary,floater_frac,none,0.679183,none,none,attributes_plus_observation_fallback,max_iter,fallback_dummy_sensitivity
raw_lidar,none,1414.045333,-1416.928269,-1.441468,none,logistic,198,none,none,assembled,binary,label_proxy_frac_all,none,722.187143,none,none,attributes_plus_observation_fallback,max_iter,fallback_dummy_sensitivity
raw_lidar,none,-0.427296,-4.062091,-2.244693,none,logistic,198,none,none,assembled,binary,median_incidence_deg,none,0.927243,none,none,attributes_plus_observation_fallback,max_iter,fallback_dummy_sensitivity
raw_lidar,none,4.360276,-1.134168,1.613054,none,logistic,198,none,none,assembled,binary,median_pair_angle_deg,none,1.401644,none,none,attributes_plus_observation_fallback,max_iter,fallback_dummy_sensitivity
raw_lidar,none,9.418048,-6.358071,1.529988,none,logistic,198,none,none,assembled,binary,n_views_nadir,none,4.024520,none,none,attributes_plus_observation_fallback,max_iter,fallback_dummy_sensitivity
raw_lidar,none,5.055410,-0.505388,2.275011,none,logistic,198,none,none,assembled,binary,recon_score_median,none,1.418571,none,none,attributes_plus_observation_fallback,max_iter,fallback_dummy_sensitivity
raw_lidar,none,806.004477,-830.569599,-12.282561,none,logistic,198,none,none,assembled,binary,fallback_clip_source,none,417.493387,none,none,attributes_plus_observation_fallback,max_iter,fallback_dummy_sensitivity
raw_lidar,none,0.195633,-1.284078,-0.544223,none,logistic,178,none,none,val3dity_valid,binary,pt_density_m2_reg,none,0.377477,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_lidar,none,1.434695,-0.413574,0.510561,none,logistic,178,none,none,val3dity_valid,binary,coverage_frac_reg,none,0.471497,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_lidar,none,0.866199,-0.658129,0.104035,none,logistic,178,none,none,val3dity_valid,binary,local_plane_rms_m,none,0.388859,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_lidar,none,0.516151,-0.622569,-0.053209,none,logistic,178,none,none,val3dity_valid,binary,floater_frac,none,0.290490,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_lidar,none,0.572492,-0.748376,-0.087942,none,logistic,178,none,none,val3dity_valid,binary,label_proxy_frac_all,none,0.336956,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_lidar,none,0.706045,-0.704360,0.000843,none,logistic,178,none,none,val3dity_valid,binary,median_incidence_deg,none,0.359797,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_lidar,none,0.350169,-1.189214,-0.419523,none,logistic,178,none,none,val3dity_valid,binary,median_pair_angle_deg,none,0.392700,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_lidar,none,0.712934,-1.429777,-0.358422,none,logistic,178,none,none,val3dity_valid,binary,n_views_nadir,none,0.546610,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_lidar,none,1.572288,-0.671966,0.450161,none,logistic,178,none,none,val3dity_valid,binary,recon_score_median,none,0.572514,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
