building_id,map_assignment,footprint_area_m2,texture_low_gradient_fraction,mast3r_correspondence_count,outline_inframe_frac_max,outline_valid_pixel_count_max,threshold_distance,spotcheck_reason,learning_runs_started
DEBY_LOD2_107802038,2층-경계,388.477000,0.751000,0,1.000000,178,0.000001,"low-gradient=0.751, threshold=0.721; correspondence=0, threshold=6; outline-inframe=1.000, threshold=1.000",0
DEBY_LOD2_107807336,1층,100.627000,0.547000,0,1.000000,136,0.000001,"low-gradient=0.547, threshold=0.721; correspondence=0, threshold=6; outline-inframe=1.000, threshold=1.000",0
DEBY_LOD2_108247349,1층,101.102000,0.576000,0,1.000000,84,0.000001,"low-gradient=0.576, threshold=0.721; correspondence=0, threshold=6; outline-inframe=1.000, threshold=1.000",0
DEBY_LOD2_108247351,1층,65.279000,0.549000,0,1.000000,68,0.000001,"low-gradient=0.549, threshold=0.721; correspondence=0, threshold=6; outline-inframe=1.000, threshold=1.000",0
DEBY_LOD2_108247714,판별불가,34.271000,0.156000,362,1.000000,52,0.000001,"low-gradient=0.156, threshold=0.721; correspondence=362, threshold=6; outline-inframe=1.000, threshold=1.000",0
DEBY_LOD2_108250120,판별불가,46.818000,0.546000,0,1.000000,59,0.000001,"low-gradient=0.546, threshold=0.721; correspondence=0, threshold=6; outline-inframe=1.000, threshold=1.000",0
DEBY_LOD2_108580335,1층,1020.875000,0.304000,0,1.000000,268,0.000001,"low-gradient=0.304, threshold=0.721; correspondence=0, threshold=6; outline-inframe=1.000, threshold=1.000",0
DEBY_LOD2_108580336,1층,4799.469000,0.288000,86,1.000000,883,0.000001,"low-gradient=0.288, threshold=0.721; correspondence=86, threshold=6; outline-inframe=1.000, threshold=1.000",0
DEBY_LOD2_42364607,1층,90.441000,0.374000,0,1.000000,87,0.000001,"low-gradient=0.374, threshold=0.721; correspondence=0, threshold=6; outline-inframe=1.000, threshold=1.000",0
DEBY_LOD2_42364657,1층,107.301000,0.382000,0,1.000000,106,0.000001,"low-gradient=0.382, threshold=0.721; correspondence=0, threshold=6; outline-inframe=1.000, threshold=1.000",0
DEBY_LOD2_42364659,1층,66.102000,0.522000,398,1.000000,71,0.000001,"low-gradient=0.522, threshold=0.721; correspondence=398, threshold=6; outline-inframe=1.000, threshold=1.000",0
DEBY_LOD2_42364661,1층,58.561000,0.327000,0,1.000000,62,0.000001,"low-gradient=0.327, threshold=0.721; correspondence=0, threshold=6; outline-inframe=1.000, threshold=1.000",0
DEBY_LOD2_42364663,판별불가,42.215000,0.446000,3,1.000000,121,0.000001,"low-gradient=0.446, threshold=0.721; correspondence=3, threshold=6; outline-inframe=1.000, threshold=1.000",0
DEBY_LOD2_42364665,판별불가,49.277000,0.520000,237,1.000000,118,0.000001,"low-gradient=0.520, threshold=0.721; correspondence=237, threshold=6; outline-inframe=1.000, threshold=1.000",0
DEBY_LOD2_42364667,판별불가,45.705000,0.567000,264,1.000000,110,0.000001,"low-gradient=0.567, threshold=0.721; correspondence=264, threshold=6; outline-inframe=1.000, threshold=1.000",0
