comparison,subset,actual_label,recorded_label,count,n_records,calibration_seed,thresholds_json,learning_runs_started
manual_ladder_validation,manual_validation_22,1층,1층,15,22,20260716,"{""mast3r_correspondence_count"":6.0,""outline_inframe_frac"":0.999999,""outline_valid_pixel_count"":21.0,""texture_low_gradient_fraction"":0.721}",0
manual_ladder_validation,manual_validation_22,2층,1층,4,22,20260716,"{""mast3r_correspondence_count"":6.0,""outline_inframe_frac"":0.999999,""outline_valid_pixel_count"":21.0,""texture_low_gradient_fraction"":0.721}",0
manual_ladder_validation,manual_validation_22,2층-경계,1층,2,22,20260716,"{""mast3r_correspondence_count"":6.0,""outline_inframe_frac"":0.999999,""outline_valid_pixel_count"":21.0,""texture_low_gradient_fraction"":0.721}",0
manual_ladder_validation,manual_validation_22,2층-경계,2층,1,22,20260716,"{""mast3r_correspondence_count"":6.0,""outline_inframe_frac"":0.999999,""outline_valid_pixel_count"":21.0,""texture_low_gradient_fraction"":0.721}",0
manual_texture_validation,manual_validation_22,texture_insufficient,texture_insufficient,1,22,20260716,"{""mast3r_correspondence_count"":6.0,""outline_inframe_frac"":0.999999,""outline_valid_pixel_count"":21.0,""texture_low_gradient_fraction"":0.721}",0
manual_texture_validation,manual_validation_22,texture_insufficient,texture_sufficient,6,22,20260716,"{""mast3r_correspondence_count"":6.0,""outline_inframe_frac"":0.999999,""outline_valid_pixel_count"":21.0,""texture_low_gradient_fraction"":0.721}",0
manual_texture_validation,manual_validation_22,texture_sufficient,texture_sufficient,15,22,20260716,"{""mast3r_correspondence_count"":6.0,""outline_inframe_frac"":0.999999,""outline_valid_pixel_count"":21.0,""texture_low_gradient_fraction"":0.721}",0
tier1_vs_dense_success,evaluation_178,dense_not_success,not_tier1,5,178,20260716,"{""mast3r_correspondence_count"":6.0,""outline_inframe_frac"":0.999999,""outline_valid_pixel_count"":21.0,""texture_low_gradient_fraction"":0.721}",0
tier1_vs_dense_success,evaluation_178,dense_not_success,tier1,70,178,20260716,"{""mast3r_correspondence_count"":6.0,""outline_inframe_frac"":0.999999,""outline_valid_pixel_count"":21.0,""texture_low_gradient_fraction"":0.721}",0
tier1_vs_dense_success,evaluation_178,dense_success,not_tier1,9,178,20260716,"{""mast3r_correspondence_count"":6.0,""outline_inframe_frac"":0.999999,""outline_valid_pixel_count"":21.0,""texture_low_gradient_fraction"":0.721}",0
tier1_vs_dense_success,evaluation_178,dense_success,tier1,94,178,20260716,"{""mast3r_correspondence_count"":6.0,""outline_inframe_frac"":0.999999,""outline_valid_pixel_count"":21.0,""texture_low_gradient_fraction"":0.721}",0
manual_split_inventory,manual_44,calibration,1층,19,44,20260716,"{""mast3r_correspondence_count"":6.0,""outline_inframe_frac"":0.999999,""outline_valid_pixel_count"":21.0,""texture_low_gradient_fraction"":0.721}",0
manual_split_inventory,manual_44,calibration,2층-경계,3,44,20260716,"{""mast3r_correspondence_count"":6.0,""outline_inframe_frac"":0.999999,""outline_valid_pixel_count"":21.0,""texture_low_gradient_fraction"":0.721}",0
manual_split_inventory,manual_44,validation,1층,15,44,20260716,"{""mast3r_correspondence_count"":6.0,""outline_inframe_frac"":0.999999,""outline_valid_pixel_count"":21.0,""texture_low_gradient_fraction"":0.721}",0
manual_split_inventory,manual_44,validation,2층,4,44,20260716,"{""mast3r_correspondence_count"":6.0,""outline_inframe_frac"":0.999999,""outline_valid_pixel_count"":21.0,""texture_low_gradient_fraction"":0.721}",0
manual_split_inventory,manual_44,validation,2층-경계,3,44,20260716,"{""mast3r_correspondence_count"":6.0,""outline_inframe_frac"":0.999999,""outline_valid_pixel_count"":21.0,""texture_low_gradient_fraction"":0.721}",0
