building_id,assignment,map_assignment,fm_correspondence_count,fm_z_median_m,learning_runs_started
DEBY_LOD2_108247351,outline_only,outline_only,0,,0
DEBY_LOD2_108580335,textureless_correspondence_anchored,textureless_correspondence_anchored,4186,530.445214,0
DEBY_LOD2_108580336,textureless_correspondence_anchored,textureless_correspondence_anchored,3163,536.422780,0
DEBY_LOD2_42364657,textureless_correspondence_anchored,textureless_correspondence_anchored,6032,517.407257,0
DEBY_LOD2_42364659,textureless_correspondence_anchored,textureless_correspondence_anchored,8855,517.020561,0
DEBY_LOD2_4906965,textureless_correspondence_anchored,textureless_correspondence_anchored,3109,536.038465,0
DEBY_LOD2_4906966,textureless_correspondence_anchored,textureless_correspondence_anchored,2377,534.105523,0
DEBY_LOD2_4906967,textureless_correspondence_anchored,textureless_correspondence_anchored,17404,532.337994,0
DEBY_LOD2_4906968,textureless_correspondence_anchored,textureless_correspondence_anchored,1607,538.073273,0
DEBY_LOD2_4906969,textureless_correspondence_anchored,textureless_correspondence_anchored,14956,526.791341,0
DEBY_LOD2_4906970,textureless_correspondence_anchored,textureless_correspondence_anchored,14196,534.308369,0
DEBY_LOD2_4906972,textureless_correspondence_anchored,textureless_correspondence_anchored,15110,533.303250,0
DEBY_LOD2_4906973,textureless_correspondence_anchored,textureless_correspondence_anchored,10284,519.276361,0
DEBY_LOD2_4906974,textureless_correspondence_anchored,textureless_correspondence_anchored,5724,525.782023,0
DEBY_LOD2_4906975,textureless_correspondence_anchored,textureless_correspondence_anchored,2394,530.274258,0
DEBY_LOD2_4906976,textureless_correspondence_anchored,textureless_correspondence_anchored,13490,534.128390,0
DEBY_LOD2_4906977,textureless_correspondence_anchored,textureless_correspondence_anchored,1852,535.987635,0
DEBY_LOD2_4906981,textureless_correspondence_anchored,textureless_correspondence_anchored,2391,536.617436,0
DEBY_LOD2_4906982,textureless_correspondence_anchored,textureless_correspondence_anchored,5111,537.025674,0
DEBY_LOD2_4906983,outline_only,outline_only,59,533.386612,0
DEBY_LOD2_4906984,textureless_correspondence_anchored,textureless_correspondence_anchored,12546,519.909122,0
DEBY_LOD2_4906985,textureless_correspondence_anchored,textureless_correspondence_anchored,6685,538.064426,0
DEBY_LOD2_4906986,textureless_correspondence_anchored,textureless_correspondence_anchored,8163,529.548950,0
DEBY_LOD2_4906987,textureless_correspondence_anchored,textureless_correspondence_anchored,10374,529.523221,0
DEBY_LOD2_4906988,textureless_correspondence_anchored,textureless_correspondence_anchored,7323,526.721049,0
DEBY_LOD2_4906989,textureless_correspondence_anchored,textureless_correspondence_anchored,1382,535.963590,0
DEBY_LOD2_4906991,textureless_correspondence_anchored,textureless_correspondence_anchored,11962,527.017742,0
DEBY_LOD2_4906998,outline_only,outline_only,0,,0
DEBY_LOD2_4907020,textureless_correspondence_anchored,textureless_correspondence_anchored,3131,533.734966,0
DEBY_LOD2_4907023,textureless_correspondence_anchored,textureless_correspondence_anchored,3521,534.439588,0
DEBY_LOD2_4907025,textureless_correspondence_anchored,textureless_correspondence_anchored,8653,534.787411,0
DEBY_LOD2_4907026,outline_only,outline_only,0,,0
