record_type,comparison,subset,actual_label,recorded_label,count,n_records,correct_count,accuracy,constant_correct_count,constant_accuracy,accuracy_gain,metric_label,tp,actual_support,predicted_support,recall,precision,metric_status,manual_split_seed,dense_split_seed,rule_sha256,evaluation_status,rule_status,learning_runs_started
confusion_cell,primary_rule_validation,combined_validation_79_pre_fm_pre_override_pre_small,well_textured,well_textured,72,79,,,,,,,,,,,,,20260718,20260719,25dbc00beda696c54a1d1d8586446c67854b1d0bfc92a1303aa8bd1b77593ccd,complete,,0
confusion_cell,primary_rule_validation,combined_validation_79_pre_fm_pre_override_pre_small,well_textured,textureless_correspondence_anchored,0,79,,,,,,,,,,,,,20260718,20260719,25dbc00beda696c54a1d1d8586446c67854b1d0bfc92a1303aa8bd1b77593ccd,complete,,0
confusion_cell,primary_rule_validation,combined_validation_79_pre_fm_pre_override_pre_small,well_textured,outline_only,2,79,,,,,,,,,,,,,20260718,20260719,25dbc00beda696c54a1d1d8586446c67854b1d0bfc92a1303aa8bd1b77593ccd,complete,,0
confusion_cell,primary_rule_validation,combined_validation_79_pre_fm_pre_override_pre_small,textureless_correspondence_anchored,well_textured,2,79,,,,,,,,,,,,,20260718,20260719,25dbc00beda696c54a1d1d8586446c67854b1d0bfc92a1303aa8bd1b77593ccd,complete,,0
confusion_cell,primary_rule_validation,combined_validation_79_pre_fm_pre_override_pre_small,textureless_correspondence_anchored,textureless_correspondence_anchored,0,79,,,,,,,,,,,,,20260718,20260719,25dbc00beda696c54a1d1d8586446c67854b1d0bfc92a1303aa8bd1b77593ccd,complete,,0
confusion_cell,primary_rule_validation,combined_validation_79_pre_fm_pre_override_pre_small,textureless_correspondence_anchored,outline_only,0,79,,,,,,,,,,,,,20260718,20260719,25dbc00beda696c54a1d1d8586446c67854b1d0bfc92a1303aa8bd1b77593ccd,complete,,0
confusion_cell,primary_rule_validation,combined_validation_79_pre_fm_pre_override_pre_small,outline_only,well_textured,3,79,,,,,,,,,,,,,20260718,20260719,25dbc00beda696c54a1d1d8586446c67854b1d0bfc92a1303aa8bd1b77593ccd,complete,,0
confusion_cell,primary_rule_validation,combined_validation_79_pre_fm_pre_override_pre_small,outline_only,textureless_correspondence_anchored,0,79,,,,,,,,,,,,,20260718,20260719,25dbc00beda696c54a1d1d8586446c67854b1d0bfc92a1303aa8bd1b77593ccd,complete,,0
confusion_cell,primary_rule_validation,combined_validation_79_pre_fm_pre_override_pre_small,outline_only,outline_only,0,79,,,,,,,,,,,,,20260718,20260719,25dbc00beda696c54a1d1d8586446c67854b1d0bfc92a1303aa8bd1b77593ccd,complete,,0
validation_accuracy,primary_rule_validation,combined_validation_79_pre_fm_pre_override_pre_small,,,,79,72,0.911392405,,,,,,,,,,,20260718,20260719,25dbc00beda696c54a1d1d8586446c67854b1d0bfc92a1303aa8bd1b77593ccd,complete,failed_gain,0
constant_gain,primary_rule_vs_constant_well_textured,combined_validation_79_pre_fm_pre_override_pre_small,,,,79,72,0.911392405,74,0.936708861,-0.025316456,,,,,,,,20260718,20260719,25dbc00beda696c54a1d1d8586446c67854b1d0bfc92a1303aa8bd1b77593ccd,complete,failed_gain,0
class_metric,primary_rule_validation,combined_validation_79_pre_fm_pre_override_pre_small,,,,79,,,,,,well_textured,72,74,77,0.972972973,0.935064935,complete,20260718,20260719,25dbc00beda696c54a1d1d8586446c67854b1d0bfc92a1303aa8bd1b77593ccd,complete,failed_gain,0
class_metric,primary_rule_validation,combined_validation_79_pre_fm_pre_override_pre_small,,,,79,,,,,,textureless_correspondence_anchored,0,2,0,0.000000000,,precision_undefined_zero_predicted_support,20260718,20260719,25dbc00beda696c54a1d1d8586446c67854b1d0bfc92a1303aa8bd1b77593ccd,complete,failed_gain,0
class_metric,primary_rule_validation,combined_validation_79_pre_fm_pre_override_pre_small,,,,79,,,,,,outline_only,0,3,2,0.000000000,0.000000000,complete,20260718,20260719,25dbc00beda696c54a1d1d8586446c67854b1d0bfc92a1303aa8bd1b77593ccd,complete,failed_gain,0
split_inventory,manual44,manual44,,calibration,22,,,,,,,,,,,,,,20260718,20260719,25dbc00beda696c54a1d1d8586446c67854b1d0bfc92a1303aa8bd1b77593ccd,complete,,0
split_inventory,manual44,manual44,,validation,22,,,,,,,,,,,,,,20260718,20260719,25dbc00beda696c54a1d1d8586446c67854b1d0bfc92a1303aa8bd1b77593ccd,complete,,0
split_inventory,dense_success114,dense_success114,,calibration,57,,,,,,,,,,,,,,20260718,20260719,25dbc00beda696c54a1d1d8586446c67854b1d0bfc92a1303aa8bd1b77593ccd,complete,,0
split_inventory,dense_success114,dense_success114,,validation,57,,,,,,,,,,,,,,20260718,20260719,25dbc00beda696c54a1d1d8586446c67854b1d0bfc92a1303aa8bd1b77593ccd,complete,,0
split_inventory,combined158,combined158,,calibration,79,,,,,,,,,,,,,,20260718,20260719,25dbc00beda696c54a1d1d8586446c67854b1d0bfc92a1303aa8bd1b77593ccd,complete,,0
split_inventory,combined158,combined158,,validation,79,,,,,,,,,,,,,,20260718,20260719,25dbc00beda696c54a1d1d8586446c67854b1d0bfc92a1303aa8bd1b77593ccd,complete,,0
integrity_check,manual44_intersect_dense_success114,canonical_178,,,0,158,,,,,,,,,,,,measured_zero,20260718,20260719,25dbc00beda696c54a1d1d8586446c67854b1d0bfc92a1303aa8bd1b77593ccd,complete,,0
confusion_cell,primary_rule_vs_dense_success,canonical_178,dense_success,well_textured,112,178,,,,,,,,,,,,,20260718,20260719,25dbc00beda696c54a1d1d8586446c67854b1d0bfc92a1303aa8bd1b77593ccd,complete,,0
confusion_cell,primary_rule_vs_dense_success,canonical_178,dense_success,not_well_textured,2,178,,,,,,,,,,,,,20260718,20260719,25dbc00beda696c54a1d1d8586446c67854b1d0bfc92a1303aa8bd1b77593ccd,complete,,0
confusion_cell,primary_rule_vs_dense_success,canonical_178,dense_failure,well_textured,63,178,,,,,,,,,,,,,20260718,20260719,25dbc00beda696c54a1d1d8586446c67854b1d0bfc92a1303aa8bd1b77593ccd,complete,,0
confusion_cell,primary_rule_vs_dense_success,canonical_178,dense_failure,not_well_textured,1,178,,,,,,,,,,,,,20260718,20260719,25dbc00beda696c54a1d1d8586446c67854b1d0bfc92a1303aa8bd1b77593ccd,complete,,0
confusion_cell,final_map_vs_dense_success,canonical_178,dense_success,well_textured,93,178,,,,,,,,,,,,,20260718,20260719,25dbc00beda696c54a1d1d8586446c67854b1d0bfc92a1303aa8bd1b77593ccd,complete,,0
confusion_cell,final_map_vs_dense_success,canonical_178,dense_success,not_well_textured,21,178,,,,,,,,,,,,,20260718,20260719,25dbc00beda696c54a1d1d8586446c67854b1d0bfc92a1303aa8bd1b77593ccd,complete,,0
confusion_cell,final_map_vs_dense_success,canonical_178,dense_failure,well_textured,43,178,,,,,,,,,,,,,20260718,20260719,25dbc00beda696c54a1d1d8586446c67854b1d0bfc92a1303aa8bd1b77593ccd,complete,,0
confusion_cell,final_map_vs_dense_success,canonical_178,dense_failure,not_well_textured,21,178,,,,,,,,,,,,,20260718,20260719,25dbc00beda696c54a1d1d8586446c67854b1d0bfc92a1303aa8bd1b77593ccd,complete,,0
