building_id,cell_label,anchor_status,anchor_footprint_inside_point_count,anchor_inside_z_median_m,anchor_inside_z_mad_m,anchor_coverage_ratio,anchor_undecided_sticker,outline_observable,small_lt50,ref_roof_type,ref_roof_slope_group,legacy_v1_2_label_reference,texture_low_gradient_fraction,texture_grad_p10,learning_runs_started
DEBY_LOD2_104583794,cell_3_outline_only,measured,0,,,0.000000,,true,true,slanted,sloped,outline-only,0.300000,0.008800,0
DEBY_LOD2_104586480,cell_2_anchored,measured,3364,-43.161802,0.071273,0.975610,,true,true,horizontal,horizontal,"textureless, correspondence-anchored",0.269000,0.010600,0
DEBY_LOD2_107802038,cell_2_anchored,measured,4,-18.010503,0.127067,0.001795,,true,false,slanted,sloped,"textureless, correspondence-anchored",0.751000,0.003900,0
DEBY_LOD2_107807336,cell_2_anchored,measured,22,-28.812032,0.740816,0.018256,,true,false,slanted,sloped,"textureless, correspondence-anchored",0.547000,0.005500,0
DEBY_LOD2_108247350,cell_3_outline_only,measured,0,,,0.000000,,true,true,horizontal,horizontal,outline-only,0.490000,0.006200,0
DEBY_LOD2_108247351,cell_3_outline_only,measured,0,,,0.000000,,true,false,slanted,sloped,outline-only,0.549000,0.005900,0
DEBY_LOD2_42364607,cell_3_outline_only,measured,0,,,0.000000,,true,false,slanted,sloped,outline-only,0.374000,0.004400,0
DEBY_LOD2_42364609,cell_3_outline_only,unmeasurable,0,,,0.000000,앵커 미판정,true,true,slanted,sloped,outline-only,0.546000,0.006200,0
DEBY_LOD2_42364659,cell_2_anchored,measured,5062,-41.083726,0.510582,0.916399,,true,false,slanted,sloped,"textureless, correspondence-anchored",0.522000,0.006200,0
DEBY_LOD2_4906999,cell_3_outline_only,measured,0,,,0.000000,,true,false,slanted,sloped,outline-only,0.464000,0.004400,0
DEBY_LOD2_4907012,cell_3_outline_only,measured,0,,,0.000000,,true,false,slanted,sloped,outline-only,0.658000,0.002000,0
DEBY_LOD2_4907013,cell_2_anchored,measured,202,-24.558560,0.690746,0.307839,,true,false,slanted,sloped,"textureless, correspondence-anchored",0.392000,0.002000,0
DEBY_LOD2_4907014,cell_3_outline_only,measured,0,,,0.000000,,true,false,slanted,sloped,outline-only,0.389000,0.005900,0
DEBY_LOD2_4907015,cell_3_outline_only,measured,0,,,0.000000,,true,false,slanted,sloped,outline-only,0.291000,0.009800,0
DEBY_LOD2_4907016,cell_3_outline_only,measured,0,,,0.000000,,true,false,slanted,sloped,outline-only,0.585000,0.004400,0
DEBY_LOD2_4907019,cell_3_outline_only,measured,0,,,0.000000,,true,false,slanted,sloped,outline-only,0.671000,0.005900,0
DEBY_LOD2_4907021,cell_3_outline_only,measured,0,,,0.000000,,true,false,slanted,sloped,outline-only,0.239000,0.010600,0
DEBY_LOD2_4907022,cell_3_outline_only,measured,0,,,0.000000,,true,false,slanted,sloped,outline-only,0.706000,0.003900,0
DEBY_LOD2_4907027,cell_3_outline_only,measured,0,,,0.000000,,true,false,slanted,sloped,outline-only,0.708000,0.003900,0
DEBY_LOD2_4907029,cell_3_outline_only,measured,0,,,0.000000,,true,false,slanted,sloped,outline-only,0.538000,0.005500,0
DEBY_LOD2_4907030,cell_3_outline_only,measured,0,,,0.000000,,true,false,slanted,sloped,outline-only,0.644000,0.003900,0
DEBY_LOD2_4907031,cell_3_outline_only,unmeasurable,0,,,0.000000,앵커 미판정,true,false,slanted,sloped,outline-only,0.578000,0.005500,0
DEBY_LOD2_4907032,cell_2_anchored,measured,319,-26.392902,0.785923,0.148857,,true,false,slanted,sloped,"textureless, correspondence-anchored",0.519000,0.004400,0
DEBY_LOD2_4907033,cell_2_anchored,measured,355,-24.096349,1.377241,0.336824,,true,false,slanted,sloped,"textureless, correspondence-anchored",0.719000,0.004400,0
DEBY_LOD2_4907034,cell_2_anchored,measured,41,-17.963860,0.529169,0.009742,,true,false,slanted,sloped,"textureless, correspondence-anchored",0.497000,0.004400,0
DEBY_LOD2_4907036,cell_2_anchored,measured,403,-24.418455,1.729978,0.282424,,true,false,slanted,sloped,"textureless, correspondence-anchored",0.549000,0.004400,0
DEBY_LOD2_4907167,cell_2_anchored,measured,2688,-25.084966,1.270808,0.488789,,true,false,slanted,sloped,"textureless, correspondence-anchored",0.648000,0.004400,0
DEBY_LOD2_4907168,cell_3_outline_only,measured,0,,,0.000000,,true,false,slanted,sloped,outline-only,0.574000,0.005900,0
