patch_id,surface_type,building_id,x_m_epsg25832,y_m_epsg25832,patch_size_m,n_als,n_dense,n_als_used,n_dense_used,als_orthometric_m_dhhn2016,als_plus_gcg_m,dense_camera_m,delta_m,als_mad_m,dense_mad_m,slope_deg,icp_dx_m_aux,icp_dy_m_aux,note
G001,ground,,690773.500,5335876.500,5.000,375,179,375,99,515.390,561.090,561.780,0.6900,0.0200,0.2100,0.102,,,"ALS class-2, slope<3deg, no class-6 in 5x5m cell; dense lower mode"
G002,ground,,690823.500,5335971.500,5.000,452,3848,452,2194,515.100,560.800,560.900,0.1000,0.0300,0.0300,0.102,,,"ALS class-2, slope<3deg, no class-6 in 5x5m cell; dense lower mode"
G003,ground,,690818.500,5336086.500,5.000,291,519,291,287,514.690,560.390,560.520,0.1300,0.0100,0.0900,0.212,,,"ALS class-2, slope<3deg, no class-6 in 5x5m cell; dense lower mode"
G004,ground,,690833.500,5336111.500,5.000,185,469,185,235,514.730,560.430,562.770,2.3400,0.0100,0.1200,1.311,,,"ALS class-2, slope<3deg, no class-6 in 5x5m cell; dense lower mode"
G005,ground,,690848.500,5335896.500,5.000,404,1316,404,645,515.200,560.900,560.600,-0.3000,0.0100,0.0400,0.202,,,"ALS class-2, slope<3deg, no class-6 in 5x5m cell; dense lower mode"
G006,ground,,690838.500,5335956.500,5.000,307,6773,307,3729,515.110,560.810,560.860,0.0500,0.0200,0.1100,0.096,,,"ALS class-2, slope<3deg, no class-6 in 5x5m cell; dense lower mode"
G007,ground,,690853.500,5336071.500,5.000,484,3315,484,1832,514.680,560.380,560.450,0.0700,0.0100,0.0400,0.080,,,"ALS class-2, slope<3deg, no class-6 in 5x5m cell; dense lower mode"
G008,ground,,690878.500,5336131.500,5.000,459,3955,459,2408,514.440,560.140,560.250,0.1100,0.0100,0.0300,0.061,,,"ALS class-2, slope<3deg, no class-6 in 5x5m cell; dense lower mode"
G009,ground,,690873.500,5336211.500,5.000,175,1309,175,739,514.320,560.020,560.220,0.2000,0.0100,0.1300,0.343,,,"ALS class-2, slope<3deg, no class-6 in 5x5m cell; dense lower mode"
G010,ground,,690953.500,5335916.500,5.000,452,8873,452,4675,515.170,560.870,560.950,0.0800,0.0200,0.0700,0.085,,,"ALS class-2, slope<3deg, no class-6 in 5x5m cell; dense lower mode"
G011,ground,,690938.500,5335966.500,5.000,442,5131,442,3203,514.970,560.670,560.680,0.0100,0.0100,0.0200,0.241,,,"ALS class-2, slope<3deg, no class-6 in 5x5m cell; dense lower mode"
G012,ground,,690928.500,5336056.500,5.000,425,5626,425,1649,516.690,562.390,562.420,0.0300,0.0100,0.0200,0.026,,,"ALS class-2, slope<3deg, no class-6 in 5x5m cell; dense lower mode"
G013,ground,,690963.500,5336181.500,5.000,354,6335,354,3699,514.305,560.005,560.050,0.0450,0.0250,0.0400,0.273,,,"ALS class-2, slope<3deg, no class-6 in 5x5m cell; dense lower mode"
G014,ground,,690923.500,5336246.500,5.000,251,2083,251,1188,514.090,559.790,559.850,0.0600,0.0100,0.0300,0.185,,,"ALS class-2, slope<3deg, no class-6 in 5x5m cell; dense lower mode"
G015,ground,,690963.500,5336346.500,5.000,472,920,472,541,514.140,559.840,559.780,-0.0600,0.0100,0.0500,0.215,,,"ALS class-2, slope<3deg, no class-6 in 5x5m cell; dense lower mode"
G016,ground,,691033.500,5335916.500,5.000,424,4185,424,2220,515.630,561.330,561.410,0.0800,0.0100,0.0100,0.104,,,"ALS class-2, slope<3deg, no class-6 in 5x5m cell; dense lower mode"
G017,ground,,691028.500,5335941.500,5.000,428,3799,428,2159,515.140,560.840,560.940,0.1000,0.0200,0.0300,0.212,,,"ALS class-2, slope<3deg, no class-6 in 5x5m cell; dense lower mode"
