building_id,source_group,source_run,display_label,source_role,seed,replicate,pair_raw,source_badge,readout,z_shift_to_reference_m,complexity_lens,size_lens,texture_lens,observation_lens,label_lens,has_lod22,val3dity_valid,status,status_reason,rf_success,rf_pointcloud_unusable,roof_planes,status_rf_roof_planes,ref_roof_planes,match_count,completeness,correctness,mean_match_iou,ref_rms_m,ref_hausdorff_m,ref_distance_samples,rf_rmse_lod22,shell_bucket,ref_rms_tail,ref_rms_tail_fence_m
DEBY_LOD2_108247349,raw_sparse,raw_sparse,raw sparse,baseline,,,,,,-45.7000,low,low,not_reviewed,mid,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,18.3340
DEBY_LOD2_108247350,raw_sparse,raw_sparse,raw sparse,baseline,,,,,,-45.7000,low,low,lowtex_mid,mid,복합(소형+가림),false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,18.3340
DEBY_LOD2_108247351,raw_sparse,raw_sparse,raw sparse,baseline,,,,,,-45.7000,low,low,복합(저조도+가림),mid,복합(저조도+가림),false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,18.3340
DEBY_LOD2_4907184,raw_sparse,raw_sparse,raw sparse,baseline,,,,,,-45.7000,high,high,not_reviewed,high,none,true,true,success,success,True,False,2,13,4,2,0.5000,1.0000,0.6758,2.1443,9.1612,1348,2.511257,조립,false,18.3340
DEBY_LOD2_4907185,raw_sparse,raw_sparse,raw sparse,baseline,,,,,,-45.7000,low,mid,not_reviewed,high,none,false,true,failure,pointcloud_unusable_no_planes,True,True,0,0,2,0,0.0000,,,,,0,,미조립,false,18.3340
DEBY_LOD2_4907186,raw_sparse,raw_sparse,raw sparse,baseline,,,,,,-45.7000,low,mid,not_reviewed,mid,none,false,true,failure,pointcloud_unusable_no_planes,True,True,0,0,2,0,0.0000,,,,,0,,미조립,false,18.3340
DEBY_LOD2_4907188,raw_sparse,raw_sparse,raw sparse,baseline,,,,,,-45.7000,low,mid,not_reviewed,low,none,false,true,failure,pointcloud_unusable_no_planes,True,True,0,0,2,0,0.0000,,,,,0,,미조립,false,18.3340
DEBY_LOD2_4907194,raw_sparse,raw_sparse,raw sparse,baseline,,,,,,-45.7000,low,mid,not_reviewed,low,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,2,0,0.0000,,,,,0,,미조립,false,18.3340
DEBY_LOD2_4907195,raw_sparse,raw_sparse,raw sparse,baseline,,,,,,-45.7000,low,mid,not_reviewed,low,none,false,true,failure,pointcloud_unusable_no_planes,True,True,0,0,2,0,0.0000,,,,,0,,미조립,false,18.3340
DEBY_LOD2_4907198,raw_sparse,raw_sparse,raw sparse,baseline,,,,,,-45.7000,high,high,not_reviewed,mid,none,false,true,failure,pointcloud_unusable_no_planes,True,True,0,0,4,0,0.0000,,,,,0,,미조립,false,18.3340
DEBY_LOD2_4907199,raw_sparse,raw_sparse,raw sparse,baseline,,,,,,-45.7000,low,low,무텍스처,mid,무텍스처,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,18.3340
DEBY_LOD2_4907202,raw_sparse,raw_sparse,raw sparse,baseline,,,,,,-45.7000,low,mid,not_reviewed,mid,none,true,true,success,success,True,False,1,1,2,1,0.5000,1.0000,0.8692,1.5667,3.7132,641,1.506370,조립,false,18.3340
DEBY_LOD2_4908168,raw_sparse,raw_sparse,raw sparse,baseline,,,,,,-45.7000,low,low,not_reviewed,high,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,18.3340
DEBY_LOD2_4908178,raw_sparse,raw_sparse,raw sparse,baseline,,,,,,-45.7000,low,low,not_reviewed,low,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,2,0,0.0000,,,,,0,,미조립,false,18.3340
DEBY_LOD2_4908179,raw_sparse,raw_sparse,raw sparse,baseline,,,,,,-45.7000,low,low,not_reviewed,mid,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,18.3340
DEBY_LOD2_60098,raw_sparse,raw_sparse,raw sparse,baseline,,,,,,-45.7000,low,mid,not_reviewed,mid,none,false,true,failure,pointcloud_unusable_no_planes,True,True,0,0,2,0,0.0000,,,,,0,,미조립,false,18.3340
DEBY_LOD2_8568391,raw_sparse,raw_sparse,raw sparse,baseline,,,,,,-45.7000,low,low,무텍스처,mid,무텍스처,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,18.3340
DEBY_LOD2_8568392,raw_sparse,raw_sparse,raw sparse,baseline,,,,,,-45.7000,low,low,lowtex_high,mid,복합(소형+재질),false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,18.3340
DEBY_LOD2_108247349,raw_dense,raw_dense,raw dense(MVS),baseline,,,,,,0.0000,low,low,not_reviewed,mid,none,false,false,failure,missing_roofer_output,,,0,,1,0,0.0000,,,,,0,,미조립,false,18.3340
DEBY_LOD2_108247350,raw_dense,raw_dense,raw dense(MVS),baseline,,,,,,0.0000,low,low,lowtex_mid,mid,복합(소형+가림),false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,18.3340
DEBY_LOD2_108247351,raw_dense,raw_dense,raw dense(MVS),baseline,,,,,,0.0000,low,low,복합(저조도+가림),mid,복합(저조도+가림),false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,18.3340
DEBY_LOD2_4907184,raw_dense,raw_dense,raw dense(MVS),baseline,,,,,,0.0000,high,high,not_reviewed,high,none,true,true,success,success,True,False,6,26,4,4,1.0000,0.6667,0.8864,0.3547,2.6383,1348,1.314429,조립,false,18.3340
DEBY_LOD2_4907185,raw_dense,raw_dense,raw dense(MVS),baseline,,,,,,0.0000,low,mid,not_reviewed,high,none,true,true,success,success,True,False,3,11,2,2,1.0000,0.6667,0.5342,2.6140,10.9975,645,0.946262,조립,false,18.3340
DEBY_LOD2_4907186,raw_dense,raw_dense,raw dense(MVS),baseline,,,,,,0.0000,low,mid,not_reviewed,mid,none,true,true,success,success,True,False,2,3,2,2,1.0000,1.0000,0.3825,3.5440,11.3549,669,1.227398,조립,false,18.3340
DEBY_LOD2_4907188,raw_dense,raw_dense,raw dense(MVS),baseline,,,,,,0.0000,low,mid,not_reviewed,low,none,true,true,success,success,True,False,3,7,2,2,1.0000,0.6667,0.6232,1.3542,4.1387,664,0.532247,조립,false,18.3340
DEBY_LOD2_4907194,raw_dense,raw_dense,raw dense(MVS),baseline,,,,,,0.0000,low,mid,not_reviewed,low,none,false,false,failure,missing_roofer_output,,,0,,2,0,0.0000,,,,,0,,미조립,false,18.3340
DEBY_LOD2_4907195,raw_dense,raw_dense,raw dense(MVS),baseline,,,,,,0.0000,low,mid,not_reviewed,low,none,true,true,success,success,True,False,2,3,2,1,0.5000,0.5000,0.1160,0.2698,0.5706,59,3.633446,조립,false,18.3340
