lens,lens_value,source_run,n,has_lod22,mean_completeness,mean_correctness,median_ref_rms_m
complexity,high,raw_sparse,2,1,0.2500,1.0000,2.1443
complexity,high,raw_dense,2,2,0.6250,0.8334,1.2411
complexity,high,raw_acmp,2,2,1.0000,0.7333,2.1543
complexity,high,gs_sparse_r1,2,2,0.6250,0.6429,1.6340
complexity,high,gs_sparse_r2,2,2,0.6250,0.6177,3.0961
complexity,high,gs_dense_r1,2,2,0.6250,0.7000,1.9674
complexity,high,gs_dense_r2,2,2,0.6250,0.7857,2.7511
complexity,high,gs_acmp_r1,2,2,0.6250,0.6429,2.5389
complexity,high,gs_acmp_r2,2,2,0.6250,0.6818,1.2696
complexity,high,lidar,2,2,1.0000,0.7857,1.5972
complexity,low,raw_sparse,16,1,0.0312,1.0000,1.5667
complexity,low,raw_dense,16,8,0.4375,0.7709,0.9896
complexity,low,raw_acmp,16,10,0.5000,0.4286,2.1200
complexity,low,gs_sparse_r1,16,7,0.0938,0.2857,9.9430
complexity,low,gs_sparse_r2,16,9,0.1875,0.5556,7.3460
complexity,low,gs_dense_r1,16,6,0.0625,0.3333,9.5937
complexity,low,gs_dense_r2,16,11,0.3125,0.5909,3.9967
complexity,low,gs_acmp_r1,16,7,0.1875,0.5238,8.0421
complexity,low,gs_acmp_r2,16,9,0.2188,0.5000,6.8537
complexity,low,lidar,16,13,0.8125,0.7026,0.2512
label,none,raw_sparse,13,2,0.0769,1.0000,1.8555
label,none,raw_dense,13,10,0.6346,0.7833,0.9896
label,none,raw_acmp,13,10,0.7692,0.5752,2.1105
label,none,gs_sparse_r1,13,8,0.2115,0.4107,6.4769
label,none,gs_sparse_r2,13,9,0.3269,0.6928,3.6231
label,none,gs_dense_r1,13,7,0.1731,0.4857,4.8325
label,none,gs_dense_r2,13,10,0.3269,0.6071,4.2165
label,none,gs_acmp_r1,13,9,0.3269,0.5503,4.6174
label,none,gs_acmp_r2,13,10,0.3654,0.5864,4.5892
label,none,lidar,13,10,0.7692,0.6205,0.3373
label,무텍스처,raw_sparse,2,0,0.0000,,
label,무텍스처,raw_dense,2,0,0.0000,,
label,무텍스처,raw_acmp,2,0,0.0000,,
label,무텍스처,gs_sparse_r1,2,1,0.0000,0.0000,9.9430
label,무텍스처,gs_sparse_r2,2,0,0.0000,,
label,무텍스처,gs_dense_r1,2,0,0.0000,,
label,무텍스처,gs_dense_r2,2,1,0.5000,1.0000,1.3660
label,무텍스처,gs_acmp_r1,2,0,0.0000,,
label,무텍스처,gs_acmp_r2,2,1,0.0000,0.0000,14.1861
label,무텍스처,lidar,2,2,1.0000,1.0000,0.0340
label,복합(소형+가림),raw_sparse,1,0,0.0000,,
label,복합(소형+가림),raw_dense,1,0,0.0000,,
label,복합(소형+가림),raw_acmp,1,1,0.0000,0.0000,13.3698
label,복합(소형+가림),gs_sparse_r1,1,0,0.0000,,
label,복합(소형+가림),gs_sparse_r2,1,1,0.0000,0.0000,15.3897
label,복합(소형+가림),gs_dense_r1,1,0,0.0000,,
label,복합(소형+가림),gs_dense_r2,1,1,0.0000,0.0000,18.7447
label,복합(소형+가림),gs_acmp_r1,1,0,0.0000,,
label,복합(소형+가림),gs_acmp_r2,1,0,0.0000,,
label,복합(소형+가림),lidar,1,1,1.0000,1.0000,0.0073
label,복합(소형+재질),raw_sparse,1,0,0.0000,,
label,복합(소형+재질),raw_dense,1,0,0.0000,,
label,복합(소형+재질),raw_acmp,1,0,0.0000,,
label,복합(소형+재질),gs_sparse_r1,1,0,0.0000,,
label,복합(소형+재질),gs_sparse_r2,1,0,0.0000,,
label,복합(소형+재질),gs_dense_r1,1,0,0.0000,,
label,복합(소형+재질),gs_dense_r2,1,1,1.0000,1.0000,1.3020
label,복합(소형+재질),gs_acmp_r1,1,0,0.0000,,
