building_id,source_group,source_run,display_label,source_role,seed,replicate,pair_raw,source_badge,readout,z_shift_to_reference_m,complexity_lens,size_lens,texture_lens,observation_lens,label_lens,has_lod22,val3dity_valid,status,status_reason,rf_success,rf_pointcloud_unusable,roof_planes,status_rf_roof_planes,ref_roof_planes,match_count,completeness,correctness,mean_match_iou,ref_rms_m,ref_hausdorff_m,ref_distance_samples,rf_rmse_lod22,shell_bucket,ref_rms_tail,ref_rms_tail_fence_m,setting,run_name,arm,readout_min_obs,readout_voxel_m,readout_alpha,readout_sor,readout_sor_std
DEBY_LOD2_108247349,gs_sparse,base__gs_e5_C001_corrected_s1_sparse_r1,base sparse r1,gs,sparse,r1,raw_sparse,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,low,not_reviewed,mid,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,23.0823,base,gs_e5_C001_corrected_s1_sparse_r1,sparse,3,0.05,0.5,on,2.0
DEBY_LOD2_108247350,gs_sparse,base__gs_e5_C001_corrected_s1_sparse_r1,base sparse r1,gs,sparse,r1,raw_sparse,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,low,lowtex_mid,mid,복합(소형+가림),false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,23.0823,base,gs_e5_C001_corrected_s1_sparse_r1,sparse,3,0.05,0.5,on,2.0
DEBY_LOD2_108247351,gs_sparse,base__gs_e5_C001_corrected_s1_sparse_r1,base sparse r1,gs,sparse,r1,raw_sparse,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,low,복합(저조도+가림),mid,복합(저조도+가림),true,true,success,success,True,False,1,1,1,0,0.0000,0.0000,,16.0315,19.2900,260,1.016564,조립,false,23.0823,base,gs_e5_C001_corrected_s1_sparse_r1,sparse,3,0.05,0.5,on,2.0
DEBY_LOD2_4907184,gs_sparse,base__gs_e5_C001_corrected_s1_sparse_r1,base sparse r1,gs,sparse,r1,raw_sparse,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,high,high,not_reviewed,high,none,true,false,failure,val3dity_invalid,True,False,9,37,4,4,1.0000,0.4444,0.8085,0.4066,2.1584,1347,1.280276,무효·붕괴,false,23.0823,base,gs_e5_C001_corrected_s1_sparse_r1,sparse,3,0.05,0.5,on,2.0
DEBY_LOD2_4907185,gs_sparse,base__gs_e5_C001_corrected_s1_sparse_r1,base sparse r1,gs,sparse,r1,raw_sparse,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,mid,not_reviewed,high,none,true,true,success,success,True,False,4,15,2,2,1.0000,0.5000,0.3573,3.1758,6.4220,644,0.918052,조립,false,23.0823,base,gs_e5_C001_corrected_s1_sparse_r1,sparse,3,0.05,0.5,on,2.0
DEBY_LOD2_4907186,gs_sparse,base__gs_e5_C001_corrected_s1_sparse_r1,base sparse r1,gs,sparse,r1,raw_sparse,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,mid,not_reviewed,mid,none,true,true,success,success,True,False,1,4,2,0,0.0000,0.0000,,10.8020,22.4137,674,4.539992,조립,false,23.0823,base,gs_e5_C001_corrected_s1_sparse_r1,sparse,3,0.05,0.5,on,2.0
DEBY_LOD2_4907188,gs_sparse,base__gs_e5_C001_corrected_s1_sparse_r1,base sparse r1,gs,sparse,r1,raw_sparse,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,mid,not_reviewed,low,none,true,false,failure,val3dity_invalid,True,False,1,3,2,0,0.0000,0.0000,,20.3631,38.6187,664,0.595397,무효·붕괴,false,23.0823,base,gs_e5_C001_corrected_s1_sparse_r1,sparse,3,0.05,0.5,on,2.0
DEBY_LOD2_4907194,gs_sparse,base__gs_e5_C001_corrected_s1_sparse_r1,base sparse r1,gs,sparse,r1,raw_sparse,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,mid,not_reviewed,low,none,false,true,failure,pointcloud_unusable_no_planes,True,True,0,0,2,0,0.0000,,,,,0,,미조립,false,23.0823,base,gs_e5_C001_corrected_s1_sparse_r1,sparse,3,0.05,0.5,on,2.0
DEBY_LOD2_4907195,gs_sparse,base__gs_e5_C001_corrected_s1_sparse_r1,base sparse r1,gs,sparse,r1,raw_sparse,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,mid,not_reviewed,low,none,true,true,success,success,True,False,2,10,2,1,0.5000,0.5000,0.5570,3.5362,8.3971,711,0.974105,조립,false,23.0823,base,gs_e5_C001_corrected_s1_sparse_r1,sparse,3,0.05,0.5,on,2.0
DEBY_LOD2_4907198,gs_sparse,base__gs_e5_C001_corrected_s1_sparse_r1,base sparse r1,gs,sparse,r1,raw_sparse,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,high,high,not_reviewed,mid,none,true,true,success,success,True,False,2,23,4,1,0.2500,0.5000,0.3821,1.5755,5.3715,1202,1.855619,조립,false,23.0823,base,gs_e5_C001_corrected_s1_sparse_r1,sparse,3,0.05,0.5,on,2.0
DEBY_LOD2_4907199,gs_sparse,base__gs_e5_C001_corrected_s1_sparse_r1,base sparse r1,gs,sparse,r1,raw_sparse,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,low,무텍스처,mid,무텍스처,false,true,failure,pointcloud_unusable_no_planes,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,23.0823,base,gs_e5_C001_corrected_s1_sparse_r1,sparse,3,0.05,0.5,on,2.0
