setting,run_name,arm,replicate,min_obs,voxel_m,sor,sor_std,stage,building_id,occupied_cells,grid_total_cells,coverage_frac
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_60098,685,784,0.8737244897959183
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907184,1352,1352,1.0
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907185,629,644,0.9767080745341615
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907186,625,673,0.9286775631500743
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907188,470,664,0.7078313253012049
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907194,747,850,0.8788235294117647
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907195,709,710,0.9985915492957746
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907198,1382,1438,0.96105702364395
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907199,124,393,0.3155216284987277
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907202,489,641,0.7628705148205929
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4908168,24,114,0.21052631578947367
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4908178,251,454,0.552863436123348
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4908179,49,474,0.10337552742616034
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_8568391,208,221,0.9411764705882353
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_8568392,24,24,1.0
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_108247349,15,402,0.03731343283582089
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_108247350,26,48,0.5416666666666666
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_108247351,71,260,0.27307692307692305
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_60098,322,784,0.4107142857142857
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907184,1352,1352,1.0
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907185,372,644,0.577639751552795
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907186,212,673,0.3150074294205052
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907188,134,664,0.20180722891566266
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907194,198,850,0.23294117647058823
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907195,419,710,0.5901408450704225
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907198,695,1438,0.48331015299026425
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907199,31,393,0.07888040712468193
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907202,71,641,0.11076443057722309
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4908168,0,114,0.0
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4908178,23,454,0.05066079295154185
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4908179,0,474,0.0
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_8568391,49,221,0.22171945701357465
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_8568392,14,24,0.5833333333333334
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_108247349,0,402,0.0
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_108247350,9,48,0.1875
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_108247351,30,260,0.11538461538461539
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_60098,86,784,0.1096938775510204
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907184,1352,1352,1.0
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907185,237,644,0.36801242236024845
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907186,52,673,0.07726597325408618
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907188,36,664,0.05421686746987952
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907194,14,850,0.01647058823529412
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907195,145,710,0.20422535211267606
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907198,312,1438,0.21696801112656466
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907199,27,393,0.06870229007633588
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907202,17,641,0.0265210608424337
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4908168,0,114,0.0
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4908178,0,454,0.0
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4908179,0,474,0.0
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_8568391,12,221,0.05429864253393665
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_8568392,7,24,0.2916666666666667
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_108247349,0,402,0.0
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_108247350,3,48,0.0625
base,gs_e5_C001_corrected_s1_sparse_r1,sparse,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_108247351,8,260,0.03076923076923077
base,gs_e5_C001_corrected_s1_dense_r1,dense,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_60098,736,784,0.9387755102040817
base,gs_e5_C001_corrected_s1_dense_r1,dense,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907184,1352,1352,1.0
base,gs_e5_C001_corrected_s1_dense_r1,dense,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907185,629,644,0.9767080745341615
base,gs_e5_C001_corrected_s1_dense_r1,dense,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907186,630,673,0.9361069836552749
base,gs_e5_C001_corrected_s1_dense_r1,dense,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907188,513,664,0.7725903614457831
base,gs_e5_C001_corrected_s1_dense_r1,dense,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907194,795,850,0.9352941176470588
base,gs_e5_C001_corrected_s1_dense_r1,dense,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907195,707,710,0.995774647887324
base,gs_e5_C001_corrected_s1_dense_r1,dense,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907198,1414,1438,0.9833101529902643
base,gs_e5_C001_corrected_s1_dense_r1,dense,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907199,147,393,0.37404580152671757
base,gs_e5_C001_corrected_s1_dense_r1,dense,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907202,344,641,0.5366614664586583
base,gs_e5_C001_corrected_s1_dense_r1,dense,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4908168,56,114,0.49122807017543857
base,gs_e5_C001_corrected_s1_dense_r1,dense,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4908178,315,454,0.6938325991189427
base,gs_e5_C001_corrected_s1_dense_r1,dense,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4908179,15,474,0.03164556962025317
base,gs_e5_C001_corrected_s1_dense_r1,dense,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_8568391,176,221,0.7963800904977375
base,gs_e5_C001_corrected_s1_dense_r1,dense,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_8568392,5,24,0.20833333333333334
base,gs_e5_C001_corrected_s1_dense_r1,dense,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_108247349,12,402,0.029850746268656716
base,gs_e5_C001_corrected_s1_dense_r1,dense,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_108247350,23,48,0.4791666666666667
base,gs_e5_C001_corrected_s1_dense_r1,dense,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_108247351,62,260,0.23846153846153847
base,gs_e5_C001_corrected_s1_dense_r1,dense,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_60098,343,784,0.4375
base,gs_e5_C001_corrected_s1_dense_r1,dense,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907184,1352,1352,1.0
