setting,run_name,arm,replicate,min_obs,voxel_m,sor,sor_std,stage,building_id,occupied_cells,grid_total_cells,coverage_frac
base,gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1,sparse,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_60098,680,784,0.8673469387755102
base,gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1,sparse,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907184,1352,1352,1.0
base,gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1,sparse,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907185,601,644,0.9332298136645962
base,gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1,sparse,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907186,591,673,0.8781575037147102
base,gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1,sparse,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907188,419,664,0.6310240963855421
base,gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1,sparse,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907194,769,850,0.9047058823529411
base,gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1,sparse,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907195,708,710,0.9971830985915493
base,gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1,sparse,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907198,1366,1438,0.9499304589707928
base,gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1,sparse,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907199,161,393,0.40966921119592875
base,gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1,sparse,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907202,508,641,0.7925117004680188
base,gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1,sparse,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4908168,5,114,0.043859649122807015
base,gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1,sparse,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4908178,257,454,0.566079295154185
base,gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1,sparse,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4908179,49,474,0.10337552742616034
