setting,threshold,threshold_value,arm,run_name,has_lod22,valid_assembled,invalid_assembled,median_ref_rms_m,mean_ref_rms_m,mean_coverage_pre_minobs,mean_coverage_post_minobs,mean_coverage_post_sor,n_gaussians_after_threshold,removed_count,keep_frac,normal6_all_built,normal6_raw_anchor_count,normal6_median_delta_vs_s1_m,normal6_max_delta_vs_s1_m,guardrail_ok,accuracy_nonreg_ok,clean_count_ok,validity_nonreg_dense_sparse_ok,collapse_depth_gate,a_clean_candidate_dense_primary
base,keepall,0.0,sparse,gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1,10,4,6,4.9418,8.2402,0.6290,0.2451,0.1307,503028,0,1.0000,false,2,1.8903,32.0468,false,false,true,false,not_scored_recheck_render_proxy_only,false
base,keepall,0.0,dense,gs_e5_C001_corrected_s1_preprune_keepall_dense_r1,7,6,1,4.6850,4.6660,0.5379,0.2546,0.1291,526809,0,1.0000,false,3,0.2605,1.1313,false,true,true,false,not_scored_recheck_render_proxy_only,false
base,keepall,0.0,acmp,gs_e5_C001_corrected_s1_preprune_keepall_acmp_r1,13,5,8,4.9843,8.6440,0.7552,0.3313,0.1827,504057,0,1.0000,true,3,0.0810,17.9633,false,false,true,true,not_scored_recheck_render_proxy_only,false
base,opa001,0.01,sparse,gs_e5_C001_corrected_s1_preprune_opa001_sparse_r1,10,5,5,5.2592,8.1790,0.6289,0.2451,0.1307,452517,50511,0.8996,false,3,0.0111,32.0468,false,false,true,false,not_scored_recheck_render_proxy_only,false
base,opa001,0.01,dense,gs_e5_C001_corrected_s1_preprune_opa001_dense_r1,7,6,1,4.6850,4.6842,0.5378,0.2535,0.1291,472485,54324,0.8969,false,2,-0.0147,1.7981,false,false,true,false,not_scored_recheck_render_proxy_only,false
base,opa001,0.01,acmp,gs_e5_C001_corrected_s1_preprune_opa001_acmp_r1,13,5,8,4.9843,7.3773,0.7551,0.3314,0.1826,443647,60410,0.8802,true,3,0.0824,11.2926,false,false,true,true,not_scored_recheck_render_proxy_only,false
base,opa002,0.02,sparse,gs_e5_C001_corrected_s1_preprune_opa002_sparse_r1,10,7,3,4.8909,8.1748,0.6288,0.2450,0.1307,437352,65676,0.8694,false,3,0.0160,33.5057,false,false,true,false,not_scored_recheck_render_proxy_only,false
base,opa002,0.02,dense,gs_e5_C001_corrected_s1_preprune_opa002_dense_r1,7,5,2,4.6850,4.7506,0.5377,0.2535,0.1291,458471,68338,0.8703,false,3,0.5401,1.0994,false,false,true,false,not_scored_recheck_render_proxy_only,false
base,opa002,0.02,acmp,gs_e5_C001_corrected_s1_preprune_opa002_acmp_r1,13,5,8,5.9906,12.0918,0.7532,0.3314,0.1836,429180,74877,0.8515,true,3,5.6480,41.6309,false,false,true,true,not_scored_recheck_render_proxy_only,false
base,opa005,0.05,sparse,gs_e5_C001_corrected_s1_preprune_opa005_sparse_r1,10,7,3,5.8251,8.7187,0.6224,0.2448,0.1295,410121,92907,0.8153,false,2,0.7950,33.4778,false,false,true,false,not_scored_recheck_render_proxy_only,false
base,opa005,0.05,dense,gs_e5_C001_corrected_s1_preprune_opa005_dense_r1,7,5,2,4.6850,4.7107,0.5376,0.2535,0.1291,433929,92880,0.8237,false,3,-0.0091,0.9652,false,true,true,false,not_scored_recheck_render_proxy_only,false
base,opa005,0.05,acmp,gs_e5_C001_corrected_s1_preprune_opa005_acmp_r1,12,5,7,5.4787,9.2426,0.7525,0.3323,0.1847,404233,99824,0.8020,false,3,0.5288,18.1477,false,false,true,true,not_scored_recheck_render_proxy_only,false
