building_id,source_run,source_group,display_label,pair_raw,seed,replicate,footprint_area_m2,roof_point_count,density_pts_m2,coverage_frac,grid_occupied_cells,grid_total_cells,ref_lookup_miss_frac,ref_abs_dist_p50_m,ref_abs_dist_p90_m,ref_dist_rms_m,z_p10_p90_span_m,z_shift_to_reference_m,crs,normal_count,tilt_p50_deg,tilt_p90_deg,normal_mode_count,normal_structure
DEBY_LOD2_108247349,raw_sparse,raw_sparse,raw sparse,,,,101.1027,1,0.0099,0.0025,1,402,0.0000,26.6052,26.6052,26.6052,0.0000,-45.7000,EPSG:25832,0,,,0,too_few_points
DEBY_LOD2_108247350,raw_sparse,raw_sparse,raw sparse,,,,12.1371,1,0.0824,0.0208,1,48,0.0000,13.2000,13.2000,13.2000,0.0000,-45.7000,EPSG:25832,0,,,0,too_few_points
DEBY_LOD2_108247351,raw_sparse,raw_sparse,raw sparse,,,,65.2785,0,0.0000,0.0000,0,260,1.0000,,,,,-45.7000,EPSG:25832,0,,,0,too_few_points
DEBY_LOD2_4907184,raw_sparse,raw_sparse,raw sparse,,,,337.8636,1900,5.6236,0.4911,664,1352,0.0000,0.2945,1.6831,2.0772,4.9220,-45.7000,EPSG:25832,700,45.120,87.139,3,multi_slope
DEBY_LOD2_4907185,raw_sparse,raw_sparse,raw sparse,,,,160.9815,35,0.2174,0.0450,29,644,0.0000,0.9223,5.1482,12.9852,5.9780,-45.7000,EPSG:25832,35,85.949,88.172,3,multi_slope
DEBY_LOD2_4907186,raw_sparse,raw_sparse,raw sparse,,,,167.8323,25,0.1490,0.0312,21,673,0.0000,0.3470,0.8557,0.6938,2.9800,-45.7000,EPSG:25832,25,28.365,38.297,2,multi_slope
DEBY_LOD2_4907188,raw_sparse,raw_sparse,raw sparse,,,,165.8832,20,0.1206,0.0256,17,664,0.0000,0.7646,2.1999,1.3195,3.9400,-45.7000,EPSG:25832,20,17.062,24.866,2,multi_slope
DEBY_LOD2_4907194,raw_sparse,raw_sparse,raw sparse,,,,212.7291,6,0.0282,0.0071,6,850,0.0000,1.1568,1.7147,1.2622,2.8900,-45.7000,EPSG:25832,0,,,0,too_few_points
DEBY_LOD2_4907195,raw_sparse,raw_sparse,raw sparse,,,,177.8385,45,0.2530,0.0451,32,710,0.0000,0.6720,5.9390,25.4019,8.2940,-45.7000,EPSG:25832,45,88.069,89.518,2,multi_slope
DEBY_LOD2_4907198,raw_sparse,raw_sparse,raw sparse,,,,359.7993,55,0.1529,0.0313,45,1438,0.0000,1.2003,4.4204,3.1295,8.2420,-45.7000,EPSG:25832,55,54.169,88.587,4,multi_slope
DEBY_LOD2_4907199,raw_sparse,raw_sparse,raw sparse,,,,98.3464,2,0.0203,0.0051,2,393,0.0000,5.6130,7.4530,6.0660,3.6800,-45.7000,EPSG:25832,0,,,0,too_few_points
DEBY_LOD2_4907202,raw_sparse,raw_sparse,raw sparse,,,,160.4587,66,0.4113,0.0764,49,641,0.0000,0.2281,0.9515,0.7135,3.1700,-45.7000,EPSG:25832,66,15.541,71.437,4,multi_slope
DEBY_LOD2_4908168,raw_sparse,raw_sparse,raw sparse,,,,28.8314,1,0.0347,0.0088,1,114,0.0000,0.0413,0.0413,0.0413,0.0000,-45.7000,EPSG:25832,0,,,0,too_few_points
DEBY_LOD2_4908178,raw_sparse,raw_sparse,raw sparse,,,,113.4123,3,0.0265,0.0066,3,454,0.0000,0.0959,0.3897,0.2784,0.4160,-45.7000,EPSG:25832,0,,,0,too_few_points
DEBY_LOD2_4908179,raw_sparse,raw_sparse,raw sparse,,,,118.2496,0,0.0000,0.0000,0,474,1.0000,,,,,-45.7000,EPSG:25832,0,,,0,too_few_points
DEBY_LOD2_60098,raw_sparse,raw_sparse,raw sparse,,,,195.9254,18,0.0919,0.0217,17,784,0.0000,1.2249,7.5570,3.7256,11.1390,-45.7000,EPSG:25832,18,69.223,82.823,0,single_slope
DEBY_LOD2_8568391,raw_sparse,raw_sparse,raw sparse,,,,55.5357,0,0.0000,0.0000,0,221,1.0000,,,,,-45.7000,EPSG:25832,0,,,0,too_few_points
DEBY_LOD2_8568392,raw_sparse,raw_sparse,raw sparse,,,,5.7975,0,0.0000,0.0000,0,24,1.0000,,,,,-45.7000,EPSG:25832,0,,,0,too_few_points
DEBY_LOD2_108247349,raw_dense,raw_dense,raw dense(MVS),,,,101.1027,0,0.0000,0.0000,0,402,1.0000,,,,,0.0000,EPSG:25832,0,,,0,too_few_points
DEBY_LOD2_108247350,raw_dense,raw_dense,raw dense(MVS),,,,12.1371,3,0.2472,0.0417,2,48,0.0000,15.7400,15.7480,15.7400,0.0160,0.0000,EPSG:25832,0,,,0,too_few_points
DEBY_LOD2_108247351,raw_dense,raw_dense,raw dense(MVS),,,,65.2785,0,0.0000,0.0000,0,260,1.0000,,,,,0.0000,EPSG:25832,0,,,0,too_few_points
DEBY_LOD2_4907184,raw_dense,raw_dense,raw dense(MVS),,,,337.8636,201892,597.5548,0.9978,1349,1352,0.0000,0.2952,1.7551,2.4193,4.7600,0.0000,EPSG:25832,700,43.455,86.616,4,multi_slope
DEBY_LOD2_4907185,raw_dense,raw_dense,raw dense(MVS),,,,160.9815,3488,21.6671,0.3944,254,644,0.0000,0.1950,1.5671,1.4920,4.5430,0.0000,EPSG:25832,700,66.911,89.406,4,multi_slope
DEBY_LOD2_4907186,raw_dense,raw_dense,raw dense(MVS),,,,167.8323,480,2.8600,0.2734,184,673,0.0000,0.6476,1.1896,0.8594,3.9430,0.0000,EPSG:25832,480,49.896,86.474,2,multi_slope
DEBY_LOD2_4907188,raw_dense,raw_dense,raw dense(MVS),,,,165.8832,1118,6.7397,0.5015,333,664,0.0000,0.6838,1.9475,1.1212,3.8000,0.0000,EPSG:25832,700,59.439,87.031,3,multi_slope
DEBY_LOD2_4907194,raw_dense,raw_dense,raw dense(MVS),,,,212.7291,47,0.2209,0.0353,30,850,0.0000,0.3343,0.8125,0.4538,3.6940,0.0000,EPSG:25832,47,12.275,33.168,2,multi_slope
DEBY_LOD2_4907195,raw_dense,raw_dense,raw dense(MVS),,,,177.8385,686,3.8574,0.2873,204,710,0.0000,0.3473,0.8478,0.6511,1.6950,0.0000,EPSG:25832,686,47.548,88.398,2,multi_slope
DEBY_LOD2_4907198,raw_dense,raw_dense,raw dense(MVS),,,,359.7993,1309,3.6381,0.1711,246,1438,0.0000,2.1211,6.8943,3.9685,12.8360,0.0000,EPSG:25832,700,87.648,89.899,5,multi_slope
DEBY_LOD2_4907199,raw_dense,raw_dense,raw dense(MVS),,,,98.3464,4,0.0407,0.0025,1,393,0.0000,8.1230,8.1820,8.1406,0.0690,0.0000,EPSG:25832,0,,,0,too_few_points
DEBY_LOD2_4907202,raw_dense,raw_dense,raw dense(MVS),,,,160.4587,5229,32.5878,0.3573,229,641,0.0000,0.1180,0.7038,0.8925,3.9600,0.0000,EPSG:25832,700,30.450,84.690,4,multi_slope
DEBY_LOD2_4908168,raw_dense,raw_dense,raw dense(MVS),,,,28.8314,752,26.0827,0.3596,41,114,0.0000,0.0932,0.2413,0.2826,1.5690,0.0000,EPSG:25832,700,19.320,34.979,1,single_slope
DEBY_LOD2_4908178,raw_dense,raw_dense,raw dense(MVS),,,,113.4123,421,3.7121,0.1256,57,454,0.0000,0.0804,0.6875,0.3788,0.6500,0.0000,EPSG:25832,421,11.005,61.426,2,weak_structure
DEBY_LOD2_4908179,raw_dense,raw_dense,raw dense(MVS),,,,118.2496,0,0.0000,0.0000,0,474,1.0000,,,,,0.0000,EPSG:25832,0,,,0,too_few_points
