source_run,n,median_density_pts_m2,median_coverage_frac,median_ref_dist_rms_m,median_normal_mode_count,flat_single,multi_slope,single_slope,weak_or_sparse
raw_sparse,18,0.0586,0.0148,2.6033,0.0000,0,7,1,10
raw_dense,18,3.1347,0.1483,1.1212,2.0000,0,9,1,8
raw_acmp,18,26.1737,0.6208,5.0380,2.0000,0,13,2,3
gs_sparse_r1,18,1.8234,0.0388,5.0282,1.0000,0,6,6,6
gs_sparse_r2,18,2.7070,0.0576,2.4516,2.0000,0,7,2,9
gs_dense_r1,18,1.7641,0.0358,3.2399,1.0000,1,7,3,7
gs_dense_r2,18,2.9489,0.0675,2.6476,1.0000,4,5,5,4
gs_acmp_r1,18,2.8480,0.0484,6.3290,1.0000,0,7,5,6
gs_acmp_r2,18,1.7521,0.0451,4.0698,2.0000,0,11,2,5
lidar,18,20.3097,1.0000,2.1970,2.0000,1,15,1,1
