source_run,stage,building_id,occupied_cells,grid_total_cells,coverage_frac
gs_e5_C001_sparse_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4908178,481,454,1.0
gs_e5_C001_sparse_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_8568391,189,221,0.8552036199095022
gs_e5_C001_sparse_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4908168,76,114,0.6666666666666666
gs_e5_C001_sparse_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_108247350,32,48,0.6666666666666666
gs_e5_C001_sparse_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4907186,312,673,0.4635958395245171
gs_e5_C001_sparse_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_108247351,227,260,0.8730769230769231
gs_e5_C001_sparse_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4907195,387,710,0.5450704225352113
gs_e5_C001_sparse_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4907194,242,850,0.2847058823529412
gs_e5_C001_sparse_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4907198,697,1438,0.4847009735744089
gs_e5_C001_sparse_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4907202,651,641,1.0
gs_e5_C001_sparse_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_60098,403,784,0.514030612244898
gs_e5_C001_sparse_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_8568392,27,24,1.0
gs_e5_C001_sparse_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_108247349,205,402,0.5099502487562189
gs_e5_C001_sparse_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4907188,298,664,0.44879518072289154
gs_e5_C001_sparse_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4908179,279,474,0.5886075949367089
gs_e5_C001_sparse_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4907199,269,393,0.6844783715012722
gs_e5_C001_sparse_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4907184,1375,1352,1.0
gs_e5_C001_sparse_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4907185,419,644,0.6506211180124224
gs_e5_C001_sparse_r2,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4908178,426,454,0.9383259911894273
gs_e5_C001_sparse_r2,render_depth_backproj_sample_pre_readout,DEBY_LOD2_8568391,212,221,0.9592760180995475
gs_e5_C001_sparse_r2,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4908168,30,114,0.2631578947368421
gs_e5_C001_sparse_r2,render_depth_backproj_sample_pre_readout,DEBY_LOD2_108247350,17,48,0.3541666666666667
gs_e5_C001_sparse_r2,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4907186,171,673,0.2540861812778603
gs_e5_C001_sparse_r2,render_depth_backproj_sample_pre_readout,DEBY_LOD2_108247351,73,260,0.28076923076923077
gs_e5_C001_sparse_r2,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4907195,243,710,0.34225352112676055
gs_e5_C001_sparse_r2,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4907194,286,850,0.33647058823529413
gs_e5_C001_sparse_r2,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4907198,426,1438,0.29624478442280944
gs_e5_C001_sparse_r2,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4907202,646,641,1.0
gs_e5_C001_sparse_r2,render_depth_backproj_sample_pre_readout,DEBY_LOD2_60098,337,784,0.4298469387755102
gs_e5_C001_sparse_r2,render_depth_backproj_sample_pre_readout,DEBY_LOD2_8568392,26,24,1.0
gs_e5_C001_sparse_r2,render_depth_backproj_sample_pre_readout,DEBY_LOD2_108247349,160,402,0.39800995024875624
gs_e5_C001_sparse_r2,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4907188,251,664,0.37801204819277107
gs_e5_C001_sparse_r2,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4908179,188,474,0.39662447257383965
gs_e5_C001_sparse_r2,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4907199,112,393,0.28498727735368956
gs_e5_C001_sparse_r2,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4907184,1405,1352,1.0
gs_e5_C001_sparse_r2,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4907185,444,644,0.6894409937888198
gs_e5_C001_dense_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4908178,463,454,1.0
gs_e5_C001_dense_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_8568391,234,221,1.0
gs_e5_C001_dense_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4908168,26,114,0.22807017543859648
gs_e5_C001_dense_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_108247350,12,48,0.25
gs_e5_C001_dense_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4907186,348,673,0.5170876671619614
gs_e5_C001_dense_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_108247351,49,260,0.18846153846153846
gs_e5_C001_dense_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4907195,275,710,0.3873239436619718
gs_e5_C001_dense_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4907194,394,850,0.46352941176470586
gs_e5_C001_dense_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4907198,587,1438,0.4082058414464534
gs_e5_C001_dense_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4907202,539,641,0.8408736349453978
gs_e5_C001_dense_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_60098,413,784,0.5267857142857143
gs_e5_C001_dense_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_8568392,34,24,1.0
gs_e5_C001_dense_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_108247349,238,402,0.5920398009950248
gs_e5_C001_dense_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4907188,240,664,0.3614457831325301
gs_e5_C001_dense_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4908179,228,474,0.4810126582278481
gs_e5_C001_dense_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4907199,67,393,0.17048346055979643
gs_e5_C001_dense_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4907184,1385,1352,1.0
gs_e5_C001_dense_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4907185,449,644,0.6972049689440993
gs_e5_C001_dense_r2,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4908178,472,454,1.0
gs_e5_C001_dense_r2,render_depth_backproj_sample_pre_readout,DEBY_LOD2_8568391,175,221,0.7918552036199095
gs_e5_C001_dense_r2,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4908168,38,114,0.3333333333333333
gs_e5_C001_dense_r2,render_depth_backproj_sample_pre_readout,DEBY_LOD2_108247350,10,48,0.20833333333333334
gs_e5_C001_dense_r2,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4907186,291,673,0.4323922734026746
gs_e5_C001_dense_r2,render_depth_backproj_sample_pre_readout,DEBY_LOD2_108247351,18,260,0.06923076923076923
gs_e5_C001_dense_r2,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4907195,211,710,0.2971830985915493
gs_e5_C001_dense_r2,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4907194,312,850,0.36705882352941177
gs_e5_C001_dense_r2,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4907198,681,1438,0.47357440890125174
gs_e5_C001_dense_r2,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4907202,662,641,1.0
gs_e5_C001_dense_r2,render_depth_backproj_sample_pre_readout,DEBY_LOD2_60098,429,784,0.5471938775510204
gs_e5_C001_dense_r2,render_depth_backproj_sample_pre_readout,DEBY_LOD2_8568392,33,24,1.0
gs_e5_C001_dense_r2,render_depth_backproj_sample_pre_readout,DEBY_LOD2_108247349,29,402,0.07213930348258707
gs_e5_C001_dense_r2,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4907188,170,664,0.2560240963855422
gs_e5_C001_dense_r2,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4908179,93,474,0.1962025316455696
gs_e5_C001_dense_r2,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4907199,293,393,0.7455470737913485
gs_e5_C001_dense_r2,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4907184,1411,1352,1.0
gs_e5_C001_dense_r2,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4907185,485,644,0.7531055900621118
gs_e5_C001_acmp_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4908178,448,454,0.986784140969163
gs_e5_C001_acmp_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_8568391,73,221,0.33031674208144796
gs_e5_C001_acmp_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4908168,0,114,0.0
gs_e5_C001_acmp_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_108247350,5,48,0.10416666666666667
gs_e5_C001_acmp_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4907186,379,673,0.563150074294205
gs_e5_C001_acmp_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_108247351,17,260,0.06538461538461539
gs_e5_C001_acmp_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4907195,346,710,0.48732394366197185
gs_e5_C001_acmp_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4907194,279,850,0.32823529411764707
gs_e5_C001_acmp_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4907198,812,1438,0.564673157162726
gs_e5_C001_acmp_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4907202,335,641,0.5226209048361935
gs_e5_C001_acmp_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_60098,411,784,0.5242346938775511
gs_e5_C001_acmp_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_8568392,7,24,0.2916666666666667
gs_e5_C001_acmp_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_108247349,19,402,0.0472636815920398
gs_e5_C001_acmp_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4907188,269,664,0.40512048192771083
gs_e5_C001_acmp_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4908179,105,474,0.22151898734177214
gs_e5_C001_acmp_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4907199,251,393,0.638676844783715
gs_e5_C001_acmp_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4907184,1413,1352,1.0
gs_e5_C001_acmp_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4907185,443,644,0.687888198757764
gs_e5_C001_acmp_r2,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4908178,505,454,1.0
gs_e5_C001_acmp_r2,render_depth_backproj_sample_pre_readout,DEBY_LOD2_8568391,192,221,0.8687782805429864
gs_e5_C001_acmp_r2,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4908168,61,114,0.5350877192982456
gs_e5_C001_acmp_r2,render_depth_backproj_sample_pre_readout,DEBY_LOD2_108247350,10,48,0.20833333333333334
