building_id,short_id,route_label,audit_axis,raw_dense_rms_m,raw_acmp_rms_m,lidar_rms_m,gs_s1_best_rms_m,gs_s1_median_rms_m,gs_s1_has_lod22_count,image_doable_rms_lt_3m,lidar_doable_rms_lt_3m,render_backproj_coverage_median,readout_post_sor_coverage_median,n_views_nadir,roof_obs_covered_frac,roof_lowtex_frac,roof_lowtex_v5,occlusion_frac_approx,recon_score_median
DEBY_LOD2_108247349,108247349,intrinsic_all_fail,generation_limit,,,,45.5241,45.5241,1,False,False,0.5597,0.0087,0.0,1.0,0.019,0.576,0.333,71.823
DEBY_LOD2_108247350,108247350,input_low_observed_occluded,generation_limit,,13.3698,0.0073,,,0,False,True,0.1667,0.0833,0.0,1.0,0.063,0.49,0.625,67.515
DEBY_LOD2_108247351,108247351,input_low_observed_occluded,generation_limit,,10.8289,1.0524,13.4042,13.4042,1,False,True,0.1577,0.0385,0.0,1.0,0.174,0.549,0.556,74.873
DEBY_LOD2_4907184,4907184,normal,quality_diagnostic,0.3547,2.1372,3.0085,0.3228,0.3240,3,True,False,1.0000,1.0000,1.42,1.0,0.016,0.198,0.0,127.033
DEBY_LOD2_4907185,4907185,normal,quality_diagnostic,2.6140,1.7903,0.2677,1.8068,1.9978,3,True,True,0.7453,0.4969,0.65,1.0,0.06,0.338,0.2,129.596
DEBY_LOD2_4907186,4907186,defect,quality_diagnostic,3.5440,2.4179,0.4070,5.0691,5.5442,3,True,True,0.6984,0.0966,0.0,1.0,0.053,0.61,0.0,68.276
DEBY_LOD2_4907188,4907188,defect,quality_diagnostic,1.3542,1.8306,0.1736,6.8456,8.4767,3,True,True,0.3268,0.0602,0.0,1.0,0.063,0.598,0.4,64.062
DEBY_LOD2_4907194,4907194,defect,quality_diagnostic,,1.7648,,6.2169,8.5485,3,True,False,0.4235,0.0282,0.0,1.0,0.056,0.708,0.0,51.146
DEBY_LOD2_4907195,4907195,defect,quality_diagnostic,0.2698,2.2543,0.2512,3.0396,3.7989,3,True,True,0.4127,0.2577,0.0,1.0,0.073,0.732,0.0,42.14
DEBY_LOD2_4907198,4907198,normal,quality_diagnostic,2.1275,2.1713,0.1859,1.4949,1.5650,3,True,True,0.5431,0.2754,0.09,1.0,0.031,0.641,0.25,86.069
DEBY_LOD2_4907199,4907199,input_textureless_observed,generation_limit,,,0.0315,,,0,False,True,0.7176,0.1043,0.0,1.0,0.108,0.656,0.273,84.618
DEBY_LOD2_4907202,4907202,normal,quality_diagnostic,0.5637,2.1561,1.0143,0.3890,0.5820,3,True,True,1.0000,0.5320,1.94,1.0,0.085,0.562,0.333,84.473
DEBY_LOD2_4908168,4908168,normal,quality_diagnostic,0.1789,2.0838,0.0975,0.3349,0.3509,3,True,True,0.6316,0.6404,2.9,1.0,0.043,0.694,0.571,160.781
DEBY_LOD2_4908178,4908178,normal,quality_diagnostic,0.6249,,0.9970,0.6489,0.7689,3,True,True,1.0000,0.4626,0.32,1.0,0.029,0.406,0.455,63.723
DEBY_LOD2_4908179,4908179,intrinsic_all_fail,generation_limit,,,,,,0,False,False,0.2215,0.0063,0.0,1.0,0.042,0.429,0.375,75.129
DEBY_LOD2_60098,60098,defect,quality_diagnostic,2.9920,1.9607,2.8175,5.4290,5.7215,3,True,True,0.5217,0.1403,0.0,1.0,0.06,0.544,0.0,78.074
DEBY_LOD2_8568391,8568391,input_textureless_observed,generation_limit,,,0.0365,13.1856,13.1856,1,False,True,1.0000,0.0181,1.02,1.0,0.037,0.536,0.625,86.872
DEBY_LOD2_8568392,8568392,input_textureless_observed,generation_limit,,,0.1038,1.8020,1.8020,1,False,True,1.0000,0.2500,2.25,1.0,0.038,0.549,0.75,94.587
