source_run_id,setting,run_name,cityjson,repaired_cityjson,val3dity_returncode,n_features_original,n_features_repaired,valid_features_original,valid_features_repaired,invalid_features_original,invalid_features_repaired,error_405_original,error_405_repaired,error_302_original,error_302_repaired,error_306_original,error_306_repaired,all_errors_original,all_errors_repaired,vertices_same,coordinate_rms_delta_m,changed_geometry_count,repair_rule
e5p_3b_s1_20260708_C001,base,gs_e5_C001_s1_acmp_r1,phases/p0-audit/runs/e5p_3b_s1_20260708_C001/base/cityjson/gs_e5_C001_s1_acmp_r1_run_1.city.json,phases/p0-audit/runs/e5p_405_repair_20260709_C001/e5p_3b_s1_20260708_C001/base/cityjson/gs_e5_C001_s1_acmp_r1_run_1.city.json,0,18,18,6,18,12,0,12,0,0,0,0,0,405,,true,0.000000,12,reverse boundary rings only for CityObjects referenced by original val3dity 405 coid/children
e5p_3b_s1_20260708_C001,base,gs_e5_C001_s1_dense_r1,phases/p0-audit/runs/e5p_3b_s1_20260708_C001/base/cityjson/gs_e5_C001_s1_dense_r1_run_1.city.json,phases/p0-audit/runs/e5p_405_repair_20260709_C001/e5p_3b_s1_20260708_C001/base/cityjson/gs_e5_C001_s1_dense_r1_run_1.city.json,0,18,18,17,17,1,1,0,0,2,2,0,0,302,302,true,0.000000,0,reverse boundary rings only for CityObjects referenced by original val3dity 405 coid/children
e5p_3b_s1_20260708_C001,base,gs_e5_C001_s1_sparse_r1,phases/p0-audit/runs/e5p_3b_s1_20260708_C001/base/cityjson/gs_e5_C001_s1_sparse_r1_run_1.city.json,phases/p0-audit/runs/e5p_405_repair_20260709_C001/e5p_3b_s1_20260708_C001/base/cityjson/gs_e5_C001_s1_sparse_r1_run_1.city.json,0,18,18,17,17,1,1,0,0,2,2,0,0,302,302,true,0.000000,0,reverse boundary rings only for CityObjects referenced by original val3dity 405 coid/children
e5p_3b_s1_20260708_C001,voxel02,gs_e5_C001_s1_acmp_r1,phases/p0-audit/runs/e5p_3b_s1_20260708_C001/voxel02/cityjson/gs_e5_C001_s1_acmp_r1_run_1.city.json,phases/p0-audit/runs/e5p_405_repair_20260709_C001/e5p_3b_s1_20260708_C001/voxel02/cityjson/gs_e5_C001_s1_acmp_r1_run_1.city.json,0,18,18,17,17,1,1,0,0,9,9,0,0,302,302,true,0.000000,0,reverse boundary rings only for CityObjects referenced by original val3dity 405 coid/children
e5p_3b_s1_20260708_C001,voxel02,gs_e5_C001_s1_dense_r1,phases/p0-audit/runs/e5p_3b_s1_20260708_C001/voxel02/cityjson/gs_e5_C001_s1_dense_r1_run_1.city.json,phases/p0-audit/runs/e5p_405_repair_20260709_C001/e5p_3b_s1_20260708_C001/voxel02/cityjson/gs_e5_C001_s1_dense_r1_run_1.city.json,0,18,18,15,16,3,2,1,0,11,11,0,0,302;405,302,true,0.000000,1,reverse boundary rings only for CityObjects referenced by original val3dity 405 coid/children
e5p_3b_s1_20260708_C001,voxel02,gs_e5_C001_s1_sparse_r1,phases/p0-audit/runs/e5p_3b_s1_20260708_C001/voxel02/cityjson/gs_e5_C001_s1_sparse_r1_run_1.city.json,phases/p0-audit/runs/e5p_405_repair_20260709_C001/e5p_3b_s1_20260708_C001/voxel02/cityjson/gs_e5_C001_s1_sparse_r1_run_1.city.json,0,16,16,14,15,2,1,1,0,4,4,0,0,302;405,302,true,0.000000,1,reverse boundary rings only for CityObjects referenced by original val3dity 405 coid/children
e5p_corrected_s1_20260709_C001,base,gs_e5_C001_corrected_s1_acmp_r1,phases/p0-audit/runs/e5p_corrected_s1_20260709_C001/base/cityjson/gs_e5_C001_corrected_s1_acmp_r1_run_1.city.json,phases/p0-audit/runs/e5p_405_repair_20260709_C001/e5p_corrected_s1_20260709_C001/base/cityjson/gs_e5_C001_corrected_s1_acmp_r1_run_1.city.json,0,18,18,10,16,8,2,6,0,4,4,0,0,302;405,302,true,0.000000,6,reverse boundary rings only for CityObjects referenced by original val3dity 405 coid/children
e5p_corrected_s1_20260709_C001,base,gs_e5_C001_corrected_s1_dense_r1,phases/p0-audit/runs/e5p_corrected_s1_20260709_C001/base/cityjson/gs_e5_C001_corrected_s1_dense_r1_run_1.city.json,phases/p0-audit/runs/e5p_405_repair_20260709_C001/e5p_corrected_s1_20260709_C001/base/cityjson/gs_e5_C001_corrected_s1_dense_r1_run_1.city.json,0,18,18,15,15,3,3,0,0,6,6,0,0,302,302,true,0.000000,0,reverse boundary rings only for CityObjects referenced by original val3dity 405 coid/children
e5p_corrected_s1_20260709_C001,base,gs_e5_C001_corrected_s1_sparse_r1,phases/p0-audit/runs/e5p_corrected_s1_20260709_C001/base/cityjson/gs_e5_C001_corrected_s1_sparse_r1_run_1.city.json,phases/p0-audit/runs/e5p_405_repair_20260709_C001/e5p_corrected_s1_20260709_C001/base/cityjson/gs_e5_C001_corrected_s1_sparse_r1_run_1.city.json,0,18,18,16,16,2,2,0,0,2,2,0,0,102;302,102;302,true,0.000000,0,reverse boundary rings only for CityObjects referenced by original val3dity 405 coid/children
e5p_corrected_s1_20260709_C001,voxel02,gs_e5_C001_corrected_s1_acmp_r1,phases/p0-audit/runs/e5p_corrected_s1_20260709_C001/voxel02/cityjson/gs_e5_C001_corrected_s1_acmp_r1_run_1.city.json,phases/p0-audit/runs/e5p_405_repair_20260709_C001/e5p_corrected_s1_20260709_C001/voxel02/cityjson/gs_e5_C001_corrected_s1_acmp_r1_run_1.city.json,0,17,17,14,14,3,3,0,0,2,2,0,0,102;302;303,102;302;303,true,0.000000,0,reverse boundary rings only for CityObjects referenced by original val3dity 405 coid/children
e5p_corrected_s1_20260709_C001,voxel02,gs_e5_C001_corrected_s1_dense_r1,phases/p0-audit/runs/e5p_corrected_s1_20260709_C001/voxel02/cityjson/gs_e5_C001_corrected_s1_dense_r1_run_1.city.json,phases/p0-audit/runs/e5p_405_repair_20260709_C001/e5p_corrected_s1_20260709_C001/voxel02/cityjson/gs_e5_C001_corrected_s1_dense_r1_run_1.city.json,0,10,10,8,9,2,1,1,0,2,2,0,0,302;405,302,true,0.000000,1,reverse boundary rings only for CityObjects referenced by original val3dity 405 coid/children
e5p_corrected_s1_20260709_C001,voxel02,gs_e5_C001_corrected_s1_sparse_r1,phases/p0-audit/runs/e5p_corrected_s1_20260709_C001/voxel02/cityjson/gs_e5_C001_corrected_s1_sparse_r1_run_1.city.json,phases/p0-audit/runs/e5p_405_repair_20260709_C001/e5p_corrected_s1_20260709_C001/voxel02/cityjson/gs_e5_C001_corrected_s1_sparse_r1_run_1.city.json,0,13,13,12,12,1,1,0,0,6,6,0,0,302,302,true,0.000000,0,reverse boundary rings only for CityObjects referenced by original val3dity 405 coid/children
e5p_corrected_s1_recheck_20260709_C001,base,gs_e5_C001_corrected_s1_preprune_keepall_acmp_r1,phases/p0-audit/runs/e5p_corrected_s1_recheck_20260709_C001/base/cityjson/gs_e5_C001_corrected_s1_preprune_keepall_acmp_r1_run_1.city.json,phases/p0-audit/runs/e5p_405_repair_20260709_C001/e5p_corrected_s1_recheck_20260709_C001/base/cityjson/gs_e5_C001_corrected_s1_preprune_keepall_acmp_r1_run_1.city.json,0,18,18,10,15,8,3,5,0,6,6,0,0,302;405,302,true,0.000000,5,reverse boundary rings only for CityObjects referenced by original val3dity 405 coid/children
e5p_corrected_s1_recheck_20260709_C001,base,gs_e5_C001_corrected_s1_preprune_keepall_dense_r1,phases/p0-audit/runs/e5p_corrected_s1_recheck_20260709_C001/base/cityjson/gs_e5_C001_corrected_s1_preprune_keepall_dense_r1_run_1.city.json,phases/p0-audit/runs/e5p_405_repair_20260709_C001/e5p_corrected_s1_recheck_20260709_C001/base/cityjson/gs_e5_C001_corrected_s1_preprune_keepall_dense_r1_run_1.city.json,0,18,18,17,17,1,1,0,0,2,2,0,0,302,302,true,0.000000,0,reverse boundary rings only for CityObjects referenced by original val3dity 405 coid/children
e5p_corrected_s1_recheck_20260709_C001,base,gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1,phases/p0-audit/runs/e5p_corrected_s1_recheck_20260709_C001/base/cityjson/gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1_run_1.city.json,phases/p0-audit/runs/e5p_405_repair_20260709_C001/e5p_corrected_s1_recheck_20260709_C001/base/cityjson/gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1_run_1.city.json,0,18,18,12,12,6,6,0,0,12,12,6,6,302;306,302;306,true,0.000000,0,reverse boundary rings only for CityObjects referenced by original val3dity 405 coid/children
e5p_corrected_s1_recheck_20260709_C001,base,gs_e5_C001_corrected_s1_preprune_mid20k_acmp_r1,phases/p0-audit/runs/e5p_corrected_s1_recheck_20260709_C001/base/cityjson/gs_e5_C001_corrected_s1_preprune_mid20k_acmp_r1_run_1.city.json,phases/p0-audit/runs/e5p_405_repair_20260709_C001/e5p_corrected_s1_recheck_20260709_C001/base/cityjson/gs_e5_C001_corrected_s1_preprune_mid20k_acmp_r1_run_1.city.json,0,18,18,12,16,6,2,4,0,2,2,15,15,302;306;405,302;306,true,0.000000,4,reverse boundary rings only for CityObjects referenced by original val3dity 405 coid/children
e5p_corrected_s1_recheck_20260709_C001,base,gs_e5_C001_corrected_s1_preprune_mid20k_dense_r1,phases/p0-audit/runs/e5p_corrected_s1_recheck_20260709_C001/base/cityjson/gs_e5_C001_corrected_s1_preprune_mid20k_dense_r1_run_1.city.json,phases/p0-audit/runs/e5p_405_repair_20260709_C001/e5p_corrected_s1_recheck_20260709_C001/base/cityjson/gs_e5_C001_corrected_s1_preprune_mid20k_dense_r1_run_1.city.json,0,18,18,15,15,3,3,0,0,5,5,0,0,301;302,301;302,true,0.000000,0,reverse boundary rings only for CityObjects referenced by original val3dity 405 coid/children
e5p_corrected_s1_recheck_20260709_C001,base,gs_e5_C001_corrected_s1_preprune_mid20k_sparse_r1,phases/p0-audit/runs/e5p_corrected_s1_recheck_20260709_C001/base/cityjson/gs_e5_C001_corrected_s1_preprune_mid20k_sparse_r1_run_1.city.json,phases/p0-audit/runs/e5p_405_repair_20260709_C001/e5p_corrected_s1_recheck_20260709_C001/base/cityjson/gs_e5_C001_corrected_s1_preprune_mid20k_sparse_r1_run_1.city.json,0,18,18,16,16,2,2,0,0,2,2,6,6,302;306,302;306,true,0.000000,0,reverse boundary rings only for CityObjects referenced by original val3dity 405 coid/children
e5p_corrected_s1_recheck_20260709_C001,base,gs_e5_C001_corrected_s1_preprune_opa001_acmp_r1,phases/p0-audit/runs/e5p_corrected_s1_recheck_20260709_C001/base/cityjson/gs_e5_C001_corrected_s1_preprune_opa001_acmp_r1_run_1.city.json,phases/p0-audit/runs/e5p_405_repair_20260709_C001/e5p_corrected_s1_recheck_20260709_C001/base/cityjson/gs_e5_C001_corrected_s1_preprune_opa001_acmp_r1_run_1.city.json,0,18,18,10,16,8,2,6,0,4,4,0,0,302;405,302,true,0.000000,6,reverse boundary rings only for CityObjects referenced by original val3dity 405 coid/children
e5p_corrected_s1_recheck_20260709_C001,base,gs_e5_C001_corrected_s1_preprune_opa001_dense_r1,phases/p0-audit/runs/e5p_corrected_s1_recheck_20260709_C001/base/cityjson/gs_e5_C001_corrected_s1_preprune_opa001_dense_r1_run_1.city.json,phases/p0-audit/runs/e5p_405_repair_20260709_C001/e5p_corrected_s1_recheck_20260709_C001/base/cityjson/gs_e5_C001_corrected_s1_preprune_opa001_dense_r1_run_1.city.json,0,18,18,17,17,1,1,0,0,2,2,0,0,302,302,true,0.000000,0,reverse boundary rings only for CityObjects referenced by original val3dity 405 coid/children
e5p_corrected_s1_recheck_20260709_C001,base,gs_e5_C001_corrected_s1_preprune_opa001_sparse_r1,phases/p0-audit/runs/e5p_corrected_s1_recheck_20260709_C001/base/cityjson/gs_e5_C001_corrected_s1_preprune_opa001_sparse_r1_run_1.city.json,phases/p0-audit/runs/e5p_405_repair_20260709_C001/e5p_corrected_s1_recheck_20260709_C001/base/cityjson/gs_e5_C001_corrected_s1_preprune_opa001_sparse_r1_run_1.city.json,0,18,18,13,13,5,5,0,0,12,12,0,0,302,302,true,0.000000,0,reverse boundary rings only for CityObjects referenced by original val3dity 405 coid/children
e5p_corrected_s1_recheck_20260709_C001,base,gs_e5_C001_corrected_s1_preprune_opa002_acmp_r1,phases/p0-audit/runs/e5p_corrected_s1_recheck_20260709_C001/base/cityjson/gs_e5_C001_corrected_s1_preprune_opa002_acmp_r1_run_1.city.json,phases/p0-audit/runs/e5p_405_repair_20260709_C001/e5p_corrected_s1_recheck_20260709_C001/base/cityjson/gs_e5_C001_corrected_s1_preprune_opa002_acmp_r1_run_1.city.json,0,18,18,10,14,8,4,4,0,8,8,0,0,302;405,302,true,0.000000,4,reverse boundary rings only for CityObjects referenced by original val3dity 405 coid/children
e5p_corrected_s1_recheck_20260709_C001,base,gs_e5_C001_corrected_s1_preprune_opa002_dense_r1,phases/p0-audit/runs/e5p_corrected_s1_recheck_20260709_C001/base/cityjson/gs_e5_C001_corrected_s1_preprune_opa002_dense_r1_run_1.city.json,phases/p0-audit/runs/e5p_405_repair_20260709_C001/e5p_corrected_s1_recheck_20260709_C001/base/cityjson/gs_e5_C001_corrected_s1_preprune_opa002_dense_r1_run_1.city.json,0,18,18,16,16,2,2,0,0,4,4,0,0,302,302,true,0.000000,0,reverse boundary rings only for CityObjects referenced by original val3dity 405 coid/children
e5p_corrected_s1_recheck_20260709_C001,base,gs_e5_C001_corrected_s1_preprune_opa002_sparse_r1,phases/p0-audit/runs/e5p_corrected_s1_recheck_20260709_C001/base/cityjson/gs_e5_C001_corrected_s1_preprune_opa002_sparse_r1_run_1.city.json,phases/p0-audit/runs/e5p_405_repair_20260709_C001/e5p_corrected_s1_recheck_20260709_C001/base/cityjson/gs_e5_C001_corrected_s1_preprune_opa002_sparse_r1_run_1.city.json,0,18,18,15,15,3,3,0,0,6,6,0,0,302,302,true,0.000000,0,reverse boundary rings only for CityObjects referenced by original val3dity 405 coid/children
e5p_corrected_s1_recheck_20260709_C001,base,gs_e5_C001_corrected_s1_preprune_opa005_acmp_r1,phases/p0-audit/runs/e5p_corrected_s1_recheck_20260709_C001/base/cityjson/gs_e5_C001_corrected_s1_preprune_opa005_acmp_r1_run_1.city.json,phases/p0-audit/runs/e5p_405_repair_20260709_C001/e5p_corrected_s1_recheck_20260709_C001/base/cityjson/gs_e5_C001_corrected_s1_preprune_opa005_acmp_r1_run_1.city.json,0,18,18,11,14,7,4,3,0,5,5,7,7,302;306;405,302;306,true,0.000000,3,reverse boundary rings only for CityObjects referenced by original val3dity 405 coid/children
e5p_corrected_s1_recheck_20260709_C001,base,gs_e5_C001_corrected_s1_preprune_opa005_dense_r1,phases/p0-audit/runs/e5p_corrected_s1_recheck_20260709_C001/base/cityjson/gs_e5_C001_corrected_s1_preprune_opa005_dense_r1_run_1.city.json,phases/p0-audit/runs/e5p_405_repair_20260709_C001/e5p_corrected_s1_recheck_20260709_C001/base/cityjson/gs_e5_C001_corrected_s1_preprune_opa005_dense_r1_run_1.city.json,0,18,18,16,16,2,2,0,0,4,4,0,0,302,302,true,0.000000,0,reverse boundary rings only for CityObjects referenced by original val3dity 405 coid/children
e5p_corrected_s1_recheck_20260709_C001,base,gs_e5_C001_corrected_s1_preprune_opa005_sparse_r1,phases/p0-audit/runs/e5p_corrected_s1_recheck_20260709_C001/base/cityjson/gs_e5_C001_corrected_s1_preprune_opa005_sparse_r1_run_1.city.json,phases/p0-audit/runs/e5p_405_repair_20260709_C001/e5p_corrected_s1_recheck_20260709_C001/base/cityjson/gs_e5_C001_corrected_s1_preprune_opa005_sparse_r1_run_1.city.json,0,18,18,15,15,3,3,0,0,6,6,0,0,302,302,true,0.000000,0,reverse boundary rings only for CityObjects referenced by original val3dity 405 coid/children
e5p_corrected_s1_recheck_20260709_C001,voxel02,gs_e5_C001_corrected_s1_preprune_keepall_dense_r1,phases/p0-audit/runs/e5p_corrected_s1_recheck_20260709_C001/voxel02/cityjson/gs_e5_C001_corrected_s1_preprune_keepall_dense_r1_run_1.city.json,phases/p0-audit/runs/e5p_405_repair_20260709_C001/e5p_corrected_s1_recheck_20260709_C001/voxel02/cityjson/gs_e5_C001_corrected_s1_preprune_keepall_dense_r1_run_1.city.json,0,9,9,7,7,2,2,0,0,3,3,5,5,302;306,302;306,true,0.000000,0,reverse boundary rings only for CityObjects referenced by original val3dity 405 coid/children
