family,arm,band,z_min,z_max,n_gaussians,x_min,x_max,y_min,y_max,z_p50,opacity_p50,opacity_p95,ckpt
corrected_original,dense,roof_band_560_590,560.0,590.0,298489,690683.1011,691069.4590,5335854.2576,5336243.8005,580.6354,0.9653,0.9995,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,sheet_band_595_615,595.0,615.0,67207,690686.4253,691060.4468,5335853.4928,5336244.2183,599.8515,0.9657,0.9993,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,520.0,522.0,0,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,522.0,524.0,0,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,524.0,526.0,0,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,526.0,528.0,0,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,528.0,530.0,0,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,530.0,532.0,0,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,532.0,534.0,0,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,534.0,536.0,0,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,536.0,538.0,0,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,538.0,540.0,0,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,540.0,542.0,0,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,542.0,544.0,0,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,544.0,546.0,0,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,546.0,548.0,0,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,548.0,550.0,0,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,550.0,552.0,0,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,552.0,554.0,0,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,554.0,556.0,3,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,556.0,558.0,5,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,558.0,560.0,195,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,560.0,562.0,1475,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,562.0,564.0,573,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,564.0,566.0,970,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,566.0,568.0,2114,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,568.0,570.0,4056,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,570.0,572.0,7647,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,572.0,574.0,8416,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,574.0,576.0,13414,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,576.0,578.0,29821,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,578.0,580.0,50523,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,580.0,582.0,68491,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,582.0,584.0,47123,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,584.0,586.0,33666,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,586.0,588.0,20704,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,588.0,590.0,9496,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,590.0,592.0,14795,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,592.0,594.0,25176,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,594.0,596.0,22885,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,596.0,598.0,16310,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,598.0,600.0,9349,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,600.0,602.0,7254,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,602.0,604.0,6940,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,604.0,606.0,4763,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,606.0,608.0,5559,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,608.0,610.0,3002,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,610.0,612.0,2209,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,612.0,614.0,2277,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,614.0,616.0,1350,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,616.0,618.0,1568,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,618.0,620.0,1206,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,620.0,622.0,535,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,622.0,624.0,520,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
