arm,replicate,run_name,z_min,z_max,n_gaussians,opacity_p50,ckpt
arm1,r1,gs_e5_C001_s2_arm1_dense_r1,520,522,0,,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r1/ckpt/final.pt
arm1,r1,gs_e5_C001_s2_arm1_dense_r1,522,524,0,,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r1/ckpt/final.pt
arm1,r1,gs_e5_C001_s2_arm1_dense_r1,524,526,0,,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r1/ckpt/final.pt
arm1,r1,gs_e5_C001_s2_arm1_dense_r1,526,528,0,,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r1/ckpt/final.pt
arm1,r1,gs_e5_C001_s2_arm1_dense_r1,528,530,0,,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r1/ckpt/final.pt
arm1,r1,gs_e5_C001_s2_arm1_dense_r1,530,532,0,,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r1/ckpt/final.pt
arm1,r1,gs_e5_C001_s2_arm1_dense_r1,532,534,0,,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r1/ckpt/final.pt
arm1,r1,gs_e5_C001_s2_arm1_dense_r1,534,536,0,,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r1/ckpt/final.pt
arm1,r1,gs_e5_C001_s2_arm1_dense_r1,536,538,0,,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r1/ckpt/final.pt
arm1,r1,gs_e5_C001_s2_arm1_dense_r1,538,540,0,,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r1/ckpt/final.pt
arm1,r1,gs_e5_C001_s2_arm1_dense_r1,540,542,0,,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r1/ckpt/final.pt
arm1,r1,gs_e5_C001_s2_arm1_dense_r1,542,544,0,,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r1/ckpt/final.pt
arm1,r1,gs_e5_C001_s2_arm1_dense_r1,544,546,0,,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r1/ckpt/final.pt
arm1,r1,gs_e5_C001_s2_arm1_dense_r1,546,548,0,,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r1/ckpt/final.pt
arm1,r1,gs_e5_C001_s2_arm1_dense_r1,548,550,3,0.0019,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r1/ckpt/final.pt
arm1,r1,gs_e5_C001_s2_arm1_dense_r1,550,552,2,0.9987,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r1/ckpt/final.pt
arm1,r1,gs_e5_C001_s2_arm1_dense_r1,552,554,3,0.0039,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r1/ckpt/final.pt
arm1,r1,gs_e5_C001_s2_arm1_dense_r1,554,556,10,0.0079,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r1/ckpt/final.pt
arm1,r1,gs_e5_C001_s2_arm1_dense_r1,556,558,19,0.0186,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r1/ckpt/final.pt
arm1,r1,gs_e5_C001_s2_arm1_dense_r1,558,560,126,0.0065,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r1/ckpt/final.pt
arm1,r1,gs_e5_C001_s2_arm1_dense_r1,560,562,306,0.0087,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r1/ckpt/final.pt
arm1,r1,gs_e5_C001_s2_arm1_dense_r1,562,564,275,0.0451,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r1/ckpt/final.pt
