setting,run_name,arm,replicate,min_obs,voxel_m,sor,sor_std,stage,building_id,occupied_cells,grid_total_cells,coverage_frac
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_60098,715,784,0.9119897959183674
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907184,1352,1352,1.0
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907185,609,644,0.9456521739130435
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907186,639,673,0.9494799405646359
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907188,534,664,0.8042168674698795
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907194,806,850,0.9482352941176471
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907195,707,710,0.995774647887324
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907198,1381,1438,0.9603616133518776
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907199,100,393,0.2544529262086514
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907202,355,641,0.5538221528861155
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4908168,63,114,0.5526315789473685
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4908178,312,454,0.6872246696035242
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4908179,5,474,0.010548523206751054
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_8568391,117,221,0.5294117647058824
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_8568392,0,24,0.0
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_108247349,8,402,0.01990049751243781
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_108247350,16,48,0.3333333333333333
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_108247351,93,260,0.3576923076923077
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_60098,342,784,0.4362244897959184
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907184,1352,1352,1.0
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907185,362,644,0.562111801242236
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907186,239,673,0.3551263001485884
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907188,127,664,0.19126506024096385
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907194,246,850,0.28941176470588237
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907195,444,710,0.6253521126760564
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907198,749,1438,0.5208623087621697
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907199,41,393,0.10432569974554708
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907202,32,641,0.0499219968798752
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4908168,58,114,0.5087719298245614
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4908178,150,454,0.3303964757709251
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4908179,0,474,0.0
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_8568391,8,221,0.03619909502262444
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_8568392,0,24,0.0
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_108247349,0,402,0.0
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_108247350,2,48,0.041666666666666664
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_108247351,36,260,0.13846153846153847
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_60098,68,784,0.08673469387755102
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907184,1352,1352,1.0
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907185,220,644,0.3416149068322981
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907186,60,673,0.08915304606240713
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907188,23,664,0.03463855421686747
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907194,11,850,0.012941176470588235
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907195,102,710,0.14366197183098592
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907198,383,1438,0.2663421418636996
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907199,35,393,0.089058524173028
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907202,3,641,0.0046801872074883
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4908168,58,114,0.5087719298245614
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4908178,101,454,0.22246696035242292
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4908179,0,474,0.0
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_8568391,0,221,0.0
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_8568392,0,24,0.0
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_108247349,0,402,0.0
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_108247350,1,48,0.020833333333333332
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_108247351,10,260,0.038461538461538464
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_60098,742,784,0.9464285714285714
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907184,1352,1352,1.0
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907185,624,644,0.968944099378882
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907186,640,673,0.950965824665676
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907188,629,664,0.947289156626506
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907194,790,850,0.9294117647058824
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907195,710,710,1.0
