arm,replicate,run_name,interval_start_exclusive,interval_end_inclusive,building_id,duplicate_events,split_events,total_events,audit_steps,source
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,0,5000,DEBY_LOD2_4907184,5460,2166,7626,23,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/audit/densify_events.csv
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,0,5000,DEBY_LOD2_4907202,13,87,100,23,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/audit/densify_events.csv
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,0,5000,DEBY_LOD2_4908168,0,19,19,23,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/audit/densify_events.csv
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,0,5000,DEBY_LOD2_4908178,2,23,25,23,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/audit/densify_events.csv
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,5000,10000,DEBY_LOD2_4907184,3490,971,4461,25,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/audit/densify_events.csv
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,5000,10000,DEBY_LOD2_4907202,16,79,95,25,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/audit/densify_events.csv
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,5000,10000,DEBY_LOD2_4908168,0,14,14,25,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/audit/densify_events.csv
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,5000,10000,DEBY_LOD2_4908178,2,26,28,25,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/audit/densify_events.csv
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,10000,15000,DEBY_LOD2_4907184,2401,1031,3432,25,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/audit/densify_events.csv
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,10000,15000,DEBY_LOD2_4907202,0,54,54,25,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/audit/densify_events.csv
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,10000,15000,DEBY_LOD2_4908168,0,3,3,25,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/audit/densify_events.csv
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,10000,15000,DEBY_LOD2_4908178,0,20,20,25,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/audit/densify_events.csv
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,15000,20000,DEBY_LOD2_4907184,1446,718,2164,24,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/audit/densify_events.csv
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,15000,20000,DEBY_LOD2_4907202,1,53,54,24,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/audit/densify_events.csv
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,15000,20000,DEBY_LOD2_4908168,0,5,5,24,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/audit/densify_events.csv
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,15000,20000,DEBY_LOD2_4908178,0,22,22,24,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/audit/densify_events.csv
arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,0,5000,DEBY_LOD2_4907184,5202,2405,7607,23,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r2/audit/densify_events.csv
arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,0,5000,DEBY_LOD2_4907202,25,98,123,23,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r2/audit/densify_events.csv
arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,0,5000,DEBY_LOD2_4908168,5,28,33,23,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r2/audit/densify_events.csv
