family,cell,replicate,band,z_min,z_max,opacity_bin,n_gaussians,fraction_of_band,band_total,opacity_p50,high_opacity_core_present,ckpt
corrected_recheck,w100_p050_no_normal,r1,floater_595_615,595.0,615.0,gt_0p5,51714,0.62551709,82674,0.9055,true,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_keepall_dense_r1/ckpt/final.pt
corrected_recheck,w100_p050_no_normal,r1,floater_595_615,595.0,615.0,0p1_to_0p5,10502,0.12702905,82674,0.9055,true,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_keepall_dense_r1/ckpt/final.pt
corrected_recheck,w100_p050_no_normal,r1,floater_595_615,595.0,615.0,lt_0p1,20458,0.24745385,82674,0.9055,true,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_keepall_dense_r1/ckpt/final.pt
corrected_recheck,w100_p050_no_normal,r1,high_655_670,655.0,670.0,gt_0p5,250,0.29976019,834,0.1236,true,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_keepall_dense_r1/ckpt/final.pt
corrected_recheck,w100_p050_no_normal,r1,high_655_670,655.0,670.0,0p1_to_0p5,205,0.24580336,834,0.1236,true,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_keepall_dense_r1/ckpt/final.pt
corrected_recheck,w100_p050_no_normal,r1,high_655_670,655.0,670.0,lt_0p1,379,0.45443645,834,0.1236,true,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_keepall_dense_r1/ckpt/final.pt
s1_full,w100_p005_no_normal,r1,floater_595_615,595.0,615.0,gt_0p5,15598,0.33640305,46367,0.0370,true,results/tum_transfer/e5_s1_full_factor/C001/runs/gs_e5_C001_s1fac_w100_p005_dense_r1/ckpt/final.pt
s1_full,w100_p005_no_normal,r1,floater_595_615,595.0,615.0,0p1_to_0p5,3805,0.08206267,46367,0.0370,true,results/tum_transfer/e5_s1_full_factor/C001/runs/gs_e5_C001_s1fac_w100_p005_dense_r1/ckpt/final.pt
s1_full,w100_p005_no_normal,r1,floater_595_615,595.0,615.0,lt_0p1,26964,0.58153428,46367,0.0370,true,results/tum_transfer/e5_s1_full_factor/C001/runs/gs_e5_C001_s1fac_w100_p005_dense_r1/ckpt/final.pt
s1_full,w100_p005_no_normal,r1,high_655_670,655.0,670.0,gt_0p5,135,0.11780105,1146,0.0276,true,results/tum_transfer/e5_s1_full_factor/C001/runs/gs_e5_C001_s1fac_w100_p005_dense_r1/ckpt/final.pt
s1_full,w100_p005_no_normal,r1,high_655_670,655.0,670.0,0p1_to_0p5,216,0.18848168,1146,0.0276,true,results/tum_transfer/e5_s1_full_factor/C001/runs/gs_e5_C001_s1fac_w100_p005_dense_r1/ckpt/final.pt
s1_full,w100_p005_no_normal,r1,high_655_670,655.0,670.0,lt_0p1,795,0.69371728,1146,0.0276,true,results/tum_transfer/e5_s1_full_factor/C001/runs/gs_e5_C001_s1fac_w100_p005_dense_r1/ckpt/final.pt
s1_full,w240_p050_no_normal,r1,floater_595_615,595.0,615.0,gt_0p5,37835,0.65274399,57963,0.9308,true,results/tum_transfer/e5_s1_full_factor/C001/runs/gs_e5_C001_s1fac_w240_p050_dense_r1/ckpt/final.pt
s1_full,w240_p050_no_normal,r1,floater_595_615,595.0,615.0,0p1_to_0p5,7642,0.13184273,57963,0.9308,true,results/tum_transfer/e5_s1_full_factor/C001/runs/gs_e5_C001_s1fac_w240_p050_dense_r1/ckpt/final.pt
s1_full,w240_p050_no_normal,r1,floater_595_615,595.0,615.0,lt_0p1,12486,0.21541328,57963,0.9308,true,results/tum_transfer/e5_s1_full_factor/C001/runs/gs_e5_C001_s1fac_w240_p050_dense_r1/ckpt/final.pt
s1_full,w240_p050_no_normal,r1,high_655_670,655.0,670.0,gt_0p5,612,0.23647604,2588,0.0919,true,results/tum_transfer/e5_s1_full_factor/C001/runs/gs_e5_C001_s1fac_w240_p050_dense_r1/ckpt/final.pt
s1_full,w240_p050_no_normal,r1,high_655_670,655.0,670.0,0p1_to_0p5,637,0.24613601,2588,0.0919,true,results/tum_transfer/e5_s1_full_factor/C001/runs/gs_e5_C001_s1fac_w240_p050_dense_r1/ckpt/final.pt
s1_full,w240_p050_no_normal,r1,high_655_670,655.0,670.0,lt_0p1,1339,0.51738794,2588,0.0919,true,results/tum_transfer/e5_s1_full_factor/C001/runs/gs_e5_C001_s1fac_w240_p050_dense_r1/ckpt/final.pt
s1_full,w240_p005_no_normal,r1,floater_595_615,595.0,615.0,gt_0p5,13958,0.31134706,44831,0.0143,true,results/tum_transfer/e5_s1_full_factor/C001/runs/gs_e5_C001_s1fac_w240_p005_dense_r1/ckpt/final.pt
s1_full,w240_p005_no_normal,r1,floater_595_615,595.0,615.0,0p1_to_0p5,2587,0.05770561,44831,0.0143,true,results/tum_transfer/e5_s1_full_factor/C001/runs/gs_e5_C001_s1fac_w240_p005_dense_r1/ckpt/final.pt
s1_full,w240_p005_no_normal,r1,floater_595_615,595.0,615.0,lt_0p1,28286,0.63094734,44831,0.0143,true,results/tum_transfer/e5_s1_full_factor/C001/runs/gs_e5_C001_s1fac_w240_p005_dense_r1/ckpt/final.pt
s1_full,w240_p005_no_normal,r1,high_655_670,655.0,670.0,gt_0p5,28,0.02007168,1395,0.0039,true,results/tum_transfer/e5_s1_full_factor/C001/runs/gs_e5_C001_s1fac_w240_p005_dense_r1/ckpt/final.pt
s1_full,w240_p005_no_normal,r1,high_655_670,655.0,670.0,0p1_to_0p5,112,0.08028674,1395,0.0039,true,results/tum_transfer/e5_s1_full_factor/C001/runs/gs_e5_C001_s1fac_w240_p005_dense_r1/ckpt/final.pt
s1_full,w240_p005_no_normal,r1,high_655_670,655.0,670.0,lt_0p1,1255,0.89964158,1395,0.0039,true,results/tum_transfer/e5_s1_full_factor/C001/runs/gs_e5_C001_s1fac_w240_p005_dense_r1/ckpt/final.pt
s2,arm0_p005_normal,r1,floater_595_615,595.0,615.0,gt_0p5,26587,0.22303033,119208,0.0144,true,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm0_dense_r1/ckpt/final.pt
s2,arm0_p005_normal,r1,floater_595_615,595.0,615.0,0p1_to_0p5,12624,0.10589893,119208,0.0144,true,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm0_dense_r1/ckpt/final.pt
s2,arm0_p005_normal,r1,floater_595_615,595.0,615.0,lt_0p1,79997,0.67107073,119208,0.0144,true,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm0_dense_r1/ckpt/final.pt
s2,arm0_p005_normal,r1,high_655_670,655.0,670.0,gt_0p5,109,0.12674419,860,0.0299,true,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm0_dense_r1/ckpt/final.pt
s2,arm0_p005_normal,r1,high_655_670,655.0,670.0,0p1_to_0p5,132,0.15348837,860,0.0299,true,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm0_dense_r1/ckpt/final.pt
s2,arm0_p005_normal,r1,high_655_670,655.0,670.0,lt_0p1,619,0.71976744,860,0.0299,true,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm0_dense_r1/ckpt/final.pt
