measurement_role,gate_role,decision,row_type,aggregation,building_id,view_stem,view_rank_by_ref_area,ref_support_ge64,ref_support_scope,selected_low_support_count,visible_view_count_available,ref_pixels,clean_clipped_pixels,intersection_pixels,union_pixels,iou,fragment_count_ge64,boundary_offset_px,boundary_offset_defined,boundary_offset_status,jacobian_m_per_px_x,jacobian_m_per_px_y,jacobian_m_per_px,boundary_offset_m,roof_height_local_m,qa_footprint_buffer_m,qa_buffer_rationale,qa_buffer_role,view_selection_rule,official_geoid_m,official_shift_z_m,label_actual_source_shift_z_m,boundary_offset_defined_view_count,boundary_offset_undefined_view_count
reference_only,self_consistency_not_a_gate,not_applicable,view,selected_view,DEBY_LOD2_8568391,DJI_20241217095441_0023_D,1,True,this_view,0,5,20391,35393,20373,35411,0.5753296998107933,1,20.0,True,defined,0.048200823411345496,0.05031910846015943,0.049248578264803604,0.9849715652960721,-40.781999999999925,1.0,1.0 m absorbs footprint/roof-eave and sub-pixel projection rounding while remaining far below the locked 20.0 m loss-region split buffer and avoiding adjacent-roof capture,"T0-1 audit-only implementation choice; not a loss address, training prior, or pass/fail threshold",visible iff official P_ref > 0; top 3 deterministic views by official P_ref roof pixel area; tie by view stem,45.7,558.3,556.0,,
reference_only,self_consistency_not_a_gate,not_applicable,view,selected_view,DEBY_LOD2_8568391,DJI_20241217084901_0194_D,2,True,this_view,0,5,3436,9325,3341,9420,0.3546709129511677,1,9.0,True,defined,0.07975701501353268,0.08037599154155473,0.0800659051288834,0.7205931461599506,-40.781999999999925,1.0,1.0 m absorbs footprint/roof-eave and sub-pixel projection rounding while remaining far below the locked 20.0 m loss-region split buffer and avoiding adjacent-roof capture,"T0-1 audit-only implementation choice; not a loss address, training prior, or pass/fail threshold",visible iff official P_ref > 0; top 3 deterministic views by official P_ref roof pixel area; tie by view stem,45.7,558.3,556.0,,
reference_only,self_consistency_not_a_gate,not_applicable,view,selected_view,DEBY_LOD2_8568391,DJI_20241217084903_0195_D,3,True,this_view,0,5,2038,6649,2037,6650,0.3063157894736842,1,10.815072906367325,True,defined,0.07960542352593593,0.08010079468137593,0.07985272497150593,0.8636130423389353,-40.781999999999925,1.0,1.0 m absorbs footprint/roof-eave and sub-pixel projection rounding while remaining far below the locked 20.0 m loss-region split buffer and avoiding adjacent-roof capture,"T0-1 audit-only implementation choice; not a loss address, training prior, or pass/fail threshold",visible iff official P_ref > 0; top 3 deterministic views by official P_ref roof pixel area; tie by view stem,45.7,558.3,556.0,,
reference_only,self_consistency_not_a_gate,not_applicable,building_median,median_of_3_selected_views,DEBY_LOD2_8568391,MEDIAN,,True,all_selected_views,0,5,3436.0,9325.0,3341.0,9420.0,0.3546709129511677,1.0,10.815072906367325,True,median_defined_from_3_of_3_selected_views,0.07960542352593593,0.08010079468137593,0.07985272497150593,0.8636130423389353,-40.781999999999925,1.0,1.0 m absorbs footprint/roof-eave and sub-pixel projection rounding while remaining far below the locked 20.0 m loss-region split buffer and avoiding adjacent-roof capture,"T0-1 audit-only implementation choice; not a loss address, training prior, or pass/fail threshold",visible iff official P_ref > 0; top 3 deterministic views by official P_ref roof pixel area; tie by view stem,45.7,558.3,556.0,3,0
reference_only,self_consistency_not_a_gate,not_applicable,view,selected_view,DEBY_LOD2_8568392,DJI_20241217095441_0023_D,1,True,this_view,1,5,1607,7449,1607,7449,0.21573365552423143,1,17.578027604763555,True,defined,0.04778344246781641,0.049216426774629535,0.048494641943796324,0.8524401547711763,-40.92699999999991,1.0,1.0 m absorbs footprint/roof-eave and sub-pixel projection rounding while remaining far below the locked 20.0 m loss-region split buffer and avoiding adjacent-roof capture,"T0-1 audit-only implementation choice; not a loss address, training prior, or pass/fail threshold",visible iff official P_ref > 0; top 3 deterministic views by official P_ref roof pixel area; tie by view stem,45.7,558.3,556.0,,
reference_only,self_consistency_not_a_gate,not_applicable,view,selected_view,DEBY_LOD2_8568392,DJI_20241217095439_0022_D,2,True,this_view,1,5,955,6443,955,6443,0.14822287754151792,1,8.5,True,defined,0.04213003026807754,0.03833888200632062,0.04018977804579842,0.34161311338928657,-40.92699999999991,1.0,1.0 m absorbs footprint/roof-eave and sub-pixel projection rounding while remaining far below the locked 20.0 m loss-region split buffer and avoiding adjacent-roof capture,"T0-1 audit-only implementation choice; not a loss address, training prior, or pass/fail threshold",visible iff official P_ref > 0; top 3 deterministic views by official P_ref roof pixel area; tie by view stem,45.7,558.3,556.0,,
reference_only,self_consistency_not_a_gate,not_applicable,view,selected_view,DEBY_LOD2_8568392,DJI_20241217084903_0195_D,3,False,this_view,1,5,34,2988,34,2988,0.011378848728246318,1,12.82455532033676,True,defined,0.07981773025261434,0.08034121364090478,0.08007904419108283,1.0269781322282339,-40.92699999999991,1.0,1.0 m absorbs footprint/roof-eave and sub-pixel projection rounding while remaining far below the locked 20.0 m loss-region split buffer and avoiding adjacent-roof capture,"T0-1 audit-only implementation choice; not a loss address, training prior, or pass/fail threshold",visible iff official P_ref > 0; top 3 deterministic views by official P_ref roof pixel area; tie by view stem,45.7,558.3,556.0,,
reference_only,self_consistency_not_a_gate,not_applicable,building_median,median_of_3_selected_views,DEBY_LOD2_8568392,MEDIAN,,False,all_selected_views,1,5,955.0,6443.0,955.0,6443.0,0.14822287754151792,1.0,12.82455532033676,True,median_defined_from_3_of_3_selected_views,0.04778344246781641,0.049216426774629535,0.048494641943796324,0.8524401547711763,-40.92699999999991,1.0,1.0 m absorbs footprint/roof-eave and sub-pixel projection rounding while remaining far below the locked 20.0 m loss-region split buffer and avoiding adjacent-roof capture,"T0-1 audit-only implementation choice; not a loss address, training prior, or pass/fail threshold",visible iff official P_ref > 0; top 3 deterministic views by official P_ref roof pixel area; tie by view stem,45.7,558.3,556.0,3,0
reference_only,self_consistency_not_a_gate,not_applicable,view,selected_view,DEBY_LOD2_4907199,DJI_20241217095441_0023_D,1,True,this_view,0,8,44585,35597,32976,47206,0.698555268398085,1,28.0,True,defined,0.04204950121941036,0.045992624881260595,0.04397689093181157,1.231352946090724,-34.33299999999997,1.0,1.0 m absorbs footprint/roof-eave and sub-pixel projection rounding while remaining far below the locked 20.0 m loss-region split buffer and avoiding adjacent-roof capture,"T0-1 audit-only implementation choice; not a loss address, training prior, or pass/fail threshold",visible iff official P_ref > 0; top 3 deterministic views by official P_ref roof pixel area; tie by view stem,45.7,558.3,556.0,,
reference_only,self_consistency_not_a_gate,not_applicable,view,selected_view,DEBY_LOD2_4907199,DJI_20241217095531_0048_D,2,True,this_view,0,8,6351,2402,2402,6351,0.37820815619587467,1,18.0,True,defined,0.04071213584544472,0.04328111879246039,0.04197697926032169,0.7555856266857904,-34.33299999999997,1.0,1.0 m absorbs footprint/roof-eave and sub-pixel projection rounding while remaining far below the locked 20.0 m loss-region split buffer and avoiding adjacent-roof capture,"T0-1 audit-only implementation choice; not a loss address, training prior, or pass/fail threshold",visible iff official P_ref > 0; top 3 deterministic views by official P_ref roof pixel area; tie by view stem,45.7,558.3,556.0,,
