measurement_role,gate_role,decision,row_type,building_id,view_stem,view_name,rank_by_ref_area,selected_for_primary,selected_top3_by_reference_area,ref_support_ge64,ref_support_scope,selected_low_support_count,visible_view_count_available,ref_pixels,clean_clipped_pixels,intersection_pixels,union_pixels,iou,fragment_count_ge64,boundary_offset_px,boundary_offset_defined,boundary_offset_status,jacobian_m_per_px_x,jacobian_m_per_px_y,jacobian_m_per_px,boundary_offset_m,roof_height_local_m,qa_footprint_buffer_m,qa_buffer_rationale,qa_buffer_role,view_selection_rule,official_geoid_m,official_shift_z_m,label_actual_source_shift_z_m
reference_only,self_consistency_not_a_gate,not_applicable,view_candidate,DEBY_LOD2_8568391,DJI_20241217095441_0023_D,DJI_20241217095441_0023_D.JPG,1,True,True,True,this_view,0,5,20391,35393,20373,35411,0.5753296998107933,1,20.0,True,defined,0.048200823411345496,0.05031910846015943,0.049248578264803604,0.9849715652960721,-40.781999999999925,1.0,1.0 m absorbs footprint/roof-eave and sub-pixel projection rounding while remaining far below the locked 20.0 m loss-region split buffer and avoiding adjacent-roof capture,"T0-1 audit-only implementation choice; not a loss address, training prior, or pass/fail threshold",visible iff official P_ref > 0; top 3 deterministic views by official P_ref roof pixel area; tie by view stem,45.7,558.3,556.0
reference_only,self_consistency_not_a_gate,not_applicable,view_candidate,DEBY_LOD2_8568391,DJI_20241217084901_0194_D,DJI_20241217084901_0194_D.JPG,2,True,True,True,this_view,0,5,3436,9325,3341,9420,0.3546709129511677,1,9.0,True,defined,0.07975701501353268,0.08037599154155473,0.0800659051288834,0.7205931461599506,-40.781999999999925,1.0,1.0 m absorbs footprint/roof-eave and sub-pixel projection rounding while remaining far below the locked 20.0 m loss-region split buffer and avoiding adjacent-roof capture,"T0-1 audit-only implementation choice; not a loss address, training prior, or pass/fail threshold",visible iff official P_ref > 0; top 3 deterministic views by official P_ref roof pixel area; tie by view stem,45.7,558.3,556.0
reference_only,self_consistency_not_a_gate,not_applicable,view_candidate,DEBY_LOD2_8568391,DJI_20241217084903_0195_D,DJI_20241217084903_0195_D.JPG,3,True,True,True,this_view,0,5,2038,6649,2037,6650,0.3063157894736842,1,10.815072906367325,True,defined,0.07960542352593593,0.08010079468137593,0.07985272497150593,0.8636130423389353,-40.781999999999925,1.0,1.0 m absorbs footprint/roof-eave and sub-pixel projection rounding while remaining far below the locked 20.0 m loss-region split buffer and avoiding adjacent-roof capture,"T0-1 audit-only implementation choice; not a loss address, training prior, or pass/fail threshold",visible iff official P_ref > 0; top 3 deterministic views by official P_ref roof pixel area; tie by view stem,45.7,558.3,556.0
reference_only,self_consistency_not_a_gate,not_applicable,view_candidate,DEBY_LOD2_8568391,DJI_20241217095439_0022_D,DJI_20241217095439_0022_D.JPG,4,False,False,True,this_view,0,5,1759,10373,1759,10373,0.16957485780391401,1,7.5,True,defined,0.04193655547281625,0.038139750525111385,0.03999312145376635,0.29994841090324764,-40.781999999999925,1.0,1.0 m absorbs footprint/roof-eave and sub-pixel projection rounding while remaining far below the locked 20.0 m loss-region split buffer and avoiding adjacent-roof capture,"T0-1 audit-only implementation choice; not a loss address, training prior, or pass/fail threshold",visible iff official P_ref > 0; top 3 deterministic views by official P_ref roof pixel area; tie by view stem,45.7,558.3,556.0
reference_only,self_consistency_not_a_gate,not_applicable,view_candidate,DEBY_LOD2_8568391,DJI_20241217084905_0196_D,DJI_20241217084905_0196_D.JPG,5,False,False,True,this_view,0,5,131,3762,131,3762,0.03482190324295587,1,1.0,True,defined,0.07944437441256404,0.07986754940808803,0.0796556808933933,0.0796556808933933,-40.781999999999925,1.0,1.0 m absorbs footprint/roof-eave and sub-pixel projection rounding while remaining far below the locked 20.0 m loss-region split buffer and avoiding adjacent-roof capture,"T0-1 audit-only implementation choice; not a loss address, training prior, or pass/fail threshold",visible iff official P_ref > 0; top 3 deterministic views by official P_ref roof pixel area; tie by view stem,45.7,558.3,556.0
reference_only,self_consistency_not_a_gate,not_applicable,view_candidate,DEBY_LOD2_8568392,DJI_20241217095441_0023_D,DJI_20241217095441_0023_D.JPG,1,True,True,True,this_view,1,5,1607,7449,1607,7449,0.21573365552423143,1,17.578027604763555,True,defined,0.04778344246781641,0.049216426774629535,0.048494641943796324,0.8524401547711763,-40.92699999999991,1.0,1.0 m absorbs footprint/roof-eave and sub-pixel projection rounding while remaining far below the locked 20.0 m loss-region split buffer and avoiding adjacent-roof capture,"T0-1 audit-only implementation choice; not a loss address, training prior, or pass/fail threshold",visible iff official P_ref > 0; top 3 deterministic views by official P_ref roof pixel area; tie by view stem,45.7,558.3,556.0
reference_only,self_consistency_not_a_gate,not_applicable,view_candidate,DEBY_LOD2_8568392,DJI_20241217095439_0022_D,DJI_20241217095439_0022_D.JPG,2,True,True,True,this_view,1,5,955,6443,955,6443,0.14822287754151792,1,8.5,True,defined,0.04213003026807754,0.03833888200632062,0.04018977804579842,0.34161311338928657,-40.92699999999991,1.0,1.0 m absorbs footprint/roof-eave and sub-pixel projection rounding while remaining far below the locked 20.0 m loss-region split buffer and avoiding adjacent-roof capture,"T0-1 audit-only implementation choice; not a loss address, training prior, or pass/fail threshold",visible iff official P_ref > 0; top 3 deterministic views by official P_ref roof pixel area; tie by view stem,45.7,558.3,556.0
reference_only,self_consistency_not_a_gate,not_applicable,view_candidate,DEBY_LOD2_8568392,DJI_20241217084903_0195_D,DJI_20241217084903_0195_D.JPG,3,True,True,False,this_view,1,5,34,2988,34,2988,0.011378848728246318,1,12.82455532033676,True,defined,0.07981773025261434,0.08034121364090478,0.08007904419108283,1.0269781322282339,-40.92699999999991,1.0,1.0 m absorbs footprint/roof-eave and sub-pixel projection rounding while remaining far below the locked 20.0 m loss-region split buffer and avoiding adjacent-roof capture,"T0-1 audit-only implementation choice; not a loss address, training prior, or pass/fail threshold",visible iff official P_ref > 0; top 3 deterministic views by official P_ref roof pixel area; tie by view stem,45.7,558.3,556.0
reference_only,self_consistency_not_a_gate,not_applicable,view_candidate,DEBY_LOD2_8568392,DJI_20241217084905_0196_D,DJI_20241217084905_0196_D.JPG,4,False,False,False,this_view,1,5,33,2841,33,2841,0.011615628299894404,1,10.0,True,defined,0.07962815937419292,0.0800701822680337,0.07984886495598834,0.7984886495598833,-40.92699999999991,1.0,1.0 m absorbs footprint/roof-eave and sub-pixel projection rounding while remaining far below the locked 20.0 m loss-region split buffer and avoiding adjacent-roof capture,"T0-1 audit-only implementation choice; not a loss address, training prior, or pass/fail threshold",visible iff official P_ref > 0; top 3 deterministic views by official P_ref roof pixel area; tie by view stem,45.7,558.3,556.0
reference_only,self_consistency_not_a_gate,not_applicable,view_candidate,DEBY_LOD2_8568392,DJI_20241217084901_0194_D,DJI_20241217084901_0194_D.JPG,5,False,False,False,this_view,1,5,32,2975,32,2975,0.010756302521008404,1,12.649110640673518,True,defined,0.07997318102315633,0.08061176541658453,0.0802918383664039,1.0156203470397178,-40.92699999999991,1.0,1.0 m absorbs footprint/roof-eave and sub-pixel projection rounding while remaining far below the locked 20.0 m loss-region split buffer and avoiding adjacent-roof capture,"T0-1 audit-only implementation choice; not a loss address, training prior, or pass/fail threshold",visible iff official P_ref > 0; top 3 deterministic views by official P_ref roof pixel area; tie by view stem,45.7,558.3,556.0
