family,cell,replicate,run_name,band,z_min,z_max,opacity_bin,n_gaussians,fraction_of_band,band_total,opacity_p50,high_opacity_core_present,ckpt
base,arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,floater_595_615,595.0,615.0,gt_0p5,64674,0.54163561,119405,0.6805,true,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/final.pt
base,arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,floater_595_615,595.0,615.0,0p1_to_0p5,18276,0.15305892,119405,0.6805,true,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/final.pt
base,arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,floater_595_615,595.0,615.0,lt_0p1,36455,0.30530547,119405,0.6805,true,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/final.pt
base,arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,high_655_670,655.0,670.0,gt_0p5,143,0.13870029,1031,0.0608,true,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/final.pt
base,arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,high_655_670,655.0,670.0,0p1_to_0p5,277,0.26867119,1031,0.0608,true,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/final.pt
base,arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,high_655_670,655.0,670.0,lt_0p1,611,0.59262852,1031,0.0608,true,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/final.pt
base,arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,floater_595_615,595.0,615.0,gt_0p5,62909,0.53228809,118186,0.6256,true,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r2/ckpt/final.pt
base,arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,floater_595_615,595.0,615.0,0p1_to_0p5,22582,0.19107170,118186,0.6256,true,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r2/ckpt/final.pt
base,arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,floater_595_615,595.0,615.0,lt_0p1,32695,0.27664021,118186,0.6256,true,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r2/ckpt/final.pt
base,arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,high_655_670,655.0,670.0,gt_0p5,44,0.11282051,390,0.0397,true,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r2/ckpt/final.pt
base,arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,high_655_670,655.0,670.0,0p1_to_0p5,90,0.23076923,390,0.0397,true,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r2/ckpt/final.pt
base,arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,high_655_670,655.0,670.0,lt_0p1,256,0.65641026,390,0.0397,true,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r2/ckpt/final.pt
s3a,s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,floater_595_615,595.0,615.0,gt_0p5,52864,0.57253636,92333,0.8246,true,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,floater_595_615,595.0,615.0,0p1_to_0p5,10952,0.11861415,92333,0.8246,true,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,floater_595_615,595.0,615.0,lt_0p1,28517,0.30884949,92333,0.8246,true,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,high_655_670,655.0,670.0,gt_0p5,292,0.25955556,1125,0.0973,true,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,high_655_670,655.0,670.0,0p1_to_0p5,264,0.23466667,1125,0.0973,true,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,high_655_670,655.0,670.0,lt_0p1,569,0.50577778,1125,0.0973,true,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,floater_595_615,595.0,615.0,gt_0p5,37730,0.57957880,65099,0.8661,true,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/ckpt/final.pt
s3a,s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,floater_595_615,595.0,615.0,0p1_to_0p5,7514,0.11542420,65099,0.8661,true,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/ckpt/final.pt
s3a,s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,floater_595_615,595.0,615.0,lt_0p1,19855,0.30499700,65099,0.8661,true,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/ckpt/final.pt
s3a,s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,high_655_670,655.0,670.0,gt_0p5,267,0.21291866,1254,0.0403,true,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/ckpt/final.pt
s3a,s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,high_655_670,655.0,670.0,0p1_to_0p5,196,0.15629984,1254,0.0403,true,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/ckpt/final.pt
s3a,s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,high_655_670,655.0,670.0,lt_0p1,791,0.63078150,1254,0.0403,true,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/ckpt/final.pt
