arm,replicate,run_name,step,ckpt,building_id,n_gaussians_in_footprint,z_p50,z_std,opacity_p50,count_definition
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,5000,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/step_005000.pt,DEBY_LOD2_4907199,129,578.1338,1.1720,0.7661,all Gaussian centers inside exact footprint; no semantic-class or roof-height filter
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,5000,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/step_005000.pt,DEBY_LOD2_8568391,14,576.6404,2.9344,0.8918,all Gaussian centers inside exact footprint; no semantic-class or roof-height filter
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,5000,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/step_005000.pt,DEBY_LOD2_8568392,1,564.2525,0.0000,0.6827,all Gaussian centers inside exact footprint; no semantic-class or roof-height filter
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,5000,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/step_005000.pt,DEBY_LOD2_4907202,432,567.2878,2.3295,0.1997,all Gaussian centers inside exact footprint; no semantic-class or roof-height filter
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,5000,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/step_005000.pt,DEBY_LOD2_4908168,1,565.8219,0.0000,0.0992,all Gaussian centers inside exact footprint; no semantic-class or roof-height filter
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,5000,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/step_005000.pt,DEBY_LOD2_4908178,112,564.5953,0.1939,0.2285,all Gaussian centers inside exact footprint; no semantic-class or roof-height filter
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,5000,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/step_005000.pt,DEBY_LOD2_4907184,13951,582.0803,2.6783,0.4542,all Gaussian centers inside exact footprint; no semantic-class or roof-height filter
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,10000,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/step_010000.pt,DEBY_LOD2_4907199,407,578.8763,0.7091,0.2180,all Gaussian centers inside exact footprint; no semantic-class or roof-height filter
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,10000,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/step_010000.pt,DEBY_LOD2_8568391,14,576.7905,0.1864,0.5824,all Gaussian centers inside exact footprint; no semantic-class or roof-height filter
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,10000,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/step_010000.pt,DEBY_LOD2_8568392,0,,,,all Gaussian centers inside exact footprint; no semantic-class or roof-height filter
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,10000,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/step_010000.pt,DEBY_LOD2_4907202,31,567.9795,3.8596,0.6572,all Gaussian centers inside exact footprint; no semantic-class or roof-height filter
