building_id,band_width_m,source,source_role,view_aggregation,visible_view_count,upper_nonempty_view_count,visible_views,all_count,upper_count,upper_z_median_local_m,upper_z_mad_m,upper_z_std_m,ground_z_q10_local_m,reference_roof_z_local_m,abs_delta_z_ref_m,multiview_candidate_count,multiview_pass_count,multiview_pass_rate,multiview_method,alpha_threshold,per_view_all_counts,per_view_upper_counts,crs,z_frame,gt_role
DEBY_LOD2_4907199,0.500000,observed_sfm_plus_dense,measurement_input_only,not_applicable_point_inventory,,,,55,19,-25.889999,0.070000,0.132477,-27.521000,-34.333000,8.443001,57,55,0.964912,"SfM COLMAP track_len>=2; dense-init reprojection to 428 locked poses with existing PatchMatch depth agreement abs<=max(0.50m,0.02*camera_z), visible_views>=2",,,,EPSG:25832,GS-local ellipsoidal,reference roof z used only after candidate selection for abs_delta_z_ref_m
DEBY_LOD2_4907199,1.000000,observed_sfm_plus_dense,measurement_input_only,not_applicable_point_inventory,,,,86,33,-25.889999,0.090000,0.154317,-27.521000,-34.333000,8.443001,93,86,0.924731,"SfM COLMAP track_len>=2; dense-init reprojection to 428 locked poses with existing PatchMatch depth agreement abs<=max(0.50m,0.02*camera_z), visible_views>=2",,,,EPSG:25832,GS-local ellipsoidal,reference roof z used only after candidate selection for abs_delta_z_ref_m
DEBY_LOD2_4907199,1.500000,observed_sfm_plus_dense,measurement_input_only,not_applicable_point_inventory,,,,112,43,-25.889999,0.090000,0.154058,-27.521000,-34.333000,8.443001,119,112,0.941176,"SfM COLMAP track_len>=2; dense-init reprojection to 428 locked poses with existing PatchMatch depth agreement abs<=max(0.50m,0.02*camera_z), visible_views>=2",,,,EPSG:25832,GS-local ellipsoidal,reference roof z used only after candidate selection for abs_delta_z_ref_m
DEBY_LOD2_8568391,0.500000,observed_sfm_plus_dense,measurement_input_only,not_applicable_point_inventory,,,,13,0,,,,-38.430000,-40.782000,,23,13,0.565217,"SfM COLMAP track_len>=2; dense-init reprojection to 428 locked poses with existing PatchMatch depth agreement abs<=max(0.50m,0.02*camera_z), visible_views>=2",,,,EPSG:25832,GS-local ellipsoidal,reference roof z used only after candidate selection for abs_delta_z_ref_m
DEBY_LOD2_8568391,1.000000,observed_sfm_plus_dense,measurement_input_only,not_applicable_point_inventory,,,,36,5,-27.260000,0.350000,0.417689,-38.430000,-40.782000,13.522000,50,36,0.720000,"SfM COLMAP track_len>=2; dense-init reprojection to 428 locked poses with existing PatchMatch depth agreement abs<=max(0.50m,0.02*camera_z), visible_views>=2",,,,EPSG:25832,GS-local ellipsoidal,reference roof z used only after candidate selection for abs_delta_z_ref_m
DEBY_LOD2_8568391,1.500000,observed_sfm_plus_dense,measurement_input_only,not_applicable_point_inventory,,,,86,29,-27.139999,0.240000,0.355344,-38.430000,-40.782000,13.642001,110,86,0.781818,"SfM COLMAP track_len>=2; dense-init reprojection to 428 locked poses with existing PatchMatch depth agreement abs<=max(0.50m,0.02*camera_z), visible_views>=2",,,,EPSG:25832,GS-local ellipsoidal,reference roof z used only after candidate selection for abs_delta_z_ref_m
DEBY_LOD2_8568392,0.500000,observed_sfm_plus_dense,measurement_input_only,not_applicable_point_inventory,,,,12,8,-38.670000,0.085001,0.122449,-40.428001,-40.927000,2.257000,42,12,0.285714,"SfM COLMAP track_len>=2; dense-init reprojection to 428 locked poses with existing PatchMatch depth agreement abs<=max(0.50m,0.02*camera_z), visible_views>=2",,,,EPSG:25832,GS-local ellipsoidal,reference roof z used only after candidate selection for abs_delta_z_ref_m
DEBY_LOD2_8568392,1.000000,observed_sfm_plus_dense,measurement_input_only,not_applicable_point_inventory,,,,27,16,-38.494999,0.215000,0.239295,-40.428001,-40.927000,2.432001,73,27,0.369863,"SfM COLMAP track_len>=2; dense-init reprojection to 428 locked poses with existing PatchMatch depth agreement abs<=max(0.50m,0.02*camera_z), visible_views>=2",,,,EPSG:25832,GS-local ellipsoidal,reference roof z used only after candidate selection for abs_delta_z_ref_m
DEBY_LOD2_8568392,1.500000,observed_sfm_plus_dense,measurement_input_only,not_applicable_point_inventory,,,,51,37,-38.330002,0.280003,0.380316,-40.428001,-40.927000,2.596998,114,51,0.447368,"SfM COLMAP track_len>=2; dense-init reprojection to 428 locked poses with existing PatchMatch depth agreement abs<=max(0.50m,0.02*camera_z), visible_views>=2",,,,EPSG:25832,GS-local ellipsoidal,reference roof z used only after candidate selection for abs_delta_z_ref_m
DEBY_LOD2_4907199,0.500000,render_arm1p_r1,Arm1-prime final rendered depth; measurement only,counts = median over all locked visible P-J/P-L views including zero; z statistics = median over nonempty upper-point views,6,0,DJI_20241217095141_0077_D;DJI_20241217095145_0079_D;DJI_20241217095147_0080_D;DJI_20241217095149_0081_D;DJI_20241217095441_0023_D;DJI_20241217095531_0048_D,1.000000,0.000000,,,,-27.521000,-34.333000,,,,,not_applicable_render_inventory,0.500000,2;2;2;0;0;0,0;0;0;0;0;0,EPSG:25832,GS-local ellipsoidal,reference roof z used only after candidate selection for abs_delta_z_ref_m
DEBY_LOD2_4907199,1.000000,render_arm1p_r1,Arm1-prime final rendered depth; measurement only,counts = median over all locked visible P-J/P-L views including zero; z statistics = median over nonempty upper-point views,6,0,DJI_20241217095141_0077_D;DJI_20241217095145_0079_D;DJI_20241217095147_0080_D;DJI_20241217095149_0081_D;DJI_20241217095441_0023_D;DJI_20241217095531_0048_D,21.000000,0.000000,,,,-27.521000,-34.333000,,,,,not_applicable_render_inventory,0.500000,27;26;27;16;0;0,0;0;0;0;0;0,EPSG:25832,GS-local ellipsoidal,reference roof z used only after candidate selection for abs_delta_z_ref_m
DEBY_LOD2_4907199,1.500000,render_arm1p_r1,Arm1-prime final rendered depth; measurement only,counts = median over all locked visible P-J/P-L views including zero; z statistics = median over nonempty upper-point views,6,0,DJI_20241217095141_0077_D;DJI_20241217095145_0079_D;DJI_20241217095147_0080_D;DJI_20241217095149_0081_D;DJI_20241217095441_0023_D;DJI_20241217095531_0048_D,185.000000,0.000000,,,,-27.521000,-34.333000,,,,,not_applicable_render_inventory,0.500000,199;198;198;172;0;5,0;0;0;0;0;0,EPSG:25832,GS-local ellipsoidal,reference roof z used only after candidate selection for abs_delta_z_ref_m
DEBY_LOD2_8568391,0.500000,render_arm1p_r1,Arm1-prime final rendered depth; measurement only,counts = median over all locked visible P-J/P-L views including zero; z statistics = median over nonempty upper-point views,3,1,DJI_20241217084901_0194_D;DJI_20241217084903_0195_D;DJI_20241217095441_0023_D,0.000000,0.000000,-28.341666,0.081126,0.393301,-38.430000,-40.782000,12.440334,,,,not_applicable_render_inventory,0.500000,0;0;1070,0;0;1070,EPSG:25832,GS-local ellipsoidal,reference roof z used only after candidate selection for abs_delta_z_ref_m
DEBY_LOD2_8568391,1.000000,render_arm1p_r1,Arm1-prime final rendered depth; measurement only,counts = median over all locked visible P-J/P-L views including zero; z statistics = median over nonempty upper-point views,3,3,DJI_20241217084901_0194_D;DJI_20241217084903_0195_D;DJI_20241217095441_0023_D,65.000000,65.000000,-35.898101,0.030656,0.044039,-38.430000,-40.782000,4.883899,,,,not_applicable_render_inventory,0.500000,65;56;2180,65;56;2180,EPSG:25832,GS-local ellipsoidal,reference roof z used only after candidate selection for abs_delta_z_ref_m
DEBY_LOD2_8568391,1.500000,render_arm1p_r1,Arm1-prime final rendered depth; measurement only,counts = median over all locked visible P-J/P-L views including zero; z statistics = median over nonempty upper-point views,3,3,DJI_20241217084901_0194_D;DJI_20241217084903_0195_D;DJI_20241217095441_0023_D,208.000000,208.000000,-35.863887,0.052131,0.079098,-38.430000,-40.782000,4.918113,,,,not_applicable_render_inventory,0.500000,208;199;3347,208;199;3347,EPSG:25832,GS-local ellipsoidal,reference roof z used only after candidate selection for abs_delta_z_ref_m
DEBY_LOD2_8568392,0.500000,render_arm1p_r1,Arm1-prime final rendered depth; measurement only,counts = median over all locked visible P-J/P-L views including zero; z statistics = median over nonempty upper-point views,3,0,DJI_20241217084901_0194_D;DJI_20241217084903_0195_D;DJI_20241217095441_0023_D,0.000000,0.000000,,,,-40.428001,-40.927000,,,,,not_applicable_render_inventory,0.500000,0;0;0,0;0;0,EPSG:25832,GS-local ellipsoidal,reference roof z used only after candidate selection for abs_delta_z_ref_m
DEBY_LOD2_8568392,1.000000,render_arm1p_r1,Arm1-prime final rendered depth; measurement only,counts = median over all locked visible P-J/P-L views including zero; z statistics = median over nonempty upper-point views,3,0,DJI_20241217084901_0194_D;DJI_20241217084903_0195_D;DJI_20241217095441_0023_D,0.000000,0.000000,,,,-40.428001,-40.927000,,,,,not_applicable_render_inventory,0.500000,0;0;0,0;0;0,EPSG:25832,GS-local ellipsoidal,reference roof z used only after candidate selection for abs_delta_z_ref_m
