row_type,building_id,pair_rank,view_a,view_b,address_support_a,address_support_b,pair_selection_min_address_support,pair_selection_sum_address_support,crop_box_a_xyxy,crop_box_b_xyxy,reciprocal_match_count,border_finite_match_count,crop_gauge_pnp_inlier_a_count,crop_gauge_pnp_inlier_b_count,joint_pnp_inlier_count,joint_pnp_inlier_fraction,predicted_camera_baseline_model_units,known_colmap_baseline_m,similarity_scale_m_per_model_unit,camera_rotation_consistency_deg_qa,aligned_camera_center_residual_m_qa,pose_alignment_method,reconstructed_candidate_count,footprint_inside_count,roof_candidate_count,abs_delta_z_median_m,abs_delta_z_within_pair_mad_m,abs_delta_z_within_pair_std_m,abs_delta_z_across_pair_mad_m,footprint_outside_count,footprint_outside_rate,ground_z_q10_local_m,reference_roof_z_local_m,selected_pair_count,completed_pair_count,status,failure_reason,view_pair_selection_rule,candidate_rule,score_rule,gt_role,learning_runs_started
view_pair,DEBY_LOD2_4907199,1,DJI_20241217095441_0023_D,DJI_20241217095531_0048_D,35597,2402,2402,37999,0;773;320;1013,1107;821;1363;1013,651,538,286,214,64,0.118959,1.512801,54.491666,36.020375,20.529949,7.479702,PnP recovers each physical camera in MASt3R crop gauge; known COLMAP poses fixed; scale=known/predicted camera-center baseline; rotation=SO(3) mean of pose-implied world rotations; translation=mean center alignment,64,2,0,,,,,62,0.968750,-27.521000,-34.333000,,,pass,,"all locked visible-view combinations; sort by min frozen address pixels desc, then sum desc, stems asc; keep at most 10",MASt3R reciprocal desc NN stride8; 3px border; finite positive pointmaps; joint 4px crop-gauge PnP inliers only; no footprint or LoD2 filter,yield=points inside exact footprint after reconstruction; roof candidate=inside and z>=observed exterior-ring ground q10+1.5m; abs dz versus LoD2 only here,LoD2 reference z and footprint containment used only after reconstruction for scoring,0
view_pair,DEBY_LOD2_4907199,2,DJI_20241217095145_0079_D,DJI_20241217095441_0023_D,612,35597,612,36209,0;435;256;627,0;773;320;1013,69,39,29,27,22,0.564103,3.568719,87.474074,24.511339,113.430665,74.228053,PnP recovers each physical camera in MASt3R crop gauge; known COLMAP poses fixed; scale=known/predicted camera-center baseline; rotation=SO(3) mean of pose-implied world rotations; translation=mean center alignment,22,0,0,,,,,22,1.000000,-27.521000,-34.333000,,,pass,,"all locked visible-view combinations; sort by min frozen address pixels desc, then sum desc, stems asc; keep at most 10",MASt3R reciprocal desc NN stride8; 3px border; finite positive pointmaps; joint 4px crop-gauge PnP inliers only; no footprint or LoD2 filter,yield=points inside exact footprint after reconstruction; roof candidate=inside and z>=observed exterior-ring ground q10+1.5m; abs dz versus LoD2 only here,LoD2 reference z and footprint containment used only after reconstruction for scoring,0
view_pair,DEBY_LOD2_4907199,3,DJI_20241217095145_0079_D,DJI_20241217095531_0048_D,612,2402,612,3014,0;435;256;627,1107;821;1363;1013,146,95,50,22,21,0.221053,1.319740,135.118101,102.382382,139.783051,55.837217,PnP recovers each physical camera in MASt3R crop gauge; known COLMAP poses fixed; scale=known/predicted camera-center baseline; rotation=SO(3) mean of pose-implied world rotations; translation=mean center alignment,21,0,0,,,,,21,1.000000,-27.521000,-34.333000,,,pass,,"all locked visible-view combinations; sort by min frozen address pixels desc, then sum desc, stems asc; keep at most 10",MASt3R reciprocal desc NN stride8; 3px border; finite positive pointmaps; joint 4px crop-gauge PnP inliers only; no footprint or LoD2 filter,yield=points inside exact footprint after reconstruction; roof candidate=inside and z>=observed exterior-ring ground q10+1.5m; abs dz versus LoD2 only here,LoD2 reference z and footprint containment used only after reconstruction for scoring,0
view_pair,DEBY_LOD2_4907199,4,DJI_20241217095149_0081_D,DJI_20241217095441_0023_D,607,35597,607,36204,0;434;256;626,0;773;320;1013,73,46,40,32,32,0.695652,2.335867,87.451028,37.438360,114.968464,85.445731,PnP recovers each physical camera in MASt3R crop gauge; known COLMAP poses fixed; scale=known/predicted camera-center baseline; rotation=SO(3) mean of pose-implied world rotations; translation=mean center alignment,32,0,0,,,,,32,1.000000,-27.521000,-34.333000,,,pass,,"all locked visible-view combinations; sort by min frozen address pixels desc, then sum desc, stems asc; keep at most 10",MASt3R reciprocal desc NN stride8; 3px border; finite positive pointmaps; joint 4px crop-gauge PnP inliers only; no footprint or LoD2 filter,yield=points inside exact footprint after reconstruction; roof candidate=inside and z>=observed exterior-ring ground q10+1.5m; abs dz versus LoD2 only here,LoD2 reference z and footprint containment used only after reconstruction for scoring,0
view_pair,DEBY_LOD2_4907199,5,DJI_20241217095149_0081_D,DJI_20241217095531_0048_D,607,2402,607,3009,0;434;256;626,1107;821;1363;1013,140,114,64,25,17,0.149123,5.571457,135.108209,24.250069,106.271840,50.414742,PnP recovers each physical camera in MASt3R crop gauge; known COLMAP poses fixed; scale=known/predicted camera-center baseline; rotation=SO(3) mean of pose-implied world rotations; translation=mean center alignment,17,0,0,,,,,17,1.000000,-27.521000,-34.333000,,,pass,,"all locked visible-view combinations; sort by min frozen address pixels desc, then sum desc, stems asc; keep at most 10",MASt3R reciprocal desc NN stride8; 3px border; finite positive pointmaps; joint 4px crop-gauge PnP inliers only; no footprint or LoD2 filter,yield=points inside exact footprint after reconstruction; roof candidate=inside and z>=observed exterior-ring ground q10+1.5m; abs dz versus LoD2 only here,LoD2 reference z and footprint containment used only after reconstruction for scoring,0
view_pair,DEBY_LOD2_4907199,6,DJI_20241217095145_0079_D,DJI_20241217095149_0081_D,612,607,607,1219,0;435;256;627,0;434;256;626,3072,3023,431,486,375,0.124049,0.038829,0.057419,1.478778,0.690662,0.053083,PnP recovers each physical camera in MASt3R crop gauge; known COLMAP poses fixed; scale=known/predicted camera-center baseline; rotation=SO(3) mean of pose-implied world rotations; translation=mean center alignment,375,0,0,,,,,375,1.000000,-27.521000,-34.333000,,,pass,,"all locked visible-view combinations; sort by min frozen address pixels desc, then sum desc, stems asc; keep at most 10",MASt3R reciprocal desc NN stride8; 3px border; finite positive pointmaps; joint 4px crop-gauge PnP inliers only; no footprint or LoD2 filter,yield=points inside exact footprint after reconstruction; roof candidate=inside and z>=observed exterior-ring ground q10+1.5m; abs dz versus LoD2 only here,LoD2 reference z and footprint containment used only after reconstruction for scoring,0
view_pair,DEBY_LOD2_4907199,7,DJI_20241217095147_0080_D,DJI_20241217095441_0023_D,603,35597,603,36200,0;434;256;626,0;773;320;1013,66,26,18,18,13,0.500000,2.365620,87.494419,36.985829,127.752248,46.732118,PnP recovers each physical camera in MASt3R crop gauge; known COLMAP poses fixed; scale=known/predicted camera-center baseline; rotation=SO(3) mean of pose-implied world rotations; translation=mean center alignment,13,0,0,,,,,13,1.000000,-27.521000,-34.333000,,,pass,,"all locked visible-view combinations; sort by min frozen address pixels desc, then sum desc, stems asc; keep at most 10",MASt3R reciprocal desc NN stride8; 3px border; finite positive pointmaps; joint 4px crop-gauge PnP inliers only; no footprint or LoD2 filter,yield=points inside exact footprint after reconstruction; roof candidate=inside and z>=observed exterior-ring ground q10+1.5m; abs dz versus LoD2 only here,LoD2 reference z and footprint containment used only after reconstruction for scoring,0
view_pair,DEBY_LOD2_4907199,8,DJI_20241217095147_0080_D,DJI_20241217095531_0048_D,603,2402,603,3005,0;434;256;626,1107;821;1363;1013,162,124,65,23,7,0.056452,1.079628,135.143828,125.176234,149.937891,54.296057,PnP recovers each physical camera in MASt3R crop gauge; known COLMAP poses fixed; scale=known/predicted camera-center baseline; rotation=SO(3) mean of pose-implied world rotations; translation=mean center alignment,7,0,0,,,,,7,1.000000,-27.521000,-34.333000,,,pass,,"all locked visible-view combinations; sort by min frozen address pixels desc, then sum desc, stems asc; keep at most 10",MASt3R reciprocal desc NN stride8; 3px border; finite positive pointmaps; joint 4px crop-gauge PnP inliers only; no footprint or LoD2 filter,yield=points inside exact footprint after reconstruction; roof candidate=inside and z>=observed exterior-ring ground q10+1.5m; abs dz versus LoD2 only here,LoD2 reference z and footprint containment used only after reconstruction for scoring,0
view_pair,DEBY_LOD2_4907199,9,DJI_20241217095145_0079_D,DJI_20241217095147_0080_D,612,603,603,1215,0;435;256;627,0;434;256;626,3072,3024,522,497,427,0.141204,0.049355,0.032560,0.659706,0.644471,0.028582,PnP recovers each physical camera in MASt3R crop gauge; known COLMAP poses fixed; scale=known/predicted camera-center baseline; rotation=SO(3) mean of pose-implied world rotations; translation=mean center alignment,427,0,0,,,,,427,1.000000,-27.521000,-34.333000,,,pass,,"all locked visible-view combinations; sort by min frozen address pixels desc, then sum desc, stems asc; keep at most 10",MASt3R reciprocal desc NN stride8; 3px border; finite positive pointmaps; joint 4px crop-gauge PnP inliers only; no footprint or LoD2 filter,yield=points inside exact footprint after reconstruction; roof candidate=inside and z>=observed exterior-ring ground q10+1.5m; abs dz versus LoD2 only here,LoD2 reference z and footprint containment used only after reconstruction for scoring,0
view_pair,DEBY_LOD2_4907199,10,DJI_20241217095147_0080_D,DJI_20241217095149_0081_D,603,607,603,1210,0;434;256;626,0;434;256;626,3072,3015,452,397,346,0.114760,0.051019,0.051219,1.003926,1.063785,0.040851,PnP recovers each physical camera in MASt3R crop gauge; known COLMAP poses fixed; scale=known/predicted camera-center baseline; rotation=SO(3) mean of pose-implied world rotations; translation=mean center alignment,346,0,0,,,,,346,1.000000,-27.521000,-34.333000,,,pass,,"all locked visible-view combinations; sort by min frozen address pixels desc, then sum desc, stems asc; keep at most 10",MASt3R reciprocal desc NN stride8; 3px border; finite positive pointmaps; joint 4px crop-gauge PnP inliers only; no footprint or LoD2 filter,yield=points inside exact footprint after reconstruction; roof candidate=inside and z>=observed exterior-ring ground q10+1.5m; abs dz versus LoD2 only here,LoD2 reference z and footprint containment used only after reconstruction for scoring,0
