building_id,manual_review_key,join_key,area_m2,bbox_width_m,bbox_height_m,bbox_aspect_ratio,perimeter_m,isoperimetric,small_flag,elong_flag
DEBY_LOD2_104583794,104583794,DEBY_LOD2_104583794,6.387,4.04,2.91,1.388,10.861,1.47,1,0
DEBY_LOD2_108247350,108247350,DEBY_LOD2_108247350,12.137,4.94,4.17,1.185,14.702,1.417,1,0
DEBY_LOD2_108247351,108247351,DEBY_LOD2_108247351,65.278,9.48,12.23,1.29,33.692,1.384,0,0
DEBY_LOD2_42364607,42364607,DEBY_LOD2_42364607,90.44,11.07,17.03,1.538,43.416,1.659,0,0
DEBY_LOD2_4906999,4906999,DEBY_LOD2_4906999,221.161,22.37,18.04,1.24,63.435,1.448,0,0
DEBY_LOD2_4907012,4907012,DEBY_LOD2_4907012,51.117,8.271,13.115,1.586,33.136,1.709,0,0
DEBY_LOD2_4907013,4907013,DEBY_LOD2_4907013,116.323,13.175,14.967,1.136,43.593,1.3,0,0
DEBY_LOD2_4907014,4907014,DEBY_LOD2_4907014,149.951,16.559,15.186,1.09,49.21,1.285,0,0
DEBY_LOD2_4907015,4907015,DEBY_LOD2_4907015,168.433,18.106,15.765,1.148,52.533,1.304,0,0
DEBY_LOD2_4907016,4907016,DEBY_LOD2_4907016,282.21,26.127,19.572,1.335,70.875,1.416,0,0
DEBY_LOD2_4907019,4907019,DEBY_LOD2_4907019,206.425,17.208,21.364,1.242,59.367,1.359,0,0
DEBY_LOD2_4907021,4907021,DEBY_LOD2_4907021,249.026,18.66,24.533,1.315,66.485,1.413,0,0
DEBY_LOD2_4907022,4907022,DEBY_LOD2_4907022,240.898,18.257,24.139,1.322,65.338,1.41,0,0
DEBY_LOD2_4907027,4907027,DEBY_LOD2_4907027,264.334,24.704,19.194,1.287,67.838,1.385,0,0
DEBY_LOD2_4907030,4907030,DEBY_LOD2_4907030,177.417,17.536,16.347,1.073,54.567,1.336,0,0
DEBY_LOD2_4907031,4907031,DEBY_LOD2_4907031,163.719,17.129,16.018,1.069,51.318,1.28,0,0
DEBY_LOD2_4907032,4907032,DEBY_LOD2_4907032,375.518,35.9,22.64,1.586,91.492,1.774,0,0
DEBY_LOD2_4907033,4907033,DEBY_LOD2_4907033,128.952,14.39,14.941,1.038,45.449,1.275,0,0
DEBY_LOD2_4907034,4907034,DEBY_LOD2_4907034,549.508,52.27,28.55,1.831,125.026,2.264,0,0
DEBY_LOD2_4907036,4907036,DEBY_LOD2_4907036,187.848,19.04,16.731,1.138,55.409,1.301,0,0
DEBY_LOD2_4907167,4907167,DEBY_LOD2_4907167,203.195,17.34,20.468,1.18,58.178,1.326,0,0
DEBY_LOD2_4907174,4907174,DEBY_LOD2_4907174,260.425,18.963,28.497,1.503,81.846,2.047,0,0
DEBY_LOD2_4907187,4907187,DEBY_LOD2_4907187,119.911,14.467,14.297,1.012,50.807,1.713,0,0
DEBY_LOD2_4907199,4907199,DEBY_LOD2_4907199,98.346,11.67,14.85,1.272,41.023,1.362,0,0
DEBY_LOD2_4908044,4908044,DEBY_LOD2_4908044,46.303,10.026,8.064,1.243,28.033,1.351,1,0
DEBY_LOD2_4908045,4908045,DEBY_LOD2_4908045,55.841,11.635,8.707,1.336,31.492,1.413,0,0
DEBY_LOD2_4908049,4908049,DEBY_LOD2_4908049,49.086,8.443,10.257,1.215,28.819,1.347,1,0
DEBY_LOD2_4908051,4908051,DEBY_LOD2_4908051,141.529,13.986,24.17,1.728,59.105,1.964,0,0
DEBY_LOD2_4908052,4908052,DEBY_LOD2_4908052,143.561,14.482,26.256,1.813,63.052,2.204,0,0
DEBY_LOD2_4908053,4908053,DEBY_LOD2_4908053,36.308,7.513,8.118,1.081,24.194,1.283,1,0
DEBY_LOD2_4908054,4908054,DEBY_LOD2_4908054,33.607,7.339,7.661,1.044,23.216,1.276,1,0
DEBY_LOD2_4908157,4908157,DEBY_LOD2_4908157,165.053,17.723,15.2,1.166,59.071,1.682,0,0
DEBY_LOD2_4908158,4908158,DEBY_LOD2_4908158,182.586,28.402,16.253,1.747,69.01,2.076,0,0
DEBY_LOD2_4908159,4908159,DEBY_LOD2_4908159,37.636,7.777,8.132,1.046,24.601,1.28,1,0
DEBY_LOD2_4908160,4908160,DEBY_LOD2_4908160,8.493,3.455,4.588,1.328,12.358,1.431,1,0
DEBY_LOD2_4908161,4908161,DEBY_LOD2_4908161,454.5,30.924,41.04,1.327,173.05,5.243,0,1
DEBY_LOD2_4908162,4908162,DEBY_LOD2_4908162,104.741,14.623,14.494,1.009,47.427,1.709,0,0
DEBY_LOD2_4908164,4908164,DEBY_LOD2_4908164,33.273,8.691,6.887,1.262,24.003,1.378,1,0
DEBY_LOD2_4908165,4908165,DEBY_LOD2_4908165,8.825,4.896,3.448,1.42,12.903,1.501,1,0
DEBY_LOD2_4908167,4908167,DEBY_LOD2_4908167,33.591,7.405,7.588,1.025,23.203,1.275,1,0
DEBY_LOD2_4908169,4908169,DEBY_LOD2_4908169,16.935,5.217,5.834,1.118,17.049,1.366,1,0
DEBY_LOD2_4908170,4908170,DEBY_LOD2_4908170,72.814,14.522,9.879,1.47,37.688,1.552,0,0
DEBY_LOD2_8568391,8568391,DEBY_LOD2_8568391,55.536,11.46,8.63,1.328,31.232,1.398,0,0
DEBY_LOD2_8568392,8568392,DEBY_LOD2_8568392,5.797,3.12,3.065,1.018,9.633,1.274,1,0
