building_id,source_files,part_count,intersecting_part_count,area_m2,min_x,min_y,max_x,max_y
DEBY_LOD2_104583447,690_5336.gml,1,1,6.082,690871.710,5336174.330,690874.600,5336178.550
DEBY_LOD2_104583794,690_5336.gml,1,1,6.389,690809.340,5336134.200,690813.380,5336137.110
DEBY_LOD2_104586480,690_5334.gml,1,1,14.770,690888.450,5335971.460,690891.860,5335979.300
DEBY_LOD2_107802038,690_5336.gml,1,1,388.477,690806.990,5336293.210,690828.840,5336325.620
DEBY_LOD2_107807336,690_5336.gml,1,1,100.627,690789.880,5336302.600,690804.570,5336332.210
DEBY_LOD2_108246888,690_5334.gml,1,1,13.961,690841.230,5335879.360,690846.260,5335883.990
DEBY_LOD2_108247349,690_5336.gml,1,1,101.102,690778.390,5336051.520,690793.360,5336063.540
DEBY_LOD2_108247350,690_5336.gml,1,1,12.137,690793.400,5336069.080,690798.340,5336073.250
DEBY_LOD2_108247351,690_5336.gml,1,1,65.279,690787.710,5336058.990,690797.190,5336071.220
DEBY_LOD2_108247714,690_5334.gml,1,1,34.271,690848.410,5335907.180,690855.290,5335916.980
DEBY_LOD2_108250120,690_5336.gml,1,1,46.818,690992.700,5336341.360,691003.470,5336349.350
DEBY_LOD2_108580335,690_5336.gml,1,1,1020.875,691093.740,5336211.380,691132.510,5336257.760
DEBY_LOD2_108580336,690_5336.gml,1,1,4799.469,690953.020,5335962.630,691047.630,5336105.590
DEBY_LOD2_42364607,690_5336.gml,1,1,90.441,690829.870,5336167.630,690840.940,5336184.660
DEBY_LOD2_42364609,690_5336.gml,1,1,16.445,690860.387,5336180.751,690866.126,5336185.691
DEBY_LOD2_42364657,690_5336.gml,1,1,107.301,691120.332,5336342.959,691141.893,5336355.188
DEBY_LOD2_42364659,690_5336.gml,1,1,66.102,691087.347,5336287.938,691096.696,5336301.268
DEBY_LOD2_42364661,690_5336.gml,1,1,58.561,691082.728,5336353.129,691093.350,5336362.490
DEBY_LOD2_42364663,690_5336.gml,1,1,42.215,690916.959,5336090.729,690928.798,5336117.968
DEBY_LOD2_42364665,690_5336.gml,1,1,49.277,690878.019,5336057.014,690905.793,5336062.468
DEBY_LOD2_42364667,690_5336.gml,1,1,45.705,690891.702,5336091.347,690917.651,5336095.022
DEBY_LOD2_4906965,690_5334.gml,1,1,2621.250,690825.810,5335938.400,690928.630,5336024.430
DEBY_LOD2_4906966,690_5336.gml,1,1,1437.016,690845.610,5336017.780,690892.670,5336102.170
DEBY_LOD2_4906967,690_5334.gml,1,1,2568.094,690870.030,5335963.820,690944.530,5336024.550
DEBY_LOD2_4906968,690_5336.gml,1,1,1781.398,690891.410,5336021.120,690949.090,5336138.380
DEBY_LOD2_4906969,690_5336.gml,1,1,173.375,690916.690,5336008.570,690935.670,5336025.350
DEBY_LOD2_4906970,690_5334.gml,1,1,154.490,690921.810,5335934.310,690938.280,5335950.210
DEBY_LOD2_4906972,690_5334.gml,1,1,371.016,690933.230,5335923.580,690964.540,5335948.060
DEBY_LOD2_4906973,690_5334.gml,1,1,55.297,690945.440,5335938.350,690957.250,5335947.120
DEBY_LOD2_4906974,690_5334.gml,1,1,315.332,690955.350,5335934.730,690976.130,5335968.040
DEBY_LOD2_4906975,690_5336.gml,1,1,1805.656,690932.400,5336076.700,690990.560,5336124.070
DEBY_LOD2_4906976,690_5334.gml,1,1,273.078,690960.680,5335914.810,690989.300,5335934.250
DEBY_LOD2_4906977,690_5334.gml,1,1,530.766,690976.810,5335924.440,691002.690,5335963.330
DEBY_LOD2_4906980,690_5334.gml,1,1,44.926,690997.140,5335971.160,691009.140,5335978.990
DEBY_LOD2_4906981,690_5334.gml,1,1,1419.988,690985.320,5335907.260,691027.290,5335975.310
DEBY_LOD2_4906982,690_5336.gml,1,1,1385.406,690927.190,5336198.110,690976.690,5336245.030
DEBY_LOD2_4906983,690_5336.gml,1,1,932.787,690938.550,5336252.080,690974.560,5336314.200
DEBY_LOD2_4906984,690_5336.gml,1,1,246.428,690963.750,5336276.000,690982.390,5336299.110
DEBY_LOD2_4906985,690_5336.gml,1,1,875.803,690973.730,5336261.050,691012.380,5336298.850
DEBY_LOD2_4906986,690_5336.gml,1,1,236.227,690991.419,5336317.302,691010.140,5336341.621
DEBY_LOD2_4906987,690_5336.gml,1,1,231.477,691002.110,5336313.100,691018.610,5336338.140
DEBY_LOD2_4906988,690_5336.gml,1,1,130.994,691010.140,5336335.610,691023.550,5336355.390
DEBY_LOD2_4906989,690_5336.gml,1,1,320.910,690966.772,5336325.722,690988.240,5336351.652
DEBY_LOD2_4906990,690_5336.gml,1,1,292.582,690974.910,5336346.100,690996.420,5336369.250
DEBY_LOD2_4906991,690_5336.gml,1,1,167.684,691001.700,5336338.140,691016.940,5336358.640
DEBY_LOD2_4906997,690_5336.gml,1,1,193.582,690946.557,5336353.498,690963.169,5336374.162
DEBY_LOD2_4906998,690_5336.gml,1,1,326.336,690929.600,5336337.440,690956.570,5336357.590
DEBY_LOD2_4906999,690_5336.gml,1,1,221.160,690911.470,5336344.810,690933.840,5336362.850
DEBY_LOD2_4907000,690_5336.gml,1,1,198.246,690895.340,5336351.800,690915.600,5336368.830
DEBY_LOD2_4907011,690_5336.gml,1,1,194.988,690828.452,5336348.984,690847.668,5336366.304
DEBY_LOD2_4907012,690_5336.gml,1,1,51.113,690851.934,5336344.180,690860.205,5336357.295
DEBY_LOD2_4907013,690_5336.gml,1,1,116.320,690843.209,5336345.651,690856.384,5336360.618
DEBY_LOD2_4907014,690_5336.gml,1,1,149.949,690856.256,5336340.647,690872.815,5336355.833
DEBY_LOD2_4907015,690_5336.gml,1,1,168.434,690868.866,5336335.275,690886.972,5336351.040
DEBY_LOD2_4907016,690_5336.gml,1,1,282.211,690882.709,5336326.106,690908.836,5336345.678
DEBY_LOD2_4907017,690_5336.gml,1,1,287.672,690904.534,5336317.651,690931.007,5336337.423
DEBY_LOD2_4907018,690_5336.gml,1,1,257.297,690926.659,5336306.415,690945.030,5336329.021
