building_id,paired_category,w2_1c_both_attempted,w2_1c_coverage_control_population,w2_1c_als_bucket,w2_1c_dim_bucket,reference_mismatch_exclude,exclude_reason,city3d_als_status,city3d_als_reason,city3d_als_density,city3d_als_val3dity_valid,city3d_dim_status,city3d_dim_reason,city3d_dim_density,city3d_dim_val3dity_valid,roofer_als_status,roofer_dim_status
DEBY_LOD2_104583447,both_fail,yes,no,success,success,no,,failure,val3dity_invalid,18.743834,False,failure,val3dity_invalid,20.059191,False,success,success
DEBY_LOD2_104583794,both_fail,yes,no,success,coverage,no,,failure,val3dity_invalid,19.721396,False,failure,pointcloud_unusable_no_points,0.000000,,success,failure
DEBY_LOD2_104586480,ALS_only,yes,no,success,reference_mismatch,yes,,success,success,11.916046,True,failure,val3dity_invalid,245.226811,False,success,failure
DEBY_LOD2_107802038,both_fail,yes,no,success,coverage,no,,failure,val3dity_invalid,18.070568,False,failure,pointcloud_unusable_no_points,0.000000,,success,failure
DEBY_LOD2_107807336,both_fail,yes,no,success,coverage,no,,failure,val3dity_invalid,18.036909,False,failure,pointcloud_unusable_no_points,0.000000,,success,failure
DEBY_LOD2_108246888,both_fail,yes,yes,success,success,no,,failure,val3dity_invalid,19.554473,False,failure,val3dity_invalid,92.543514,False,success,success
DEBY_LOD2_108247349,both_fail,no,no,aoi_edge_excluded,aoi_edge_excluded,no,aoi_edge_centroid_outside_roofer_box,failure,val3dity_invalid,21.384345,False,failure,pointcloud_unusable_no_points,0.000000,,failure,failure
DEBY_LOD2_108247350,both_fail,yes,no,success,coverage,no,,failure,val3dity_invalid,13.841971,False,failure,pointcloud_unusable_low_points,0.247178,,success,failure
DEBY_LOD2_108247351,both_fail,yes,no,success,coverage,no,,failure,val3dity_invalid,18.474548,False,failure,pointcloud_unusable_no_points,0.000000,,success,failure
DEBY_LOD2_108247714,both_fail,yes,yes,coverage,success,no,,failure,pointcloud_unusable_no_points,0.000000,,failure,val3dity_invalid,43.418634,False,failure,success
DEBY_LOD2_108250120,both_fail,yes,no,validity,success,no,,failure,val3dity_invalid,15.805887,False,failure,val3dity_invalid,7.176727,False,failure,success
DEBY_LOD2_108580335,both_fail,yes,yes,success,success,no,,failure,val3dity_invalid,10.894576,False,failure,city3d_timeout,150.147667,,success,success
DEBY_LOD2_108580336,both_fail,yes,yes,validity,success,no,,failure,city3d_timeout,18.718737,,failure,city3d_timeout,341.329218,,failure,success
DEBY_LOD2_42364607,both_fail,yes,no,validity,coverage,no,,failure,val3dity_invalid,17.812718,False,failure,pointcloud_unusable_no_points,0.000000,,failure,failure
DEBY_LOD2_42364609,both_fail,yes,yes,success,roof_matching_assembly_failure,no,,failure,val3dity_invalid,21.222256,False,failure,val3dity_invalid,3.891760,False,success,failure
DEBY_LOD2_42364657,both_fail,yes,yes,success,success,no,,failure,val3dity_invalid,17.101425,False,failure,val3dity_invalid,35.228003,False,success,success
DEBY_LOD2_42364659,both_fail,yes,yes,success,roof_matching_assembly_failure,no,,failure,val3dity_invalid,12.813531,False,failure,city3d_timeout,48.576442,,success,failure
DEBY_LOD2_42364661,both_fail,no,no,aoi_edge_excluded,aoi_edge_excluded,no,aoi_edge_centroid_outside_roofer_box,failure,val3dity_invalid,18.664299,False,failure,val3dity_invalid,29.644303,False,failure,failure
DEBY_LOD2_42364663,both_fail,yes,yes,success,success,no,,failure,val3dity_invalid,20.135023,False,failure,city3d_reconstruction_failed,4057.680919,,success,success
DEBY_LOD2_42364665,both_fail,yes,yes,success,success,no,,failure,val3dity_invalid,32.631857,False,failure,city3d_timeout,835.886925,,success,success
DEBY_LOD2_42364667,both_fail,yes,yes,success,success,no,,failure,val3dity_invalid,32.359698,False,failure,city3d_timeout,1233.278635,,success,success
DEBY_LOD2_4906965,both_fail,yes,yes,validity,success,no,,failure,city3d_timeout,21.780448,,failure,city3d_timeout,1280.975489,,failure,success
DEBY_LOD2_4906966,both_fail,yes,yes,success,success,no,,failure,city3d_timeout,20.726979,,failure,city3d_timeout,1314.433521,,success,success
DEBY_LOD2_4906967,both_fail,yes,yes,validity,validity,no,,failure,val3dity_invalid,16.950704,False,failure,city3d_timeout,738.294626,,failure,failure
DEBY_LOD2_4906968,both_fail,yes,yes,success,validity,no,,failure,val3dity_invalid,18.351879,False,failure,city3d_timeout,427.532758,,success,failure
DEBY_LOD2_4906969,both_fail,yes,yes,success,validity,no,,failure,val3dity_invalid,19.651045,False,failure,city3d_reconstruction_failed,283.806777,,success,failure
DEBY_LOD2_4906970,both_fail,yes,yes,success,success,no,,failure,val3dity_invalid,19.820053,False,failure,city3d_reconstruction_failed,811.165771,,success,success
DEBY_LOD2_4906972,both_fail,yes,yes,success,success,no,,failure,val3dity_invalid,21.594756,False,failure,city3d_reconstruction_failed,1046.353796,,success,success
DEBY_LOD2_4906973,both_fail,yes,yes,success,success,no,,failure,val3dity_invalid,16.004485,False,failure,city3d_timeout,210.029477,,success,success
DEBY_LOD2_4906974,both_fail,yes,yes,success,success,no,,failure,val3dity_invalid,19.097332,False,failure,val3dity_invalid,322.441110,False,success,success
DEBY_LOD2_4906975,both_fail,yes,yes,success,validity,no,,failure,city3d_timeout,18.825845,,failure,city3d_timeout,129.729029,,success,failure
DEBY_LOD2_4906976,both_fail,yes,yes,success,success,no,,failure,val3dity_invalid,21.345550,False,failure,city3d_reconstruction_failed,614.904899,,success,success
DEBY_LOD2_4906977,both_fail,yes,yes,success,success,no,,failure,val3dity_invalid,19.179827,False,failure,city3d_reconstruction_failed,259.308245,,success,success
DEBY_LOD2_4906980,both_fail,yes,yes,success,success,no,,failure,val3dity_invalid,17.072519,False,failure,city3d_timeout,249.031741,,success,success
DEBY_LOD2_4906981,both_fail,yes,yes,success,success,no,,failure,val3dity_invalid,19.550165,False,failure,city3d_reconstruction_failed,557.123018,,success,success
DEBY_LOD2_4906982,both_fail,yes,yes,success,success,no,,failure,city3d_timeout,11.551127,,failure,city3d_timeout,377.947692,,success,success
DEBY_LOD2_4906983,both_fail,yes,yes,success,success,no,,failure,val3dity_invalid,13.455376,False,failure,val3dity_invalid,150.324779,False,success,success
DEBY_LOD2_4906984,both_fail,yes,yes,success,success,no,,failure,val3dity_invalid,11.204084,False,failure,city3d_timeout,29.943838,,success,success
DEBY_LOD2_4906985,both_fail,yes,yes,success,validity,no,,failure,val3dity_invalid,11.283359,False,failure,city3d_reconstruction_failed,180.877435,,success,failure
DEBY_LOD2_4906986,both_fail,yes,yes,success,success,no,,failure,val3dity_invalid,18.418724,False,failure,val3dity_invalid,126.526604,False,success,success
DEBY_LOD2_4906987,both_fail,yes,yes,success,success,no,,failure,val3dity_invalid,17.600021,False,failure,val3dity_invalid,140.631683,False,success,success
DEBY_LOD2_4906988,both_fail,yes,yes,success,success,no,,failure,val3dity_invalid,18.687879,False,failure,val3dity_invalid,73.117853,False,success,success
DEBY_LOD2_4906989,both_fail,yes,no,success,success,no,,failure,val3dity_invalid,19.531956,False,failure,city3d_timeout,89.632607,,success,success
DEBY_LOD2_4906990,both_fail,no,no,aoi_edge_excluded,aoi_edge_excluded,no,aoi_edge_centroid_outside_roofer_box,failure,val3dity_invalid,19.488554,False,failure,val3dity_invalid,36.837536,False,failure,failure
DEBY_LOD2_4906991,both_fail,yes,yes,success,success,no,,failure,val3dity_invalid,19.769328,False,failure,val3dity_invalid,59.313948,False,success,success
DEBY_LOD2_4906997,both_fail,no,no,aoi_edge_excluded,aoi_edge_excluded,no,aoi_edge_centroid_outside_roofer_box,failure,val3dity_invalid,18.844727,False,failure,pointcloud_unusable_no_points,0.000000,,failure,failure
DEBY_LOD2_4906998,both_fail,yes,no,validity,success,no,,failure,val3dity_invalid,18.303221,False,failure,city3d_timeout,43.256031,,failure,success
DEBY_LOD2_4906999,both_fail,yes,no,success,coverage,no,,failure,val3dity_invalid,18.543136,False,failure,pointcloud_unusable_no_points,0.000000,,success,failure
DEBY_LOD2_4907000,both_fail,no,no,aoi_edge_excluded,aoi_edge_excluded,no,aoi_edge_centroid_outside_roofer_box,failure,val3dity_invalid,18.527486,False,failure,pointcloud_unusable_no_points,0.000000,,failure,failure
DEBY_LOD2_4907011,both_fail,no,no,aoi_edge_excluded,aoi_edge_excluded,no,aoi_edge_centroid_outside_roofer_box,failure,val3dity_invalid,18.934499,False,failure,pointcloud_unusable_no_points,0.000000,,failure,failure
DEBY_LOD2_4907012,both_fail,yes,no,success,coverage,no,,failure,val3dity_invalid,20.288381,False,failure,pointcloud_unusable_no_points,0.000000,,success,failure
DEBY_LOD2_4907013,both_fail,yes,no,success,coverage,no,,failure,val3dity_invalid,20.374828,False,failure,pointcloud_unusable_no_points,0.000000,,success,failure
DEBY_LOD2_4907014,both_fail,yes,no,success,coverage,no,,failure,val3dity_invalid,19.680025,False,failure,pointcloud_unusable_no_points,0.000000,,success,failure
DEBY_LOD2_4907015,both_fail,yes,no,success,coverage,no,,failure,val3dity_invalid,19.770355,False,failure,pointcloud_unusable_no_points,0.000000,,success,failure
DEBY_LOD2_4907016,both_fail,yes,no,success,coverage,no,,failure,val3dity_invalid,19.017685,False,failure,pointcloud_unusable_no_points,0.000000,,success,failure
DEBY_LOD2_4907017,both_fail,yes,no,success,validity,no,,failure,val3dity_invalid,19.334520,False,failure,val3dity_invalid,0.184238,False,success,failure
DEBY_LOD2_4907018,both_fail,yes,yes,success,success,no,,failure,val3dity_invalid,19.226808,False,failure,city3d_timeout,80.591690,,success,success
DEBY_LOD2_4907019,both_fail,yes,no,success,coverage,no,,failure,val3dity_invalid,18.650932,False,failure,pointcloud_unusable_no_points,0.000000,,success,failure
DEBY_LOD2_4907020,both_fail,yes,yes,success,success,no,,failure,val3dity_invalid,13.444056,False,failure,val3dity_invalid,62.216575,False,success,success
DEBY_LOD2_4907021,both_fail,yes,no,success,coverage,no,,failure,city3d_timeout,10.862102,,failure,pointcloud_unusable_no_points,0.000000,,success,failure
DEBY_LOD2_4907022,both_fail,yes,no,success,coverage,no,,failure,val3dity_invalid,11.079010,False,failure,pointcloud_unusable_no_points,0.000000,,success,failure
DEBY_LOD2_4907023,both_fail,yes,yes,success,success,no,,failure,val3dity_invalid,11.201112,False,failure,val3dity_invalid,103.557871,False,success,success
DEBY_LOD2_4907024,both_fail,yes,yes,success,success,no,,failure,val3dity_invalid,11.019579,False,failure,val3dity_invalid,71.912701,False,success,success
DEBY_LOD2_4907025,both_fail,yes,yes,success,validity,no,,failure,val3dity_invalid,10.754133,False,failure,city3d_reconstruction_failed,182.269867,,success,failure
DEBY_LOD2_4907026,both_fail,yes,no,success,success,no,,failure,val3dity_invalid,10.686321,False,failure,val3dity_invalid,23.776688,False,success,success
DEBY_LOD2_4907027,both_fail,yes,no,success,coverage,no,,failure,val3dity_invalid,11.141123,False,failure,pointcloud_unusable_low_points,0.007566,,success,failure
DEBY_LOD2_4907028,both_fail,yes,no,success,success,no,,failure,val3dity_invalid,11.113894,False,failure,val3dity_invalid,0.210358,False,success,success
DEBY_LOD2_4907029,both_fail,yes,no,success,coverage,no,,failure,val3dity_invalid,18.080851,False,failure,pointcloud_unusable_no_points,0.000000,,success,failure
DEBY_LOD2_4907030,both_fail,yes,no,success,coverage,no,,failure,val3dity_invalid,10.917720,False,failure,pointcloud_unusable_no_points,0.000000,,success,failure
DEBY_LOD2_4907031,both_fail,yes,no,success,coverage,no,,failure,val3dity_invalid,10.505806,False,failure,pointcloud_unusable_no_points,0.000000,,success,failure
DEBY_LOD2_4907032,both_fail,yes,no,success,coverage,no,,failure,val3dity_invalid,13.873984,False,failure,pointcloud_unusable_no_points,0.000000,,success,failure
DEBY_LOD2_4907033,both_fail,yes,no,success,coverage,no,,failure,val3dity_invalid,10.159055,False,failure,pointcloud_unusable_no_points,0.000000,,success,failure
DEBY_LOD2_4907034,both_fail,yes,no,success,coverage,no,,failure,val3dity_invalid,19.424790,False,failure,pointcloud_unusable_no_points,0.000000,,success,failure
DEBY_LOD2_4907035,both_fail,no,no,aoi_edge_excluded,aoi_edge_excluded,no,aoi_edge_centroid_outside_roofer_box,failure,val3dity_invalid,10.619262,False,failure,pointcloud_unusable_no_points,0.000000,,failure,failure
DEBY_LOD2_4907036,both_fail,yes,no,success,coverage,no,,failure,val3dity_invalid,11.056812,False,failure,pointcloud_unusable_no_points,0.000000,,success,failure
DEBY_LOD2_4907156,both_fail,no,no,aoi_edge_excluded,aoi_edge_excluded,no,aoi_edge_centroid_outside_roofer_box,failure,val3dity_invalid,11.240823,False,failure,pointcloud_unusable_no_points,0.000000,,failure,failure
DEBY_LOD2_4907164,both_fail,no,no,aoi_edge_excluded,aoi_edge_excluded,no,aoi_edge_centroid_outside_roofer_box,failure,val3dity_invalid,19.456579,False,failure,val3dity_invalid,1.022400,False,failure,failure
DEBY_LOD2_4907165,both_fail,yes,no,success,success,no,,failure,city3d_timeout,19.368622,,failure,val3dity_invalid,4.886981,False,success,success
DEBY_LOD2_4907166,both_fail,no,no,aoi_edge_excluded,aoi_edge_excluded,no,aoi_edge_centroid_outside_roofer_box,failure,val3dity_invalid,18.514935,False,failure,val3dity_invalid,1.554356,False,failure,failure
DEBY_LOD2_4907167,both_fail,yes,no,success,coverage,no,,failure,val3dity_invalid,18.799675,False,failure,val3dity_invalid,0.354339,False,success,failure
DEBY_LOD2_4907168,both_fail,yes,no,success,coverage,no,,failure,val3dity_invalid,14.639862,False,failure,val3dity_invalid,0.670270,False,success,failure
DEBY_LOD2_4907169,both_fail,yes,no,success,coverage,no,,failure,val3dity_invalid,10.660114,False,failure,val3dity_invalid,0.859991,False,success,failure
DEBY_LOD2_4907170,both_fail,yes,no,success,success,no,,failure,val3dity_invalid,10.929098,False,failure,val3dity_invalid,2.980284,False,success,success
DEBY_LOD2_4907171,both_fail,yes,no,success,success,no,,failure,val3dity_invalid,11.570939,False,failure,val3dity_invalid,2.608355,False,success,success
DEBY_LOD2_4907172,both_fail,yes,no,success,success,no,,failure,city3d_timeout,14.866312,,failure,val3dity_invalid,1.555003,False,success,success
DEBY_LOD2_4907173,both_fail,yes,yes,success,success,no,,failure,val3dity_invalid,16.594656,False,failure,city3d_reconstruction_failed,328.860996,,success,success
DEBY_LOD2_4907174,both_fail,yes,no,success,coverage,no,,failure,city3d_timeout,18.515816,,failure,pointcloud_unusable_no_points,0.000000,,success,failure
DEBY_LOD2_4907175,both_fail,yes,no,success,coverage,no,,failure,city3d_timeout,19.058158,,failure,val3dity_invalid,0.560534,False,success,failure
DEBY_LOD2_4907176,both_fail,yes,no,validity,success,no,,failure,city3d_timeout,18.908121,,failure,val3dity_invalid,2.111035,False,failure,success
DEBY_LOD2_4907177,both_fail,yes,no,success,success,no,,failure,val3dity_invalid,25.133410,False,failure,val3dity_invalid,11.614523,False,success,success
DEBY_LOD2_4907178,both_fail,yes,yes,validity,success,no,,failure,val3dity_invalid,19.880077,False,failure,city3d_reconstruction_failed,528.159124,,failure,success
DEBY_LOD2_4907179,both_fail,yes,yes,success,success,no,,failure,val3dity_invalid,18.776620,False,failure,city3d_reconstruction_failed,228.294015,,success,success
DEBY_LOD2_4907180,both_fail,yes,yes,success,success,no,,failure,city3d_timeout,17.401822,,failure,city3d_reconstruction_failed,283.067735,,success,success
DEBY_LOD2_4907181,both_fail,yes,no,success,coverage,no,,failure,val3dity_invalid,20.520051,False,failure,val3dity_invalid,0.901519,False,success,failure
DEBY_LOD2_4907182,both_fail,yes,yes,success,roof_matching_assembly_failure,no,,failure,val3dity_invalid,20.893857,False,failure,val3dity_invalid,2.557787,False,success,failure
DEBY_LOD2_4907183,both_fail,yes,yes,success,success,no,,failure,val3dity_invalid,19.931984,False,failure,city3d_timeout,626.634041,,success,success
DEBY_LOD2_4907184,both_fail,yes,yes,validity,success,no,,failure,val3dity_invalid,21.303737,False,failure,city3d_timeout,597.534591,,failure,success
DEBY_LOD2_4907185,both_fail,yes,no,success,success,no,,failure,val3dity_invalid,20.853522,False,failure,val3dity_invalid,21.667288,False,success,success
DEBY_LOD2_4907186,both_fail,yes,no,success,success,no,,failure,val3dity_invalid,20.651112,False,failure,val3dity_invalid,2.859935,False,success,success
DEBY_LOD2_4907187,both_fail,yes,no,success,coverage,no,,failure,val3dity_invalid,18.072490,False,failure,pointcloud_unusable_no_points,0.000000,,success,failure
DEBY_LOD2_4907188,both_fail,yes,no,success,success,no,,failure,val3dity_invalid,19.839524,False,failure,city3d_timeout,6.739771,,success,success
DEBY_LOD2_4907194,both_fail,no,no,aoi_edge_excluded,aoi_edge_excluded,no,aoi_edge_centroid_outside_roofer_box,failure,val3dity_invalid,20.166693,False,failure,val3dity_invalid,0.220940,False,failure,failure
DEBY_LOD2_4907195,both_fail,yes,no,success,success,no,,failure,val3dity_invalid,21.969186,False,failure,val3dity_invalid,3.857400,False,success,success
DEBY_LOD2_4907196,both_fail,yes,yes,success,success,no,,failure,val3dity_invalid,20.547929,False,failure,city3d_timeout,764.171450,,success,success
DEBY_LOD2_4907198,both_fail,yes,no,success,success,no,,failure,val3dity_invalid,20.422627,False,failure,city3d_timeout,3.638163,,success,success
DEBY_LOD2_4907199,both_fail,yes,no,success,coverage,no,,failure,val3dity_invalid,20.814268,False,failure,pointcloud_unusable_low_points,0.040673,,success,failure
DEBY_LOD2_4907201,both_fail,yes,yes,success,success,no,,failure,val3dity_invalid,19.406183,False,failure,city3d_reconstruction_failed,437.220682,,success,success
DEBY_LOD2_4907202,both_fail,yes,no,success,success,no,,failure,val3dity_invalid,20.222983,False,failure,city3d_timeout,32.581126,,success,success
DEBY_LOD2_4907204,both_fail,yes,yes,success,success,no,,failure,city3d_timeout,19.294969,,failure,city3d_reconstruction_failed,450.634920,,success,success
DEBY_LOD2_4907205,both_fail,yes,yes,success,success,no,,failure,val3dity_invalid,19.274884,False,failure,val3dity_invalid,53.151087,False,success,success
DEBY_LOD2_4907206,both_fail,yes,yes,success,success,no,,failure,val3dity_invalid,19.485503,False,failure,city3d_reconstruction_failed,550.511278,,success,success
DEBY_LOD2_4907207,both_fail,yes,yes,success,success,no,,failure,val3dity_invalid,21.756012,False,failure,city3d_reconstruction_failed,196.574507,,success,success
DEBY_LOD2_4907208,both_fail,no,no,aoi_edge_excluded,aoi_edge_excluded,no,aoi_edge_centroid_outside_roofer_box,failure,val3dity_invalid,21.944070,False,failure,val3dity_invalid,6.889376,False,failure,failure
DEBY_LOD2_4907505,both_fail,yes,no,success,success,no,,failure,city3d_timeout,19.515719,,failure,val3dity_invalid,33.992601,False,success,success
DEBY_LOD2_4907506,both_fail,yes,yes,validity,success,no,,failure,val3dity_invalid,22.324721,False,failure,city3d_reconstruction_failed,396.350265,,failure,success
DEBY_LOD2_4907507,both_fail,yes,yes,success,success,no,,failure,val3dity_invalid,21.871773,False,failure,city3d_reconstruction_failed,731.359645,,success,success
DEBY_LOD2_4907508,both_fail,yes,no,success,coverage,no,,failure,city3d_timeout,18.421334,,failure,val3dity_invalid,5.347145,False,success,failure
