population,input,bucket_v1,default_count,tuned_count
coverage_control_93_all,ALS,success,84,87
coverage_control_93_all,ALS,coverage,1,1
coverage_control_93_all,ALS,roof_matching_assembly_failure,0,0
coverage_control_93_all,ALS,validity,8,5
coverage_control_93_all,ALS,reference_mismatch,0,0
coverage_control_93_all,ALS,aoi_edge_excluded,0,0
coverage_control_93_all,DIM,success,75,76
coverage_control_93_all,DIM,coverage,0,0
coverage_control_93_all,DIM,roof_matching_assembly_failure,7,8
coverage_control_93_all,DIM,validity,11,9
coverage_control_93_all,DIM,reference_mismatch,0,0
coverage_control_93_all,DIM,aoi_edge_excluded,0,0
dev15_tuning_subset,ALS,success,15,15
dev15_tuning_subset,ALS,coverage,0,0
dev15_tuning_subset,ALS,roof_matching_assembly_failure,0,0
dev15_tuning_subset,ALS,validity,0,0
dev15_tuning_subset,ALS,reference_mismatch,0,0
dev15_tuning_subset,ALS,aoi_edge_excluded,0,0
dev15_tuning_subset,DIM,success,12,13
dev15_tuning_subset,DIM,coverage,0,0
dev15_tuning_subset,DIM,roof_matching_assembly_failure,2,2
dev15_tuning_subset,DIM,validity,1,0
dev15_tuning_subset,DIM,reference_mismatch,0,0
dev15_tuning_subset,DIM,aoi_edge_excluded,0,0
eval78_non_dev,ALS,success,69,72
eval78_non_dev,ALS,coverage,1,1
eval78_non_dev,ALS,roof_matching_assembly_failure,0,0
eval78_non_dev,ALS,validity,8,5
eval78_non_dev,ALS,reference_mismatch,0,0
eval78_non_dev,ALS,aoi_edge_excluded,0,0
eval78_non_dev,DIM,success,63,63
eval78_non_dev,DIM,coverage,0,0
eval78_non_dev,DIM,roof_matching_assembly_failure,5,6
eval78_non_dev,DIM,validity,10,9
eval78_non_dev,DIM,reference_mismatch,0,0
eval78_non_dev,DIM,aoi_edge_excluded,0,0
