building_id,als_run_1_existing_status,als_run_1_existing_reason,als_run_2_status,als_run_2_reason,als_run_3_status,als_run_3_reason,dim_run_1_existing_status,dim_run_1_existing_reason,dim_run_2_status,dim_run_2_reason,dim_run_3_status,dim_run_3_reason,pair_run_1_existing,pair_run_2,pair_run_3,unstable_fields
DEBY_LOD2_108246888,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_108247714,failure,pointcloud_unusable,failure,pointcloud_unusable,failure,pointcloud_unusable,success,success,success,success,success,success,DIM_only,DIM_only,DIM_only,
DEBY_LOD2_108580335,success,success,success,success,success,success,failure,val3dity_invalid,failure,val3dity_invalid,failure,val3dity_invalid,ALS_only,ALS_only,ALS_only,
DEBY_LOD2_108580336,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_42364609,success,success,success,success,success,success,failure,missing_lod22_geometry,failure,missing_lod22_geometry,failure,missing_lod22_geometry,ALS_only,ALS_only,ALS_only,
DEBY_LOD2_42364657,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_42364659,success,success,success,success,success,success,failure,missing_lod22_geometry,failure,missing_lod22_geometry,failure,missing_lod22_geometry,ALS_only,ALS_only,ALS_only,
DEBY_LOD2_42364663,success,success,success,success,success,success,failure,missing_lod22_geometry,failure,missing_lod22_geometry,failure,missing_lod22_geometry,ALS_only,ALS_only,ALS_only,
DEBY_LOD2_42364665,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_42364667,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4906965,failure,val3dity_invalid,failure,val3dity_invalid,failure,val3dity_invalid,success,success,success,success,success,success,DIM_only,DIM_only,DIM_only,
DEBY_LOD2_4906966,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4906967,failure,val3dity_invalid,failure,val3dity_invalid,failure,val3dity_invalid,failure,val3dity_invalid,failure,val3dity_invalid,failure,val3dity_invalid,both_fail,both_fail,both_fail,
DEBY_LOD2_4906968,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4906969,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4906970,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4906972,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4906973,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4906974,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4906975,failure,val3dity_invalid,failure,val3dity_invalid,failure,val3dity_invalid,failure,val3dity_invalid,failure,val3dity_invalid,failure,val3dity_invalid,both_fail,both_fail,both_fail,
DEBY_LOD2_4906976,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4906977,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4906980,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4906981,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4906982,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4906983,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4906984,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4906985,success,success,success,success,success,success,failure,val3dity_invalid,failure,val3dity_invalid,failure,val3dity_invalid,ALS_only,ALS_only,ALS_only,
DEBY_LOD2_4906986,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4906987,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4906988,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4906991,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4907018,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4907020,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4907023,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4907024,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4907025,success,success,success,success,success,success,failure,val3dity_invalid,failure,val3dity_invalid,failure,val3dity_invalid,ALS_only,ALS_only,ALS_only,
DEBY_LOD2_4907173,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4907178,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4907179,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4907180,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4907182,success,success,success,success,success,success,failure,missing_lod22_geometry,failure,missing_lod22_geometry,failure,missing_lod22_geometry,ALS_only,ALS_only,ALS_only,
DEBY_LOD2_4907183,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4907184,failure,val3dity_invalid,failure,val3dity_invalid,failure,val3dity_invalid,success,success,success,success,success,success,DIM_only,DIM_only,DIM_only,
DEBY_LOD2_4907196,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4907201,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4907204,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4907205,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4907206,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4907207,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4907506,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4907507,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4907509,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4907510,success,success,success,success,success,success,failure,missing_lod22_geometry,failure,missing_lod22_geometry,failure,missing_lod22_geometry,ALS_only,ALS_only,ALS_only,
DEBY_LOD2_4907514,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4907515,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4907516,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4907517,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4907518,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4907519,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4907520,success,success,success,success,success,success,failure,val3dity_invalid,failure,val3dity_invalid,failure,val3dity_invalid,ALS_only,ALS_only,ALS_only,
DEBY_LOD2_4907521,success,success,success,success,success,success,failure,val3dity_invalid,failure,val3dity_invalid,failure,val3dity_invalid,ALS_only,ALS_only,ALS_only,
DEBY_LOD2_4908023,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4908024,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4908025,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4908026,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4908027,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4908028,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4908050,success,success,success,success,success,success,failure,missing_lod22_geometry,failure,missing_lod22_geometry,failure,missing_lod22_geometry,ALS_only,ALS_only,ALS_only,
DEBY_LOD2_4908166,success,success,success,success,success,success,failure,missing_lod22_geometry,failure,missing_lod22_geometry,failure,missing_lod22_geometry,ALS_only,ALS_only,ALS_only,
DEBY_LOD2_4908176,success,success,success,success,success,success,failure,missing_lod22_geometry,failure,missing_lod22_geometry,failure,missing_lod22_geometry,ALS_only,ALS_only,ALS_only,
DEBY_LOD2_4908352,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4908353,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4908354,success,success,success,success,success,success,failure,val3dity_invalid,failure,val3dity_invalid,failure,val3dity_invalid,ALS_only,ALS_only,ALS_only,
DEBY_LOD2_4959322,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4959323,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4959324,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4959325,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4959326,success,success,success,success,success,success,failure,val3dity_invalid,failure,val3dity_invalid,failure,val3dity_invalid,ALS_only,ALS_only,ALS_only,
DEBY_LOD2_4959327,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4959336,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4959340,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4959457,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4959458,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4959459,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4959460,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4959461,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4959463,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4959464,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_4959753,failure,val3dity_invalid,failure,val3dity_invalid,failure,val3dity_invalid,success,success,success,success,success,success,DIM_only,DIM_only,DIM_only,
DEBY_LOD2_4959793,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
DEBY_LOD2_60042,success,success,success,success,success,success,success,success,failure,val3dity_invalid,failure,val3dity_invalid,both_success,ALS_only,ALS_only,DIM;PAIR
DEBY_LOD2_8573849,success,success,success,success,success,success,success,success,success,success,success,success,both_success,both_success,both_success,
