building_id,all_views,near_nadir,oblique,near_nadir_incid_deg,near_texture_grad,oblique_texture_grad,near_shadow_ratio,als_point_count,als_density_pts_m2,classification
DEBY_LOD2_104583794,265,0,265,,,0.03389,,126,19.7,c_nearnadir_gap
DEBY_LOD2_107802038,153,0,153,,,0.03507,,7020,18.1,c_nearnadir_gap
DEBY_LOD2_107807336,157,0,157,,,0.03024,,1815,18.0,c_nearnadir_gap
DEBY_LOD2_108247350,264,0,264,,,0.02029,,168,13.8,b_textureless
DEBY_LOD2_108247351,266,0,266,,,0.0252,,1206,18.5,b_textureless
DEBY_LOD2_42364607,285,26,259,14.8,0.02128,0.03218,0.128,1611,17.8,d_impossible
DEBY_LOD2_4906999,124,0,124,,,0.03278,,4101,18.5,c_nearnadir_gap
DEBY_LOD2_4907012,127,0,127,,,0.04018,,1037,20.3,c_nearnadir_gap
DEBY_LOD2_4907013,136,0,136,,,0.03421,,2370,20.4,c_nearnadir_gap
DEBY_LOD2_4907014,141,0,141,,,0.03543,,2951,19.7,c_nearnadir_gap
DEBY_LOD2_4907015,148,0,148,,,0.03321,,3330,19.8,c_nearnadir_gap
DEBY_LOD2_4907016,176,0,176,,,0.03276,,5367,19.0,c_nearnadir_gap
DEBY_LOD2_4907019,190,0,190,,,0.02652,,3850,18.7,c_nearnadir_gap
DEBY_LOD2_4907021,220,0,220,,,0.03024,,2705,10.9,c_nearnadir_gap
DEBY_LOD2_4907022,207,0,207,,,0.03289,,2669,11.1,c_nearnadir_gap
DEBY_LOD2_4907027,215,0,215,,,0.02739,,2945,11.1,c_nearnadir_gap
DEBY_LOD2_4907029,172,0,172,,,0.02752,,7697,18.1,c_nearnadir_gap
DEBY_LOD2_4907030,163,0,163,,,0.02993,,1937,10.9,c_nearnadir_gap
DEBY_LOD2_4907031,161,0,161,,,0.02918,,1720,10.5,c_nearnadir_gap
DEBY_LOD2_4907032,150,0,150,,,0.0285,,5210,13.9,c_nearnadir_gap
DEBY_LOD2_4907033,150,0,150,,,0.02771,,1310,10.2,c_nearnadir_gap
DEBY_LOD2_4907034,133,0,133,,,0.03518,,10674,19.4,c_nearnadir_gap
DEBY_LOD2_4907036,147,0,147,,,0.02763,,2077,11.1,c_nearnadir_gap
DEBY_LOD2_4907174,244,0,244,,,0.02806,,4822,18.5,c_nearnadir_gap
DEBY_LOD2_4907187,282,0,282,,,0.02717,,2167,18.1,c_nearnadir_gap
DEBY_LOD2_4907199,287,3,284,19.0,0.02915,0.02243,0.044,2047,20.8,e_other_textured
DEBY_LOD2_4908044,182,0,182,,,0.03181,,842,18.2,c_nearnadir_gap
DEBY_LOD2_4908045,196,0,196,,,0.028,,919,16.5,c_nearnadir_gap
DEBY_LOD2_4908049,221,0,221,,,0.02654,,556,11.3,c_nearnadir_gap
DEBY_LOD2_4908051,205,0,205,,,0.02628,,1405,9.9,c_nearnadir_gap
DEBY_LOD2_4908052,188,0,188,,,0.0279,,1559,10.9,c_nearnadir_gap
DEBY_LOD2_4908053,181,0,181,,,0.02918,,395,10.9,c_nearnadir_gap
DEBY_LOD2_4908054,180,21,159,15.0,0.02544,0.02591,0.084,370,11.0,e_other_textured
DEBY_LOD2_4908157,289,0,289,,,0.0268,,3043,18.4,c_nearnadir_gap
DEBY_LOD2_4908158,278,0,278,,,0.0293,,3601,19.7,c_nearnadir_gap
DEBY_LOD2_4908159,271,0,271,,,0.02539,,698,18.5,c_nearnadir_gap
DEBY_LOD2_4908160,213,3,210,17.1,0.02065,0.02469,0.006,121,14.2,b_textureless
DEBY_LOD2_4908161,255,0,255,,,0.03443,,7421,16.3,c_nearnadir_gap
DEBY_LOD2_4908162,246,0,246,,,0.02775,,2125,20.3,c_nearnadir_gap
DEBY_LOD2_4908164,242,0,242,,,0.02717,,568,17.1,c_nearnadir_gap
DEBY_LOD2_4908167,291,8,283,10.3,0.02151,0.0254,0.011,605,18.0,d_impossible
DEBY_LOD2_4908169,280,13,267,15.6,0.02234,0.02665,0.02,310,18.3,d_impossible
DEBY_LOD2_4908170,273,0,273,,,0.02672,,1426,19.6,c_nearnadir_gap
DEBY_LOD2_8568391,294,4,290,12.3,0.02013,0.02389,0.007,947,17.1,b_textureless
DEBY_LOD2_8568392,274,4,270,14.5,0.01678,0.02036,0.0,109,18.8,b_textureless
DEBY_LOD2_8573617,148,0,148,,,0.02571,,627,18.0,c_nearnadir_gap
