building_id,roofType,roofType_name,class4,ref_facets,als_facets,dim_facets,dim_minus_als,dim_minus_ref,als_minus_ref,dim_over_ref,als_nmad_m,dim_nmad_m,als_chamfer_m,dim_chamfer_m,gs_dense_facets_mobharness,gs_acmp_facets_mobharness
DEBY_LOD2_108246888,3500,Zeltdach,sloped,4,2,2,0,-2,-2,0.5,0.094,0.103,0.001,0.001,,
DEBY_LOD2_108247714,1000,Flachdach,flat,1,,1,,0,,1.0,,,,,,
DEBY_LOD2_108580335,1000,Flachdach,flat,9,15,28,13,19,6,3.11,,,,,,
DEBY_LOD2_108580336,3200,Walmdach,sloped,14,28,56,28,42,14,4.0,0.06,0.086,0.208,1.554,,
DEBY_LOD2_42364609,1000,Flachdach,flat,1,1,,,,0,,,,,,0,0
DEBY_LOD2_42364657,1000,Flachdach,flat,1,1,1,0,0,0,1.0,0.042,0.066,0.167,0.167,,
DEBY_LOD2_42364659,1000,Flachdach,flat,2,4,,,,2,,,,,,5,1
DEBY_LOD2_42364663,1000,Flachdach,flat,1,1,,,,0,,,,,,2,1
DEBY_LOD2_42364665,1000,Flachdach,flat,1,2,2,0,1,1,2.0,0.455,0.429,0.244,0.122,,
DEBY_LOD2_42364667,1000,Flachdach,flat,1,2,1,-1,0,1,1.0,0.047,0.053,0.23,0.23,,
DEBY_LOD2_4906965,3100,Satteldach,sloped,18,54,47,-7,29,36,2.61,,,,,,
DEBY_LOD2_4906966,3100,Satteldach,sloped,6,10,12,2,6,4,2.0,0.315,0.373,0.123,0.248,,
DEBY_LOD2_4906967,9999,Sonstiges,other,23,33,36,3,13,10,1.57,,,,,,
DEBY_LOD2_4906968,3900,Mischform,composite,8,8,46,38,38,0,5.75,0.374,0.117,0.039,0.171,,
DEBY_LOD2_4906969,1000,Flachdach,flat,3,4,11,7,8,1,3.67,0.036,0.149,0.129,0.157,13,8
DEBY_LOD2_4906970,3100,Satteldach,sloped,2,6,5,-1,3,4,2.5,0.549,0.511,0.188,0.126,,
DEBY_LOD2_4906972,3100,Satteldach,sloped,3,3,3,0,0,0,1.0,0.156,0.164,0.233,0.231,3,4
DEBY_LOD2_4906973,1000,Flachdach,flat,1,1,3,2,2,0,3.0,0.131,0.121,0.21,0.069,,
DEBY_LOD2_4906974,3200,Walmdach,sloped,3,3,4,1,1,0,1.33,0.037,0.071,0.031,0.193,,
DEBY_LOD2_4906975,1000,Flachdach,flat,6,14,32,18,26,8,5.33,,,,,,
DEBY_LOD2_4906976,3100,Satteldach,sloped,3,5,5,0,2,2,1.67,0.055,0.05,0.133,0.151,,
DEBY_LOD2_4906977,1000,Flachdach,flat,4,9,12,3,8,5,3.0,0.048,0.048,0.265,0.178,,
DEBY_LOD2_4906980,1000,Flachdach,flat,1,4,2,-2,1,3,2.0,0.01,0.35,0.205,0.082,,
DEBY_LOD2_4906981,3200,Walmdach,sloped,7,13,15,2,8,6,2.14,0.073,0.09,0.135,0.135,,
DEBY_LOD2_4906982,1000,Flachdach,flat,3,10,10,0,7,7,3.33,0.12,0.223,0.211,0.095,,
DEBY_LOD2_4906983,1000,Flachdach,flat,1,2,2,0,1,1,2.0,0.005,0.031,0.222,0.002,,
DEBY_LOD2_4906984,3100,Satteldach,sloped,4,3,2,-1,-2,-1,0.5,0.075,0.044,0.054,1.493,,
DEBY_LOD2_4906985,1000,Flachdach,flat,2,5,13,8,11,3,6.5,,,,,,
DEBY_LOD2_4906986,3200,Walmdach,sloped,5,4,4,0,-1,-1,0.8,0.227,0.044,0.015,0.036,,
DEBY_LOD2_4906987,3200,Walmdach,sloped,5,3,3,0,-2,-2,0.6,,0.009,0.479,0.17,,
DEBY_LOD2_4906988,1000,Flachdach,flat,1,2,3,1,2,1,3.0,0.109,0.118,0.074,0.074,,
DEBY_LOD2_4906991,1000,Flachdach,flat,1,4,2,-2,1,3,2.0,0.067,0.089,0.053,0.011,,
DEBY_LOD2_4907018,3100,Satteldach,sloped,4,15,13,-2,9,11,3.25,0.054,0.787,0.029,0.236,,
DEBY_LOD2_4907020,3100,Satteldach,sloped,2,2,5,3,3,0,2.5,0.019,0.074,0.006,0.016,,
DEBY_LOD2_4907023,3100,Satteldach,sloped,2,2,2,0,0,0,1.0,0.056,0.098,0.001,0.001,,
DEBY_LOD2_4907024,3100,Satteldach,sloped,2,2,2,0,0,0,1.0,0.024,0.08,0.001,0.001,,
DEBY_LOD2_4907025,3100,Satteldach,sloped,4,6,9,3,5,2,2.25,,,,,,
DEBY_LOD2_4907173,3100,Satteldach,sloped,4,6,10,4,6,2,2.5,0.026,0.059,0.002,0.126,,
DEBY_LOD2_4907178,3100,Satteldach,sloped,2,7,12,5,10,5,6.0,0.044,0.149,0.032,0.032,,
DEBY_LOD2_4907179,3100,Satteldach,sloped,3,8,13,5,10,5,4.33,0.205,0.2,0.212,0.033,,
DEBY_LOD2_4907180,3100,Satteldach,sloped,3,7,9,2,6,4,3.0,0.167,0.23,0.157,1.315,,
