building_id,card_type,view,zenith_deg,theory_shift_m,als_points,lowtex_valid,roof_lowtex_v5,figure,observation
DEBY_LOD2_104583794,manual_review,DJI_20241217095533_0049_D.JPG,58.203,3.913,108,valid,0.3,docs/evidence_cards_v3/104583794.png,LiDAR points are the reading channel; LoD2 ring is context with +/-1 m tolerance.
DEBY_LOD2_108247350,manual_review,DJI_20241217084725_0146_D.JPG,59.583,4.132,163,valid,0.49,docs/evidence_cards_v3/108247350.png,LiDAR points are the reading channel; LoD2 ring is context with +/-1 m tolerance.
DEBY_LOD2_108247351,manual_review,DJI_20241217084723_0145_D.JPG,60.036,4.208,1180,valid,0.549,docs/evidence_cards_v3/108247351.png,LiDAR points are the reading channel; LoD2 ring is context with +/-1 m tolerance.
DEBY_LOD2_42364607,manual_review,DJI_20241217090905_0035_D.JPG,60.662,4.316,247,valid,0.374,docs/evidence_cards_v3/42364607.png,LiDAR points are the reading channel; LoD2 ring is context with +/-1 m tolerance.
DEBY_LOD2_4906999,manual_review,DJI_20241217101357_0031_D.JPG,86.833,43.838,3972,valid,0.464,docs/evidence_cards_v3/4906999.png,LiDAR points are the reading channel; LoD2 ring is context with +/-1 m tolerance.
DEBY_LOD2_4907012,manual_review,DJI_20241217102935_0013_D.JPG,85.683,32.135,991,valid,0.658,docs/evidence_cards_v3/4907012.png,LiDAR points are the reading channel; LoD2 ring is context with +/-1 m tolerance.
DEBY_LOD2_4907013,manual_review,DJI_20241217103545_0062_D.JPG,85.794,32.991,2208,valid,0.392,docs/evidence_cards_v3/4907013.png,LiDAR points are the reading channel; LoD2 ring is context with +/-1 m tolerance.
DEBY_LOD2_4907014,manual_review,DJI_20241217103459_0039_D.JPG,85.665,32.005,2851,valid,0.389,docs/evidence_cards_v3/4907014.png,LiDAR points are the reading channel; LoD2 ring is context with +/-1 m tolerance.
DEBY_LOD2_4907015,manual_review,DJI_20241217103553_0066_D.JPG,84.873,27.038,3169,valid,0.291,docs/evidence_cards_v3/4907015.png,LiDAR points are the reading channel; LoD2 ring is context with +/-1 m tolerance.
DEBY_LOD2_4907016,manual_review,DJI_20241217095143_0078_D.JPG,86.714,42.252,5163,valid,0.585,docs/evidence_cards_v3/4907016.png,LiDAR points are the reading channel; LoD2 ring is context with +/-1 m tolerance.
DEBY_LOD2_4907019,manual_review,DJI_20241217103549_0064_D.JPG,84.752,26.413,3732,valid,0.671,docs/evidence_cards_v3/4907019.png,LiDAR points are the reading channel; LoD2 ring is context with +/-1 m tolerance.
DEBY_LOD2_4907021,manual_review,DJI_20241217084757_0162_D.JPG,61.739,4.513,2688,valid,0.239,docs/evidence_cards_v3/4907021.png,LiDAR points are the reading channel; LoD2 ring is context with +/-1 m tolerance.
DEBY_LOD2_4907022,manual_review,DJI_20241217095143_0078_D.JPG,86.536,40.079,2635,valid,0.706,docs/evidence_cards_v3/4907022.png,LiDAR points are the reading channel; LoD2 ring is context with +/-1 m tolerance.
DEBY_LOD2_4907027,manual_review,DJI_20241217095143_0078_D.JPG,86.657,41.529,2914,valid,0.708,docs/evidence_cards_v3/4907027.png,LiDAR points are the reading channel; LoD2 ring is context with +/-1 m tolerance.
DEBY_LOD2_4907030,manual_review,DJI_20241217101558_0016_D.JPG,85.964,34.386,1911,valid,0.644,docs/evidence_cards_v3/4907030.png,LiDAR points are the reading channel; LoD2 ring is context with +/-1 m tolerance.
DEBY_LOD2_4907031,manual_review,DJI_20241217102931_0011_D.JPG,83.914,22.754,1707,valid,0.578,docs/evidence_cards_v3/4907031.png,LiDAR points are the reading channel; LoD2 ring is context with +/-1 m tolerance.
DEBY_LOD2_4907032,manual_review,DJI_20241217095143_0078_D.JPG,86.139,35.95,4939,valid,0.519,docs/evidence_cards_v3/4907032.png,LiDAR points are the reading channel; LoD2 ring is context with +/-1 m tolerance.
DEBY_LOD2_4907033,manual_review,DJI_20241217102931_0011_D.JPG,84.315,24.368,1296,valid,0.719,docs/evidence_cards_v3/4907033.png,LiDAR points are the reading channel; LoD2 ring is context with +/-1 m tolerance.
DEBY_LOD2_4907034,manual_review,DJI_20241217095143_0078_D.JPG,86.536,40.081,10168,valid,0.497,docs/evidence_cards_v3/4907034.png,LiDAR points are the reading channel; LoD2 ring is context with +/-1 m tolerance.
DEBY_LOD2_4907036,manual_review,DJI_20241217102937_0014_D.JPG,84.245,24.07,2055,valid,0.549,docs/evidence_cards_v3/4907036.png,LiDAR points are the reading channel; LoD2 ring is context with +/-1 m tolerance.
DEBY_LOD2_4907167,manual_review,DJI_20241217102937_0014_D.JPG,83.357,20.831,3801,valid,0.648,docs/evidence_cards_v3/4907167.png,LiDAR points are the reading channel; LoD2 ring is context with +/-1 m tolerance.
DEBY_LOD2_4907174,manual_review,DJI_20241217084727_0147_D.JPG,61.575,4.482,4770,valid,0.533,docs/evidence_cards_v3/4907174.png,LiDAR points are the reading channel; LoD2 ring is context with +/-1 m tolerance.
DEBY_LOD2_4907187,manual_review,DJI_20241217102937_0014_D.JPG,74.011,8.467,2069,valid,0.541,docs/evidence_cards_v3/4907187.png,LiDAR points are the reading channel; LoD2 ring is context with +/-1 m tolerance.
DEBY_LOD2_4907199,manual_review,DJI_20241217084721_0144_D.JPG,60.507,4.289,1973,valid,0.656,docs/evidence_cards_v3/4907199.png,LiDAR points are the reading channel; LoD2 ring is context with +/-1 m tolerance.
DEBY_LOD2_4908044,manual_review,DJI_20241217090833_0019_D.JPG,60.302,4.254,788,valid,0.312,docs/evidence_cards_v3/4908044.png,LiDAR points are the reading channel; LoD2 ring is context with +/-1 m tolerance.
DEBY_LOD2_4908045,manual_review,DJI_20241217090835_0020_D.JPG,60.202,4.236,874,valid,0.539,docs/evidence_cards_v3/4908045.png,LiDAR points are the reading channel; LoD2 ring is context with +/-1 m tolerance.
DEBY_LOD2_4908049,manual_review,DJI_20241217090855_0030_D.JPG,59.928,4.19,545,valid,0.482,docs/evidence_cards_v3/4908049.png,LiDAR points are the reading channel; LoD2 ring is context with +/-1 m tolerance.
DEBY_LOD2_4908051,manual_review,DJI_20241217084757_0162_D.JPG,60.606,4.307,1387,valid,0.197,docs/evidence_cards_v3/4908051.png,LiDAR points are the reading channel; LoD2 ring is context with +/-1 m tolerance.
DEBY_LOD2_4908052,manual_review,DJI_20241217090835_0020_D.JPG,59.692,4.15,1530,valid,0.327,docs/evidence_cards_v3/4908052.png,LiDAR points are the reading channel; LoD2 ring is context with +/-1 m tolerance.
DEBY_LOD2_4908053,manual_review,DJI_20241217090835_0020_D.JPG,60.065,4.213,387,valid,0.344,docs/evidence_cards_v3/4908053.png,LiDAR points are the reading channel; LoD2 ring is context with +/-1 m tolerance.
DEBY_LOD2_4908054,manual_review,DJI_20241217090831_0018_D.JPG,59.365,4.096,370,valid,0.653,docs/evidence_cards_v3/4908054.png,LiDAR points are the reading channel; LoD2 ring is context with +/-1 m tolerance.
DEBY_LOD2_4908157,manual_review,DJI_20241217102937_0014_D.JPG,73.659,8.274,2836,valid,0.517,docs/evidence_cards_v3/4908157.png,LiDAR points are the reading channel; LoD2 ring is context with +/-1 m tolerance.
DEBY_LOD2_4908158,manual_review,DJI_20241217102939_0015_D.JPG,76.162,9.848,3500,valid,0.602,docs/evidence_cards_v3/4908158.png,LiDAR points are the reading channel; LoD2 ring is context with +/-1 m tolerance.
DEBY_LOD2_4908159,manual_review,DJI_20241217084859_0193_D.JPG,59.489,4.117,671,valid,0.65,docs/evidence_cards_v3/4908159.png,LiDAR points are the reading channel; LoD2 ring is context with +/-1 m tolerance.
DEBY_LOD2_4908160,manual_review,DJI_20241217084845_0186_D.JPG,59.288,4.084,44,valid,0.59,docs/evidence_cards_v3/4908160.png,LiDAR points are the reading channel; LoD2 ring is context with +/-1 m tolerance.
DEBY_LOD2_4908161,manual_review,DJI_20241217102939_0015_D.JPG,75.204,9.184,7279,valid,0.391,docs/evidence_cards_v3/4908161.png,LiDAR points are the reading channel; LoD2 ring is context with +/-1 m tolerance.
DEBY_LOD2_4908162,manual_review,DJI_20241217084749_0158_D.JPG,60.444,4.278,2040,valid,0.533,docs/evidence_cards_v3/4908162.png,LiDAR points are the reading channel; LoD2 ring is context with +/-1 m tolerance.
DEBY_LOD2_4908164,manual_review,DJI_20241217084851_0189_D.JPG,59.974,4.198,549,valid,0.734,docs/evidence_cards_v3/4908164.png,LiDAR points are the reading channel; LoD2 ring is context with +/-1 m tolerance.
DEBY_LOD2_4908165,manual_review,DJI_20241217090923_0044_D.JPG,59.844,4.176,135,valid,0.502,docs/evidence_cards_v3/4908165.png,LiDAR points are the reading channel; LoD2 ring is context with +/-1 m tolerance.
DEBY_LOD2_4908167,manual_review,DJI_20241217084831_0179_D.JPG,29.811,1.39,593,valid,0.729,docs/evidence_cards_v3/4908167.png,LiDAR points are the reading channel; LoD2 ring is context with +/-1 m tolerance.
