run,bid,job_status,config_path,status,F,precision,recall,roof_cov,wall_cov,ground_cov,support_cov,roof_support_cov,wall_support_cov,ground_support_cov,h_err,vol_ratio,chamfer,hausdorff,open_edges,non_manifold_edges,failure_reason
M10,B0,COMPLETED,configs/fc_s5/M10_ramped_mutual.yaml,OK,0.9707701287553647,0.963,0.9786666666666667,0.804,0.97,1.0,0.625,0.945,0.709,0.253,0.6051392594895937,1.0725416522464997,0.22169201457138404,1.1292059357807602,0,0,
M10,B1,COMPLETED,configs/fc_s5/M10_ramped_mutual.yaml,OK,0.9701610548015805,0.9725,0.9678333333333333,0.8706666666666667,0.9356666666666666,1.0,0.5246666666666667,0.975,0.516,0.097,0.37730774197801864,0.8450686174557316,0.24011731169447664,0.9835872939834753,0,0,
M10,B2,COMPLETED,configs/fc_s5/M10_ramped_mutual.yaml,OK,0.9914887936347845,0.9881666666666666,0.9948333333333333,1.0,0.9886666666666667,1.0,0.5233333333333333,1.0,0.435,0.191,0.47954551213670094,2.067539013431019,0.19878351782231413,0.8703368397333319,0,0,
M10,B8,COMPLETED,configs/fc_s5/M10_ramped_mutual.yaml,OK,0.9079995106584703,0.8931666666666667,0.9233333333333333,0.9976666666666667,0.9813333333333333,0.37966666666666665,0.5579999999999999,1.0,0.47,0.191,0.7345710792431142,1.6240112550786472,0.21867240471841556,0.8928425233038474,0,0,
M10,B6,COMPLETED,configs/fc_s5/M10_ramped_mutual.yaml,OK,0.9266329167041334,0.9371666666666667,0.9163333333333333,0.5023333333333333,0.9373333333333334,1.0,0.424,0.775,0.398,0.105,2.877371366876389,0.6278258615485808,0.2624856301758609,3.6354268193872863,0,0,
M10,B3,COMPLETED,configs/fc_s5/M10_ramped_mutual.yaml,OK,0.44115723270440255,0.4266666666666667,0.45666666666666667,0.14666666666666667,0.6043333333333333,0.921,0.2693333333333333,0.319,0.452,0.09,0.004626010816792814,0.9796571287273981,1.05197536387555,12.022202276703146,0,0,
M10,B123,COMPLETED,configs/fc_s5/M10_ramped_mutual.yaml,OK,0.5798889845918269,0.5993333333333334,0.5616666666666666,0.188,0.6423333333333333,0.8953333333333333,0.39233333333333337,0.32,0.699,0.167,0.6650370328379118,0.4905817661406327,0.8286159273644307,5.504575804168905,0,0,
M10,B126,COMPLETED,configs/fc_s5/M10_ramped_mutual.yaml,OK,0.4959481842090538,0.5116666666666667,0.4811666666666667,0.14466666666666667,0.614,0.8426666666666667,0.274,0.218,0.497,0.077,1.0568482652966296,0.8855339215670569,1.066601228578403,5.7354348373047985,0,0,
M10,B50,COMPLETED,configs/fc_s5/M10_ramped_mutual.yaml,OK,0.9301379681060742,0.9353333333333333,0.925,0.535,0.952,1.0,0.457,0.887,0.375,0.113,0.10380453322972372,1.0158005783848556,0.2547792847259295,1.6825735912293165,0,0,
M10,B104,COMPLETED,configs/fc_s5/M10_ramped_mutual.yaml,OK,0.9948939888879582,0.9996666666666667,0.9901666666666666,0.955,0.9943333333333333,1.0,0.7606666666666667,1.0,0.77,0.488,0.177788306648476,0.9451517680808872,0.09243913092289041,0.6412044212279235,0,0,
