candidate,run,bid,status,F,precision,recall,roof_cov,wall_cov,ground_cov,support_cov,roof_support_cov,wall_support_cov,ground_support_cov,h_err,vol_ratio,chamfer,hausdorff,open_edges,non_manifold_edges,failure_reason
A8_legacy_terrain_off,A8_no_terrain_terms,B0,OK,0.97403182479254,0.967,0.9811666666666666,0.8126666666666666,0.9713333333333334,1.0,0.6323333333333333,0.992,0.705,0.251,0.5067804532344056,1.105182425763591,0.21961179395978384,1.097979336196509,0,0,
A8_legacy_terrain_off,A8_no_terrain_terms,B1,OK,0.9369399679829242,0.9445,0.9295,0.8036666666666666,0.9313333333333333,0.9946666666666667,0.5146666666666666,0.988,0.519,0.038,0.4352806628834678,0.8007449862907547,0.2570278204437668,0.9344959935345108,0,0,
A8_legacy_terrain_off,A8_no_terrain_terms,B2,OK,0.929390657222272,0.9343333333333333,0.9245,0.5586666666666666,0.9663333333333334,1.0,0.4323333333333333,0.76,0.436,0.193,0.5866236444250852,2.035296963090719,0.24422709910805826,1.669152123799082,0,0,
A8_legacy_terrain_off,A8_no_terrain_terms,B8,OK,0.9904966066520837,0.9923333333333333,0.9886666666666667,0.972,0.9746666666666667,1.0,0.5326666666666667,1.0,0.476,0.122,0.13904478171803625,1.6049902710553627,0.20539342465533078,0.6876986597329914,0,0,
A8_legacy_terrain_off,A8_no_terrain_terms,B6,OK,0.9225605636347215,0.9271666666666667,0.918,0.482,0.938,1.0,0.418,0.719,0.387,0.123,2.9283915134027474,0.6559081697724676,0.2679935216492936,3.6543756621025585,0,0,
A8_legacy_terrain_off,A8_no_terrain_terms,B3,OK,0.4609974701843152,0.4523333333333333,0.47,0.15633333333333332,0.6113333333333333,0.92,0.27299999999999996,0.316,0.45,0.088,3.5447672319911128,0.9411325780297428,1.0225035712171733,9.55909347910413,0,0,
A8_legacy_terrain_off,A8_no_terrain_terms,B123,OK,0.5929870786516854,0.6076666666666667,0.579,0.147,0.6553333333333333,0.9513333333333334,0.38066666666666665,0.304,0.699,0.172,0.6299571971661422,0.7191541446915409,0.8304252647366006,5.385284697009497,0,0,
A8_legacy_terrain_off,A8_no_terrain_terms,B126,OK,0.5498362307886118,0.5791666666666667,0.5233333333333333,0.13233333333333333,0.6063333333333333,0.9816666666666667,0.25833333333333336,0.183,0.495,0.079,1.056427976713632,0.9100872377932501,1.0749352624353143,5.737872772840599,0,0,
A8_legacy_terrain_off,A8_no_terrain_terms,B50,OK,0.9298297185875606,0.9316666666666666,0.928,0.5026666666666667,0.9456666666666667,1.0,0.4796666666666667,0.946,0.381,0.12,0.03321931137189438,1.0240678414198399,0.2497750801580465,1.5253522372322224,0,0,
A8_legacy_terrain_off,A8_no_terrain_terms,B104,OK,1.0,1.0,1.0,1.0,1.0,1.0,0.7483333333333334,1.0,0.67,0.537,0.2357723600732995,1.027067737083591,0.08337058440393867,0.4064190532143198,0,0,
A8_v2_geo,A8_v2_geo,ALL,PENDING_NOT_RUN,,,,,,,,,,,,,,,,,FC-S6D setup only; short directional screening training/evaluation not launched.
A8_v2_joint,A8_v2_joint,ALL,PENDING_NOT_RUN,,,,,,,,,,,,,,,,,FC-S6D setup only; short directional screening training/evaluation not launched.
