variant,arm,outcome,outcome_kind,spec,fit_type,n,predictor,coef,se,ci_low,ci_high,status
main,raw_dense,assembled,binary,attributes_only,logistic,144,pt_density_m2_reg,2.420971,1.643828,-0.800932,5.642873,ok
main,raw_dense,assembled,binary,attributes_only,logistic,144,coverage_frac_reg,0.200773,0.350132,-0.485486,0.887033,ok
main,raw_dense,assembled,binary,attributes_only,logistic,144,local_plane_rms_m,0.210560,0.266602,-0.311980,0.733099,ok
main,raw_dense,assembled,binary,attributes_only,logistic,144,floater_frac,-0.142008,0.214900,-0.563212,0.279196,ok
main,raw_dense,assembled,binary,attributes_only,logistic,144,label_proxy_frac_all,-0.880090,0.244303,-1.358923,-0.401257,ok
main_cook_excluded,raw_dense,assembled,binary,attributes_only,logistic,135,pt_density_m2_reg,5.865657,5.986707,-5.868289,17.599603,ok
main_cook_excluded,raw_dense,assembled,binary,attributes_only,logistic,135,coverage_frac_reg,0.401984,0.645638,-0.863467,1.667435,ok
main_cook_excluded,raw_dense,assembled,binary,attributes_only,logistic,135,local_plane_rms_m,0.255076,0.348036,-0.427075,0.937227,ok
main_cook_excluded,raw_dense,assembled,binary,attributes_only,logistic,135,floater_frac,-0.093193,0.278228,-0.638520,0.452133,ok
main_cook_excluded,raw_dense,assembled,binary,attributes_only,logistic,135,label_proxy_frac_all,-1.445277,0.383917,-2.197753,-0.692800,ok
main,raw_dense,assembled,binary,observation_only,logistic,199,median_incidence_deg,-1.050472,0.245803,-1.532245,-0.568698,ok
main,raw_dense,assembled,binary,observation_only,logistic,199,median_pair_angle_deg,1.542016,0.331022,0.893213,2.190820,ok
main,raw_dense,assembled,binary,observation_only,logistic,199,n_views_nadir,0.927930,0.372469,0.197891,1.657968,ok
main,raw_dense,assembled,binary,observation_only,logistic,199,recon_score_median,-0.218731,0.374602,-0.952950,0.515488,ok
main_cook_excluded,raw_dense,assembled,binary,observation_only,logistic,190,median_incidence_deg,-1.441230,0.335541,-2.098891,-0.783569,ok
main_cook_excluded,raw_dense,assembled,binary,observation_only,logistic,190,median_pair_angle_deg,1.506572,0.424054,0.675426,2.337719,ok
main_cook_excluded,raw_dense,assembled,binary,observation_only,logistic,190,n_views_nadir,1.988843,0.731131,0.555826,3.421859,ok
main_cook_excluded,raw_dense,assembled,binary,observation_only,logistic,190,recon_score_median,-0.025165,0.442475,-0.892416,0.842086,ok
main,raw_dense,assembled,binary,attributes_plus_observation,logistic,144,pt_density_m2_reg,1.997734,2.004121,-1.930344,5.925812,ok
main,raw_dense,assembled,binary,attributes_plus_observation,logistic,144,coverage_frac_reg,-0.116259,0.431828,-0.962641,0.730123,ok
main,raw_dense,assembled,binary,attributes_plus_observation,logistic,144,local_plane_rms_m,0.595760,0.327070,-0.045298,1.236818,ok
main,raw_dense,assembled,binary,attributes_plus_observation,logistic,144,floater_frac,-0.168418,0.265242,-0.688292,0.351455,ok
main,raw_dense,assembled,binary,attributes_plus_observation,logistic,144,label_proxy_frac_all,-1.014247,0.289228,-1.581134,-0.447361,ok
main,raw_dense,assembled,binary,attributes_plus_observation,logistic,144,median_incidence_deg,-0.928383,0.381581,-1.676282,-0.180485,ok
main,raw_dense,assembled,binary,attributes_plus_observation,logistic,144,median_pair_angle_deg,1.476422,0.559313,0.380169,2.572674,ok
main,raw_dense,assembled,binary,attributes_plus_observation,logistic,144,n_views_nadir,-0.282794,0.597849,-1.454578,0.888990,ok
main,raw_dense,assembled,binary,attributes_plus_observation,logistic,144,recon_score_median,-0.188956,0.605570,-1.375873,0.997962,ok
main_cook_excluded,raw_dense,assembled,binary,attributes_plus_observation,logistic,131,pt_density_m2_reg,8.442494,15.326611,-21.597664,38.482651,ok
main_cook_excluded,raw_dense,assembled,binary,attributes_plus_observation,logistic,131,coverage_frac_reg,-0.626047,1.193757,-2.965811,1.713718,ok
main_cook_excluded,raw_dense,assembled,binary,attributes_plus_observation,logistic,131,local_plane_rms_m,1.667527,0.830659,0.039435,3.295618,ok
main_cook_excluded,raw_dense,assembled,binary,attributes_plus_observation,logistic,131,floater_frac,-0.327555,0.793970,-1.883737,1.228627,ok
main_cook_excluded,raw_dense,assembled,binary,attributes_plus_observation,logistic,131,label_proxy_frac_all,-2.566545,0.874614,-4.280788,-0.852302,ok
main_cook_excluded,raw_dense,assembled,binary,attributes_plus_observation,logistic,131,median_incidence_deg,-3.177585,1.351919,-5.827347,-0.527823,ok
main_cook_excluded,raw_dense,assembled,binary,attributes_plus_observation,logistic,131,median_pair_angle_deg,4.539893,1.981956,0.655258,8.424527,ok
main_cook_excluded,raw_dense,assembled,binary,attributes_plus_observation,logistic,131,n_views_nadir,-0.948363,1.755659,-4.389455,2.492730,ok
main_cook_excluded,raw_dense,assembled,binary,attributes_plus_observation,logistic,131,recon_score_median,0.248530,1.586277,-2.860572,3.357632,ok
main,raw_dense,val3dity_valid,binary,attributes_only,logistic,133,pt_density_m2_reg,0.202452,0.385224,-0.552588,0.957492,ok
main,raw_dense,val3dity_valid,binary,attributes_only,logistic,133,coverage_frac_reg,-0.468917,0.414239,-1.280825,0.342991,ok
main,raw_dense,val3dity_valid,binary,attributes_only,logistic,133,local_plane_rms_m,-0.555514,0.326051,-1.194574,0.083546,ok
main,raw_dense,val3dity_valid,binary,attributes_only,logistic,133,floater_frac,-0.316011,0.244299,-0.794838,0.162815,ok
main,raw_dense,val3dity_valid,binary,attributes_only,logistic,133,label_proxy_frac_all,-0.174517,0.379927,-0.919174,0.570140,ok
