variant,arm,outcome,spec,n,status,cook_threshold,n_cook_gt_4_over_n,cook_gt_4_over_n_buildings
main,raw_dense,assembled,attributes_only,144,ok,0.027778,9,DEBY_LOD2_104586480;DEBY_LOD2_4907165;DEBY_LOD2_4907169;DEBY_LOD2_4907176;DEBY_LOD2_4907510;DEBY_LOD2_4908163;DEBY_LOD2_4908165;DEBY_LOD2_4908178;DEBY_LOD2_4959465
main,raw_dense,assembled,observation_only,199,ok,0.020101,9,DEBY_LOD2_104586480;DEBY_LOD2_42364659;DEBY_LOD2_4907166;DEBY_LOD2_4907167;DEBY_LOD2_4907168;DEBY_LOD2_4907171;DEBY_LOD2_4907182;DEBY_LOD2_4908163;DEBY_LOD2_4959320
main,raw_dense,assembled,attributes_plus_observation,144,ok,0.027778,13,DEBY_LOD2_104586480;DEBY_LOD2_4907017;DEBY_LOD2_4907165;DEBY_LOD2_4907169;DEBY_LOD2_4907176;DEBY_LOD2_4907182;DEBY_LOD2_4907508;DEBY_LOD2_4907510;DEBY_LOD2_4908163;DEBY_LOD2_4908165;DEBY_LOD2_4908178;DEBY_LOD2_4959465;DEBY_LOD2_4959758
main,raw_dense,val3dity_valid,attributes_only,133,ok,0.030075,8,DEBY_LOD2_4906967;DEBY_LOD2_4906969;DEBY_LOD2_4906975;DEBY_LOD2_4907017;DEBY_LOD2_4907519;DEBY_LOD2_4907520;DEBY_LOD2_4908163;DEBY_LOD2_4959324
main,raw_dense,val3dity_valid,observation_only,179,ok,0.022346,9,DEBY_LOD2_4906968;DEBY_LOD2_4906969;DEBY_LOD2_4906985;DEBY_LOD2_4907017;DEBY_LOD2_4907025;DEBY_LOD2_4907519;DEBY_LOD2_4908163;DEBY_LOD2_4959326;DEBY_LOD2_60042
main,raw_dense,val3dity_valid,attributes_plus_observation,133,ok,0.030075,9,DEBY_LOD2_4906975;DEBY_LOD2_4906985;DEBY_LOD2_4907017;DEBY_LOD2_4907025;DEBY_LOD2_4907519;DEBY_LOD2_4907520;DEBY_LOD2_4908163;DEBY_LOD2_4959326;DEBY_LOD2_60042
main,raw_dense,rf_rmse_lod22,attributes_only,131,ok,0.030534,10,DEBY_LOD2_108250120;DEBY_LOD2_42364663;DEBY_LOD2_4906984;DEBY_LOD2_4907168;DEBY_LOD2_4907169;DEBY_LOD2_4907176;DEBY_LOD2_4907198;DEBY_LOD2_4908163;DEBY_LOD2_4959320;DEBY_LOD2_4959460
main,raw_dense,rf_rmse_lod22,observation_only,131,ok,0.030534,6,DEBY_LOD2_42364663;DEBY_LOD2_4906984;DEBY_LOD2_4907176;DEBY_LOD2_4907198;DEBY_LOD2_4959320;DEBY_LOD2_4959460
main,raw_dense,rf_rmse_lod22,attributes_plus_observation,131,ok,0.030534,10,DEBY_LOD2_108250120;DEBY_LOD2_42364663;DEBY_LOD2_4906984;DEBY_LOD2_4907017;DEBY_LOD2_4907168;DEBY_LOD2_4907176;DEBY_LOD2_4907198;DEBY_LOD2_4908163;DEBY_LOD2_4959320;DEBY_LOD2_4959460
main,raw_dense,rf_roof_planes,attributes_only,133,ok,0.030075,7,DEBY_LOD2_108580336;DEBY_LOD2_42364663;DEBY_LOD2_4906965;DEBY_LOD2_4906968;DEBY_LOD2_4906975;DEBY_LOD2_4959326;DEBY_LOD2_60042
main,raw_dense,rf_roof_planes,observation_only,179,ok,0.022346,7,DEBY_LOD2_108580336;DEBY_LOD2_4906965;DEBY_LOD2_4906968;DEBY_LOD2_4906975;DEBY_LOD2_4959326;DEBY_LOD2_4959460;DEBY_LOD2_60042
