building_id,manual_split,expected_tier,primary_assignment,formula_assignment,map_assignment,fm_status,fm_correspondence_count,fm_count_threshold,fm_z_median_m,fm_score,outline_observable,spotcheck_reason,primary_boundary_margin_normalized,nearest_primary_predicate,learning_runs_started
DEBY_LOD2_8568391,validation,textureless_correspondence_anchored,outline_only,outline_only,outline_only,complete,0,1146,,0.000000,true,validation_expected_recorded_difference;near_active_primary_rule_boundary,0.000027,dense_point_count<=105.5,0
DEBY_LOD2_4907174,validation,well_textured,outline_only,outline_only,outline_only,complete,0,1146,,0.000000,true,validation_expected_recorded_difference,0.000031,dense_point_count<=105.5,0
DEBY_LOD2_4907187,validation,well_textured,outline_only,outline_only,outline_only,complete,0,1146,,0.000000,true,validation_expected_recorded_difference,0.000031,dense_point_count<=105.5,0
DEBY_LOD2_4908045,validation,well_textured,outline_only,outline_only,outline_only,complete,0,1146,,0.000000,true,validation_expected_recorded_difference,0.000031,dense_point_count<=105.5,0
DEBY_LOD2_4908160,validation,well_textured,outline_only,outline_only,indeterminate_small,complete,0,1146,,0.000000,true,validation_expected_recorded_difference,0.000031,dense_point_count<=105.5,0
DEBY_LOD2_4908162,validation,textureless_correspondence_anchored,outline_only,outline_only,outline_only,complete,0,1146,,0.000000,true,validation_expected_recorded_difference,0.000031,dense_point_count<=105.5,0
DEBY_LOD2_4908170,validation,outline_only,well_textured,well_textured,well_textured,,,1146,,,true,validation_expected_recorded_difference,0.000031,dense_point_count<=105.5,0
DEBY_LOD2_4907020,not_manual,,textureless_correspondence_anchored,textureless_correspondence_anchored,textureless_correspondence_anchored,complete,3131,1146,533.734966,0.381318,true,near_active_primary_rule_boundary,0.000000,texture_low_gradient_fraction<=0.518,0
DEBY_LOD2_104583447,not_manual,,textureless_correspondence_anchored,outline_only,indeterminate_small,complete,846,1146,532.157727,0.076533,true,near_active_primary_rule_boundary,0.000005,dense_point_count<=105.5,0
DEBY_LOD2_4908163,not_manual,,outline_only,outline_only,outline_only,complete,0,1146,,0.000000,true,near_active_primary_rule_boundary,0.000008,dense_point_count<=105.5,0
DEBY_LOD2_4907199,calibration,textureless_correspondence_anchored,outline_only,outline_only,outline_only,complete,0,1146,,0.000000,true,near_active_primary_rule_boundary,0.000014,dense_point_count<=105.5,0
DEBY_LOD2_4908049,calibration,textureless_correspondence_anchored,textureless_correspondence_anchored,textureless_correspondence_anchored,indeterminate_small,complete,1314,1146,517.031803,0.325409,true,near_active_primary_rule_boundary,0.000014,dense_point_count<=105.5,0
DEBY_LOD2_4907017,not_manual,,well_textured,well_textured,well_textured,,,1146,,,true,near_active_primary_rule_boundary,0.000016,dense_point_count<=105.5,0
DEBY_LOD2_8568392,calibration,outline_only,outline_only,outline_only,indeterminate_small,complete,218,1146,517.758671,0.029595,true,near_active_primary_rule_boundary,0.000017,dense_point_count<=105.5,0
DEBY_LOD2_4907028,not_manual,,well_textured,well_textured,well_textured,,,1146,,,true,near_active_primary_rule_boundary,0.000018,dense_point_count<=105.5,0
DEBY_LOD2_4908351,not_manual,,outline_only,outline_only,outline_only,complete,1036,1146,518.422420,0.199923,true,fm_count_near_threshold;near_active_primary_rule_boundary,0.000018,dense_point_count<=105.5,0
DEBY_LOD2_4907027,calibration,well_textured,well_textured,well_textured,well_textured,,,1146,,,true,near_active_primary_rule_boundary,0.000020,dense_point_count<=105.5,0
DEBY_LOD2_4908165,calibration,well_textured,well_textured,well_textured,indeterminate_small,,,1146,,,true,near_active_primary_rule_boundary,0.000025,dense_point_count<=105.5,0
DEBY_LOD2_108247350,validation,well_textured,well_textured,well_textured,indeterminate_small,,,1146,,,true,near_active_primary_rule_boundary,0.000027,dense_point_count<=105.5,0
DEBY_LOD2_108247351,calibration,outline_only,outline_only,outline_only,outline_only,complete,0,1146,,0.000000,true,near_active_primary_rule_boundary,0.000028,dense_point_count<=105.5,0
DEBY_LOD2_104583794,calibration,well_textured,well_textured,well_textured,indeterminate_small,,,1146,,,true,near_active_primary_rule_boundary,0.000031,dense_point_count<=105.5,0
DEBY_LOD2_4908169,calibration,outline_only,outline_only,outline_only,indeterminate_small,complete,1145,1146,521.569854,0.069377,true,fm_count_near_threshold,0.000031,dense_point_count<=105.5,0
DEBY_LOD2_8568403,not_manual,,outline_only,outline_only,indeterminate_small,complete,1068,1146,518.925490,0.040860,true,fm_count_near_threshold,0.000096,dense_point_count<=105.5,0
DEBY_LOD2_4907182,not_manual,,outline_only,textureless_correspondence_anchored,textureless_correspondence_anchored,complete,1240,1146,520.651814,0.285517,true,fm_count_near_threshold,0.001150,dense_point_count<=105.5,0
DEBY_LOD2_4907173,not_manual,,outline_only,textureless_correspondence_anchored,textureless_correspondence_anchored,complete,1165,1146,535.262522,0.349116,true,fm_count_near_threshold,0.036814,dense_point_count<=105.5,0
