building_id,old_bucket,old_class,new_class,moved,a_cand,veto_recovered,frac_views_incidence_le60,recon_score_median,n_views_nadir,dim_rf_pt_density,dim_reason,area_m2
DEBY_LOD2_104583794,3_coverage,F_소형,수동판정,1,0,,0.109,72.081,0.0,0.000000,pointcloud_unusable_no_points,6.39
DEBY_LOD2_107802038,3_coverage,경계_방법회복,경계_방법회복,0,1,raw_acmp,0.0,0.0,0.0,0.000000,pointcloud_unusable_no_points,388.48
DEBY_LOD2_107807336,3_coverage,A1_촬영확실,A1_촬영확실,0,1,,0.0,0.0,0.0,0.000000,pointcloud_unusable_no_points,100.63
DEBY_LOD2_108247350,1_textureless,F_소형,수동판정,1,0,raw_acmp,0.098,67.515,0.0,9.142858,pointcloud_unusable_no_points,12.14
DEBY_LOD2_108247351,1_textureless,미분류,수동판정,1,0,gs_seed_dense;gs_seed_acmp;raw_acmp,0.106,74.873,0.0,4.500000,pointcloud_unusable_no_points,65.28
DEBY_LOD2_42364607,4_impossible,미분류,수동판정,1,0,,0.119,81.117,0.0,0.000000,pointcloud_unusable_no_points,90.44
DEBY_LOD2_4906999,3_coverage,미분류,수동판정,1,0,raw_acmp,0.348,1.98,0.0,0.000000,pointcloud_unusable_no_points,221.16
DEBY_LOD2_4907012,3_coverage,미분류,수동판정,1,0,,0.316,0.0,0.0,0.000000,pointcloud_unusable_no_points,51.11
DEBY_LOD2_4907013,3_coverage,A2_촬영경계,수동판정,1,0,,0.295,0.0,0.0,0.000000,pointcloud_unusable_no_points,116.32
DEBY_LOD2_4907014,3_coverage,미분류,수동판정,1,0,,0.538,0.0,0.0,0.000000,pointcloud_unusable_no_points,149.95
DEBY_LOD2_4907015,3_coverage,미분류,수동판정,1,0,,0.494,0.0,0.0,0.000000,pointcloud_unusable_no_points,168.43
DEBY_LOD2_4907016,3_coverage,B_무텍스처,수동판정,1,0,,0.606,5.989,0.0,0.000000,pointcloud_unusable_no_points,282.21
DEBY_LOD2_4907019,3_coverage,경계_방법회복,수동판정,1,0,raw_acmp,0.175,0.318,0.0,0.000000,pointcloud_unusable_no_points,206.42
DEBY_LOD2_4907021,3_coverage,경계_방법회복,수동판정,1,0,raw_acmp,0.148,72.404,0.0,0.000000,pointcloud_unusable_no_points,249.03
DEBY_LOD2_4907022,3_coverage,A2_촬영경계,수동판정,1,0,,0.125,64.384,0.0,0.000000,pointcloud_unusable_no_points,240.91
DEBY_LOD2_4907027,3_coverage,미분류,수동판정,1,0,,0.263,11.702,0.0,4.352941,pointcloud_unusable_no_points,264.34
DEBY_LOD2_4907029,3_coverage,경계_방법회복,경계_방법회복,0,1,raw_acmp,0.061,0.769,0.0,0.000000,pointcloud_unusable_no_points,425.7
DEBY_LOD2_4907030,3_coverage,A1_촬영확실,수동판정,1,0,,0.228,3.245,0.0,0.000000,pointcloud_unusable_no_points,177.42
DEBY_LOD2_4907031,3_coverage,A1_촬영확실,수동판정,1,0,,0.199,0.912,0.0,0.000000,pointcloud_unusable_no_points,163.72
DEBY_LOD2_4907032,3_coverage,A1_촬영확실,수동판정,1,0,,0.216,0.0,0.0,0.000000,pointcloud_unusable_no_points,375.52
DEBY_LOD2_4907033,3_coverage,A1_촬영확실,수동판정,1,0,,0.251,0.0,0.0,0.000000,pointcloud_unusable_no_points,128.95
DEBY_LOD2_4907034,3_coverage,미분류,수동판정,1,0,,0.321,0.0,0.0,0.000000,pointcloud_unusable_no_points,549.5
DEBY_LOD2_4907036,3_coverage,A1_촬영확실,수동판정,1,0,,0.225,0.0,0.0,0.000000,pointcloud_unusable_no_points,187.85
