bid,bid_int,source,gt_reference_ground_y,ground_y_count,ground_y_min,ground_y_p05,ground_y_p10,ground_y_p25,ground_y_median,ground_y_mean,ground_y_p75,ground_y_p90,ground_y_p95,ground_y_max,abs_distance_to_gt_ground_y_count,abs_distance_to_gt_ground_y_min,abs_distance_to_gt_ground_y_p05,abs_distance_to_gt_ground_y_p10,abs_distance_to_gt_ground_y_p25,abs_distance_to_gt_ground_y_median,abs_distance_to_gt_ground_y_mean,abs_distance_to_gt_ground_y_p75,abs_distance_to_gt_ground_y_p90,abs_distance_to_gt_ground_y_p95,abs_distance_to_gt_ground_y_max
B0,0,E1_Baseline_rendered,-0.572,321,-12.153465270996094,-0.5051101446151733,-0.3781408965587616,-0.21863031387329102,-0.1354408860206604,-0.25904326958761686,-0.09030263870954514,-0.020067032426595688,0.00943756103515625,0.0918121337890625,321,0.020851764202117873,0.13848108363151546,0.23218101572990413,0.36774584960937495,0.44035058033466334,0.4880981311893026,0.4867263169288635,0.57340380859375,0.5888051980435848,11.581465270996095
B0,0,E2_Mutual_rendered,-0.572,315,-2.975839138031006,-0.535501343011856,-0.4048063993453979,-0.21798397600650787,-0.1409667432308197,-0.21522058351408868,-0.0957457460463047,-0.05271606445312499,0.0013671875000000064,0.01615142822265625,315,0.003106567382812453,0.1075766892433166,0.2544064016342163,0.36735757750272746,0.43393895339965816,0.4289325345104649,0.4782362872064113,0.5464721710681917,0.5793463439941405,2.403839138031006
B1,1,E1_Baseline_rendered,-0.588,87,-12.626296997070312,-11.69105224609375,-6.431774711608887,-0.8382600843906403,-0.43113821744918823,-1.641095611293554,-0.1341227889060974,-0.0644882500171661,-0.005178161198273295,0.1151885986328125,87,0.005924701213836703,0.022318142461776744,0.08050254535675051,0.22441867041587826,0.4319849605560303,1.5091596927360642,0.5603722077906131,5.843774711608891,11.103052246093753,12.038296997070313
B1,1,E2_Mutual_rendered,-0.588,80,-10.524948120117188,-3.8219920992851257,-1.7193904280662538,-1.2436705529689789,-0.5202065706253052,-0.9943527082999936,-0.13460007682442665,-0.0808547027409075,-0.04428301975131037,-0.0013198598753660917,80,0.03243029165267941,0.0670431847572327,0.14336837270259856,0.371390961587429,0.4945720774233341,0.8392922212520848,0.6556705529689789,1.1313904280662537,3.2339920992851234,9.936948120117188
B2,2,E1_Baseline_rendered,-0.592,78,-5.37917423248291,-0.6641832798719406,-0.5468323528766632,-0.30377425253391266,-0.11768289282917976,-0.27737653479935265,-0.0039577484130859375,0.025213623046874988,0.032469940185546844,0.0451812744140625,78,0.005530111312866182,0.047631211400032014,0.18698307108879086,0.3434926344156265,0.47671768796443936,0.5059744506420997,0.5923566741943359,0.6225694580078125,0.6315732879638671,4.7871742324829105
B2,2,E2_Mutual_rendered,-0.592,85,-3.6125152111053467,-0.6844059348106384,-0.46098002195358273,-0.2845315635204315,-0.14835067093372345,-0.25040881491320977,-0.00357818603515625,0.020204162597656256,0.021319580078125,0.042724609375,85,0.02247952651977536,0.10787034492492678,0.16527117919921872,0.3581209106445312,0.4480698181390762,0.47676003868947997,0.596852294921875,0.6127504272460937,0.6159898681640624,3.0205152111053466
B8,8,E1_Baseline_rendered,-0.599,91,-11.56241226196289,-0.5045087933540344,-0.41179177165031433,-0.20831870287656784,-0.09751535207033157,-0.37780394011617197,0.003589630126953125,0.0181732177734375,0.022396087646484375,0.0460662841796875,91,0.013112925529479957,0.16343786621093748,0.20001875662803648,0.41045858764648435,0.5122084026932716,0.6901645865353991,0.6034288635253906,0.618775390625,0.6232889514192939,10.96341226196289
B8,8,E2_Mutual_rendered,-0.599,75,-0.7709429264068604,-0.5391345500946045,-0.3502151310443878,-0.16926956921815872,-0.0130615234375,-0.10468138515949249,0.024753570556640625,0.03504162728786468,0.05153427124023437,0.06841278076171875,75,0.04338171386718748,0.11617579662799835,0.24878486895561217,0.42973043078184125,0.5859384765625,0.5005370613050459,0.6237535705566406,0.6340416272878646,0.6505342712402343,0.6674127807617187
B6,6,E1_Baseline_rendered,-0.549,90,-11.370132446289062,-1.5385457873344421,-1.3276939153671266,-1.011075347661972,-0.6751038432121277,-0.8444353543221951,-0.33797702193260193,-0.024996185302733957,0.15511665344238276,0.21953582763671875,90,0.008613978862762495,0.06636732316017147,0.11860129332542416,0.19288358342647555,0.4119117707014084,0.6082006869163779,0.5600220735073089,0.7786939153671265,0.989545787334442,10.821132446289063
B6,6,E2_Mutual_rendered,-0.549,63,-8.248031616210938,-1.5639180183410644,-1.1280157089233398,-0.782026469707489,-0.3299576938152313,-0.6312533574444907,-0.12268402054905891,0.09692687988281251,0.1447364807128906,0.1730804443359375,63,0.030350660324096723,0.07010604834556575,0.1006982097625732,0.22261342406272888,0.34714051580429073,0.5442848901786501,0.5887582898139954,0.7111658325195314,1.014918018341064,7.699031616210937
B3,3,E1_Baseline_rendered,-0.465,788,-12.496356964111328,-2.370002770423889,-1.7946372985839842,-1.076425552368164,-0.290134072303772,-0.7641503160549351,-0.06445576064288616,0.011967522837221677,0.03580894470214839,0.17131029069423676,788,0.0019200706481933838,0.07064621406793593,0.1529651745557785,0.3041959667205811,0.4372758305072784,0.7061029465586954,0.6208058929443359,1.3296372985839868,1.9050027704238888,12.031356964111328
B3,3,E2_Mutual_rendered,-0.465,685,-10.222220420837402,-2.0007781982421875,-1.5644757747650146,-0.9280853271484375,-0.22781768441200256,-0.6243135208494275,-0.05401760712265968,0.01547088623046878,0.0550947330892086,0.31269213557243347,685,0.0001449620723724121,0.07028458356857303,0.15059265136718752,0.309268798828125,0.4243728706240654,0.6078456348187059,0.5759396889805795,1.0994757747650146,1.5357781982421874,9.757220420837402
B123,123,E1_Baseline_rendered,-0.518,851,-68.66598510742188,-2.608541965484619,-0.8670768141746521,-0.34832631051540375,-0.15160471200942993,-0.5875970017601059,-0.06922388449311256,0.03195953369140625,0.0655364990234375,1.0169366598129272,851,0.0005574159622192543,0.06945512521266939,0.1409679718017578,0.2969195030927658,0.39290859627723695,0.7091715958046363,0.522888312658295,0.6089309610724449,2.0905419654846193,68.14798510742187
B123,123,E2_Mutual_rendered,-0.518,809,-10.499862670898438,-1.6311993598937988,-0.7987028479576109,-0.30953794717788696,-0.13921000063419342,-0.3792698075931533,-0.047757308930158615,0.04324444234371186,0.07106971144676184,0.5570383667945862,809,0.0007491178512573082,0.07302022504806521,0.1627693049907685,0.3109704785346985,0.3991769932508469,0.5311414773840369,0.5348533325195313,0.6095939331054688,1.1131993598937981,9.981862670898437
B126,126,E1_Baseline_rendered,-0.602,358,-10.561904907226562,-2.518107771873474,-1.2512457489967344,-0.27522359043359756,-0.12966804951429367,-0.4819486675232482,-0.02869410626590252,0.03201166987419132,0.07151464074850081,0.12876129150390625,358,0.009362639904022196,0.17802253556251524,0.2648641366958618,0.42614236292243,0.49896039259433744,0.7091311802121515,0.6082482411740348,0.7303843114972114,1.9161077718734714,9.959904907226562
B126,126,E2_Mutual_rendered,-0.602,367,-7.884079933166504,-1.7481639862060545,-0.4919441998004913,-0.23137825727462769,-0.12761558592319489,-0.3356011695170151,-0.056484222412109375,0.027973937988281256,0.0696442537009716,0.1408015340566635,367,0.008495630741119364,0.1965871740579605,0.2985300440788269,0.42017248463630674,0.48439451497793196,0.5958760143005027,0.5975013827420771,0.6844987381696701,1.1461639862060526,7.282079933166504
B50,50,E1_Baseline_rendered,-0.542,96,-3.089252471923828,-1.2153210043907166,-0.9661960899829865,-0.6282605975866318,-0.3445912003517151,-0.48228593457800645,-0.21636581420898438,-0.09898757934570312,0.012353897094726562,0.11469268798828125,96,0.003982360839843713,0.04756101751327513,0.10362183618545528,0.15562314969301227,0.2645354611873627,0.347682189175859,0.41531008911132816,0.6360174417495728,0.6733210043907165,2.5472524719238283
B50,50,E2_Mutual_rendered,-0.542,21,-3.598114013671875,-1.8700947761535645,-0.8145503401756287,-0.37106645107269287,-0.16500091552734375,-0.43403940381748335,-0.07859129458665848,-0.02768707275390625,-0.01277923583984375,0.02347564697265625,21,0.11640409064292911,0.11701801848411564,0.17093354892730717,0.345689256310463,0.41450716984272007,0.5514614657064278,0.5036005495190621,0.5654756469726563,1.3280947761535644,3.056114013671875
B104,104,E1_Baseline_rendered,-0.194,160,-9.263548851013184,-1.710988825559616,-1.1540160298347473,-0.609459400177002,-0.3065163344144821,-0.4975447198143229,-0.0843048095703125,0.12018318623304365,0.21239061430096623,0.8467563390731812,160,0.0006411132812499942,0.023369370466470724,0.042640916895866396,0.11324335461854934,0.24402480399608611,0.4700500450948254,0.4461209086179733,1.0098994658470153,1.516988825559612,9.069548851013183
B104,104,E2_Mutual_rendered,-0.194,101,-8.78608512878418,-2.7659096717834473,-1.8813729286193848,-1.3372344970703125,-0.6662593483924866,-0.8647480344787093,0.0691070556640625,0.23840416967868805,0.4730478823184967,1.0721958875656128,101,0.009033447265624994,0.1178438720703125,0.23828109899163247,0.3130919394493103,0.6149218139648438,0.9561251593187894,1.17031884765625,1.6873729286193848,2.5719096717834473,8.592085128784179
