bid,source,stage3_algo_version,metric_version,status,metric_artifact_dir,readout_artifact_dir,failure_reason,n_faces,n_roof_faces,n_wall_faces,n_ground_faces,roof_cov,wall_cov,ground_cov,semantic_face_acc,face_planarity_mean,face_planarity_max,support_coverage,F,precision,recall,h_err,vol_ratio,hausdorff,chamfer,footprint_IoU,edge_ok,open_edges,nonmanifold_edges,roof_wall_adjacency_count,wall_ground_adjacency_count,shell_completeness,metric_status,coverage_threshold_m,support_distance_m,n_metric_sample,n_surface_sample,matching_logs,metric_policy,bid_int,support_cov,non_manifold_edges,roof_support_cov,wall_support_cov,ground_support_cov,field_replacement,diagnostic_evaluated,evidence_artifact_dir
B104,E1_Baseline_rendered,Stage3Algo-v1,Metric-v1,OK,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_metric_v1/Stage3Algo-v1/E1_Baseline_rendered/B104,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_readout/Stage3Algo-v1/E1_Baseline_rendered/B104,,7,2,4,1,1.0,0.9996666666666667,1.0,0.9098333333333334,2.2123215171838835e-15,7.013299995729592e-15,0.7943333333333333,1.0,1.0,1.0,0.2308115401708064,0.8649605297263258,0.46300447768003145,0.13417468555339113,1.0,True,0,0,4,4,CLOSED,OK,0.5,0.75,6000,3000,"{'per_face_matching_csv': 'results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_metric_v1/Stage3Algo-v1/E1_Baseline_rendered/B104/per_face_matching.csv', 'sample_matching_csv': 'results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_metric_v1/Stage3Algo-v1/E1_Baseline_rendered/B104/sample_matching.csv', 'sample_log_policy': 'deterministic subset, max 1200 rows per run'}","{'gt_used_for_evaluation_only': True, 'semantic_matching_required_for_surface_coverage': True, 'metric_version_explicit': True}",104,0.7943333333333333,0,1.0,0.767,0.555,FR0_E1_original,existing,
B104,E2_Mutual_rendered,Stage3Algo-v1,Metric-v1,OK,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_metric_v1/Stage3Algo-v1/E2_Mutual_rendered/B104,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_readout/Stage3Algo-v1/E2_Mutual_rendered/B104,,7,2,4,1,1.0,0.9166666666666666,0.0,0.8188333333333333,2.209504231261536e-15,6.924412099839007e-15,0.745,0.8275055271682864,0.8911666666666667,0.7723333333333333,0.6116163007342417,0.7344306125677919,0.7774703290736924,0.2219298171623314,1.0,True,0,0,4,4,CLOSED,OK,0.5,0.75,6000,3000,"{'per_face_matching_csv': 'results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_metric_v1/Stage3Algo-v1/E2_Mutual_rendered/B104/per_face_matching.csv', 'sample_matching_csv': 'results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_metric_v1/Stage3Algo-v1/E2_Mutual_rendered/B104/sample_matching.csv', 'sample_log_policy': 'deterministic subset, max 1200 rows per run'}","{'gt_used_for_evaluation_only': True, 'semantic_matching_required_for_surface_coverage': True, 'metric_version_explicit': True}",104,0.745,0,1.0,0.817,0.368,FR1_E2_original,existing,
B104,FR2_E1_xyz_E2_semantic_normal,Stage3Algo-v1,Metric-v1,OK,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase4_field_replacement/metric_v1/FR2_E1_xyz_E2_semantic_normal/B104,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase4_field_replacement/readout/FR2_E1_xyz_E2_semantic_normal/B104,,7,2,4,1,0.8416666666666667,0.9933333333333333,1.0,0.8723333333333333,2.2643370856324666e-15,6.791255390804561e-15,0.717,0.9765873855428538,0.9613333333333334,0.9923333333333333,0.19054783340983716,0.9485447252790089,0.8062068887653057,0.17839009698723063,1.0,True,0,0,4,4,CLOSED,,,,,,,,104,0.717,0,1.0,0.721,0.418,FR2_E1_xyz_E2_semantic_normal,run,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase4_field_replacement/evidence/FR2_E1_xyz_E2_semantic_normal/B104
B104,FR3_E2_xyz_E1_semantic_normal,Stage3Algo-v1,Metric-v1,OK,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase4_field_replacement/metric_v1/FR3_E2_xyz_E1_semantic_normal/B104,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase4_field_replacement/readout/FR3_E2_xyz_E1_semantic_normal/B104,,7,2,4,1,1.0,0.6886666666666666,0.0,0.6961666666666667,2.2497870409656505e-15,7.317403294980697e-15,0.6829999999999999,0.7302584731636849,0.8713333333333333,0.6285,1.3978712232983672,0.5065123791555745,1.5329828893595405,0.39651243806047903,1.0,True,0,0,4,4,CLOSED,,,,,,,,104,0.6829999999999999,0,1.0,0.831,0.197,FR3_E2_xyz_E1_semantic_normal,run,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase4_field_replacement/evidence/FR3_E2_xyz_E1_semantic_normal/B104
B104,FR4_E2_with_E1_ground_y_distribution,Stage3Algo-v1,Metric-v1,OK,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase4_field_replacement/metric_v1/FR4_E2_with_E1_ground_y_distribution/B104,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase4_field_replacement/readout/FR4_E2_with_E1_ground_y_distribution/B104,,7,2,4,1,1.0,0.9986666666666667,1.0,0.8838333333333334,2.1674961596458765e-15,6.791255390804561e-15,0.7346666666666667,1.0,1.0,1.0,0.289376098021374,0.8254428339170742,0.48274755621120136,0.1589307535683569,1.0,True,0,0,4,4,CLOSED,,,,,,,,104,0.7346666666666667,0,1.0,0.745,0.406,FR4_E2_with_E1_ground_y_distribution,run,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase4_field_replacement/evidence/FR4_E2_with_E1_ground_y_distribution/B104
B104,FR5_E2_clipped_ground_y_quantiles,Stage3Algo-v1,Metric-v1,OK,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase4_field_replacement/metric_v1/FR5_E2_clipped_ground_y_quantiles/B104,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase4_field_replacement/readout/FR5_E2_clipped_ground_y_quantiles/B104,,7,2,4,1,1.0,0.9973333333333333,1.0,0.8795,2.1814056681115377e-15,6.791255390804561e-15,0.7046666666666667,0.9999166597216435,0.9998333333333334,1.0,0.3113977263409726,0.8192231341582487,0.5018128019374436,0.1630837132986107,1.0,True,0,0,4,4,CLOSED,,,,,,,,104,0.7046666666666667,0,1.0,0.751,0.301,FR5_E2_clipped_ground_y_quantiles,run,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase4_field_replacement/evidence/FR5_E2_clipped_ground_y_quantiles/B104
B104,FR6_E1_with_E2_semantic_entropy_confidence,Stage3Algo-v1,Metric-v1,OK,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase4_field_replacement/metric_v1/FR6_E1_with_E2_semantic_entropy_confidence/B104,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase4_field_replacement/readout/FR6_E1_with_E2_semantic_entropy_confidence/B104,,7,2,4,1,1.0,0.9996666666666667,1.0,0.9098333333333334,2.2123215171838835e-15,7.013299995729592e-15,0.7943333333333333,1.0,1.0,1.0,0.2308115401708064,0.8649605297263258,0.46300447768003145,0.13417468555339113,1.0,True,0,0,4,4,CLOSED,,,,,,,,104,0.7943333333333333,0,1.0,0.782,0.557,FR6_E1_with_E2_semantic_entropy_confidence,run,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase4_field_replacement/evidence/FR6_E1_with_E2_semantic_entropy_confidence/B104
B104,FR7_E2_with_E1_support_weight_calibration,Stage3Algo-v1,Metric-v1,OK,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase4_field_replacement/metric_v1/FR7_E2_with_E1_support_weight_calibration/B104,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase4_field_replacement/readout/FR7_E2_with_E1_support_weight_calibration/B104,,7,2,4,1,1.0,0.9166666666666666,0.0,0.8188333333333333,2.159467051470783e-15,6.791255390804561e-15,0.745,0.8275055271682864,0.8911666666666667,0.7723333333333333,0.6116163007342421,0.7344306125678173,0.7774703290736925,0.2219298171623314,1.0,True,0,0,4,4,CLOSED,,,,,,,,104,0.745,0,1.0,0.818,0.354,FR7_E2_with_E1_support_weight_calibration,run,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase4_field_replacement/evidence/FR7_E2_with_E1_support_weight_calibration/B104
B6,E1_Baseline_rendered,Stage3Algo-v1,Metric-v1,OK,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_metric_v1/Stage3Algo-v1/E1_Baseline_rendered/B6,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_readout/Stage3Algo-v1/E1_Baseline_rendered/B6,,23,10,12,1,0.6693333333333333,0.9326666666666666,1.0,0.9273333333333333,1.5163540457066645e-15,5.11940160046375e-15,0.4626666666666666,0.947825830842272,0.9505,0.9451666666666667,3.627471515617838,0.6782715244356421,3.5667136390646914,0.23813073131969748,1.0,True,0,0,12,12,CLOSED,OK,0.5,0.75,6000,3000,"{'per_face_matching_csv': 'results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_metric_v1/Stage3Algo-v1/E1_Baseline_rendered/B6/per_face_matching.csv', 'sample_matching_csv': 'results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_metric_v1/Stage3Algo-v1/E1_Baseline_rendered/B6/sample_matching.csv', 'sample_log_policy': 'deterministic subset, max 1200 rows per run'}","{'gt_used_for_evaluation_only': True, 'semantic_matching_required_for_surface_coverage': True, 'metric_version_explicit': True}",6,0.4626666666666666,0,0.903,0.392,0.058,FR0_E1_original,existing,
B6,E2_Mutual_rendered,Stage3Algo-v1,Metric-v1,OK,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_metric_v1/Stage3Algo-v1/E2_Mutual_rendered/B6,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_readout/Stage3Algo-v1/E2_Mutual_rendered/B6,,23,10,12,1,0.5246666666666666,0.932,1.0,0.937,1.5949491021093687e-15,5.483238945021996e-15,0.41733333333333333,0.931374727863768,0.9376666666666666,0.9251666666666667,3.38937412340141,0.6638984274781619,3.6235083886001966,0.23824001664625477,1.0,True,0,0,12,12,CLOSED,OK,0.5,0.75,6000,3000,"{'per_face_matching_csv': 'results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_metric_v1/Stage3Algo-v1/E2_Mutual_rendered/B6/per_face_matching.csv', 'sample_matching_csv': 'results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_metric_v1/Stage3Algo-v1/E2_Mutual_rendered/B6/sample_matching.csv', 'sample_log_policy': 'deterministic subset, max 1200 rows per run'}","{'gt_used_for_evaluation_only': True, 'semantic_matching_required_for_surface_coverage': True, 'metric_version_explicit': True}",6,0.41733333333333333,0,0.753,0.363,0.071,FR1_E2_original,existing,
