route,building_id,raw_dense_has_lod22,raw_dense_valid,raw_dense_rms_m,raw_dense_roof_planes,lidar_has_lod22,lidar_valid,lidar_rms_m,lidar_roof_planes,s0_dense_has_lod22,s0_dense_valid,s0_dense_rms_m,s0_dense_roof_planes,s1_dense_has_lod22,s1_dense_valid,s1_dense_rms_m,s1_dense_roof_planes,corrected_dense_has_lod22,corrected_dense_valid,corrected_dense_rms_m,corrected_dense_roof_planes
normal,DEBY_LOD2_4907184,True,True,0.3547,6,True,False,3.0085,7,True,False,1.0413,10,True,True,0.3541,6,True,True,0.3423,5
normal,DEBY_LOD2_4908168,True,True,0.1789,1,True,True,0.0975,1,False,True,,0,True,True,0.7348,1,False,True,,0
normal,DEBY_LOD2_4907202,True,True,0.5637,3,True,True,1.0143,4,False,True,,0,True,True,0.389,3,False,True,,0
normal,DEBY_LOD2_4907198,True,True,2.1275,1,True,True,0.1859,4,True,True,2.8936,1,True,True,1.4949,1,True,True,1.2003,3
normal,DEBY_LOD2_4907185,True,True,2.614,3,True,True,0.2677,4,True,True,3.4092,1,True,True,1.8068,2,True,True,4.2816,4
normal,DEBY_LOD2_4908178,True,True,0.6249,1,True,True,0.997,3,True,False,12.1585,1,True,True,0.6489,1,True,False,3.3316,2
defect,DEBY_LOD2_4907186,True,True,3.544,2,True,True,0.407,5,True,True,9.4128,1,True,True,12.662,1,True,True,5.299,1
defect,DEBY_LOD2_4907188,True,True,1.3542,3,True,True,0.1736,4,True,False,9.7745,1,True,False,6.8456,1,True,False,19.0038,1
defect,DEBY_LOD2_4907194,False,False,,0,False,False,,0,False,True,,0,True,True,10.517,1,False,True,,0
defect,DEBY_LOD2_4907195,True,True,0.2698,2,True,True,0.2512,3,True,True,4.8325,1,True,True,5.4966,1,True,True,6.1631,1
defect,DEBY_LOD2_60098,True,True,2.992,3,True,True,2.8175,5,False,True,,0,True,True,5.7215,1,True,True,3.5571,1
textureless_observed,DEBY_LOD2_4907199,False,True,,0,True,True,0.0315,1,False,True,,0,False,True,,0,True,False,17.0771,1
textureless_observed,DEBY_LOD2_8568391,False,True,,0,True,True,0.0365,1,False,True,,0,False,True,,0,False,True,,0
textureless_observed,DEBY_LOD2_8568392,False,True,,0,True,True,0.1038,1,False,True,,0,False,True,,0,False,True,,0
low_observation,DEBY_LOD2_108247350,False,True,,0,True,True,0.0073,1,False,True,,0,False,True,,0,False,True,,0
low_observation,DEBY_LOD2_108247351,False,True,,0,True,True,1.0524,2,True,True,14.7778,1,False,True,,0,False,True,,0
hard_all_fail,DEBY_LOD2_108247349,False,False,,0,False,False,,0,False,True,,0,False,True,,0,False,True,,0
hard_all_fail,DEBY_LOD2_4908179,False,False,,0,False,False,,0,False,True,,0,False,True,,0,False,True,,0
