setting,arm,status,status_reason,n_buildings
base,acmp,failure,pointcloud_unusable_no_planes,3
base,acmp,failure,pointcloud_unusable_no_points,4
base,acmp,success,success,3
base,acmp,failure,val3dity_invalid,8
base,dense,failure,pointcloud_unusable_no_planes,3
base,dense,failure,pointcloud_unusable_no_points,6
base,dense,success,success,6
base,dense,failure,val3dity_invalid,3
base,sparse,failure,pointcloud_unusable_no_planes,3
base,sparse,failure,pointcloud_unusable_no_points,5
base,sparse,success,success,8
base,sparse,failure,val3dity_invalid,2
