building_id,short_id,source,source_run,display_label,has_lod22,completeness,correctness,ref_rms_m,roof_planes,shell_bucket,status,texture_lens,observation_lens,complexity_lens,size_lens,label_lens,n_views_nadir,roof_obs_covered_frac,roof_lowtex_frac,roof_lowtex_v5,occlusion_frac_approx,recon_score_median
DEBY_LOD2_108247349,108247349,raw_sparse,raw_sparse,raw sparse,false,0.0000,,,0,미조립,failure,not_reviewed,mid,low,low,none,0.0,1.0,0.019,0.576,0.333,71.823
DEBY_LOD2_108247350,108247350,raw_sparse,raw_sparse,raw sparse,false,0.0000,,,0,미조립,failure,lowtex_mid,mid,low,low,복합(소형+가림),0.0,1.0,0.063,0.49,0.625,67.515
DEBY_LOD2_108247351,108247351,raw_sparse,raw_sparse,raw sparse,false,0.0000,,,0,미조립,failure,복합(저조도+가림),mid,low,low,복합(저조도+가림),0.0,1.0,0.174,0.549,0.556,74.873
DEBY_LOD2_4907184,4907184,raw_sparse,raw_sparse,raw sparse,true,0.5000,1.0000,2.1443,2,조립,success,not_reviewed,high,high,high,none,1.42,1.0,0.016,0.198,0.0,127.033
DEBY_LOD2_4907185,4907185,raw_sparse,raw_sparse,raw sparse,false,0.0000,,,0,미조립,failure,not_reviewed,high,low,mid,none,0.65,1.0,0.06,0.338,0.2,129.596
DEBY_LOD2_4907186,4907186,raw_sparse,raw_sparse,raw sparse,false,0.0000,,,0,미조립,failure,not_reviewed,mid,low,mid,none,0.0,1.0,0.053,0.61,0.0,68.276
DEBY_LOD2_4907188,4907188,raw_sparse,raw_sparse,raw sparse,false,0.0000,,,0,미조립,failure,not_reviewed,low,low,mid,none,0.0,1.0,0.063,0.598,0.4,64.062
DEBY_LOD2_4907194,4907194,raw_sparse,raw_sparse,raw sparse,false,0.0000,,,0,미조립,failure,not_reviewed,low,low,mid,none,0.0,1.0,0.056,0.708,0.0,51.146
DEBY_LOD2_4907195,4907195,raw_sparse,raw_sparse,raw sparse,false,0.0000,,,0,미조립,failure,not_reviewed,low,low,mid,none,0.0,1.0,0.073,0.732,0.0,42.14
DEBY_LOD2_4907198,4907198,raw_sparse,raw_sparse,raw sparse,false,0.0000,,,0,미조립,failure,not_reviewed,mid,high,high,none,0.09,1.0,0.031,0.641,0.25,86.069
DEBY_LOD2_4907199,4907199,raw_sparse,raw_sparse,raw sparse,false,0.0000,,,0,미조립,failure,무텍스처,mid,low,low,무텍스처,0.0,1.0,0.108,0.656,0.273,84.618
DEBY_LOD2_4907202,4907202,raw_sparse,raw_sparse,raw sparse,true,0.5000,1.0000,1.5667,1,조립,success,not_reviewed,mid,low,mid,none,1.94,1.0,0.085,0.562,0.333,84.473
DEBY_LOD2_4908168,4908168,raw_sparse,raw_sparse,raw sparse,false,0.0000,,,0,미조립,failure,not_reviewed,high,low,low,none,2.9,1.0,0.043,0.694,0.571,160.781
DEBY_LOD2_4908178,4908178,raw_sparse,raw_sparse,raw sparse,false,0.0000,,,0,미조립,failure,not_reviewed,low,low,low,none,0.32,1.0,0.029,0.406,0.455,63.723
DEBY_LOD2_4908179,4908179,raw_sparse,raw_sparse,raw sparse,false,0.0000,,,0,미조립,failure,not_reviewed,mid,low,low,none,0.0,1.0,0.042,0.429,0.375,75.129
DEBY_LOD2_60098,60098,raw_sparse,raw_sparse,raw sparse,false,0.0000,,,0,미조립,failure,not_reviewed,mid,low,mid,none,0.0,1.0,0.06,0.544,0.0,78.074
DEBY_LOD2_8568391,8568391,raw_sparse,raw_sparse,raw sparse,false,0.0000,,,0,미조립,failure,무텍스처,mid,low,low,무텍스처,1.02,1.0,0.037,0.536,0.625,86.872
DEBY_LOD2_8568392,8568392,raw_sparse,raw_sparse,raw sparse,false,0.0000,,,0,미조립,failure,lowtex_high,mid,low,low,복합(소형+재질),2.25,1.0,0.038,0.549,0.75,94.587
DEBY_LOD2_108247349,108247349,raw_dense,raw_dense,raw dense(MVS),false,0.0000,,,0,미조립,failure,not_reviewed,mid,low,low,none,0.0,1.0,0.019,0.576,0.333,71.823
DEBY_LOD2_108247350,108247350,raw_dense,raw_dense,raw dense(MVS),false,0.0000,,,0,미조립,failure,lowtex_mid,mid,low,low,복합(소형+가림),0.0,1.0,0.063,0.49,0.625,67.515
DEBY_LOD2_108247351,108247351,raw_dense,raw_dense,raw dense(MVS),false,0.0000,,,0,미조립,failure,복합(저조도+가림),mid,low,low,복합(저조도+가림),0.0,1.0,0.174,0.549,0.556,74.873
DEBY_LOD2_4907184,4907184,raw_dense,raw_dense,raw dense(MVS),true,1.0000,0.6667,0.3547,6,조립,success,not_reviewed,high,high,high,none,1.42,1.0,0.016,0.198,0.0,127.033
DEBY_LOD2_4907185,4907185,raw_dense,raw_dense,raw dense(MVS),true,1.0000,0.6667,2.6140,3,조립,success,not_reviewed,high,low,mid,none,0.65,1.0,0.06,0.338,0.2,129.596
DEBY_LOD2_4907186,4907186,raw_dense,raw_dense,raw dense(MVS),true,1.0000,1.0000,3.5440,2,조립,success,not_reviewed,mid,low,mid,none,0.0,1.0,0.053,0.61,0.0,68.276
DEBY_LOD2_4907188,4907188,raw_dense,raw_dense,raw dense(MVS),true,1.0000,0.6667,1.3542,3,조립,success,not_reviewed,low,low,mid,none,0.0,1.0,0.063,0.598,0.4,64.062
DEBY_LOD2_4907194,4907194,raw_dense,raw_dense,raw dense(MVS),false,0.0000,,,0,미조립,failure,not_reviewed,low,low,mid,none,0.0,1.0,0.056,0.708,0.0,51.146
DEBY_LOD2_4907195,4907195,raw_dense,raw_dense,raw dense(MVS),true,0.5000,0.5000,0.2698,2,조립,success,not_reviewed,low,low,mid,none,0.0,1.0,0.073,0.732,0.0,42.14
DEBY_LOD2_4907198,4907198,raw_dense,raw_dense,raw dense(MVS),true,0.2500,1.0000,2.1275,1,조립,success,not_reviewed,mid,high,high,none,0.09,1.0,0.031,0.641,0.25,86.069
DEBY_LOD2_4907199,4907199,raw_dense,raw_dense,raw dense(MVS),false,0.0000,,,0,미조립,failure,무텍스처,mid,low,low,무텍스처,0.0,1.0,0.108,0.656,0.273,84.618
DEBY_LOD2_4907202,4907202,raw_dense,raw_dense,raw dense(MVS),true,1.0000,0.6667,0.5637,3,조립,success,not_reviewed,mid,low,mid,none,1.94,1.0,0.085,0.562,0.333,84.473
