family,label,band,z_min,z_max,n_gaussians,z_p50,opacity_p50,camera_z_p05,camera_z_p50,camera_z_p95,sheet_vs_camera_p50_m,ckpt
corrected_recheck,dense,sheet_595_615,595.0,615.0,82674,599.3617,0.9055,593.8896,604.0655,636.8251,-4.7038,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,high_sheet_655_670,655.0,670.0,834,660.3634,0.1236,593.8896,604.0655,636.8251,56.2979,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,520,522,0,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,522,524,0,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,524,526,0,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,526,528,0,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,528,530,0,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,530,532,0,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,532,534,0,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,534,536,0,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,536,538,0,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,538,540,0,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,540,542,0,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,542,544,0,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,544,546,0,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,546,548,0,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,548,550,2,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,550,552,0,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,552,554,212,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,554,556,388,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,556,558,165,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,558,560,376,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,560,562,1984,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,562,564,1341,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,564,566,1571,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,566,568,2581,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,568,570,4434,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,570,572,8453,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,572,574,10002,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,574,576,15569,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,576,578,33439,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,578,580,60476,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,580,582,77792,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,582,584,57177,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,584,586,40142,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,586,588,26273,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,588,590,16619,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,590,592,29310,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,592,594,34527,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,594,596,24722,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,596,598,19577,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,598,600,14077,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,600,602,10639,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,602,604,7829,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,604,606,7096,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,606,608,4488,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,608,610,2371,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,610,612,2265,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,612,614,1521,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,614,616,1125,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,616,618,837,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,618,620,556,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,620,622,365,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,622,624,374,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,624,626,477,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,626,628,893,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,628,630,581,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,630,632,434,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,632,634,330,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,634,636,229,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,636,638,105,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,638,640,116,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,640,642,184,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,642,644,202,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,644,646,175,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,646,648,217,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,648,650,371,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,650,652,294,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,652,654,324,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,654,656,241,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,656,658,135,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,658,660,139,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,660,662,141,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,662,664,108,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,664,666,73,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,666,668,63,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,668,670,64,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,670,672,56,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,672,674,44,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,674,676,58,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,676,678,34,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,678,680,28,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,680,682,11,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,682,684,7,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,684,686,0,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,686,688,0,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,688,690,0,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,690,692,0,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,692,694,0,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,694,696,0,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,696,698,0,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,698,700,0,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,sparse,sheet_595_615,595.0,615.0,120038,599.4047,0.6744,593.8896,604.0655,636.8251,-4.6608,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/final.pt
corrected_recheck,sparse,high_sheet_655_670,655.0,670.0,232,661.0542,0.0727,593.8896,604.0655,636.8251,56.9887,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/final.pt
corrected_recheck,sparse,z_hist_2m,520,522,0,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/final.pt
corrected_recheck,sparse,z_hist_2m,522,524,0,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/final.pt
corrected_recheck,sparse,z_hist_2m,524,526,0,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/final.pt
corrected_recheck,sparse,z_hist_2m,526,528,0,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/final.pt
corrected_recheck,sparse,z_hist_2m,528,530,0,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/final.pt
corrected_recheck,sparse,z_hist_2m,530,532,0,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/final.pt
corrected_recheck,sparse,z_hist_2m,532,534,0,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/final.pt
corrected_recheck,sparse,z_hist_2m,534,536,0,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/final.pt
corrected_recheck,sparse,z_hist_2m,536,538,0,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/final.pt
corrected_recheck,sparse,z_hist_2m,538,540,0,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/final.pt
corrected_recheck,sparse,z_hist_2m,540,542,0,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/final.pt
corrected_recheck,sparse,z_hist_2m,542,544,26,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/final.pt
corrected_recheck,sparse,z_hist_2m,544,546,17,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/final.pt
corrected_recheck,sparse,z_hist_2m,546,548,0,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/final.pt
corrected_recheck,sparse,z_hist_2m,548,550,2,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/final.pt
corrected_recheck,sparse,z_hist_2m,550,552,5,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/final.pt
corrected_recheck,sparse,z_hist_2m,552,554,20,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/final.pt
corrected_recheck,sparse,z_hist_2m,554,556,10,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/final.pt
corrected_recheck,sparse,z_hist_2m,556,558,51,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/final.pt
corrected_recheck,sparse,z_hist_2m,558,560,288,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/final.pt
corrected_recheck,sparse,z_hist_2m,560,562,2072,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/final.pt
corrected_recheck,sparse,z_hist_2m,562,564,882,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/final.pt
corrected_recheck,sparse,z_hist_2m,564,566,1383,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/final.pt
corrected_recheck,sparse,z_hist_2m,566,568,2527,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/final.pt
corrected_recheck,sparse,z_hist_2m,568,570,4670,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/final.pt
corrected_recheck,sparse,z_hist_2m,570,572,8332,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/final.pt
corrected_recheck,sparse,z_hist_2m,572,574,10455,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/final.pt
corrected_recheck,sparse,z_hist_2m,574,576,14141,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/final.pt
corrected_recheck,sparse,z_hist_2m,576,578,29130,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/final.pt
corrected_recheck,sparse,z_hist_2m,578,580,48612,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/final.pt
corrected_recheck,sparse,z_hist_2m,580,582,64135,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/final.pt
corrected_recheck,sparse,z_hist_2m,582,584,47086,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/final.pt
corrected_recheck,sparse,z_hist_2m,584,586,39989,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/final.pt
corrected_recheck,sparse,z_hist_2m,586,588,22438,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/final.pt
corrected_recheck,sparse,z_hist_2m,588,590,15673,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/final.pt
corrected_recheck,sparse,z_hist_2m,590,592,24172,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/final.pt
corrected_recheck,sparse,z_hist_2m,592,594,26348,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/final.pt
