image_idx,image_name,backend,align_a,align_b,mvs_valid_pixels,residual_abs_median_m,residual_abs_p90_m,warp_amp_plane_m,warp_amp_quadratic_m,metric_depth
0,DJI_20241217084553_0100_D.JPG,Depth Anything V2 Large vitl,0.12801983,33.61978970,54614,7.6628,47.9232,14.1622,43.6580,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084553_0100_D.npy
1,DJI_20241217084555_0101_D.JPG,Depth Anything V2 Large vitl,0.05232932,45.12089357,63164,4.5508,38.8348,8.7190,29.8991,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084555_0101_D.npy
2,DJI_20241217084557_0102_D.JPG,Depth Anything V2 Large vitl,-0.02375521,58.90435822,68754,3.0093,32.7086,6.2564,14.1285,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084557_0102_D.npy
3,DJI_20241217084559_0103_D.JPG,Depth Anything V2 Large vitl,-0.07514252,72.33987363,194772,4.7795,24.0808,8.2271,9.0238,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084559_0103_D.npy
4,DJI_20241217084601_0104_D.JPG,Depth Anything V2 Large vitl,-0.07576814,63.77728542,124722,4.1793,23.5682,6.8303,8.3239,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084601_0104_D.npy
5,DJI_20241217084603_0105_D.JPG,Depth Anything V2 Large vitl,-0.03096374,54.77096487,144247,3.8929,25.6791,8.5890,11.8214,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084603_0105_D.npy
6,DJI_20241217084605_0106_D.JPG,Depth Anything V2 Large vitl,-0.05045576,57.44163520,155568,4.5332,19.3334,12.7516,15.3819,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084605_0106_D.npy
7,DJI_20241217084607_0107_D.JPG,Depth Anything V2 Large vitl,-0.08019017,63.07965727,156012,3.5640,14.9244,15.7742,17.6722,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084607_0107_D.npy
8,DJI_20241217084609_0108_D.JPG,Depth Anything V2 Large vitl,-0.07731423,66.99557464,158160,1.0380,10.9081,6.7222,9.0247,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084609_0108_D.npy
9,DJI_20241217084611_0109_D.JPG,Depth Anything V2 Large vitl,-0.06556802,63.95277506,109672,2.1610,8.0511,5.1755,6.7138,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084611_0109_D.npy
10,DJI_20241217084613_0110_D.JPG,Depth Anything V2 Large vitl,-0.05794003,67.35093572,97720,1.8910,7.6741,4.8208,5.2469,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084613_0110_D.npy
11,DJI_20241217084615_0111_D.JPG,Depth Anything V2 Large vitl,-0.03732616,68.76886524,77475,0.6804,1.7070,4.3910,4.9458,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084615_0111_D.npy
12,DJI_20241217084617_0112_D.JPG,Depth Anything V2 Large vitl,-0.01589643,65.82673850,45626,1.6336,5.2545,3.2433,5.4480,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084617_0112_D.npy
13,DJI_20241217084619_0113_D.JPG,Depth Anything V2 Large vitl,-0.07373356,75.64719138,35704,2.8622,9.6595,9.3478,12.9552,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084619_0113_D.npy
14,DJI_20241217084621_0114_D.JPG,Depth Anything V2 Large vitl,-0.04067934,69.30581414,37585,1.1871,5.6896,3.6033,4.0863,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084621_0114_D.npy
15,DJI_20241217084623_0115_D.JPG,Depth Anything V2 Large vitl,-0.05766020,70.34641072,26814,0.5124,2.8927,1.9099,4.0132,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084623_0115_D.npy
16,DJI_20241217084639_0123_D.JPG,Depth Anything V2 Large vitl,-0.02986511,62.61668898,44600,1.3773,3.2185,4.2416,4.3347,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084639_0123_D.npy
17,DJI_20241217084643_0125_D.JPG,Depth Anything V2 Large vitl,-0.01282509,57.72626673,17428,1.7190,3.7501,1.6231,4.2206,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084643_0125_D.npy
18,DJI_20241217084645_0126_D.JPG,Depth Anything V2 Large vitl,-0.06741507,77.46539787,46702,2.9725,6.9531,4.2792,8.0930,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084645_0126_D.npy
19,DJI_20241217084647_0127_D.JPG,Depth Anything V2 Large vitl,-0.07347668,76.71549390,69469,0.7991,2.8577,2.6202,4.2535,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084647_0127_D.npy
20,DJI_20241217084649_0128_D.JPG,Depth Anything V2 Large vitl,-0.07786044,75.64527835,191313,1.5784,3.5343,2.9694,5.5667,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084649_0128_D.npy
21,DJI_20241217084651_0129_D.JPG,Depth Anything V2 Large vitl,-0.06959880,72.59956873,261059,1.4643,4.4617,3.0616,4.2739,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084651_0129_D.npy
22,DJI_20241217084653_0130_D.JPG,Depth Anything V2 Large vitl,-0.07704240,74.42360227,283479,1.4860,3.1977,1.9837,3.3278,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084653_0130_D.npy
23,DJI_20241217084655_0131_D.JPG,Depth Anything V2 Large vitl,-0.07736173,74.10924185,280401,1.4647,3.4088,1.8215,3.8307,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084655_0131_D.npy
24,DJI_20241217084657_0132_D.JPG,Depth Anything V2 Large vitl,-0.08158861,75.08996171,320808,1.2390,3.0264,2.2660,3.2205,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084657_0132_D.npy
25,DJI_20241217084659_0133_D.JPG,Depth Anything V2 Large vitl,-0.08488847,76.38064758,384504,1.4132,3.2621,4.0585,5.7688,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084659_0133_D.npy
26,DJI_20241217084701_0134_D.JPG,Depth Anything V2 Large vitl,-0.09138302,77.20849918,460634,1.2280,2.2864,2.1684,3.9163,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084701_0134_D.npy
27,DJI_20241217084703_0135_D.JPG,Depth Anything V2 Large vitl,-0.09403993,77.20607529,539953,1.7098,3.1692,1.5413,3.3337,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084703_0135_D.npy
28,DJI_20241217084705_0136_D.JPG,Depth Anything V2 Large vitl,-0.09412693,76.16259430,668319,2.1859,3.8984,3.6928,3.9933,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084705_0136_D.npy
29,DJI_20241217084707_0137_D.JPG,Depth Anything V2 Large vitl,-0.09802248,76.75530011,706582,2.0384,4.4289,5.2514,7.6972,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084707_0137_D.npy
30,DJI_20241217084709_0138_D.JPG,Depth Anything V2 Large vitl,-0.09510219,76.63073275,716175,2.4624,4.8361,6.4403,6.8876,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084709_0138_D.npy
31,DJI_20241217084711_0139_D.JPG,Depth Anything V2 Large vitl,-0.09381299,76.14946701,713394,2.7540,5.4364,8.5448,8.7388,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084711_0139_D.npy
32,DJI_20241217084713_0140_D.JPG,Depth Anything V2 Large vitl,-0.09191506,76.35188746,730874,3.1493,6.3200,7.8673,8.2039,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084713_0140_D.npy
33,DJI_20241217084715_0141_D.JPG,Depth Anything V2 Large vitl,-0.08638321,75.96170061,746551,3.3631,6.7240,7.9181,8.2543,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084715_0141_D.npy
34,DJI_20241217084717_0142_D.JPG,Depth Anything V2 Large vitl,-0.07596596,74.91430558,747285,3.4040,8.9556,8.3057,9.4068,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084717_0142_D.npy
35,DJI_20241217084719_0143_D.JPG,Depth Anything V2 Large vitl,-0.06036793,74.82613083,626298,2.5016,7.9916,1.5438,3.0635,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084719_0143_D.npy
36,DJI_20241217084721_0144_D.JPG,Depth Anything V2 Large vitl,-0.05911136,74.87791424,657944,2.3513,7.4623,1.4628,3.1300,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084721_0144_D.npy
37,DJI_20241217084723_0145_D.JPG,Depth Anything V2 Large vitl,-0.05572582,74.34927094,631113,2.6532,7.8607,3.3555,5.4872,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084723_0145_D.npy
38,DJI_20241217084725_0146_D.JPG,Depth Anything V2 Large vitl,-0.05968860,75.83766004,438278,1.1336,2.8868,1.5341,3.1981,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084725_0146_D.npy
39,DJI_20241217084727_0147_D.JPG,Depth Anything V2 Large vitl,-0.06641167,76.32852022,421939,1.2828,3.3812,1.3563,2.2913,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084727_0147_D.npy
40,DJI_20241217084729_0148_D.JPG,Depth Anything V2 Large vitl,-0.07103882,76.68725968,370884,1.1077,3.1543,1.0512,2.1137,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084729_0148_D.npy
41,DJI_20241217084731_0149_D.JPG,Depth Anything V2 Large vitl,-0.07192186,73.50815477,217017,1.3439,4.4123,2.7940,4.7665,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084731_0149_D.npy
42,DJI_20241217084733_0150_D.JPG,Depth Anything V2 Large vitl,-0.07226771,72.87609337,187173,1.2942,5.4861,3.9330,6.1109,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084733_0150_D.npy
43,DJI_20241217084735_0151_D.JPG,Depth Anything V2 Large vitl,-0.07002412,71.48439587,151982,1.0518,8.3927,2.9516,5.8008,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084735_0151_D.npy
44,DJI_20241217084737_0152_D.JPG,Depth Anything V2 Large vitl,-0.01343168,56.16319109,60211,1.3765,3.4432,3.0165,4.2902,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084737_0152_D.npy
45,DJI_20241217084739_0153_D.JPG,Depth Anything V2 Large vitl,-0.00293643,51.48237806,38547,3.3388,17.7867,7.1442,8.1272,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084739_0153_D.npy
46,DJI_20241217084829_0178_D.JPG,Depth Anything V2 Large vitl,-0.11658446,82.86980487,30695,1.8997,12.1356,4.8031,6.2812,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084829_0178_D.npy
