arm,replicate,run_name,step,ckpt,building_id,n_gaussians_in_footprint,z_p50,z_std,opacity_p50
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,5000,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/step_005000.pt,DEBY_LOD2_4907202,463,567.2708,2.2402,0.2109
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,5000,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/step_005000.pt,DEBY_LOD2_4908168,3,567.6517,0.0802,0.4376
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,5000,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/step_005000.pt,DEBY_LOD2_4908178,239,564.5796,0.2086,0.1785
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,5000,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/step_005000.pt,DEBY_LOD2_4907184,7987,581.6483,3.1384,0.5518
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,10000,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/step_010000.pt,DEBY_LOD2_4907202,38,567.8977,3.8418,0.7260
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,10000,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/step_010000.pt,DEBY_LOD2_4908168,2,567.6154,0.2995,0.6901
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,10000,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/step_010000.pt,DEBY_LOD2_4908178,20,564.3939,0.1932,0.5320
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,10000,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/step_010000.pt,DEBY_LOD2_4907184,7185,581.8507,2.3068,0.6907
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,15000,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/step_015000.pt,DEBY_LOD2_4907202,23,575.3878,3.0026,0.1000
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,15000,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/step_015000.pt,DEBY_LOD2_4908168,1,576.9005,0.0000,0.1000
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,15000,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/step_015000.pt,DEBY_LOD2_4908178,4,567.1759,0.3712,0.1000
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,15000,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/step_015000.pt,DEBY_LOD2_4907184,7593,582.0392,2.4875,0.1000
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,20000,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/step_020000.pt,DEBY_LOD2_4907202,16,575.2406,3.8009,0.5059
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,20000,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/step_020000.pt,DEBY_LOD2_4908168,2,576.1183,0.5702,0.6919
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,20000,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/step_020000.pt,DEBY_LOD2_4908178,6,565.2845,0.4946,0.6095
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,20000,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/step_020000.pt,DEBY_LOD2_4907184,7963,582.0804,2.3695,0.7540
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,25000,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/step_025000.pt,DEBY_LOD2_4907202,15,575.2106,3.8875,0.2022
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,25000,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/step_025000.pt,DEBY_LOD2_4908168,2,576.0136,0.5873,0.3164
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,25000,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/step_025000.pt,DEBY_LOD2_4908178,6,565.2821,0.4870,0.3813
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,25000,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/step_025000.pt,DEBY_LOD2_4907184,7957,582.0692,2.3539,0.9366
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,30000,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/final.pt,DEBY_LOD2_4907202,15,575.1917,3.8899,0.1450
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,30000,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/final.pt,DEBY_LOD2_4908168,2,575.9401,0.6295,0.4440
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,30000,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/final.pt,DEBY_LOD2_4908178,6,565.2553,0.4641,0.4119
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,30000,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/final.pt,DEBY_LOD2_4907184,7984,581.9544,2.3441,0.9759
arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,5000,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r2/ckpt/step_005000.pt,DEBY_LOD2_4907202,368,567.3147,2.3926,0.1643
arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,5000,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r2/ckpt/step_005000.pt,DEBY_LOD2_4908168,1,565.9792,0.0000,0.1206
arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,5000,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r2/ckpt/step_005000.pt,DEBY_LOD2_4908178,71,564.5064,0.2132,0.2342
arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,5000,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r2/ckpt/step_005000.pt,DEBY_LOD2_4907184,6782,581.7893,2.3328,0.4986
arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,10000,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r2/ckpt/step_010000.pt,DEBY_LOD2_4907202,31,568.7462,3.8904,0.6695
arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,10000,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r2/ckpt/step_010000.pt,DEBY_LOD2_4908168,0,,,
arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,10000,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r2/ckpt/step_010000.pt,DEBY_LOD2_4908178,1,564.2782,0.0000,0.6469
arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,10000,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r2/ckpt/step_010000.pt,DEBY_LOD2_4907184,6601,582.0377,2.1780,0.6754
arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,15000,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r2/ckpt/step_015000.pt,DEBY_LOD2_4907202,22,576.2411,2.0688,0.1000
arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,15000,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r2/ckpt/step_015000.pt,DEBY_LOD2_4908168,0,,,
arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,15000,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r2/ckpt/step_015000.pt,DEBY_LOD2_4908178,0,,,
arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,15000,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r2/ckpt/step_015000.pt,DEBY_LOD2_4907184,7010,582.2177,2.3497,0.1000
arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,20000,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r2/ckpt/step_020000.pt,DEBY_LOD2_4907202,10,576.2251,0.6507,0.9580
arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,20000,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r2/ckpt/step_020000.pt,DEBY_LOD2_4908168,1,577.0642,0.0000,0.6474
