view_stem,image_name,height_px,width_px,source_components_total,source_components_eligible_ge256,source_components_excluded_lt256,source_roof_pixels,eligible_source_pixels,unassigned_eligible_pixels_outside_c00118_or_missing_id,oracle_owner_pixels_before_cut,cutline_pixels,regions_after_cut,region_pixels_after_cut,address_mode,address_datum_geoid_m,address_datum_shift_z_m,actual_source_class_agreement,actual_source_roof_iou,actual_source_class_mismatch_pixels,fixed_clean_class_mask_is_authoritative,lod2_depth_or_height_loss_input,cache_path,cache_sha256,semantic_mask_path,semantic_mask_sha256,status
DJI_20241217084553_0100_D,DJI_20241217084553_0100_D.JPG,332,276,1,1,0,61262,61262,61262,0,0,0,0,oracle_class_plus_raycast_building_id,48.0,556.0,1.0,1.0,0,True,False,results/tum_transfer/e5_s3/C001/semantic_regions/DJI_20241217084553_0100_D.npz,aa2369e9d1fae48d46409c069592c9855a8e8ddac42c9b7161e3ad1b064aeff3,results/tum_transfer/e5_pilot/C001/data_geoidfix_C001_buf20/semantic/DJI_20241217084553_0100_D.png,50ee55274a8e54e8ed05c9c6182518d9727a20763c7d1c91c0c40f97f32955d2,ok
DJI_20241217084555_0101_D,DJI_20241217084555_0101_D.JPG,429,252,1,1,0,73351,73351,73351,0,0,0,0,oracle_class_plus_raycast_building_id,48.0,556.0,1.0,1.0,0,True,False,results/tum_transfer/e5_s3/C001/semantic_regions/DJI_20241217084555_0101_D.npz,4dd211ed05573a8035d5a9cdfb448871adb86214a087853777900cc8e506c3b4,results/tum_transfer/e5_pilot/C001/data_geoidfix_C001_buf20/semantic/DJI_20241217084555_0101_D.png,08b6c9f7ff4f3ecbc80041055f3dc2646664c4e163460d692a0935a13b410ca4,ok
DJI_20241217084557_0102_D,DJI_20241217084557_0102_D.JPG,527,227,1,1,0,81557,81557,81557,0,0,0,0,oracle_class_plus_raycast_building_id,48.0,556.0,1.0,1.0,0,True,False,results/tum_transfer/e5_s3/C001/semantic_regions/DJI_20241217084557_0102_D.npz,528a69bb10e1ccdcef0b9e51347d643454107a448db07f4f41c0bfd60e8496c4,results/tum_transfer/e5_pilot/C001/data_geoidfix_C001_buf20/semantic/DJI_20241217084557_0102_D.png,50cf0da5d60a705a2307d055927c81a6f975ad2ec4c917be7e06af27d9e6cdaa,ok
DJI_20241217084559_0103_D,DJI_20241217084559_0103_D.JPG,625,400,4,3,1,84748,84740,84740,0,0,0,0,oracle_class_plus_raycast_building_id,48.0,556.0,1.0,1.0,0,True,False,results/tum_transfer/e5_s3/C001/semantic_regions/DJI_20241217084559_0103_D.npz,c45cd9e23e9c353478c03c668c4667f25cf555ba7a76511703f1a345132dd332,results/tum_transfer/e5_pilot/C001/data_geoidfix_C001_buf20/semantic/DJI_20241217084559_0103_D.png,6576dd5e23ab8dbafff12c7a870f39a5c08552fef015c1f6672e1c710c275311,ok
DJI_20241217084601_0104_D,DJI_20241217084601_0104_D.JPG,429,375,6,3,3,99719,99696,99696,0,0,0,0,oracle_class_plus_raycast_building_id,48.0,556.0,1.0,1.0,0,True,False,results/tum_transfer/e5_s3/C001/semantic_regions/DJI_20241217084601_0104_D.npz,d118392103a7eaddd76c6d70712aad538811a39e3c4cfece2cb14e6e5dc29dc4,results/tum_transfer/e5_pilot/C001/data_geoidfix_C001_buf20/semantic/DJI_20241217084601_0104_D.png,d5ead46111e7aeee230c42f26df866a7265d1d2162dfbcd5f08ba66018775ffe,ok
DJI_20241217084603_0105_D,DJI_20241217084603_0105_D.JPG,528,351,2,2,0,144386,144386,144386,0,0,0,0,oracle_class_plus_raycast_building_id,48.0,556.0,1.0,1.0,0,True,False,results/tum_transfer/e5_s3/C001/semantic_regions/DJI_20241217084603_0105_D.npz,40f2f9ab4912cb97a5b75f1683a972a9af79486c336542d4f5c1e8c11a343240,results/tum_transfer/e5_pilot/C001/data_geoidfix_C001_buf20/semantic/DJI_20241217084603_0105_D.png,dbaf3cffd916a9a45acd9aeb63a03ed3ebed3fa475a9145917d715f418c34bb8,ok
DJI_20241217084605_0106_D,DJI_20241217084605_0106_D.JPG,625,325,3,2,1,184105,184080,184080,0,0,0,0,oracle_class_plus_raycast_building_id,48.0,556.0,1.0,1.0,0,True,False,results/tum_transfer/e5_s3/C001/semantic_regions/DJI_20241217084605_0106_D.npz,24fe181169bc97e73f5049fc443335cb960aa0f81c59063af59f2f3897061941,results/tum_transfer/e5_pilot/C001/data_geoidfix_C001_buf20/semantic/DJI_20241217084605_0106_D.png,97ffe886e000166adca1bdfaf1ac171317dbddb2e566cf154004e2e8e7ffac34,ok
DJI_20241217084607_0107_D,DJI_20241217084607_0107_D.JPG,663,301,3,3,0,192260,192260,192260,0,0,0,0,oracle_class_plus_raycast_building_id,48.0,556.0,1.0,1.0,0,True,False,results/tum_transfer/e5_s3/C001/semantic_regions/DJI_20241217084607_0107_D.npz,174127360a60dce40b63ac33652b7436c7aadff78f1da646441a9edd3de6ed19,results/tum_transfer/e5_pilot/C001/data_geoidfix_C001_buf20/semantic/DJI_20241217084607_0107_D.png,29acd8af66b7f12fcabc63ec3c867840aadf8645ec099aa3b73b66bae3c99440,ok
DJI_20241217084609_0108_D,DJI_20241217084609_0108_D.JPG,665,277,3,3,0,158931,158931,158931,0,0,0,0,oracle_class_plus_raycast_building_id,48.0,556.0,1.0,1.0,0,True,False,results/tum_transfer/e5_s3/C001/semantic_regions/DJI_20241217084609_0108_D.npz,891adf2d543f25890e843f0c6f0b60fce7d9e5622aeff10d60f082b2c0cbc15d,results/tum_transfer/e5_pilot/C001/data_geoidfix_C001_buf20/semantic/DJI_20241217084609_0108_D.png,38eeddeb5b2492141fc63f33ee073d01e7bb13fcfd7e881b7c18beab1b34d78a,ok
DJI_20241217084611_0109_D,DJI_20241217084611_0109_D.JPG,493,252,2,2,0,109116,109116,109116,0,0,0,0,oracle_class_plus_raycast_building_id,48.0,556.0,1.0,1.0,0,True,False,results/tum_transfer/e5_s3/C001/semantic_regions/DJI_20241217084611_0109_D.npz,7a0fba079bf0e748ea30bb35193d470503c1794d5a2764fd28c830c7602c1fa5,results/tum_transfer/e5_pilot/C001/data_geoidfix_C001_buf20/semantic/DJI_20241217084611_0109_D.png,6aeb4a96a5f664e224423d1c95b94cc6910c9146e95a6b575e51f2126fa59d1e,ok
