run_id,building_id,arm,replicate,delta_m,score_status,p0_signed_median_error_m,perturbed_p0_signed_median_error_m,perturbed_p0_abs_signed_median_error_m,post_gs_signed_median_error_m,post_gs_abs_signed_median_error_m,signed_error_reduction_m,post_minus_perturbed_seed_signed_m,return_condition_met,trigger_candidate,trigger_rule
gs_e5_C001_s3ap_b4907199_a1_dz_m4_r1,DEBY_LOD2_4907199,a1,r1,-4.000000000,complete,-0.154904640,-4.154904640,4.154904640,4.158000000,4.158000000,-0.003095360,8.312904640,false,true,return_signal=true iff at least one completed A1 r1 nonzero-height row has abs(post_GS signed median error) < abs(P0 signed median error + injected delta); equality is false; no tolerance
gs_e5_C001_s3ap_b4907199_a1_dz_m2_r1,DEBY_LOD2_4907199,a1,r1,-2.000000000,complete,-0.154904640,-2.154904640,2.154904640,8.058000000,8.058000000,-5.903095360,10.212904640,false,true,return_signal=true iff at least one completed A1 r1 nonzero-height row has abs(post_GS signed median error) < abs(P0 signed median error + injected delta); equality is false; no tolerance
gs_e5_C001_s3ap_b4907199_a1_dz_m1_r1,DEBY_LOD2_4907199,a1,r1,-1.000000000,complete,-0.154904640,-1.154904640,1.154904640,5.758000000,5.758000000,-4.603095360,6.912904640,false,true,return_signal=true iff at least one completed A1 r1 nonzero-height row has abs(post_GS signed median error) < abs(P0 signed median error + injected delta); equality is false; no tolerance
gs_e5_C001_s3ap_b4907199_a1_dz_m0p5_r1,DEBY_LOD2_4907199,a1,r1,-0.500000000,complete,-0.154904640,-0.654904640,0.654904640,4.708000000,4.708000000,-4.053095360,5.362904640,false,true,return_signal=true iff at least one completed A1 r1 nonzero-height row has abs(post_GS signed median error) < abs(P0 signed median error + injected delta); equality is false; no tolerance
gs_e5_C001_s3ap_b4907199_a1_r1,DEBY_LOD2_4907199,a1,r1,0.000000000,complete,-0.154904640,-0.154904640,0.154904640,5.658000000,5.658000000,-5.503095360,5.812904640,false,false,return_signal=true iff at least one completed A1 r1 nonzero-height row has abs(post_GS signed median error) < abs(P0 signed median error + injected delta); equality is false; no tolerance
gs_e5_C001_s3ap_b4907199_a1_dz_p0p5_r1,DEBY_LOD2_4907199,a1,r1,0.500000000,complete,-0.154904640,0.345095360,0.345095360,5.558000000,5.558000000,-5.212904640,5.212904640,false,true,return_signal=true iff at least one completed A1 r1 nonzero-height row has abs(post_GS signed median error) < abs(P0 signed median error + injected delta); equality is false; no tolerance
gs_e5_C001_s3ap_b4907199_a1_dz_p1_r1,DEBY_LOD2_4907199,a1,r1,1.000000000,complete,-0.154904640,0.845095360,0.845095360,5.908000000,5.908000000,-5.062904640,5.062904640,false,true,return_signal=true iff at least one completed A1 r1 nonzero-height row has abs(post_GS signed median error) < abs(P0 signed median error + injected delta); equality is false; no tolerance
gs_e5_C001_s3ap_b4907199_a1_dz_p2_r1,DEBY_LOD2_4907199,a1,r1,2.000000000,complete,-0.154904640,1.845095360,1.845095360,6.608000000,6.608000000,-4.762904640,4.762904640,false,true,return_signal=true iff at least one completed A1 r1 nonzero-height row has abs(post_GS signed median error) < abs(P0 signed median error + injected delta); equality is false; no tolerance
gs_e5_C001_s3ap_b4907199_a1_dz_p4_r1,DEBY_LOD2_4907199,a1,r1,4.000000000,complete,-0.154904640,3.845095360,3.845095360,6.258000000,6.258000000,-2.412904640,2.412904640,false,true,return_signal=true iff at least one completed A1 r1 nonzero-height row has abs(post_GS signed median error) < abs(P0 signed median error + injected delta); equality is false; no tolerance
gs_e5_C001_s3ap_b8568391_a1_dz_m4_r1,DEBY_LOD2_8568391,a1,r1,-4.000000000,partial_no_scored_roof_points,0.100236015,-3.899763985,3.899763985,,,,,false,false,return_signal=true iff at least one completed A1 r1 nonzero-height row has abs(post_GS signed median error) < abs(P0 signed median error + injected delta); equality is false; no tolerance
gs_e5_C001_s3ap_b8568391_a1_dz_m2_r1,DEBY_LOD2_8568391,a1,r1,-2.000000000,complete,0.100236015,-1.899763985,1.899763985,-0.543000000,0.543000000,1.356763985,1.356763985,true,true,return_signal=true iff at least one completed A1 r1 nonzero-height row has abs(post_GS signed median error) < abs(P0 signed median error + injected delta); equality is false; no tolerance
gs_e5_C001_s3ap_b8568391_a1_dz_m1_r1,DEBY_LOD2_8568391,a1,r1,-1.000000000,complete,0.100236015,-0.899763985,0.899763985,0.057000000,0.057000000,0.842763985,0.956763985,true,true,return_signal=true iff at least one completed A1 r1 nonzero-height row has abs(post_GS signed median error) < abs(P0 signed median error + injected delta); equality is false; no tolerance
gs_e5_C001_s3ap_b8568391_a1_dz_m0p5_r1,DEBY_LOD2_8568391,a1,r1,-0.500000000,complete,0.100236015,-0.399763985,0.399763985,0.157000000,0.157000000,0.242763985,0.556763985,true,true,return_signal=true iff at least one completed A1 r1 nonzero-height row has abs(post_GS signed median error) < abs(P0 signed median error + injected delta); equality is false; no tolerance
gs_e5_C001_s3ap_b8568391_a1_r1,DEBY_LOD2_8568391,a1,r1,0.000000000,complete,0.100236015,0.100236015,0.100236015,0.657000000,0.657000000,-0.556763985,0.556763985,false,false,return_signal=true iff at least one completed A1 r1 nonzero-height row has abs(post_GS signed median error) < abs(P0 signed median error + injected delta); equality is false; no tolerance
gs_e5_C001_s3ap_b8568391_a1_dz_p0p5_r1,DEBY_LOD2_8568391,a1,r1,0.500000000,complete,0.100236015,0.600236015,0.600236015,0.907000000,0.907000000,-0.306763985,0.306763985,false,true,return_signal=true iff at least one completed A1 r1 nonzero-height row has abs(post_GS signed median error) < abs(P0 signed median error + injected delta); equality is false; no tolerance
