row_type,building_id,view_stem,target_region_pixels,neighbor_region_pixels,texture_valid_pixels,low_gradient_pixel_ratio,gradient_p10,gradient_median,gradient_mean,sfm_candidate_point_count,sfm_positive_depth_count,sfm_in_frame_point_count,sfm_target_mask_point_count,sfm_target_mask_unique_pixel_count,sfm_target_mask_yield,mvs_candidate_point_count,mvs_positive_depth_count,mvs_in_frame_point_count,mvs_target_mask_point_count,mvs_target_mask_unique_pixel_count,mvs_target_mask_yield,fm_eligible_pair_count,fm_cached_dlt_survivor_count,fm_inside_point_count,fm_inside_point_yield,mono_fm_angle_median_deg,mono_fm_angle_mad_deg,mono_finite_normal_count,mono_fm_angle_available,existing_mono_fm_angle_gate_deg,existing_mono_fm_angle_gate_eligible,new_composite_gate_threshold_defined,texture_definition,point_support_rule,fm_pair_rule,semantic_mask_role,semantic_mask_npz,semantic_mask_sha256,gt_used,lod2_used,als_used,learning_runs_started,new_inference_runs,status,note
view,DEBY_LOD2_4907199,DJI_20241217095141_0077_D,3099,8042,3099,0.653436592449,0.005545935539,0.015808348526,0.025056207285,2,2,2,0,0,0.000000000000,30,30,30,0,0,0.000000000000,0,0,0,,,,0,false,22.500000000000,false,false,"T11 np.gradient magnitude on grayscale [0,1]",supplied footprint inside and z >= observed exterior ground + 1.5m,eligible_summary_pair=true cached fixed-COLMAP DLT rows,0-e non-GT SAM target/neighbor mask reuse,phases/p2-gsjso/runs/20260716_e5_c001_s3b0_measurements/0e_semantic/masks/DEBY_LOD2_4907199_DJI_20241217095141_0077_D.npz,e570c75687116cce1da980acc2ca9bb5569bd4b35f4dde154951f0ec7f18b9c3,false,false,false,0,0,measured,existing 22.5deg mono-FM marker only; no composite gate threshold
view,DEBY_LOD2_4907199,DJI_20241217095145_0079_D,2410,8104,2410,0.367634854772,0.008768894029,0.028278833533,0.040460885178,2,2,2,0,0,0.000000000000,30,30,30,0,0,0.000000000000,2,0,0,,,,0,false,22.500000000000,false,false,"T11 np.gradient magnitude on grayscale [0,1]",supplied footprint inside and z >= observed exterior ground + 1.5m,eligible_summary_pair=true cached fixed-COLMAP DLT rows,0-e non-GT SAM target/neighbor mask reuse,phases/p2-gsjso/runs/20260716_e5_c001_s3b0_measurements/0e_semantic/masks/DEBY_LOD2_4907199_DJI_20241217095145_0079_D.npz,656871b70a66ec5b9e690d9ad1494adccd493fa43e74f9be9c3dd35eac25789b,false,false,false,0,0,measured,existing 22.5deg mono-FM marker only; no composite gate threshold
view,DEBY_LOD2_4907199,DJI_20241217095147_0080_D,3199,8034,3199,0.292278837137,0.010559146681,0.035348541916,0.051382729601,2,2,2,0,0,0.000000000000,30,30,30,0,0,0.000000000000,2,0,0,,,,0,false,22.500000000000,false,false,"T11 np.gradient magnitude on grayscale [0,1]",supplied footprint inside and z >= observed exterior ground + 1.5m,eligible_summary_pair=true cached fixed-COLMAP DLT rows,0-e non-GT SAM target/neighbor mask reuse,phases/p2-gsjso/runs/20260716_e5_c001_s3b0_measurements/0e_semantic/masks/DEBY_LOD2_4907199_DJI_20241217095147_0080_D.npz,8ecd0152ec34647c3d632bf438adf25cc1cc47a73502d5216b3d0f23ac8b6740,false,false,false,0,0,measured,existing 22.5deg mono-FM marker only; no composite gate threshold
view,DEBY_LOD2_4907199,DJI_20241217095149_0081_D,3122,6671,3122,0.299807815503,0.009998077478,0.034910772186,0.047488905569,2,2,2,0,0,0.000000000000,30,30,30,0,0,0.000000000000,2,0,0,,,,0,false,22.500000000000,false,false,"T11 np.gradient magnitude on grayscale [0,1]",supplied footprint inside and z >= observed exterior ground + 1.5m,eligible_summary_pair=true cached fixed-COLMAP DLT rows,0-e non-GT SAM target/neighbor mask reuse,phases/p2-gsjso/runs/20260716_e5_c001_s3b0_measurements/0e_semantic/masks/DEBY_LOD2_4907199_DJI_20241217095149_0081_D.npz,b180fe5fdac2fccb46918ee1122d49bdc1da48ad891aeee7ed308de0ae0ff104,false,false,false,0,0,measured,existing 22.5deg mono-FM marker only; no composite gate threshold
view,DEBY_LOD2_4907199,DJI_20241217095441_0023_D,45565,0,45565,0.533260177768,0.005545935539,0.019607843137,0.036468508744,2,2,0,0,0,,30,30,0,0,0,,4,538,373,0.693308550186,9.802148000000,3.297697000000,359,true,22.500000000000,true,false,"T11 np.gradient magnitude on grayscale [0,1]",supplied footprint inside and z >= observed exterior ground + 1.5m,eligible_summary_pair=true cached fixed-COLMAP DLT rows,0-e non-GT SAM target/neighbor mask reuse,phases/p2-gsjso/runs/20260716_e5_c001_s3b0_measurements/0e_semantic/masks/DEBY_LOD2_4907199_DJI_20241217095441_0023_D.npz,e1782a674cbcd2364524e5328d4e4abc70dec3a04ca4d48ee0943a7cb44e7998,false,false,false,0,0,measured,existing 22.5deg mono-FM marker only; no composite gate threshold
view,DEBY_LOD2_4907199,DJI_20241217095531_0048_D,6342,12760,6342,0.643645537685,0.004384447015,0.014274725273,0.025368021312,2,2,1,1,1,1.000000000000,30,30,0,0,0,,4,538,373,0.693308550186,9.838238000000,4.404474000000,355,true,22.500000000000,true,false,"T11 np.gradient magnitude on grayscale [0,1]",supplied footprint inside and z >= observed exterior ground + 1.5m,eligible_summary_pair=true cached fixed-COLMAP DLT rows,0-e non-GT SAM target/neighbor mask reuse,phases/p2-gsjso/runs/20260716_e5_c001_s3b0_measurements/0e_semantic/masks/DEBY_LOD2_4907199_DJI_20241217095531_0048_D.npz,e40c6910782d6ac6b0d7a4e8badeffd0155d1e3436d449c3abeb00e6f155f358,false,false,false,0,0,measured,existing 22.5deg mono-FM marker only; no composite gate threshold
view,DEBY_LOD2_8568391,DJI_20241217084901_0194_D,4456,11312,4456,0.571813285458,0.004384447015,0.018077538152,0.033025601688,0,0,0,0,0,,9,9,9,5,5,0.555555555556,1,854,256,0.299765807963,45.042023000000,4.377941000000,252,true,22.500000000000,false,false,"T11 np.gradient magnitude on grayscale [0,1]",supplied footprint inside and z >= observed exterior ground + 1.5m,eligible_summary_pair=true cached fixed-COLMAP DLT rows,0-e non-GT SAM target/neighbor mask reuse,phases/p2-gsjso/runs/20260716_e5_c001_s3b0_measurements/0e_semantic/masks/DEBY_LOD2_8568391_DJI_20241217084901_0194_D.npz,d9c19f0e6ee1d4effbb2ac22f8f9869d7ea3278cb1875143987293ee3d019266,false,false,false,0,0,measured,existing 22.5deg mono-FM marker only; no composite gate threshold
view,DEBY_LOD2_8568391,DJI_20241217084903_0195_D,2667,7395,2667,0.566554180727,0.005545935539,0.017755657134,0.034901900900,0,0,0,0,0,,9,9,9,0,0,0.000000000000,1,549,200,0.364298724954,31.011552000000,5.594890000000,195,true,22.500000000000,false,false,"T11 np.gradient magnitude on grayscale [0,1]",supplied footprint inside and z >= observed exterior ground + 1.5m,eligible_summary_pair=true cached fixed-COLMAP DLT rows,0-e non-GT SAM target/neighbor mask reuse,phases/p2-gsjso/runs/20260716_e5_c001_s3b0_measurements/0e_semantic/masks/DEBY_LOD2_8568391_DJI_20241217084903_0195_D.npz,82c60d2211c4a5febb896e8be941c534cf8f32adb1355115e28c52067e8639f6,false,false,false,0,0,measured,existing 22.5deg mono-FM marker only; no composite gate threshold
view,DEBY_LOD2_8568391,DJI_20241217095441_0023_D,23138,32958,23138,0.454058259141,0.006200544432,0.023529411765,0.035277327617,0,0,0,0,0,,9,9,9,9,9,1.000000000000,2,1403,456,0.325017818959,6.902865000000,0.802385000000,450,true,22.500000000000,true,false,"T11 np.gradient magnitude on grayscale [0,1]",supplied footprint inside and z >= observed exterior ground + 1.5m,eligible_summary_pair=true cached fixed-COLMAP DLT rows,0-e non-GT SAM target/neighbor mask reuse,phases/p2-gsjso/runs/20260716_e5_c001_s3b0_measurements/0e_semantic/masks/DEBY_LOD2_8568391_DJI_20241217095441_0023_D.npz,db2dc978d5b9c6dfa0f3f81a9248f270bbd89cfa6b60bb61cf34a5a3bb0dff97,false,false,false,0,0,measured,existing 22.5deg mono-FM marker only; no composite gate threshold
view,DEBY_LOD2_8568392,DJI_20241217084901_0194_D,577,14107,577,0.396880415945,0.008084520835,0.027729677694,0.035376563716,0,0,0,0,0,,29,29,29,29,28,1.000000000000,1,673,3,0.004457652303,49.869003000000,4.784671000000,3,true,22.500000000000,false,false,"T11 np.gradient magnitude on grayscale [0,1]",supplied footprint inside and z >= observed exterior ground + 1.5m,eligible_summary_pair=true cached fixed-COLMAP DLT rows,0-e non-GT SAM target/neighbor mask reuse,phases/p2-gsjso/runs/20260716_e5_c001_s3b0_measurements/0e_semantic/masks/DEBY_LOD2_8568392_DJI_20241217084901_0194_D.npz,5f33f0e3351eaf471297f35434c7b8dae6b7fc7a0019af8c63586132fb4bcab4,false,false,false,0,0,measured,existing 22.5deg mono-FM marker only; no composite gate threshold
