arm,building_id,pair_baseline,pair_baseline_source_input,baseline_has_lod22,baseline_reason,gs_r1_run,gs_r1_has_lod22,gs_r1_valid,gs_r1_reason,gs_r1_rmse_delta_vs_pair,gs_r2_run,gs_r2_has_lod22,gs_r2_valid,gs_r2_reason,r1_r2_flip
sparse,DEBY_LOD2_108247349,raw-sparse,raw-sparse,False,pointcloud_unusable_no_points,gs_e5_C001_sparse_r1,False,True,pointcloud_unusable_no_planes,,gs_e5_C001_sparse_r2,False,True,pointcloud_unusable_no_points,False
sparse,DEBY_LOD2_108247350,raw-sparse,raw-sparse,False,pointcloud_unusable_no_points,gs_e5_C001_sparse_r1,False,True,pointcloud_unusable_no_points,,gs_e5_C001_sparse_r2,True,True,success,True
sparse,DEBY_LOD2_108247351,raw-sparse,raw-sparse,False,pointcloud_unusable_no_points,gs_e5_C001_sparse_r1,False,True,pointcloud_unusable_no_points,,gs_e5_C001_sparse_r2,True,True,success,True
sparse,DEBY_LOD2_4907184,raw-sparse,raw-sparse,True,success,gs_e5_C001_sparse_r1,True,False,val3dity_invalid,-1.559926,gs_e5_C001_sparse_r2,True,False,val3dity_invalid,False
sparse,DEBY_LOD2_4907185,raw-sparse,raw-sparse,False,pointcloud_unusable_no_planes,gs_e5_C001_sparse_r1,True,True,success,,gs_e5_C001_sparse_r2,True,True,success,False
sparse,DEBY_LOD2_4907186,raw-sparse,raw-sparse,False,pointcloud_unusable_no_planes,gs_e5_C001_sparse_r1,True,True,success,,gs_e5_C001_sparse_r2,True,True,success,False
sparse,DEBY_LOD2_4907188,raw-sparse,raw-sparse,False,pointcloud_unusable_no_planes,gs_e5_C001_sparse_r1,False,True,pointcloud_unusable_no_planes,,gs_e5_C001_sparse_r2,False,True,pointcloud_unusable_no_points,False
sparse,DEBY_LOD2_4907194,raw-sparse,raw-sparse,False,pointcloud_unusable_no_points,gs_e5_C001_sparse_r1,False,True,pointcloud_unusable_no_points,,gs_e5_C001_sparse_r2,True,False,val3dity_invalid,True
sparse,DEBY_LOD2_4907195,raw-sparse,raw-sparse,False,pointcloud_unusable_no_planes,gs_e5_C001_sparse_r1,True,True,success,,gs_e5_C001_sparse_r2,True,True,success,False
sparse,DEBY_LOD2_4907198,raw-sparse,raw-sparse,False,pointcloud_unusable_no_planes,gs_e5_C001_sparse_r1,True,True,success,,gs_e5_C001_sparse_r2,True,True,success,False
sparse,DEBY_LOD2_4907199,raw-sparse,raw-sparse,False,pointcloud_unusable_no_points,gs_e5_C001_sparse_r1,False,True,pointcloud_unusable_no_planes,,gs_e5_C001_sparse_r2,False,True,pointcloud_unusable_no_planes,False
sparse,DEBY_LOD2_4907202,raw-sparse,raw-sparse,True,success,gs_e5_C001_sparse_r1,True,False,val3dity_invalid,19.339814,gs_e5_C001_sparse_r2,True,True,success,False
sparse,DEBY_LOD2_4908168,raw-sparse,raw-sparse,False,pointcloud_unusable_no_points,gs_e5_C001_sparse_r1,False,True,pointcloud_unusable_no_points,,gs_e5_C001_sparse_r2,False,True,pointcloud_unusable_no_points,False
sparse,DEBY_LOD2_4908178,raw-sparse,raw-sparse,False,pointcloud_unusable_no_points,gs_e5_C001_sparse_r1,True,False,val3dity_invalid,,gs_e5_C001_sparse_r2,True,True,success,False
sparse,DEBY_LOD2_4908179,raw-sparse,raw-sparse,False,pointcloud_unusable_no_points,gs_e5_C001_sparse_r1,False,True,pointcloud_unusable_no_planes,,gs_e5_C001_sparse_r2,False,True,pointcloud_unusable_no_points,False
sparse,DEBY_LOD2_60098,raw-sparse,raw-sparse,False,pointcloud_unusable_no_planes,gs_e5_C001_sparse_r1,True,True,success,,gs_e5_C001_sparse_r2,True,True,success,False
sparse,DEBY_LOD2_8568391,raw-sparse,raw-sparse,False,pointcloud_unusable_no_points,gs_e5_C001_sparse_r1,True,False,val3dity_invalid,,gs_e5_C001_sparse_r2,False,True,pointcloud_unusable_no_points,True
sparse,DEBY_LOD2_8568392,raw-sparse,raw-sparse,False,pointcloud_unusable_no_points,gs_e5_C001_sparse_r1,False,True,pointcloud_unusable_no_points,,gs_e5_C001_sparse_r2,False,True,pointcloud_unusable_no_points,False
dense,DEBY_LOD2_108247349,raw-dense(w2_1 DIM),DIM,False,missing_roofer_output,gs_e5_C001_dense_r1,False,True,pointcloud_unusable_no_points,,gs_e5_C001_dense_r2,False,True,pointcloud_unusable_no_points,False
dense,DEBY_LOD2_108247350,raw-dense(w2_1 DIM),DIM,False,pointcloud_unusable_no_points,gs_e5_C001_dense_r1,False,True,pointcloud_unusable_no_points,,gs_e5_C001_dense_r2,True,True,success,True
dense,DEBY_LOD2_108247351,raw-dense(w2_1 DIM),DIM,False,pointcloud_unusable_no_points,gs_e5_C001_dense_r1,True,True,success,,gs_e5_C001_dense_r2,False,True,pointcloud_unusable_no_planes,True
dense,DEBY_LOD2_4907184,raw-dense(w2_1 DIM),DIM,True,success,gs_e5_C001_dense_r1,True,False,val3dity_invalid,0.271620,gs_e5_C001_dense_r2,True,True,success,False
dense,DEBY_LOD2_4907185,raw-dense(w2_1 DIM),DIM,True,success,gs_e5_C001_dense_r1,True,True,success,0.756391,gs_e5_C001_dense_r2,True,True,success,False
dense,DEBY_LOD2_4907186,raw-dense(w2_1 DIM),DIM,True,success,gs_e5_C001_dense_r1,True,True,success,1.120416,gs_e5_C001_dense_r2,True,True,success,False
dense,DEBY_LOD2_4907188,raw-dense(w2_1 DIM),DIM,True,success,gs_e5_C001_dense_r1,True,False,val3dity_invalid,1.218663,gs_e5_C001_dense_r2,True,False,val3dity_invalid,False
dense,DEBY_LOD2_4907194,raw-dense(w2_1 DIM),DIM,False,missing_roofer_output,gs_e5_C001_dense_r1,False,True,pointcloud_unusable_no_planes,,gs_e5_C001_dense_r2,False,True,pointcloud_unusable_no_points,False
dense,DEBY_LOD2_4907195,raw-dense(w2_1 DIM),DIM,True,success,gs_e5_C001_dense_r1,True,True,success,-2.560973,gs_e5_C001_dense_r2,True,True,success,False
