row_type,stage_index,stage_id,stage_axis,nominal_sigma_m,nominal_retention,is_combination,stratum_type,stratum_value,population_count,measurement_count,assembly_count,assembly_rate,lod2_count,lod1_fallback_count,lod1_fallback_rate,val3dity_valid_count,val3dity_valid_rate,face_count_ratio_measurable_count,face_count_ratio_median,roof_rms_measurable_count,roof_rms_median_m,roof_hausdorff_measurable_count,roof_hausdorff_median_m,roof_completeness_measurable_count,roof_completeness_median,degraded_point_count_median,degraded_point_density_m2_median,realized_retention_ratio_median,realized_axis_noise_std_m_median,realized_xyz_displacement_rms_m_median,rf_reconstruction_time_s_sum,rf_reconstruction_time_s_median,validation_axis,validation_metric,expected_direction,monotonic_nonincreasing,monotonic_nondecreasing,monotonic_expected,inversion_transitions,comparison_scope,comparison_metric,comparison_expected,comparison_observed,comparison_match,learning_runs_started,new_inference_runs
stage_aggregate,0,baseline,baseline,0.000000000,1.000000000,false,overall,all,178,178,178,1.000000000,178,0,0.000000000,163,0.915730337,178,1.417391304,178,0.421303923,178,2.374408448,178,0.999870532,2978.000000000,18.234060713,1.000000000,0.000000000,0.000000000,36.598000000,0.108500000,,,,,,,,,,,,,0,0
stage_aggregate,0,baseline,baseline,0.000000000,1.000000000,false,ladder_cell,cell_1_assembled,114,114,114,1.000000000,114,0,0.000000000,101,0.885964912,114,1.500000000,114,0.501935105,114,2.642666534,114,0.999893803,4266.500000000,18.761456765,1.000000000,0.000000000,0.000000000,30.908000000,0.134000000,,,,,,,,,,,,,0,0
stage_aggregate,0,baseline,baseline,0.000000000,1.000000000,false,ladder_cell,cell_2_anchored,23,23,23,1.000000000,23,0,0.000000000,23,1.000000000,23,1.000000000,23,0.139479709,23,0.817027267,23,0.999860477,1202.000000000,15.517514665,1.000000000,0.000000000,0.000000000,2.075000000,0.064000000,,,,,,,,,,,,,0,0
stage_aggregate,0,baseline,baseline,0.000000000,1.000000000,false,ladder_cell,cell_3_outline_only,41,41,41,1.000000000,41,0,0.000000000,39,0.951219512,41,1.000000000,41,0.448233913,41,1.796675564,41,0.999819332,1937.000000000,17.070728250,1.000000000,0.000000000,0.000000000,3.615000000,0.075000000,,,,,,,,,,,,,0,0
stage_aggregate,0,baseline,baseline,0.000000000,1.000000000,false,ladder_cell,cell_4_beyond_image,0,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,0,,,,,,,,,,,,,,0,0
stage_aggregate,0,baseline,baseline,0.000000000,1.000000000,false,size,small_lt50,37,37,37,1.000000000,37,0,0.000000000,34,0.918918919,37,1.000000000,37,0.121596355,37,0.220603534,37,0.999723765,529.000000000,18.545892308,1.000000000,0.000000000,0.000000000,1.305000000,0.033000000,,,,,,,,,,,,,0,0
stage_aggregate,0,baseline,baseline,0.000000000,1.000000000,false,size,non_small_ge50,141,141,141,1.000000000,141,0,0.000000000,129,0.914893617,141,1.500000000,141,0.480211447,141,2.622478433,141,0.999897467,3915.000000000,18.070816751,1.000000000,0.000000000,0.000000000,35.293000000,0.133000000,,,,,,,,,,,,,0,0
stage_aggregate,0,baseline,baseline,0.000000000,1.000000000,false,ref_roof_slope_group,horizontal,24,24,24,1.000000000,24,0,0.000000000,24,1.000000000,24,1.000000000,24,0.082544600,24,0.149019615,24,0.999840312,580.500000000,18.131999245,1.000000000,0.000000000,0.000000000,1.268000000,0.044000000,,,,,,,,,,,,,0,0
stage_aggregate,0,baseline,baseline,0.000000000,1.000000000,false,ref_roof_slope_group,sloped,154,154,154,1.000000000,154,0,0.000000000,139,0.902597403,154,1.500000000,154,0.482691140,154,2.594004365,154,0.999879114,3537.500000000,18.259991965,1.000000000,0.000000000,0.000000000,35.330000000,0.128500000,,,,,,,,,,,,,0,0
stage_aggregate,0,baseline,baseline,0.000000000,1.000000000,false,fixed_subset,pilot10,10,10,10,1.000000000,10,0,0.000000000,9,0.900000000,10,1.875000000,10,0.337373145,10,1.932809143,10,0.999923703,3335.000000000,20.447284420,1.000000000,0.000000000,0.000000000,1.203000000,0.115500000,,,,,,,,,,,,,0,0
stage_aggregate,1,noise_sigma_0p05,noise,0.050000000,1.000000000,false,overall,all,178,178,178,1.000000000,178,0,0.000000000,167,0.938202247,178,1.333333333,178,0.501260449,178,2.584744714,178,0.999887307,2957.000000000,18.042321898,1.000000000,0.050054107,0.086696256,34.173000000,0.106000000,,,,,,,,,,,,,0,0
stage_aggregate,1,noise_sigma_0p05,noise,0.050000000,1.000000000,false,ladder_cell,cell_1_assembled,114,114,114,1.000000000,114,0,0.000000000,107,0.938596491,114,1.500000000,114,0.538418989,114,2.746467672,114,0.999915896,4215.500000000,18.557216731,1.000000000,0.050011609,0.086622649,28.923000000,0.140000000,,,,,,,,,,,,,0,0
stage_aggregate,1,noise_sigma_0p05,noise,0.050000000,1.000000000,false,ladder_cell,cell_2_anchored,23,23,23,1.000000000,23,0,0.000000000,20,0.869565217,23,1.000000000,23,0.154935889,23,0.918979301,23,0.999858236,1199.000000000,15.344632773,1.000000000,0.050119155,0.086808922,1.801000000,0.053000000,,,,,,,,,,,,,0,0
stage_aggregate,1,noise_sigma_0p05,noise,0.050000000,1.000000000,false,ladder_cell,cell_3_outline_only,41,41,41,1.000000000,41,0,0.000000000,40,0.975609756,41,1.000000000,41,0.369416531,41,1.775634272,41,0.999843184,1936.000000000,16.890403656,1.000000000,0.050135267,0.086836830,3.449000000,0.083000000,,,,,,,,,,,,,0,0
stage_aggregate,1,noise_sigma_0p05,noise,0.050000000,1.000000000,false,ladder_cell,cell_4_beyond_image,0,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,0,,,,,,,,,,,,,,0,0
stage_aggregate,1,noise_sigma_0p05,noise,0.050000000,1.000000000,false,size,small_lt50,37,37,37,1.000000000,37,0,0.000000000,34,0.918918919,37,1.000000000,37,0.111480767,37,0.175316857,37,0.999752865,509.000000000,18.162756812,1.000000000,0.050422405,0.087334167,1.148000000,0.031000000,,,,,,,,,,,,,0,0
stage_aggregate,1,noise_sigma_0p05,noise,0.050000000,1.000000000,false,size,non_small_ge50,141,141,141,1.000000000,141,0,0.000000000,133,0.943262411,141,1.500000000,141,0.529080855,141,2.806546981,141,0.999915919,3865.000000000,17.917388685,1.000000000,0.050023571,0.086643366,33.025000000,0.126000000,,,,,,,,,,,,,0,0
stage_aggregate,1,noise_sigma_0p05,noise,0.050000000,1.000000000,false,ref_roof_slope_group,horizontal,24,24,24,1.000000000,24,0,0.000000000,23,0.958333333,24,1.000000000,24,0.081680049,24,0.143807656,24,0.999809846,573.500000000,17.880025154,1.000000000,0.050283172,0.087093007,1.183000000,0.034000000,,,,,,,,,,,,,0,0
stage_aggregate,1,noise_sigma_0p05,noise,0.050000000,1.000000000,false,ref_roof_slope_group,sloped,154,154,154,1.000000000,154,0,0.000000000,144,0.935064935,154,1.500000000,154,0.530730522,154,2.746467672,154,0.999904361,3489.000000000,18.061605175,1.000000000,0.050034249,0.086661859,32.990000000,0.118000000,,,,,,,,,,,,,0,0
stage_aggregate,1,noise_sigma_0p05,noise,0.050000000,1.000000000,false,fixed_subset,pilot10,10,10,10,1.000000000,10,0,0.000000000,10,1.000000000,10,2.000000000,10,0.729718340,10,4.797937344,10,0.999914939,3278.500000000,20.061473746,1.000000000,0.050125805,0.086820442,1.102000000,0.108000000,,,,,,,,,,,,,0,0
stage_aggregate,2,noise_sigma_0p10,noise,0.100000000,1.000000000,false,overall,all,178,178,178,1.000000000,178,0,0.000000000,164,0.921348315,178,1.071428572,178,0.435582562,178,2.501097660,178,0.999876575,2943.500000000,18.010870579,1.000000000,0.100056359,0.173302697,33.280000000,0.099000000,,,,,,,,,,,,,0,0
stage_aggregate,2,noise_sigma_0p10,noise,0.100000000,1.000000000,false,ladder_cell,cell_1_assembled,114,114,114,1.000000000,114,0,0.000000000,103,0.903508772,114,1.500000000,114,0.531113064,114,2.770551335,114,0.999905342,4182.000000000,18.407580164,1.000000000,0.100014412,0.173230043,28.174000000,0.137000000,,,,,,,,,,,,,0,0
stage_aggregate,2,noise_sigma_0p10,noise,0.100000000,1.000000000,false,ladder_cell,cell_2_anchored,23,23,23,1.000000000,23,0,0.000000000,22,0.956521739,23,1.000000000,23,0.126135580,23,0.757858060,23,0.999861896,1197.000000000,15.209966878,1.000000000,0.100296105,0.173717950,1.750000000,0.050000000,,,,,,,,,,,,,0,0
stage_aggregate,2,noise_sigma_0p10,noise,0.100000000,1.000000000,false,ladder_cell,cell_3_outline_only,41,41,41,1.000000000,41,0,0.000000000,39,0.951219512,41,1.000000000,41,0.307932212,41,1.945465546,41,0.999827778,1923.000000000,16.800241358,1.000000000,0.100118108,0.173409649,3.356000000,0.079000000,,,,,,,,,,,,,0,0
stage_aggregate,2,noise_sigma_0p10,noise,0.100000000,1.000000000,false,ladder_cell,cell_4_beyond_image,0,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,0,,,,,,,,,,,,,,0,0
stage_aggregate,2,noise_sigma_0p10,noise,0.100000000,1.000000000,false,size,small_lt50,37,37,37,1.000000000,37,0,0.000000000,36,0.972972973,37,1.000000000,37,0.095129773,37,0.173596154,37,0.999702822,488.000000000,18.051757730,1.000000000,0.100199578,0.173550760,1.043000000,0.031000000,,,,,,,,,,,,,0,0
stage_aggregate,2,noise_sigma_0p10,noise,0.100000000,1.000000000,false,size,non_small_ge50,141,141,141,1.000000000,141,0,0.000000000,128,0.907801418,141,1.400000000,141,0.533735417,141,2.814894090,141,0.999905279,3807.000000000,17.822969156,1.000000000,0.100008428,0.173219678,32.237000000,0.126000000,,,,,,,,,,,,,0,0
stage_aggregate,2,noise_sigma_0p10,noise,0.100000000,1.000000000,false,ref_roof_slope_group,horizontal,24,24,24,1.000000000,24,0,0.000000000,24,1.000000000,24,1.000000000,24,0.082708671,24,0.149918035,24,0.999840312,564.000000000,17.791728299,1.000000000,0.099748170,0.172768898,1.083000000,0.034000000,,,,,,,,,,,,,0,0
stage_aggregate,2,noise_sigma_0p10,noise,0.100000000,1.000000000,false,ref_roof_slope_group,sloped,154,154,154,1.000000000,154,0,0.000000000,140,0.909090909,154,1.417391304,154,0.528802638,154,2.750798973,154,0.999883204,3454.000000000,18.010870579,1.000000000,0.100067762,0.173322449,32.197000000,0.112000000,,,,,,,,,,,,,0,0
stage_aggregate,2,noise_sigma_0p10,noise,0.100000000,1.000000000,false,fixed_subset,pilot10,10,10,10,1.000000000,10,0,0.000000000,10,1.000000000,10,1.750000000,10,0.752635324,10,4.095664722,10,0.999923150,3262.000000000,19.884060655,1.000000000,0.100176125,0.173510139,1.135000000,0.100500000,,,,,,,,,,,,,0,0
