row_type,building_id,population_role,gs_selection_scope,dense_model_id,dense_has_lod22,dense_val3dity_valid,dense_lod1_fallback,dense_roof_face_count,dense_face_count_ratio,dense_roof_rms_m,gs_valid_count,gs_total_count,gs_lod2_count,gs_best_model_id,gs_best_wave,gs_best_arm,gs_best_run,gs_best_selection_pool,gs_best_invalid_best,gs_best_has_lod22,gs_best_val3dity_valid,gs_best_lod1_fallback,gs_best_roof_face_count,gs_best_face_count_ratio,gs_best_roof_rms_m,als_model_id,als_has_lod22,als_val3dity_valid,als_roof_face_count,als_face_count_ratio,als_roof_rms_m,reference_roof_face_count,texture_lens,observation_lens,complexity_lens,size_lens,label_lens,learning_runs_started
building,DEBY_LOD2_108247349,gs_only_lod2,per_building_oracle_upper_bound_not_fixed_condition,canonical_dense_w2_1,false,false,false,0,0.000000000,,145,150,14,e5p_readout_ablation_20260708_C001:sor_weak:gs_e5_C001_acmp_r1:run_1,e5p_readout_ablation_20260708_C001,acmp,r1,valid_models,false,true,true,false,1,1.000000000,19.801748806,als_w2_1,false,false,0,0.000000000,,1,not_reviewed,mid,low,low,none,0
building,DEBY_LOD2_108247350,gs_only_lod2,per_building_oracle_upper_bound_not_fixed_condition,canonical_dense_w2_1,false,true,false,0,0.000000000,,146,150,32,e5p_readout_ablation_20260708_C001:relaxed:gs_e5_C001_sparse_r2:run_1,e5p_readout_ablation_20260708_C001,sparse,r2,valid_models,false,true,true,false,1,1.000000000,12.827580074,als_w2_1,true,true,1,1.000000000,0.007333393,1,lowtex_mid,mid,low,low,복합(소형+가림),0
building,DEBY_LOD2_108247351,gs_only_lod2,per_building_oracle_upper_bound_not_fixed_condition,canonical_dense_w2_1,false,true,false,0,0.000000000,,128,150,40,e5p_readout_ablation_20260708_C001:minobs2:gs_e5_C001_dense_r2:run_1,e5p_readout_ablation_20260708_C001,dense,r2,valid_models,false,false,true,false,1,1.000000000,10.623386644,als_w2_1,true,true,2,2.000000000,1.052399290,1,복합(저조도+가림),mid,low,low,복합(저조도+가림),0
building,DEBY_LOD2_4907184,dense_success,per_building_oracle_upper_bound_not_fixed_condition,canonical_dense_w2_1,true,true,false,6,1.500000000,0.354716522,75,150,122,e5p_3b_s1_20260708_C001:base:gs_e5_C001_s1_sparse_r1:run_1,e5p_3b_s1_20260708_C001,sparse,r1,valid_models,false,true,true,false,4,1.000000000,0.224870139,als_w2_1,true,false,7,1.750000000,3.008492769,4,not_reviewed,high,high,high,none,0
building,DEBY_LOD2_4907185,dense_success,per_building_oracle_upper_bound_not_fixed_condition,canonical_dense_w2_1,true,true,false,3,1.500000000,2.613993006,117,150,122,e5p_readout_ablation_20260708_C001:base:gs_e5_C001_sparse_r2:run_1,e5p_readout_ablation_20260708_C001,sparse,r2,valid_models,false,true,true,false,3,1.500000000,1.540957752,als_w2_1,true,true,4,2.000000000,0.267703666,2,not_reviewed,high,low,mid,none,0
building,DEBY_LOD2_4907186,dense_success,per_building_oracle_upper_bound_not_fixed_condition,canonical_dense_w2_1,true,true,false,2,1.000000000,3.543989669,120,150,110,e5p_s2_405_repair_20260710_C001:e5p_s2_direction_position_20260710_C001:base:gs_e5_C001_s2_arm2_dense_r2:run_1,e5p_s2_405_repair_20260710_C001:e5p_s2_direction_position_20260710_C001,arm2,r2,valid_models,false,true,true,false,1,0.500000000,1.062288628,als_w2_1,true,true,5,2.500000000,0.407042625,2,not_reviewed,mid,low,mid,none,0
building,DEBY_LOD2_4907188,dense_success,per_building_oracle_upper_bound_not_fixed_condition,canonical_dense_w2_1,true,true,false,3,1.500000000,1.354221199,43,150,106,e5p_readout_ablation_20260708_C001:sor_off:gs_e5_C001_acmp_r2:run_1,e5p_readout_ablation_20260708_C001,acmp,r2,valid_models,false,true,true,false,1,0.500000000,1.555996338,als_w2_1,true,true,4,2.000000000,0.173617451,2,not_reviewed,low,low,mid,none,0
building,DEBY_LOD2_4907194,gs_only_lod2,per_building_oracle_upper_bound_not_fixed_condition,canonical_dense_w2_1,false,false,false,0,0.000000000,,116,150,88,e5p_readout_ablation_20260708_C001:sor_off:gs_e5_C001_dense_r1:run_1,e5p_readout_ablation_20260708_C001,dense,r1,valid_models,false,true,true,false,1,0.500000000,1.605799117,als_w2_1,false,false,0,0.000000000,,2,not_reviewed,low,low,mid,none,0
building,DEBY_LOD2_4907195,dense_success,per_building_oracle_upper_bound_not_fixed_condition,canonical_dense_w2_1,true,true,false,2,1.000000000,0.269773262,124,150,118,e5p_readout_ablation_20260708_C001:sor_off:gs_e5_C001_acmp_r1:run_1,e5p_readout_ablation_20260708_C001,acmp,r1,valid_models,false,true,true,false,2,1.000000000,0.292445814,als_w2_1,true,true,3,1.500000000,0.251183004,2,not_reviewed,low,low,mid,none,0
building,DEBY_LOD2_4907198,dense_success,per_building_oracle_upper_bound_not_fixed_condition,canonical_dense_w2_1,true,true,false,1,0.250000000,2.127468875,116,150,122,e5p_readout_ablation_20260708_C001:base:gs_e5_C001_acmp_r1:run_1,e5p_readout_ablation_20260708_C001,acmp,r1,valid_models,false,true,true,false,1,0.250000000,1.111590781,als_w2_1,true,true,4,1.000000000,0.185857192,4,not_reviewed,mid,high,high,none,0
building,DEBY_LOD2_4907199,gs_only_lod2,per_building_oracle_upper_bound_not_fixed_condition,canonical_dense_w2_1,false,true,false,0,0.000000000,,126,164,27,e5p_readout_ablation_20260708_C001:minobs1:gs_e5_C001_acmp_r2:run_1,e5p_readout_ablation_20260708_C001,acmp,r2,valid_models,false,true,true,false,2,2.000000000,4.608112514,als_w2_1,true,true,1,1.000000000,0.031461423,1,무텍스처,mid,low,low,무텍스처,0
building,DEBY_LOD2_4907202,dense_success,per_building_oracle_upper_bound_not_fixed_condition,canonical_dense_w2_1,true,true,false,3,1.500000000,0.563657590,83,150,83,e5p_3b_s1_20260708_C001:base:gs_e5_C001_s1_dense_r1:run_1,e5p_3b_s1_20260708_C001,dense,r1,valid_models,false,true,true,false,3,1.500000000,0.506698629,als_w2_1,true,true,4,2.000000000,1.014340763,2,not_reviewed,mid,low,mid,none,0
building,DEBY_LOD2_4908168,dense_success,per_building_oracle_upper_bound_not_fixed_condition,canonical_dense_w2_1,true,true,false,1,1.000000000,0.178913202,129,150,40,e5p_3b_s1_20260708_C001:base:gs_e5_C001_s1_sparse_r1:run_1,e5p_3b_s1_20260708_C001,sparse,r1,valid_models,false,true,true,false,2,2.000000000,0.303239953,als_w2_1,true,true,1,1.000000000,0.097484721,1,not_reviewed,high,low,low,none,0
building,DEBY_LOD2_4908178,dense_success,per_building_oracle_upper_bound_not_fixed_condition,canonical_dense_w2_1,true,true,false,1,0.500000000,0.624888129,98,150,89,e5p_readout_ablation_20260708_C001:voxel03:gs_e5_C001_sparse_r2:run_1,e5p_readout_ablation_20260708_C001,sparse,r2,valid_models,false,true,true,false,1,0.500000000,0.314863593,als_w2_1,true,true,3,1.500000000,0.997029397,2,not_reviewed,low,low,low,none,0
building,DEBY_LOD2_4908179,gs_only_lod2,per_building_oracle_upper_bound_not_fixed_condition,canonical_dense_w2_1,false,false,false,0,0.000000000,,143,150,10,e5p_readout_ablation_20260708_C001:minobs1:gs_e5_C001_dense_r1:run_1,e5p_readout_ablation_20260708_C001,dense,r1,valid_models,false,false,true,false,4,4.000000000,32.253479102,als_w2_1,false,false,0,0.000000000,,1,not_reviewed,mid,low,low,none,0
building,DEBY_LOD2_60098,dense_success,per_building_oracle_upper_bound_not_fixed_condition,canonical_dense_w2_1,true,true,false,3,1.500000000,2.991955569,114,150,113,e5p_readout_ablation_20260708_C001:base:gs_e5_C001_sparse_r2:run_1,e5p_readout_ablation_20260708_C001,sparse,r2,valid_models,false,true,true,false,1,0.500000000,1.250433397,als_w2_1,true,true,5,2.500000000,2.817517121,2,not_reviewed,mid,low,mid,none,0
building,DEBY_LOD2_8568391,gs_only_lod2,per_building_oracle_upper_bound_not_fixed_condition,canonical_dense_w2_1,false,true,false,0,0.000000000,,125,163,54,s3ap_phase3:gs_e5_C001_s3ap_b8568391_a1_dz_m1_r1,s3ap_phase3,a1,r1,valid_models,false,false,true,true,1,1.000000000,0.113506309,als_w2_1,true,true,1,1.000000000,0.036475174,1,무텍스처,mid,low,low,무텍스처,0
