bid,source,n_points,n_roof,n_wall,n_ground,n_bg,mean_support,semantic_entropy,normal_consistency,status
B0,E0_GT_clean_upper_bound,1886,246,1547,93,0,0.39069241658023485,5.979470570797253e-11,0.6382400087258373,
B0,E1_Baseline_rendered,0,0,0,0,0,,,,SOURCE_MISSING
B0,E2_Mutual_rendered,4922,1873,2734,315,0,0.9507998135856669,0.02497193421950914,0.8355345067578336,
B0,E3_Baseline_primitive,8349,2443,5856,50,0,0.1471400275960986,0.14613144918608692,0.5634646461448406,
B0,E4_Mutual_primitive,7503,2422,5028,48,5,0.1612944429223017,0.01634456182863018,0.5976896399910687,
B1,E0_GT_clean_upper_bound,1300,147,1006,147,0,0.8078906073941541,5.979470570797253e-11,0.8075753050107213,
B1,E1_Baseline_rendered,0,0,0,0,0,,,,SOURCE_MISSING
B1,E2_Mutual_rendered,4859,3547,1232,80,0,0.9720319367563388,0.029614673053433276,0.9077962028690941,
B1,E3_Baseline_primitive,6462,2930,3512,20,0,0.20431671203267213,0.1442484926455839,0.6537387204033074,
B1,E4_Mutual_primitive,6295,2836,3437,21,1,0.21782450045926194,0.014863058382381602,0.6418339434057632,
B2,E0_GT_clean_upper_bound,908,85,738,85,0,0.7200301898934935,5.979470570797253e-11,0.5763743338440903,
B2,E1_Baseline_rendered,0,0,0,0,0,,,,SOURCE_MISSING
B2,E2_Mutual_rendered,3748,2612,1051,85,0,0.9547828593099512,0.0229952926902272,0.9614193906005296,
B2,E3_Baseline_primitive,2727,1250,1460,17,0,0.18595016922121638,0.14043792979608755,0.6732579346282461,
B2,E4_Mutual_primitive,2440,1136,1286,18,0,0.1986319808491031,0.021463205739708592,0.7249426145055666,
B8,E0_GT_clean_upper_bound,1178,160,926,92,0,0.5900116700753313,5.979470570797253e-11,0.6419737426791761,
B8,E1_Baseline_rendered,0,0,0,0,0,,,,SOURCE_MISSING
B8,E2_Mutual_rendered,4372,2784,1513,75,0,0.950974101945417,0.02486343899334463,0.955549879918647,
B8,E3_Baseline_primitive,2743,1206,1521,16,0,0.18751560662233174,0.1178569371781828,0.7844082010099378,
B8,E4_Mutual_primitive,2694,1234,1440,20,0,0.19227682292020384,0.01874142189117452,0.8112129967366752,
B6,E0_GT_clean_upper_bound,2284,320,1884,80,0,0.31727015636855255,5.979470570797253e-11,0.5023718156620361,
B6,E1_Baseline_rendered,0,0,0,0,0,,,,SOURCE_MISSING
B6,E2_Mutual_rendered,3205,2086,1056,63,0,0.9446805542605158,0.056303936850734176,0.8785118932533129,
B6,E3_Baseline_primitive,3998,1965,2026,7,0,0.1745175493953264,0.13273407322645245,0.641802712051881,
B6,E4_Mutual_primitive,3856,2027,1820,9,0,0.19360656075928337,0.0215819607292509,0.6545916595663199,
B3,E0_GT_clean_upper_bound,11682,2205,8466,1011,0,0.32659422001845656,5.979470570797253e-11,0.8088930904190821,
B3,E1_Baseline_rendered,0,0,0,0,0,,,,SOURCE_MISSING
B3,E2_Mutual_rendered,27799,21962,5152,685,0,0.940109394493399,0.03412118383547774,0.8313168999088155,
B3,E3_Baseline_primitive,18445,11080,7256,109,0,0.1860993916830377,0.10228924362938194,0.5321235768283075,
B3,E4_Mutual_primitive,17865,11033,6734,98,0,0.19203096828173988,0.01741223920903738,0.5306375048053771,
B123,E0_GT_clean_upper_bound,6623,953,5015,655,0,0.3983170769604563,5.979470570797253e-11,0.811949312085376,
B123,E1_Baseline_rendered,0,0,0,0,0,,,,SOURCE_MISSING
B123,E2_Mutual_rendered,26052,18397,6846,809,0,0.936803240461154,0.030837850204077488,0.9585415937305513,
B123,E3_Baseline_primitive,14060,6786,7184,90,0,0.19111271234840563,0.11058725008813387,0.7422530326549461,
B123,E4_Mutual_primitive,13839,6869,6875,92,3,0.1876538197715047,0.0148731700097764,0.7594865383986182,
B126,E0_GT_clean_upper_bound,11086,1645,8991,450,0,0.18834426146832842,5.979470570797253e-11,0.8015049386291465,
B126,E1_Baseline_rendered,0,0,0,0,0,,,,SOURCE_MISSING
B126,E2_Mutual_rendered,17179,12999,3813,367,0,0.9301019182644593,0.04492839850720461,0.8887264696898276,
B126,E3_Baseline_primitive,10488,5553,4867,68,0,0.17268082422965172,0.14268914342658537,0.6979414985591743,
B126,E4_Mutual_primitive,10272,5482,4714,73,3,0.18070697505585262,0.025605069195481566,0.689080177934925,
B50,E0_GT_clean_upper_bound,2796,560,2140,96,0,0.2858323202818314,5.979470570797253e-11,0.7339251898425463,
B50,E1_Baseline_rendered,0,0,0,0,0,,,,SOURCE_MISSING
B50,E2_Mutual_rendered,4146,3275,850,21,0,0.9587355553277207,0.04476896492889887,0.8216287454919198,
B50,E3_Baseline_primitive,2678,1495,1183,0,0,0.24936677011564187,0.13005538218058244,0.5924620850360814,
B50,E4_Mutual_primitive,2515,1427,1086,1,1,0.2704762416148634,0.023567312197154116,0.6365596390477984,
B104,E0_GT_clean_upper_bound,480,80,320,80,0,0.20956761042035146,5.979470570797253e-11,0.8318518820572313,
B104,E1_Baseline_rendered,0,0,0,0,0,,,,SOURCE_MISSING
B104,E2_Mutual_rendered,604,420,83,101,0,0.7503091250207053,0.1276953683943638,0.935451711294423,
B104,E3_Baseline_primitive,163,109,51,3,0,0.40409474336487916,0.07983137933602948,0.7354158653913039,
B104,E4_Mutual_primitive,149,110,39,0,0,0.3920000814150702,0.04968911848189815,0.7233174501083441,
