bid,bid_int,split_hard_diagnostic,split_easier_control,e1_status,e2_status,both_ok,e1_ok,e2_ok,delta_e2_minus_e1_ok,winner_ok,e1_F,e2_F,delta_e2_minus_e1_F,winner_F,e1_precision,e2_precision,delta_e2_minus_e1_precision,winner_precision,e1_recall,e2_recall,delta_e2_minus_e1_recall,winner_recall,e1_roof_cov,e2_roof_cov,delta_e2_minus_e1_roof_cov,winner_roof_cov,e1_wall_cov,e2_wall_cov,delta_e2_minus_e1_wall_cov,winner_wall_cov,e1_ground_cov,e2_ground_cov,delta_e2_minus_e1_ground_cov,winner_ground_cov,e1_support_cov,e2_support_cov,delta_e2_minus_e1_support_cov,winner_support_cov,e1_roof_support_cov,e2_roof_support_cov,delta_e2_minus_e1_roof_support_cov,winner_roof_support_cov,e1_wall_support_cov,e2_wall_support_cov,delta_e2_minus_e1_wall_support_cov,winner_wall_support_cov,e1_ground_support_cov,e2_ground_support_cov,delta_e2_minus_e1_ground_support_cov,winner_ground_support_cov,e1_h_err,e2_h_err,delta_e2_minus_e1_h_err,winner_h_err,e1_vol_ratio,e2_vol_ratio,delta_e2_minus_e1_vol_ratio,winner_vol_ratio,e1_chamfer,e2_chamfer,delta_e2_minus_e1_chamfer,winner_chamfer,e1_hausdorff,e2_hausdorff,delta_e2_minus_e1_hausdorff,winner_hausdorff,e1_open_edges,e2_open_edges,delta_e2_minus_e1_open_edges,winner_open_edges,e1_non_manifold_edges,e2_non_manifold_edges,delta_e2_minus_e1_non_manifold_edges,winner_non_manifold_edges
B0,0,False,True,OK,OK,True,1.0,1.0,0.0,tie,0.9431012572505374,0.959110599478714,0.016009342228176626,E2,0.9261666666666667,0.9518333333333333,0.025666666666666615,E2,0.9606666666666667,0.9665,0.005833333333333357,E2,0.7083333333333334,0.7706666666666667,0.06233333333333335,E2,0.9666666666666667,0.9623333333333334,-0.0043333333333333,E1,1.0,1.0,0.0,tie,0.5643333333333334,0.5923333333333333,0.027999999999999914,E2,0.764,0.858,0.09399999999999997,E2,0.683,0.68,-0.0030000000000000027,E1,0.284,0.273,-0.010999999999999954,E1,0.46317344274640604,0.5267500991966507,0.06357665645024468,E1,1.1037195319762478,1.101200743096035,-0.00251878888021273,E2,0.24164808654486314,0.22915601091957324,-0.012492075625289895,E2,2.032316039035035,1.9228446365893324,-0.10947140244570264,E2,0.0,0.0,0.0,tie,0.0,0.0,0.0,tie
B1,1,False,True,OK,OK,True,1.0,1.0,0.0,tie,0.8391250330425588,0.9140608933454877,0.07493586030292887,E2,0.8766666666666667,0.924,0.04733333333333334,E2,0.8046666666666666,0.9043333333333333,0.09966666666666668,E2,0.876,0.7803333333333333,-0.09566666666666668,E1,0.8636666666666667,0.9293333333333333,0.06566666666666665,E2,0.0,0.963,0.963,E2,0.4983333333333333,0.48933333333333334,-0.008999999999999952,E1,0.979,0.901,-0.07799999999999996,E1,0.557,0.529,-0.028000000000000025,E1,0.003,0.053,0.049999999999999996,E2,1.6901273512442305,0.32589166941419023,-1.3642356818300403,E2,0.791373106324835,0.8318275308772364,0.040454424552401336,E2,0.39348311830437976,0.26164930122034225,-0.13183381708403752,E2,1.815001553346551,1.3294199845074028,-0.48558156883914827,E2,0.0,0.0,0.0,tie,0.0,0.0,0.0,tie
B2,2,False,True,OK,OK,True,1.0,1.0,0.0,tie,0.9964135931532435,0.9931585836549756,-0.003255009498267958,E1,0.9946666666666667,0.9903333333333333,-0.004333333333333411,E1,0.9981666666666666,0.996,-0.00216666666666665,E1,1.0,1.0,0.0,tie,0.987,0.9883333333333333,0.0013333333333332975,E2,1.0,1.0,0.0,tie,0.5056666666666667,0.49,-0.015666666666666718,E1,1.0,1.0,0.0,tie,0.415,0.4,-0.014999999999999958,E1,0.111,0.093,-0.018000000000000002,E1,0.5234961877382975,0.4710039968325521,-0.05249219090574542,E2,2.071946822557437,2.081555328295899,0.00960850573846228,E1,0.19720129823536003,0.2004784417331288,0.003277143497768753,E1,0.8350199114506536,0.8650417498916951,0.03002183844104156,E1,0.0,0.0,0.0,tie,0.0,0.0,0.0,tie
B8,8,False,True,OK,OK,True,1.0,1.0,0.0,tie,0.9959158229436867,0.9175338841974635,-0.07838193874622323,E1,0.995,0.9036666666666666,-0.09133333333333338,E1,0.9968333333333333,0.9318333333333333,-0.06500000000000006,E1,0.9816666666666667,1.0,0.018333333333333313,E2,0.9816666666666667,0.9823333333333333,0.0006666666666665932,E2,1.0,0.606,-0.394,E1,0.496,0.513,0.017000000000000015,E2,1.0,1.0,0.0,tie,0.395,0.45,0.05499999999999999,E2,0.066,0.058,-0.008,E1,0.2493086345062192,0.46113781590596403,0.21182918139974483,E1,1.589819017680507,1.5768500644137617,-0.012968953266745187,E2,0.19343811126845106,0.2181518403308031,0.02471372906235203,E1,0.7714359738555728,0.7712779498861765,-0.0001580239693963481,E2,0.0,0.0,0.0,tie,0.0,0.0,0.0,tie
B6,6,True,False,OK,OK,True,1.0,1.0,0.0,tie,0.947825830842272,0.931374727863768,-0.01645110297850405,E1,0.9505,0.9376666666666666,-0.012833333333333363,E1,0.9451666666666667,0.9251666666666667,-0.020000000000000018,E1,0.6693333333333333,0.5246666666666666,-0.14466666666666672,E1,0.9326666666666666,0.932,-0.0006666666666665932,E1,1.0,1.0,0.0,tie,0.4626666666666666,0.41733333333333333,-0.04533333333333328,E1,0.903,0.753,-0.15000000000000002,E1,0.392,0.363,-0.029000000000000026,E1,0.058,0.071,0.01299999999999999,E2,3.627471515617838,3.38937412340141,-0.238097392216428,E2,0.6782715244356421,0.6638984274781619,-0.014373096957480236,E1,0.23813073131969748,0.23824001664625477,0.00010928532655729573,E1,3.5667136390646914,3.6235083886001966,0.05679474953550523,E1,0.0,0.0,0.0,tie,0.0,0.0,0.0,tie
B3,3,True,False,OK,OK,True,1.0,1.0,0.0,tie,0.40331385102574696,0.43840797720797725,0.03509412618223029,E2,0.3948333333333333,0.4265,0.031666666666666676,E2,0.4121666666666667,0.451,0.03883333333333333,E2,0.14966666666666667,0.156,0.00633333333333333,E2,0.609,0.6216666666666667,0.012666666666666715,E2,0.7763333333333333,0.896,0.1196666666666667,E2,0.25266666666666665,0.25533333333333336,0.002666666666666706,E2,0.284,0.267,-0.01699999999999996,E1,0.438,0.425,-0.013000000000000012,E1,0.066,0.06,-0.006000000000000005,E1,2.4719599680153728,1.8207417446001521,-0.6512182234152206,E2,0.9650653233730663,0.9731816247712521,0.008116301398185866,E2,1.0849839789180125,1.0762153717867158,-0.00876860713129668,E2,11.121050384368926,11.183994129120826,0.0629437447518999,E1,0.0,0.0,0.0,tie,0.0,0.0,0.0,tie
B123,123,True,False,OK,OK,True,1.0,1.0,0.0,tie,0.5965428132420729,0.5762228645758057,-0.020319948666267185,E1,0.6015,0.591,-0.010500000000000065,E1,0.5916666666666667,0.5621666666666667,-0.02949999999999997,E1,0.167,0.15,-0.017000000000000015,E1,0.647,0.6403333333333333,-0.00666666666666671,E1,0.9766666666666667,0.947,-0.02966666666666673,E1,0.342,0.3123333333333333,-0.02966666666666673,E1,0.299,0.27,-0.02899999999999997,E1,0.621,0.593,-0.028000000000000025,E1,0.144,0.091,-0.05299999999999999,E1,0.29203150714080905,0.05493656572977912,-0.23709494141102994,E2,0.992215560786045,0.7385642480606636,-0.25365131272538144,E1,0.8348434343385214,0.8631629411907014,0.028319506852179988,E1,5.305519254153722,5.348908854212128,0.043389600058405975,E1,0.0,0.0,0.0,tie,0.0,0.0,0.0,tie
B126,126,True,False,OK,OK,True,1.0,1.0,0.0,tie,0.5614468652734549,0.5403327171903882,-0.021114148083066664,E1,0.5835,0.56,-0.023499999999999965,E1,0.541,0.522,-0.019000000000000017,E1,0.14133333333333334,0.15566666666666668,0.014333333333333337,E2,0.6223333333333333,0.6223333333333333,0.0,tie,0.99,0.9623333333333334,-0.027666666666666617,E1,0.23500000000000001,0.24666666666666667,0.011666666666666659,E2,0.199,0.225,0.025999999999999995,E2,0.453,0.461,0.008000000000000007,E2,0.038,0.047,0.009000000000000001,E2,1.233671258914974,1.1424515213034923,-0.09121973761148183,E2,0.2767196310685855,0.48903272092103717,0.21231308985245168,E2,1.0299905522465689,1.0381567046756128,0.008166152429043949,E1,5.4164174580267215,5.416819502782191,0.00040204475546978813,E1,0.0,0.0,0.0,tie,0.0,0.0,0.0,tie
B50,50,False,True,OK,OK,True,1.0,1.0,0.0,tie,0.9331509198071085,0.9349016252191223,0.001750705412013831,E2,0.937,0.9386666666666666,0.0016666666666665941,E2,0.9293333333333333,0.9311666666666667,0.0018333333333333535,E2,0.5476666666666666,0.553,0.005333333333333412,E2,0.945,0.9473333333333334,0.0023333333333334094,E2,1.0,1.0,0.0,tie,0.4403333333333334,0.4323333333333333,-0.008000000000000118,E1,0.93,0.931,0.0010000000000000009,E2,0.329,0.352,0.022999999999999965,E2,0.051,0.009,-0.041999999999999996,E1,0.13542257921591627,0.27220380881142603,0.13678122959550976,E1,1.0095923918666236,1.004370275011915,-0.005222116854708636,E2,0.23308632957319247,0.22850182087213686,-0.004584508701055617,E2,1.5157838155860595,1.5626898081724714,0.046905992586411926,E1,0.0,0.0,0.0,tie,0.0,0.0,0.0,tie
B104,104,True,False,OK,OK,True,1.0,1.0,0.0,tie,1.0,0.8275055271682864,-0.1724944728317136,E1,1.0,0.8911666666666667,-0.10883333333333334,E1,1.0,0.7723333333333333,-0.22766666666666668,E1,1.0,1.0,0.0,tie,0.9996666666666667,0.9166666666666666,-0.08300000000000007,E1,1.0,0.0,-1.0,E1,0.7943333333333333,0.745,-0.04933333333333334,E1,1.0,1.0,0.0,tie,0.767,0.817,0.04999999999999993,E2,0.555,0.368,-0.18700000000000006,E1,0.2308115401708064,0.6116163007342417,0.38080476056343526,E1,0.8649605297263258,0.7344306125677919,-0.1305299171585339,E1,0.13417468555339113,0.2219298171623314,0.08775513160894027,E1,0.46300447768003145,0.7774703290736924,0.31446585139366096,E1,0.0,0.0,0.0,tie,0.0,0.0,0.0,tie
