metric,all_10_e2_wins,all_10_e1_wins,all_10_ties,all_10_missing,direction
ok,0,0,10,0,higher_better
F,4,6,0,0,higher_better
precision,4,6,0,0,higher_better
recall,4,6,0,0,higher_better
roof_cov,5,3,2,0,higher_better
wall_cov,5,4,1,0,higher_better
ground_cov,2,4,4,0,higher_better
support_cov,4,6,0,0,higher_better
roof_support_cov,3,4,3,0,higher_better
wall_support_cov,4,6,0,0,higher_better
ground_support_cov,3,7,0,0,higher_better
h_err,6,4,0,0,lower_better
vol_ratio,6,4,0,0,closer_to_1
chamfer,4,6,0,0,lower_better
hausdorff,3,7,0,0,lower_better
open_edges,0,0,10,0,lower_better
non_manifold_edges,0,0,10,0,lower_better
