bid,source,stage3_algo_version,status,n_faces,n_roof_faces,n_wall_faces,n_ground_faces,export_status,failure_reason,patch_applied,patch_reason
B0,E0_GT_clean_upper_bound,Stage3Algo-v1,OK,23,10,12,1,CITYJSON_WRITTEN,,False,ground evidence already present
B0,E1_Baseline_rendered,Stage3Algo-v1,SOURCE_MISSING,0,0,0,0,NOT_WRITTEN,source artifact unavailable,False,SOURCE_MISSING
B0,E2_Mutual_rendered,Stage3Algo-v1,OK,23,10,12,1,CITYJSON_WRITTEN,,False,ground evidence already present
B0,E3_Baseline_primitive,Stage3Algo-v1,OK,23,10,12,1,CITYJSON_WRITTEN,,False,ground evidence already present
B0,E4_Mutual_primitive,Stage3Algo-v1,OK,23,10,12,1,CITYJSON_WRITTEN,,False,ground evidence already present
B1,E0_GT_clean_upper_bound,Stage3Algo-v1,OK,11,4,6,1,CITYJSON_WRITTEN,,False,ground evidence already present
B1,E1_Baseline_rendered,Stage3Algo-v1,SOURCE_MISSING,0,0,0,0,NOT_WRITTEN,source artifact unavailable,False,SOURCE_MISSING
B1,E2_Mutual_rendered,Stage3Algo-v1,OK,11,4,6,1,CITYJSON_WRITTEN,,False,ground evidence already present
B1,E3_Baseline_primitive,Stage3Algo-v1,OK,11,4,6,1,CITYJSON_WRITTEN,,False,ground evidence already present
B1,E4_Mutual_primitive,Stage3Algo-v1,OK,11,4,6,1,CITYJSON_WRITTEN,,False,ground evidence already present
B2,E0_GT_clean_upper_bound,Stage3Algo-v1,OK,11,4,6,1,CITYJSON_WRITTEN,,False,ground evidence already present
B2,E1_Baseline_rendered,Stage3Algo-v1,SOURCE_MISSING,0,0,0,0,NOT_WRITTEN,source artifact unavailable,False,SOURCE_MISSING
B2,E2_Mutual_rendered,Stage3Algo-v1,OK,11,4,6,1,CITYJSON_WRITTEN,,False,ground evidence already present
B2,E3_Baseline_primitive,Stage3Algo-v1,OK,11,4,6,1,CITYJSON_WRITTEN,,False,ground evidence already present
B2,E4_Mutual_primitive,Stage3Algo-v1,OK,11,4,6,1,CITYJSON_WRITTEN,,False,ground evidence already present
B8,E0_GT_clean_upper_bound,Stage3Algo-v1,OK,15,6,8,1,CITYJSON_WRITTEN,,False,ground evidence already present
B8,E1_Baseline_rendered,Stage3Algo-v1,SOURCE_MISSING,0,0,0,0,NOT_WRITTEN,source artifact unavailable,False,SOURCE_MISSING
B8,E2_Mutual_rendered,Stage3Algo-v1,OK,15,6,8,1,CITYJSON_WRITTEN,,False,ground evidence already present
B8,E3_Baseline_primitive,Stage3Algo-v1,OK,15,6,8,1,CITYJSON_WRITTEN,,False,ground evidence already present
B8,E4_Mutual_primitive,Stage3Algo-v1,OK,15,6,8,1,CITYJSON_WRITTEN,,False,ground evidence already present
B6,E0_GT_clean_upper_bound,Stage3Algo-v1,OK,23,10,12,1,CITYJSON_WRITTEN,,False,ground evidence already present
B6,E1_Baseline_rendered,Stage3Algo-v1,SOURCE_MISSING,0,0,0,0,NOT_WRITTEN,source artifact unavailable,False,SOURCE_MISSING
B6,E2_Mutual_rendered,Stage3Algo-v1,OK,23,10,12,1,CITYJSON_WRITTEN,,False,ground evidence already present
B6,E3_Baseline_primitive,Stage3Algo-v1,OK,23,10,12,1,CITYJSON_WRITTEN,,False,ground evidence already present
B6,E4_Mutual_primitive,Stage3Algo-v1,OK,23,10,12,1,CITYJSON_WRITTEN,,False,ground evidence already present
B3,E0_GT_clean_upper_bound,Stage3Algo-v1,OK,83,40,42,1,CITYJSON_WRITTEN,,False,ground evidence already present
